bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
SB9128,2023-RS,2023-02-06,,,,This is a test bill.  SB9128 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9128&Session=2300
SB9129,2023-RS,2023-02-06,,,,This is a test bill.  SB9129 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9129&Session=2300
SB9130,2023-RS,2023-02-06,,ZTestSAuthorB (S),,This is a test bill.  SB9130 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9130&Session=2300
SB9131,2023-RS,2023-02-06,,,,This is a test bill.  SB9131 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9131&Session=2300
SB9132,2023-RS,2023-02-06,,,,This is a test bill.  SB9132 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9132&Session=2300
SB9133,2023-RS,2023-02-06,,,,This is a test bill.  SB9133 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9133&Session=2300
SB9134,2023-RS,2023-02-06,,,,"Health care; creating the Millstone Act of 2023; prohibiting provision of or referral for gender transition procedures; providing for criminal, administrative, and civil enforcement. Emergency.",http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9134&Session=2300
SB9135,2023-RS,2023-02-06,,,,This is a test bill.  SB9135 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9135&Session=2300
SB9136,2023-RS,2023-02-06,,,,This is a test bill.  SB9136 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9136&Session=2300
SB9137,2023-RS,2023-02-06,,,,This is a test bill.  SB9137 - 2023 session.  Please Disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9137&Session=2300
SB9999,2023-RS,2023-02-06,,,,This is a test bill of the 2023 regular session.  Please disregard. Emergency Added.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9999&Session=2300
SCR1,2023-RS,2023-02-06,,Dahm (S),,Concurrent resolution; requiring the Oklahoma State Regents for Higher Education to submit certain report by certain date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR1&Session=2300
SCR2,2023-RS,2023-02-06,Olsen (H),Dahm (S),,Concurrent resolution; directing the Pentagon and U.S. Department of Defense to not send foreign soldiers to Oklahoma; and encouraging the executive branch and state's law enforcement.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR2&Session=2300
SCR3,2023-RS,2023-02-06,Olsen (H),Dahm (S),,Concurrent resolution; embracing Jesus' wisdom; recognizing the Ukrainian conflict; offering state for peace talks; encouraging governor.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR3&Session=2300
SCR4,2023-RS,2023-02-06,Wallace (H),Stephens (S),Williams (H); Luttrell (H); McCall (H); ODonnell (H); McBride (H); Echols (H); Caldwell (Chad) (H); Kannady (H); Lepak (H); Pfeiffer (H); Goodwin (H); Munson (H); Baker (H); Bennett (H); Blancett (H); Dollens (H); Fetgatter (H); Gann (H); Hilbert (H); Humphrey (H); Kerbs (H); Lawson (H); Lowe (Jason) (H); Martinez (H); McDugle (H); McEntire (H); Newton (H); Nichols (H); Osburn (H); West (Rick) (H); West (Josh) (H); West (Kevin) (H); West (Tammy) (H); Worthen (H); Rosecrants (H); Boatman (H); Burns (H); Caldwell (Trey) (H); Conley (H); Cornwell (H); CrosswhiteHader (H); Davis (H); Fugate (H); Grego (H); Hardin (H); Hasenbeck (H); Hill (H); Johns (H); Manger (H); Ford (H); Marti (H); May (H); Miller (H); Olsen (H); Pae (H); Patzkowsky (H); Pittman (H); Provenzano (H); Alonso-Sandoval (H); Hefner (H); Swope (H); Schreiber (H); Menz (H); Deck (H); Tedford (H); Staires (H); Archer (H); Cantrell (H); George (H); Duel (H); Banning (H); Maynard (H); Hays (H); Kane (H); Boles (H); Randleman (H); Ranson (H); Roe (H); Sims (H); Smith (H); Sneed (H); Stark (H); Steagall (H); Sterling (H); Strom (H); Talley (H); Townley (H); Vancuren (H); Waldron (H); Bashore (H); Dempsey (H); Dobrinski (H); Kendrix (H); Lowe (Dick) (H); Moore (H); Roberts (H); Stinson (H); Turner (H); Wolfley (H); Culver (H); Woods (S),Concurrent resolution; supporting the conservation of fish and wildlife resources; and encouraging Oklahomans to teach hunting and angling to youth.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR4&Session=2300
SCR5,2023-RS,2023-02-08,Echols (H),McCortney (S),,Concurrent resolution; amending the Joint Rules for the 59th Legislature.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR5&Session=2300
SCR6,2023-RS,2023-02-27,Steagall (H),Murdock (S),,Concurrent resolution; recognizing March 6 as Bob Wills Day at the Capitol; celebrating the life and legacy of Oklahoma's son; thanking the Oklahoma Historical Society and the Oklahoma Arts Council for their work.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR6&Session=2300
SCR7,2023-RS,2023-03-06,Kannady (H),Rosino (S),,Concurrent resolution mourning the loss of Oklahomans due to COVID-19; expressing condolences to those who have lost friends and family; and asking for prayers on behalf of all Oklahomans impacted by the pandemic.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR7&Session=2300
SCR8,2023-RS,2023-03-09,Strom (H),Pederson (S),McBride (H); Munson (H); Fugate (H); Pae (H),Concurrent resolution; encouraging further partnership between Oklahoma and Taiwan; supporting Taiwan's participation in international organizations; celebrating Taiwan Relations Act anniversary.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR8&Session=2300
SCR9,2023-RS,2023-04-20,,Stephens (S),Dahm (S); Standridge (S); Thompson (Roger) (S); Bergstrom (S); Dugger (S); Kidd (S); McCortney (S); Newhouse (S); Paxton (S); Pemberton (S); Murdock (S); Boren (S); Bullard (S); Coleman (S); Montgomery (S); Weaver (S); Burns (S); Garvin (S); Hamilton (S); Jett (S); Woods (S); Gollihare (S); Alvord (S); Stewart (S); Seifried (S); Thompson (Kristen) (S); Prieto (S),Concurrent resolution; declaring support for daylight saving time.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR9&Session=2300
SCR10,2023-RS,2023-04-26,Bashore (H),Rosino (S),,Concurrent resolution; recall of enrolled bill.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR10&Session=2300
SCR11,2023-RS,2023-05-16,Humphrey (H),Standridge (S),Dahm (S),Concurrent resolution; opposing any corporation silencing voices; supporting First Amendment rights and encouraging freedom of speech; appreciating the role of Tucker Carlson; encouraging Tucker Carlson.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR11&Session=2300
SCR12,2023-RS,2023-05-18,Humphrey (H),Standridge (S),,Concurrent resolution; calling for equal treatment of college students; expecting institutions to respect the Constitutional protection of equality; respecting all students' beliefs; removing DEI; stopping funding at DEI-teaching institutions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR12&Session=2300
SCR13,2023-RS,2023-05-22,McCall (H),Treat (S),,Concurrent resolution; giving legislative approval for the settlement of federal litigation against the Department of Corrections.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR13&Session=2300
SCR14,2023-RS,2023-05-22,McDugle (H),Stephens (S),,Concurrent resolution: recognizing the history and tourism behind the Golden Driller; recognizing contributions of Oklahoma's oil and gas industry; recognizing role of John Franklin Stephens Jr.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR14&Session=2300
SCR15,2023-RS,2023-05-22,McDugle (H),Stephens (S),Lepak (H); Wallace (H); Humphrey (H); Baker (H); Kerbs (H); CrosswhiteHader (H); Hardin (H); Stark (H); Talley (H); George (H); Banning (H); Kane (H); Boles (H); Ford (H); Culver (H); Stinson (H); Roberts (H); Bashore (H); Hefner (H); Schreiber (H); Tedford (H); Staires (H); Cantrell (H); Sterling (H); Sims (H); Grego (H); Boatman (H); Rosecrants (H); Osburn (H); Treat (S); Daniels (S); Rader (S); Pugh (S); Pemberton (S); Pederson (S); Paxton (S); Newhouse (S); McCortney (S); Kidd (S); Dugger (S); Prieto (S); Green (S); Thompson (Kristen) (S); Seifried (S); Stewart (S); Alvord (S); Gollihare (S); Woods (S); Dossett (S); Burns (S); Young (S); Weaver (S); Stanley (S); Montgomery (S); Kirt (S); Howard (S); Hicks (S); Rogers (S); Jett (S); Hamilton (S); Garvin (S); Haste (S); Hall (S); Coleman (S); Bullard (S); Boren (S); Murdock (S); Rosino (S); Brooks (S); Bergstrom (S); Dahm (S); Jech (S); Thompson (Roger) (S); Matthews (S); Floyd (S); Standridge (S),Concurrent resolution; recognizing the history and tourism behind the Golden Driller; recognizing contributions of Oklahoma's oil and gas industry; recognizing role of John Franklin Stephens Jr.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR15&Session=2300
SCR9999,2023-RS,2023-02-06,,,,This is a test bill of the 2023 regular session.  Please disregard.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR9999&Session=2300
SJR1,2023-RS,2023-02-06,,Dahm (S),,Constitutional amendment; prohibiting unreasonable search and seizure of electronic data and communications.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR1&Session=2300
SJR2,2023-RS,2023-02-06,Olsen (H),Dahm (S),,Constitutional amendment; declaring Oklahoma a sovereign state; declaring certain laws null and void.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR2&Session=2300
SJR3,2023-RS,2023-02-06,,Kirt (S),,Constitutional amendment; reducing threshold to approve school district indebtedness.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR3&Session=2300
SJR4,2023-RS,2023-02-06,,Hicks (S),,Constitutional amendment; allowing a member of the Legislature to be employed as a public school teacher upon completion of term.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR4&Session=2300
SJR5,2023-RS,2023-02-06,,Hamilton (S),Murdock (S); Bullard (S),Constitutional amendment; limiting state questions on ballot to odd-numbered years; requiring proposed constitutional amendments or state questions to receive certain majority vote.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR5&Session=2300
SJR6,2023-RS,2023-02-06,,Daniels (S),,Constitutional amendment; modifying certain appointment procedure; requiring Senate confirmation of certain judicial appointments.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR6&Session=2300
SJR7,2023-RS,2023-02-06,Hilbert (H),Garvin (S),,Constitutional amendment; allowing a member of the Legislature to be employed by a public school upon completion of term.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR7&Session=2300
SJR8,2023-RS,2023-02-06,,Hamilton (S),,Constitutional amendment; modifying apportionment of state senate districts; requiring certain considerations.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR8&Session=2300
SJR9,2023-RS,2023-02-06,Steagall (H),Bullard (S),,Constitutional amendment; expanding rights of citizens to keep and bear arms.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR9&Session=2300
SJR10,2023-RS,2023-02-06,,Hamilton (S),,Constitutional amendment; prohibiting certain ownership of land; decreasing allowable time period for disposition of certain property.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR10&Session=2300
SJR11,2023-RS,2023-02-06,,Coleman (S),,Constitutional amendment; authorizing Legislature to enact provisions related to certain offenders; clarifying timing of required compliance.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR11&Session=2300
SJR12,2023-RS,2023-02-06,Lowe (Dick) (H),McCortney (S),,Constitutional amendment; prohibiting unfunded mandates for political subdivisions.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR12&Session=2300
SJR13,2023-RS,2023-02-06,,Paxton (S),,Constitutional amendment; making district attorneys subject to impeachment proceedings.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR13&Session=2300
SJR14,2023-RS,2023-02-06,Echols (H),Bergstrom (S),Daniels (S); Newhouse (S); Pederson (S); Bullard (S); Burns (S); Hamilton (S); Stephens (S),Joint resolution; making application to call convention of the states for purpose of proposing amendment to the US Constitution related to congressional term limits.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR14&Session=2300
SJR15,2023-RS,2023-02-06,,Dahm (S),,"Joint resolution; calling a Constitutional Convention to alter, revise, or amend the present Constitution of the State of Oklahoma or propose a new Constitution.",http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR15&Session=2300
SJR16,2023-RS,2023-02-06,,Haste (S),,Constitutional amendment; authorizing the creation of public infrastructure districts in Oklahoma.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR16&Session=2300
SJR17,2023-RS,2023-02-06,,Newhouse (S),,"Joint resolution; calling a Constitutional Convention to alter, revise, or amend the present Constitution of the State of Oklahoma or propose a new Constitution.",http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR17&Session=2300
SJR18,2023-RS,2023-02-06,,Dahm (S),,Constitutional amendment; modifying certain appointment procedure; requiring Senate confirmation of certain judicial appointments.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR18&Session=2300
SJR19,2023-RS,2023-03-20,West (Rick) (H),Bergstrom (S),,Joint resolution; approving certain proposed permanent rules of state agencies.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR19&Session=2300
SJR20,2023-RS,2023-03-27,Kendrix (H),Bergstrom (S),,Joint resolution; approving certain proposed permanent rules of state agencies.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR20&Session=2300
SJR21,2023-RS,2023-04-26,Kendrix (H),Bergstrom (S),,Joint resolution; approving certain proposed permanent rules of state agencies.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR21&Session=2300
SJR22,2023-RS,2023-05-15,Kendrix (H),Bergstrom (S),Conley (H),Joint resolution; approving and disapproving certain proposed permanent rules of state agencies.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SJR22&Session=2300
SR1,2023-RS,2023-02-06,,Dahm (S),,Resolution; allowing public comment at committee and subcommittee hearings.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SR1&Session=2300
SR2,2023-RS,2023-02-06,,Young (S),,"Resolution; supporting Washington, D.C.; urging Congress.",http://www.oklegislature.gov/BillInfo.aspx?Bill=SR2&Session=2300
SR3,2023-RS,2023-03-13,,Boren (S),,"Resolution; celebrating the flag of Ireland, St. Patrick's Day and the 25th anniversary of the Good Friday Agreement.",http://www.oklegislature.gov/BillInfo.aspx?Bill=SR3&Session=2300
SR4,2023-RS,2023-03-27,,Kidd (S),,Resolution; honoring the life of Navy veteran Delbert D. Black; recognizing the historic career of MCPON Black; sharing appreciation for his service.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SR4&Session=2300
SR5,2023-RS,2023-03-28,,McCortney (S),,Resolution; congratulating the University of Oklahoma Sooners softball team for winning the 2022 National Collegiate Athletic Association Women's College World Series.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SR5&Session=2300
