bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HJR1001,2023-SS1,2023-06-12,Gann (H),,West (Rick) (H),Oklahoma Constitution; appropriations; authority; revenues; Constitutional Reserve Fund; Taxpayer Relief Fund; ballot title; filing.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HJR1001&Session=231X
HR1001,2023-SS1,2023-06-12,McCall (H),,,A Resolution informing the Oklahoma State Senate that the Oklahoma House of Representatives is rescinding the passage of and will not comply with the dates and provisions of SCR2x.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HR1001&Session=231X
SB1,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB1&Session=231X
SB2,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB2&Session=231X
SB3,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB3&Session=231X
SB4,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB4&Session=231X
SB5,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB5&Session=231X
SB6,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB6&Session=231X
SB7,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB7&Session=231X
SB8,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB8&Session=231X
SB9,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9&Session=231X
SB10,2023-SS1,2023-05-17,McCall (H),Thompson (Roger) (S),,Public finance. Specifying certain duty of Director of Office of Management and Enterprise Services. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB10&Session=231X
SB11,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Oklahoma Tourism and Recreation Department; transferring duties of the Executive Director to the Commission; removing authority of Governor to appoint Director. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB11&Session=231X
SB12,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Fugate (H); Hall (S),Mental health; creating the Mental Health Transport Revolving Fund; modifying procedures and requirements for transport of persons requiring treatment. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB12&Session=231X
SB13,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Quality Jobs Program; modifying term of incentive payments for certain industry. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB13&Session=231X
SB14,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Tourism Development Act; modifying required term of agreement; modifying annual limit. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB14&Session=231X
SB15,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Hall (S),Controlled Dangerous Substances; increasing certain registration fee. Emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB15&Session=231X
SB16,2023-SS1,2023-05-17,Wallace (H),Thompson (Roger) (S),Martinez (H); Archer (H); Swope (H); Boren (S); Hall (S),Paid leave for employees; providing certain state employees to receive paid maternity leave; providing protections for certain employees. Effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB16&Session=231X
