bill_id,session,chamber,action_date,journal_page,action,order
HB1001,2023-RS,H,2023-02-06,70,First Reading,1
HB1001,2023-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1001,2023-RS,H,2023-02-07,299,Second Reading referred to Public Safety,3
HB1001,2023-RS,H,2023-02-27,403,Withdrawn from Public Safety Committee,4
HB1001,2023-RS,H,2023-02-27,403,Referred to State Powers,5
HB1001,2023-RS,H,2023-03-01,432,CR; Do Pass State Powers Committee,6
HB1002,2023-RS,H,2023-02-06,70,First Reading,1
HB1002,2023-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1002,2023-RS,H,2023-02-06,296,Remove Representative Olsen as principal House author and substitute with Representative Kane,3
HB1002,2023-RS,H,2023-02-07,299,Second Reading referred to Public Safety,4
HB1003,2023-RS,H,2023-02-06,70,First Reading,1
HB1003,2023-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1003,2023-RS,H,2023-02-07,299,Second Reading referred to Judiciary - Civil,3
HB1004,2023-RS,H,2023-02-06,71,First Reading,1
HB1004,2023-RS,H,2023-02-06,71,Authored by Representative Olsen,2
HB1004,2023-RS,H,2023-02-07,299,Second Reading referred to Business and Commerce,3
HB1004,2023-RS,H,2023-02-22,392,CR; Do Pass Business and Commerce Committee,4
HB1005,2023-RS,H,2023-02-06,71,First Reading,1
HB1005,2023-RS,H,2023-02-06,71,Authored by Representative West (Rick),2
HB1005,2023-RS,H,2023-02-07,299,Second Reading referred to Judiciary - Civil,3
HB1005,2023-RS,H,2023-02-23,400,CR; Do Pass Judiciary - Civil Committee,4
HB1005,2023-RS,H,2023-02-23,400,Authored by Senator Burns (principal Senate author),5
HB1005,2023-RS,H,2023-03-07,494,General Order,6
HB1005,2023-RS,H,2023-03-07,494,"Third Reading, Measure passed:  Ayes: 74 Nays: 0",7
HB1005,2023-RS,H,2023-03-07,494,Referred for engrossment,8
HB1005,2023-RS,H,2023-03-07,508,"Engrossed, signed, to Senate",9
HB1005,2023-RS,S,2023-03-07,582,First Reading,10
HB1005,2023-RS,S,2023-03-23,840,Second Reading referred to Judiciary,11
HB1005,2023-RS,S,2023-04-11,925,Reported Do Pass Judiciary committee; CR filed,12
HB1005,2023-RS,S,2023-04-17,952,"General Order, Considered",13
HB1005,2023-RS,S,2023-04-17,953,Measure passed:  Ayes: 46  Nays: 2,14
HB1005,2023-RS,S,2023-04-17,953,"Engrossed measure signed, returned to House",15
HB1005,2023-RS,H,2023-04-17,993,Referred for enrollment,16
HB1005,2023-RS,H,2023-04-18,997,"Enrolled, signed, to Senate",17
HB1005,2023-RS,S,2023-04-18,991,"Enrolled measure signed, returned to House",18
HB1005,2023-RS,H,2023-04-18,1016,Sent to Governor,19
HB1005,2023-RS,H,2023-04-19,1048,Approved by Governor 04/19/2023,20
HB1006,2023-RS,H,2023-02-06,71,First Reading,1
