bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HB43,2024-RS,,,,,,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB43&Session=2400
HB1001,2024-RS,2023-02-06,Olsen (H),,,Firearms; modifying certain age requirement; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1001&Session=2400
HB1002,2024-RS,2023-02-06,Kane (H),,Fugate (H),Firearms; allowing certain detention or arrest; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1002&Session=2400
HB1003,2024-RS,2023-02-06,Olsen (H),,Dollens (H),Motor vehicles; requiring child support payments in certain accidents resulting in death; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1003&Session=2400
HB1004,2024-RS,2023-02-06,Olsen (H),,,Professions and occupations; Oklahoma Pawnshop Act; authorizing use of certain processing fees; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1004&Session=2400
HB1005,2024-RS,2023-02-06,West (Rick) (H),Burns (S),,Jurors; jury service exemption; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1005&Session=2400
HB1006,2024-RS,2023-02-06,West (Rick) (H),Murdock (S),Talley (H); Bashore (H),Schools; requiring students be given excused absences for participating in approved 4-H activities; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1006&Session=2400
HB1007,2024-RS,2023-02-06,West (Rick) (H),,,Controlled dangerous substances; requiring pain management clinics to register with State Board of Medical Licensure and Supervision; prohibiting the dispensation of controlled dangerous substances at pain management clinics; codification; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1007&Session=2400
HB1008,2024-RS,2023-02-06,West (Rick) (H),Burns (S),Hamilton (S),Agriculture; Oklahoma Right to Garden Act of 2023; vegetable gardens; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1008&Session=2400
HB1009,2024-RS,2023-02-06,Talley (H),,,Revenue and taxation; sales tax exemption; veterans; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1009&Session=2400
HB1010,2024-RS,2023-02-06,West (Rick) (H),Hamilton (S),,Central Purchasing Act; allowing certain state entities to make certain purchases; documentation; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1010&Session=2400
HB1011,2024-RS,2023-02-06,Olsen (H),,ODonnell (H),Public health and safety; defining terms; health care professionals; gender transition procedures; referrals; exceptions; public funds; Medicaid program reimbursements; felony penalties; statute of limitations; unprofessional conduct; license revocation; statute of limitations; claims or defenses; civil actions; administrative remedies; attorney fees; Attorney General; codification; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1011&Session=2400
HB1012,2024-RS,2023-02-06,Echols (H),,Jett (S),State Department of Health; administrative courts; promulgating rules; codification; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1012&Session=2400
HB1013,2024-RS,2023-02-06,Echols (H),Garvin (S),Hasenbeck (H); Hefner (H),Health care; Lori Brand Patient Bill of Rights Act of 2023; rights of patients; responsibilities of patients; rights of minors; responsibilities of parents; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1013&Session=2400
HB1014,2024-RS,2023-02-06,Olsen (H),,,Medical marijuana; prohibiting medical marijuana dispensaries from being located near places of worship; defining term; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1014&Session=2400
HB1015,2024-RS,2023-02-06,West (Rick) (H),,Conley (H),Oklahoma Higher Learning Access Program; program eligibility; modifying minimum ACT score for certain students; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1015&Session=2400
HB1016,2024-RS,2023-02-06,Lawson (H),Gollihare (S),Sims (H); Sneed (H); Waldron (H); Hefner (H),Oklahoma Route 66 Commission; commission membership; Route 66 Commission Revolving Fund; modifying procedures; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1016&Session=2400
HB1017,2024-RS,2023-02-06,Lawson (H),Gollihare (S),Munson (H); Ranson (H),Children; Family Representation and Advocacy Act; Family Representation and Advocacy Program; purpose; funds; duties; exception; executive director; authority; Family Representation and Advocacy Program Board; appointment; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1017&Session=2400
HB1018,2024-RS,2023-02-06,Lawson (H),Garvin (S),,Children; individualized service plans; services; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1018&Session=2400
HB1019,2024-RS,2023-02-06,Munson (H),Gollihare (S),Lawson (H); McEntire (H); Roe (H); Talley (H); Swope (H),Central Purchasing Act; sole source acquisition or sole brand acquisition; State Department of Health exemption for certain programs; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1019&Session=2400
HB1020,2024-RS,2023-02-06,Olsen (H),,,Crimes and punishments; requiring forfeiture proceedings follow related criminal convictions; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1020&Session=2400
HB1021,2024-RS,2023-02-06,Olsen (H),,,Firearms; prohibiting the carry of firearms into certain places; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1021&Session=2400
HB1022,2024-RS,2023-02-06,Olsen (H),,,Municipal roads; improvement; repair; maintenance; county commissioners; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1022&Session=2400
HB1023,2024-RS,2023-02-06,Townley (H),Bullard (S),Humphrey (H); Maynard (H),Property; owners association; solar energy; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1023&Session=2400
HB1024,2024-RS,2023-02-06,West (Rick) (H),,,Criminal procedure; requiring special agents of federal agencies to contact county sheriffs under certain circumstances; codification; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1024&Session=2400
HB1025,2024-RS,2023-02-06,West (Rick) (H),,,Drug tests; DNA tests; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1025&Session=2400
HB1026,2024-RS,2023-02-06,West (Rick) (H),Hamilton (S),,Law enforcement training; prohibiting the certification of permanent resident aliens; providing an exception; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1026&Session=2400
HB1027,2024-RS,2023-02-06,Luttrell (H),Coleman (S),Dollens (H); Pittman (H); Menz (H); Hefner (H),Amusements and sports; state-tribal gaming; exception; model tribal gaming compact supplement; sports pools; term; fees; procedures; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1027&Session=2400
HB1028,2024-RS,2023-02-06,Talley (H),Rader (S),Lepak (H); Munson (H); Dollens (H); Martinez (H); Ranson (H); Waldron (H); Stinson (H); Hefner (H); Moore (H); Townley (H); Pae (H); Rosecrants (H); Floyd (S),Schools; prohibiting use of corporal punishment on certain students; effective date; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1028&Session=2400
HB1029,2024-RS,2023-02-06,Talley (H),Stanley (S),Munson (H); Pae (H); Pittman (H); Waldron (H); Hicks (S),Schools; directing the State Department of Education to adopt a form for reporting on student homelessness; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1029&Session=2400
HB1030,2024-RS,2023-02-06,West (Josh) (H),Howard (S),Fugate (H); Pae (H); Sims (H); Alonso-Sandoval (H),Data privacy; Oklahoma Computer Data Privacy Act; consumer protection; civil penalties; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1030&Session=2400
