bill_number,session_year,session_type,chamber,action_date,action,journal_page,order
SB0001,2023,RS,S,2023-02-22,To Finance,2,6
SB0001,2023,RS,S,2023-02-22,"Reported do pass, but first to Finance",1-2,5
SB0001,2023,RS,S,2023-01-11,To Education,33,4
SB0001,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0001,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0001,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0002,2023,RS,S,2023-01-11,To Health and Human Resources,33,4
SB0002,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0002,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0002,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0003,2023,RS,S,2023-01-11,To Health and Human Resources,33,4
SB0003,2023,RS,S,2023-01-11,Introduced in Senate,33,3
SB0003,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0003,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0004,2023,RS,S,2023-05-01,"Chapter 216, Acts, Regular Session, 2023",,37
SB0004,2023,RS,H,2023-02-20,Approved by Governor 2/17/2023 - House Journal,,36
SB0004,2023,RS,S,2023-02-20,Approved by Governor 2/17/2023 - Senate Journal,5,35
SB0004,2023,RS,S,2023-02-17,Approved by Governor 2/17/2023,,34
SB0004,2023,RS,H,2023-02-14,To Governor 2/13/2023 - House Journal,,33
SB0004,2023,RS,S,2023-02-14,To Governor 2/13/2023 - Senate Journal,20,32
SB0004,2023,RS,S,2023-02-13,To Governor 2/13/2023,,31
SB0004,2023,RS,S,2023-02-08,House Message received,1,30
SB0004,2023,RS,H,2023-02-07,Completed legislative action,,29
SB0004,2023,RS,H,2023-02-07,Communicated to Senate,,28
SB0004,2023,RS,H,2023-02-07,Passed House (Roll No. 81),,27
SB0004,2023,RS,H,2023-02-07,Read 3rd time,,26
SB0004,2023,RS,H,2023-02-07,"On 3rd reading, Special Calendar",,25
SB0004,2023,RS,H,2023-02-06,Read 2nd time,,24
SB0004,2023,RS,H,2023-02-06,"On 2nd reading, Special Calendar",,23
SB0004,2023,RS,H,2023-02-03,Read 1st time,,22
SB0004,2023,RS,H,2023-02-03,"On 1st reading, Special Calendar",,21
SB0004,2023,RS,H,2023-02-02,2nd reference dispensed,,20
SB0004,2023,RS,H,2023-02-02,Do pass,,19
SB0004,2023,RS,H,2023-01-26,To House Economic Development and Tourism,,18
SB0004,2023,RS,H,2023-01-26,To Economic Development and Tourism,,17
SB0004,2023,RS,H,2023-01-26,Introduced in House,,16
SB0004,2023,RS,S,2023-01-25,Ordered to House,14,15
SB0004,2023,RS,S,2023-01-25,Passed Senate (Roll No. 66),13-14,14
SB0004,2023,RS,S,2023-01-25,Read 3rd time,13,13
SB0004,2023,RS,S,2023-01-25,On 3rd reading,,12
SB0004,2023,RS,S,2023-01-24,Read 2nd time,11-12,11
SB0004,2023,RS,S,2023-01-24,On 2nd reading,,10
SB0004,2023,RS,S,2023-01-23,Read 1st time,10,9
SB0004,2023,RS,S,2023-01-23,On 1st reading,,8
SB0004,2023,RS,S,2023-01-20,2nd reference dispensed,6,7
SB0004,2023,RS,S,2023-01-20,"Reported do pass, but first to Finance",5-6,6
SB0004,2023,RS,S,2023-01-11,To Outdoor Recreation,34,5
SB0004,2023,RS,S,2023-01-11,Introduced in Senate,33-34,4
SB0004,2023,RS,S,2023-01-11,To Outdoor Recreation then Finance,,3
SB0004,2023,RS,S,2023-01-11,Filed for introduction,,2
SB0005,2023,RS,S,2023-01-11,To Health and Human Resources,34,4
SB0005,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0005,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0005,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0006,2023,RS,S,2023-01-11,To Judiciary,34,4
SB0006,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0006,2023,RS,S,2023-01-11,To Judiciary,,2
SB0006,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0007,2023,RS,S,2023-01-17,To Finance,,6
SB0007,2023,RS,S,2023-01-17,"Committee substitute reported, but first to Finance",1-2,5
SB0007,2023,RS,S,2023-01-11,To Transportation and Infrastructure,34,4
SB0007,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0007,2023,RS,S,2023-01-11,To Transportation and Infrastructure then Finance,,2
SB0007,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0008,2023,RS,S,2023-01-11,To Judiciary,34,4
SB0008,2023,RS,S,2023-01-11,Introduced in Senate,34,3
SB0008,2023,RS,S,2023-01-11,To Judiciary,,2
SB0008,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0009,2023,RS,S,2023-01-11,To Government Organization,35,4
SB0009,2023,RS,S,2023-01-11,Introduced in Senate,34-35,3
SB0009,2023,RS,S,2023-01-11,To Government Organization,,2
SB0009,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0010,2023,RS,S,2023-05-01,"Chapter 174, Acts, Regular Session, 2023",,37
SB0010,2023,RS,H,2023-03-02,Approved by Governor 3/1/2023 - House Journal,,36
SB0010,2023,RS,S,2023-03-01,Approved by Governor 3/1/2023,70,35
SB0010,2023,RS,H,2023-02-27,To Governor 2/24/2023 - House Journal,,34
SB0010,2023,RS,S,2023-02-24,To Governor 2/24/2023,34,33
SB0010,2023,RS,S,2023-02-22,House Message received,1,32
SB0010,2023,RS,H,2023-02-21,Completed legislative action,,31
SB0010,2023,RS,H,2023-02-21,Communicated to Senate,,30
SB0010,2023,RS,H,2023-02-21,Effective from passage (Roll No. 193),,29
SB0010,2023,RS,H,2023-02-21,Passed House (Roll No. 192),,28
SB0010,2023,RS,H,2023-02-21,Read 3rd time,,27
SB0010,2023,RS,H,2023-02-21,"On 3rd reading, Special Calendar",,26
SB0010,2023,RS,H,2023-02-20,Amendment rejected (Voice vote),,25
SB0010,2023,RS,H,2023-02-20,Amendment rejected (Voice vote),,24
SB0010,2023,RS,H,2023-02-20,Read 2nd time,,23
SB0010,2023,RS,H,2023-02-20,"On 2nd reading, Special Calendar",,22
SB0010,2023,RS,H,2023-02-17,Read 1st time,,21
SB0010,2023,RS,H,2023-02-17,"On 1st reading, Special Calendar",,20
SB0010,2023,RS,H,2023-02-16,Do pass,,19
SB0010,2023,RS,H,2023-01-25,To House Judiciary,,18
SB0010,2023,RS,H,2023-01-25,To Judiciary,,17
SB0010,2023,RS,H,2023-01-25,Introduced in House,,16
SB0010,2023,RS,S,2023-01-24,Ordered to House,11,15
SB0010,2023,RS,S,2023-01-24,Effective from passage (Roll No. 63),10-11,14
SB0010,2023,RS,S,2023-01-24,Passed Senate (Roll No. 63),10,13
SB0010,2023,RS,S,2023-01-24,Read 3rd time,10,12
SB0010,2023,RS,S,2023-01-24,On 3rd reading,,11
SB0010,2023,RS,S,2023-01-23,Read 2nd time,10,10
SB0010,2023,RS,S,2023-01-23,On 2nd reading,,9
SB0010,2023,RS,S,2023-01-20,Read 1st time,29,8
SB0010,2023,RS,S,2023-01-20,On 1st reading,,7
SB0010,2023,RS,S,2023-01-19,Committee substitute reported,2,6
SB0010,2023,RS,S,2023-01-11,To Judiciary,35,5
SB0010,2023,RS,S,2023-01-11,Introduced in Senate,35,4
SB0010,2023,RS,S,2023-01-11,To Judiciary,,3
SB0010,2023,RS,S,2023-01-11,Filed for introduction,,2
SB0011,2023,RS,S,2023-01-11,To Judiciary,35,4
SB0011,2023,RS,S,2023-01-11,Introduced in Senate,35,3
SB0011,2023,RS,S,2023-01-11,To Judiciary,,2
SB0011,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0012,2023,RS,S,2023-01-11,To Agriculture and Natural Resources,35,4
SB0012,2023,RS,S,2023-01-11,Introduced in Senate,35,3
SB0012,2023,RS,S,2023-01-11,To Agriculture and Natural Resources then Finance,,2
SB0012,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0013,2023,RS,S,2023-02-03,To Finance,2,6
SB0013,2023,RS,S,2023-02-03,"Reported do pass, but first to Finance",1-2,5
SB0013,2023,RS,S,2023-01-11,"To Energy, Industry, and Mining",35,4
SB0013,2023,RS,S,2023-01-11,Introduced in Senate,35,3
SB0013,2023,RS,S,2023-01-11,"To Energy, Industry, and Mining then Finance",,2
SB0013,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0014,2023,RS,S,2023-01-11,To Transportation and Infrastructure,36,4
SB0014,2023,RS,S,2023-01-11,Introduced in Senate,36,3
SB0014,2023,RS,S,2023-01-11,To Transportation and Infrastructure then Finance,,2
SB0014,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0015,2023,RS,S,2023-01-11,To Finance,36,4
SB0015,2023,RS,S,2023-01-11,Introduced in Senate,36,3
SB0015,2023,RS,S,2023-01-11,To Finance,,2
SB0015,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0016,2023,RS,S,2023-01-11,To Government Organization,36,4
SB0016,2023,RS,S,2023-01-11,Introduced in Senate,36,3
SB0016,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0016,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0017,2023,RS,S,2023-01-11,To Government Organization,36,4
SB0017,2023,RS,S,2023-01-11,Introduced in Senate,36,3
SB0017,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0017,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0018,2023,RS,S,2023-01-11,To Government Organization,36,4
SB0018,2023,RS,S,2023-01-11,Introduced in Senate,36,3
SB0018,2023,RS,S,2023-01-11,To Government Organization,,2
SB0018,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0019,2023,RS,S,2023-01-11,To Judiciary,37,4
SB0019,2023,RS,S,2023-01-11,Introduced in Senate,36-37,3
SB0019,2023,RS,S,2023-01-11,To Judiciary,,2
SB0019,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0020,2023,RS,S,2023-01-11,To Government Organization,37,4
SB0020,2023,RS,S,2023-01-11,Introduced in Senate,37,3
SB0020,2023,RS,S,2023-01-11,To Government Organization,,2
SB0020,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0021,2023,RS,H,2023-02-03,To House Judiciary,,17
SB0021,2023,RS,H,2023-02-03,To Judiciary,,16
SB0021,2023,RS,H,2023-02-03,Introduced in House,,15
SB0021,2023,RS,S,2023-01-26,Ordered to House,11,14
SB0021,2023,RS,S,2023-01-26,Passed Senate (Roll No. 76),11,13
SB0021,2023,RS,S,2023-01-26,Read 3rd time,11,12
SB0021,2023,RS,S,2023-01-26,On 3rd reading,,11
SB0021,2023,RS,S,2023-01-25,Read 2nd time,17,10
SB0021,2023,RS,S,2023-01-25,On 2nd reading,,9
SB0021,2023,RS,S,2023-01-24,Read 1st time,14,8
SB0021,2023,RS,S,2023-01-24,On 1st reading,,7
SB0021,2023,RS,S,2023-01-23,2nd reference dispensed,2,6
SB0021,2023,RS,S,2023-01-23,"Reported do pass, but first to Finance",2,5
SB0021,2023,RS,S,2023-01-11,To Workforce,38,4
SB0021,2023,RS,S,2023-01-11,Introduced in Senate,37,3
SB0021,2023,RS,S,2023-01-11,To Workforce then Finance,,2
SB0021,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0022,2023,RS,S,2023-01-11,To Government Organization,38,4
SB0022,2023,RS,S,2023-01-11,Introduced in Senate,38,3
SB0022,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0022,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0023,2023,RS,S,2023-01-11,To Health and Human Resources,38,4
SB0023,2023,RS,S,2023-01-11,Introduced in Senate,38,3
SB0023,2023,RS,S,2023-01-11,To Health and Human Resources then Finance,,2
SB0023,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0024,2023,RS,S,2023-01-11,To Health and Human Resources,38,4
SB0024,2023,RS,S,2023-01-11,Introduced in Senate,38,3
SB0024,2023,RS,S,2023-01-11,To Health and Human Resources then Finance,,2
SB0024,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0025,2023,RS,S,2023-01-11,To Government Organization,39,4
SB0025,2023,RS,S,2023-01-11,Introduced in Senate,38,3
SB0025,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0025,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0026,2023,RS,S,2023-01-11,To Government Organization,39,4
SB0026,2023,RS,S,2023-01-11,Introduced in Senate,39,3
SB0026,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0026,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0027,2023,RS,S,2023-01-11,To Agriculture and Natural Resources,39,4
SB0027,2023,RS,S,2023-01-11,Introduced in Senate,39,3
SB0027,2023,RS,S,2023-01-11,To Agriculture and Natural Resources then Finance,,2
SB0027,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0028,2023,RS,S,2023-01-11,"To Energy, Industry, and Mining",40,4
SB0028,2023,RS,S,2023-01-11,Introduced in Senate,39-40,3
SB0028,2023,RS,S,2023-01-11,"To Energy, Industry, and Mining then Finance",,2
SB0028,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0029,2023,RS,S,2023-01-11,To Government Organization,40,4
SB0029,2023,RS,S,2023-01-11,Introduced in Senate,40,3
SB0029,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0029,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0030,2023,RS,S,2023-01-11,To Health and Human Resources,40,4
SB0030,2023,RS,S,2023-01-11,Introduced in Senate,40,3
SB0030,2023,RS,S,2023-01-11,To Health and Human Resources then Finance,,2
SB0030,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0031,2023,RS,H,2023-02-15,To House Finance,,16
SB0031,2023,RS,H,2023-02-15,To Finance,,15
SB0031,2023,RS,H,2023-02-15,Introduced in House,,14
SB0031,2023,RS,S,2023-02-14,Ordered to House,9,13
SB0031,2023,RS,S,2023-02-14,Passed Senate (Roll No. 177),9,12
SB0031,2023,RS,S,2023-02-14,Read 3rd time,9,11
SB0031,2023,RS,S,2023-02-14,On 3rd reading,,10
SB0031,2023,RS,S,2023-02-13,Read 2nd time,9,9
SB0031,2023,RS,S,2023-02-13,On 2nd reading,,8
SB0031,2023,RS,S,2023-02-10,Read 1st time,18,7
SB0031,2023,RS,S,2023-02-10,On 1st reading,,6
SB0031,2023,RS,S,2023-02-09,Committee substitute reported,2-3,5
SB0031,2023,RS,S,2023-01-11,To Finance,41,4
SB0031,2023,RS,S,2023-01-11,Introduced in Senate,40,3
SB0031,2023,RS,S,2023-01-11,To Finance,,2
SB0031,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0032,2023,RS,S,2023-01-11,To Health and Human Resources,41,4
SB0032,2023,RS,S,2023-01-11,Introduced in Senate,41,3
SB0032,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0032,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0033,2023,RS,S,2023-01-11,To Education,41,4
SB0033,2023,RS,S,2023-01-11,Introduced in Senate,41,3
SB0033,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0033,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0034,2023,RS,S,2023-01-11,To Transportation and Infrastructure,41,4
SB0034,2023,RS,S,2023-01-11,Introduced in Senate,41,3
SB0034,2023,RS,S,2023-01-11,To Transportation and Infrastructure,,2
SB0034,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0035,2023,RS,S,2023-01-11,To Judiciary,41,4
SB0035,2023,RS,S,2023-01-11,Introduced in Senate,41,3
SB0035,2023,RS,S,2023-01-11,To Judiciary,,2
SB0035,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0036,2023,RS,S,2023-01-11,To Finance,41,4
SB0036,2023,RS,S,2023-01-11,Introduced in Senate,41,3
SB0036,2023,RS,S,2023-01-11,To Finance,,2
SB0036,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0037,2023,RS,S,2023-01-11,To Finance,42,4
SB0037,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0037,2023,RS,S,2023-01-11,To Finance,,2
SB0037,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0038,2023,RS,S,2023-01-11,To Judiciary,42,4
SB0038,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0038,2023,RS,S,2023-01-11,To Judiciary,,2
SB0038,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0039,2023,RS,S,2023-02-17,To Finance,6,6
SB0039,2023,RS,S,2023-02-17,"Committee substitute reported, but first to Finance",6,5
SB0039,2023,RS,S,2023-01-11,To Government Organization,42,4
SB0039,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0039,2023,RS,S,2023-01-11,To Government Organization then Finance,,2
SB0039,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0040,2023,RS,S,2023-01-11,To Agriculture and Natural Resources,42,4
SB0040,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0040,2023,RS,S,2023-01-11,To Agriculture and Natural Resources then Finance,,2
SB0040,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0041,2023,RS,S,2023-01-13,To Finance,,6
SB0041,2023,RS,S,2023-01-13,Reported do pass,3-4,5
SB0041,2023,RS,S,2023-01-11,To Education,42,4
SB0041,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0041,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0041,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0042,2023,RS,S,2023-01-11,To Judiciary,43,4
SB0042,2023,RS,S,2023-01-11,Introduced in Senate,42,3
SB0042,2023,RS,S,2023-01-11,To Judiciary then Finance,,2
SB0042,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0043,2023,RS,S,2023-01-11,To Finance,43,4
SB0043,2023,RS,S,2023-01-11,Introduced in Senate,43,3
SB0043,2023,RS,S,2023-01-11,To Finance,,2
SB0043,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0044,2023,RS,S,2023-01-11,To Government Organization,43,4
SB0044,2023,RS,S,2023-01-11,Introduced in Senate,43,3
SB0044,2023,RS,S,2023-01-11,To Government Organization,,2
SB0044,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0045,2023,RS,S,2023-01-11,To Health and Human Resources,43,4
SB0045,2023,RS,S,2023-01-11,Introduced in Senate,43,3
SB0045,2023,RS,S,2023-01-11,To Health and Human Resources then Finance,,2
SB0045,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0046,2023,RS,S,2023-01-11,To Pensions,43,4
SB0046,2023,RS,S,2023-01-11,Introduced in Senate,43,3
SB0046,2023,RS,S,2023-01-11,To Pensions,,2
SB0046,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0047,2023,RS,S,2023-05-01,"Chapter 124, Acts, Regular Session, 2023",,39
SB0047,2023,RS,H,2023-03-11,Approved by Governor 3/29/2023 - House Journal,,38
SB0047,2023,RS,S,2023-03-11,Approved by Governor 3/29/23 - Senate Journal,331,37
SB0047,2023,RS,S,2023-03-29,Approved by Governor 3/29/23,,36
SB0047,2023,RS,S,2023-03-11,To Governor 3/16/2023 - Senate Journal,265,35
SB0047,2023,RS,S,2023-03-16,To Governor 3/16/2023,,34
SB0047,2023,RS,H,2023-03-11,To Governor 3/16/2023 - House Journal,,33
SB0047,2023,RS,S,2023-03-11,House Message received,2,32
SB0047,2023,RS,H,2023-03-10,Completed legislative action,,31
SB0047,2023,RS,H,2023-03-10,Communicated to Senate,,30
SB0047,2023,RS,H,2023-03-10,Passed House (Roll No. 636),,29
SB0047,2023,RS,H,2023-03-10,Read 3rd time,,28
SB0047,2023,RS,H,2023-03-10,"On 3rd reading, Special Calendar",,27
SB0047,2023,RS,H,2023-03-09,Read 2nd time,,26
SB0047,2023,RS,H,2023-03-09,"On 2nd reading, Special Calendar",,25
SB0047,2023,RS,H,2023-03-08,Read 1st time,,24
SB0047,2023,RS,H,2023-03-08,Immediate consideration,,23
SB0047,2023,RS,H,2023-03-08,Do pass,,22
SB0047,2023,RS,H,2023-03-06,To House Finance,,21
SB0047,2023,RS,H,2023-03-06,"Do pass, but first to Finance",,20
SB0047,2023,RS,H,2023-02-14,To House Education,,19
SB0047,2023,RS,H,2023-02-14,To Education then Finance,,18
SB0047,2023,RS,H,2023-02-14,Introduced in House,,17
SB0047,2023,RS,S,2023-02-13,Ordered to House,5,16
SB0047,2023,RS,S,2023-02-13,Passed Senate (Roll No. 169),5,15
SB0047,2023,RS,S,2023-02-13,Read 3rd time,5,14
SB0047,2023,RS,S,2023-02-13,On 3rd reading,,13
SB0047,2023,RS,S,2023-02-10,Read 2nd time,16,12
SB0047,2023,RS,S,2023-02-10,On 2nd reading,,11
SB0047,2023,RS,S,2023-02-09,Read 1st time,18,10
SB0047,2023,RS,S,2023-02-09,On 1st reading,,9
SB0047,2023,RS,S,2023-02-08,Committee substitute for committee substitute reported,2-3,8
SB0047,2023,RS,S,2023-01-26,To Finance,2,7
SB0047,2023,RS,S,2023-01-26,"Committee substitute reported, but first to Finance",2,6
SB0047,2023,RS,S,2023-01-11,To School Choice,44,5
SB0047,2023,RS,S,2023-01-11,Introduced in Senate,43,4
SB0047,2023,RS,S,2023-01-11,To School Choice then Finance,,3
SB0047,2023,RS,S,2023-01-11,Filed for introduction,,2
SB0048,2023,RS,S,2023-01-11,To Education,44,4
SB0048,2023,RS,S,2023-01-11,Introduced in Senate,44,3
SB0048,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0048,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0049,2023,RS,S,2023-01-11,To Judiciary,44,4
SB0049,2023,RS,S,2023-01-11,Introduced in Senate,44,3
SB0049,2023,RS,S,2023-01-11,To Judiciary,,2
SB0049,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0050,2023,RS,H,2023-02-08,To House Judiciary,,16
SB0050,2023,RS,H,2023-02-08,To Judiciary,,15
SB0050,2023,RS,H,2023-02-08,Introduced in House,,14
SB0050,2023,RS,S,2023-02-07,Ordered to House,14,13
SB0050,2023,RS,S,2023-02-07,Passed Senate (Roll No. 135),14,12
SB0050,2023,RS,S,2023-02-07,Read 3rd time,14,11
SB0050,2023,RS,S,2023-02-07,On 3rd reading,,10
SB0050,2023,RS,S,2023-02-06,Read 2nd time,9,9
SB0050,2023,RS,S,2023-02-06,On 2nd reading,,8
SB0050,2023,RS,S,2023-02-03,Read 1st time,15,7
SB0050,2023,RS,S,2023-02-03,On 1st reading,,6
SB0050,2023,RS,S,2023-02-02,Committee substitute reported,6-7,5
SB0050,2023,RS,S,2023-01-11,To Judiciary,44,4
SB0050,2023,RS,S,2023-01-11,Introduced in Senate,44,3
SB0050,2023,RS,S,2023-01-11,To Judiciary,,2
SB0050,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0051,2023,RS,S,2023-05-01,"Chapter 125, Acts, Regular Session, 2023",,42
SB0051,2023,RS,H,2023-03-11,Approved by Governor 3/23/2023 - House Journal,,41
SB0051,2023,RS,S,2023-03-11,Approved by Governor 3/23/2023 - Senate Journal,311,40
SB0051,2023,RS,S,2023-03-23,Approved by Governor 3/23/2023,,39
SB0051,2023,RS,H,2023-03-11,To Governor 3/10/2023 - House Journal,,38
SB0051,2023,RS,S,2023-03-10,To Governor 3/10/2023,138,37
SB0051,2023,RS,S,2023-03-08,House Message received,1,36
SB0051,2023,RS,H,2023-03-07,Completed legislative action,,35
SB0051,2023,RS,H,2023-03-07,Communicated to Senate,,34
SB0051,2023,RS,H,2023-03-07,Passed House (Roll No. 536),,33
SB0051,2023,RS,H,2023-03-07,Read 3rd time,,32
SB0051,2023,RS,H,2023-03-07,"On 3rd reading, Special Calendar",,31
SB0051,2023,RS,H,2023-03-06,"Postponed on 3rd reading, Special Calendar, until 3/7",,30
SB0051,2023,RS,H,2023-03-06,"On 3rd reading, Special Calendar",,29
SB0051,2023,RS,H,2023-03-04,"Postponed on 3rd reading, Special Calendar, until 3/6",,28
SB0051,2023,RS,H,2023-03-04,"On 3rd reading, Special Calendar",,27
SB0051,2023,RS,H,2023-03-03,Amendment rejected (Roll No. 462),,26
SB0051,2023,RS,H,2023-03-03,Read 2nd time,,25
SB0051,2023,RS,H,2023-03-03,"On 2nd reading, Special Calendar",,24
SB0051,2023,RS,H,2023-03-02,Read 1st time,,23
SB0051,2023,RS,H,2023-03-02,"From Housel Calendar, 1st reading, placed on Special Calendar",,22
SB0051,2023,RS,H,2023-03-02,"On 1st reading, House Calendar",,21
SB0051,2023,RS,H,2023-02-24,Placed on House Calendar,,20
SB0051,2023,RS,H,2023-02-24,"On 1st reading, Special Calendar",,19
SB0051,2023,RS,H,2023-02-23,Do pass,,18
SB0051,2023,RS,H,2023-01-31,To House Education,,17
SB0051,2023,RS,H,2023-01-31,To Education,,16
SB0051,2023,RS,H,2023-01-31,Introduced in House,,15
SB0051,2023,RS,S,2023-01-30,Ordered to House,7,14
SB0051,2023,RS,S,2023-01-30,Passed Senate (Roll No. 88),7,13
SB0051,2023,RS,S,2023-01-30,Read 3rd time,7,12
SB0051,2023,RS,S,2023-01-30,On 3rd reading,,11
SB0051,2023,RS,S,2023-01-27,Read 2nd time,13,10
SB0051,2023,RS,S,2023-01-27,On 2nd reading,,9
SB0051,2023,RS,S,2023-01-26,Read 1st time,17,8
SB0051,2023,RS,S,2023-01-26,On 1st reading,,7
SB0051,2023,RS,S,2023-01-25,Committee substitute reported,6,6
SB0051,2023,RS,S,2023-01-11,To Education,44,5
SB0051,2023,RS,S,2023-01-11,Introduced in Senate,44,4
SB0051,2023,RS,S,2023-01-11,To Education,,3
SB0051,2023,RS,S,2023-01-11,Filed for introduction,,2
SB0052,2023,RS,S,2023-01-11,To Health and Human Resources,44,4
SB0052,2023,RS,S,2023-01-11,Introduced in Senate,44,3
SB0052,2023,RS,S,2023-01-11,To Health and Human Resources,,2
SB0052,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0053,2023,RS,S,2023-01-17,To Finance,2,6
SB0053,2023,RS,S,2023-01-17,"Committee substitute reported, but first to Finance",2,5
SB0053,2023,RS,S,2023-01-11,To Judiciary,45,4
SB0053,2023,RS,S,2023-01-11,Introduced in Senate,44-45,3
SB0053,2023,RS,S,2023-01-11,To Judiciary then Finance,,2
SB0053,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0054,2023,RS,S,2023-01-11,To Pensions,45,4
SB0054,2023,RS,S,2023-01-11,Introduced in Senate,45,3
SB0054,2023,RS,S,2023-01-11,To Pensions then Finance,,2
SB0054,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0055,2023,RS,S,2023-01-11,To Judiciary,45,4
SB0055,2023,RS,S,2023-01-11,Introduced in Senate,45,3
SB0055,2023,RS,S,2023-01-11,To Judiciary,,2
SB0055,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0056,2023,RS,S,2023-01-13,To Finance,,6
SB0056,2023,RS,S,2023-01-13,Reported do pass,3-4,5
SB0056,2023,RS,S,2023-01-11,To Education,45,4
SB0056,2023,RS,S,2023-01-11,Introduced in Senate,45,3
SB0056,2023,RS,S,2023-01-11,To Education then Finance,,2
SB0056,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0057,2023,RS,S,2023-01-11,To Government Organization,45,4
SB0057,2023,RS,S,2023-01-11,Introduced in Senate,45,3
SB0057,2023,RS,S,2023-01-11,To Government Organization then Judiciary,,2
SB0057,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0058,2023,RS,S,2023-01-11,To Judiciary,46,4
SB0058,2023,RS,S,2023-01-11,Introduced in Senate,46,3
SB0058,2023,RS,S,2023-01-11,To Judiciary then Finance,,2
SB0058,2023,RS,S,2023-01-11,Filed for introduction,,1
SB0059,2023,RS,H,2023-02-14,To House Workforce Development,,17
SB0059,2023,RS,H,2023-02-14,To Workforce Development then Finance,,16
