bill_number,session_year,session_type,primary_sponsor,cosponsors,summary,subjects,companion,bill_url
SB0001,2023,RS,Takubo,Queen; Maroney; Nelson; Plymale; Hamilton,Requiring Higher Education Policy Commission to create and administer PROMISE Plus Program,Education (Higher),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=1&year=2023&sessiontype=RS&btype=bill
SB0002,2023,RS,Maynard,Rucker,Allowing private schools option of making vaccinations required for enrollment,Education (K12); Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2&year=2023&sessiontype=RS&btype=bill
SB0003,2023,RS,Maynard,Karnes,Requiring parental notification of school-based dispensaries of contraceptives to minors,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3&year=2023&sessiontype=RS&btype=bill
SB0004,2023,RS,Maynard,Smith; Maroney; Woodrum; Plymale; Jeffries; Hunt; Caputo,Creating Adopt-A-Trail volunteer programs for public land under DNR jurisdiction,Economic Development; Natural Resources,HB3102,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=4&year=2023&sessiontype=RS&btype=bill
SB0005,2023,RS,Maynard,Karnes; Azinger; Taylor,Requiring parental notification of minors being prescribed contraceptives,Health; Juveniles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5&year=2023&sessiontype=RS&btype=bill
SB0006,2023,RS,Grady,Roberts; Phillips,Providing protection for property owner when someone visiting private cemetery causes damage to property,"Actions, Suits and Liens; Real and Personal Property",,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=6&year=2023&sessiontype=RS&btype=bill
SB0007,2023,RS,Clements,Smith; Stuart; Plymale; Jeffries,Returning refundable exemption for road construction contractors to State Road Fund,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=7&year=2023&sessiontype=RS&btype=bill
SB0008,2023,RS,Woelfel,Phillips,Clarifying that tenancy includes persons who reside in sober living home,Real and Personal Property,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=8&year=2023&sessiontype=RS&btype=bill
SB0009,2023,RS,Maynard,Karnes; Rucker; Woodrum; Azinger; Maroney; Taylor,WV Monument and Memorial Protection Act of 2023,Finance and Administration,HB2790,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=9&year=2023&sessiontype=RS&btype=bill
SB0010,2023,RS,Phillips,Karnes; Martin; Maynard; Tarr; Grady; Taylor; Roberts; Smith; Rucker; Hamilton; Barrett; Woodrum; Hunt; Azinger; Stuart; Deeds,Campus Self-Defense Act,Education (Higher),SB434,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=10&year=2023&sessiontype=RS&btype=bill
