bill_number,session_year,session_type,primary_sponsor,cosponsors,summary,subjects,companion,bill_url
HB5652,2024,RS,Howell,"Clark, W.; Rohrbach; Dittman; DeVault; Riley; Martin; Criss; Maynor; Householder; Mallow",Providing a statutory program for loaning financial assistance to local airports for airplane hangar construction in this State,Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5652&year=2024&sessiontype=RS&btype=bill
HB5653,2024,RS,Rowe,,To repeal the provision allowing for students to transfer from one school to another without losing eligibility,Education (K12),HB4774,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5653&year=2024&sessiontype=RS&btype=bill
HB5654,2024,RS,Rowe,,To require inmates in West Virginia jails and prisons to receive GED training.,Crime; Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5654&year=2024&sessiontype=RS&btype=bill
HB5655,2024,RS,Rowe,,Require inmates to get GED before release from prison,Corrections,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5655&year=2024&sessiontype=RS&btype=bill
HB5656,2024,RS,McGeehan,,Relating to protecting and advancing the substantial public policies of this state,Finance and Administration,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5656&year=2024&sessiontype=RS&btype=bill
HB5657,2024,RS,Rowe,,"To permit bridges and highways to be named for distinct residential communities that are traditionally identified by a single name as a separate community or town without being incorporated and remain a part of the county services., naming these communities as villages",Counties; Roads and Transportation,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5657&year=2024&sessiontype=RS&btype=bill
HB5658,2024,RS,Rowe,Griffith; Hamilton; Lewis,To require all projects funded by the school building authority to have an assessment of school safety when a new project is created.,Education (K12); Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5658&year=2024&sessiontype=RS&btype=bill
HB5659,2024,RS,Steele,,Relating to pretrial release,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5659&year=2024&sessiontype=RS&btype=bill
HB5660,2024,RS,Hardy,Hornby; Hite; Statler,Modifying the authority of the county fire board to request a fee change,Boards and Commissions; Counties; County Officials,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5660&year=2024&sessiontype=RS&btype=bill
HB5661,2024,RS,Young,Hamilton,"To mandate county boards of education to provide feminine hygiene products in all public elementary, middle, and high schools for female students",Education (K12); Health,HB5301,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5661&year=2024&sessiontype=RS&btype=bill
HB5662,2024,RS,Kelly,Hott; Steele,Relating to adding “person in a position of trust” to certain crimes,Crime,SB780,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5662&year=2024&sessiontype=RS&btype=bill
HB5663,2024,RS,Kelly,Hott,Relating to parole eligibility for the crime of murder in the second degree,Crime,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5663&year=2024&sessiontype=RS&btype=bill
HB5664,2024,RS,Marple,Dean; Dittman; Petitto; Hornby; Phillips; Foggin; DeVault; Adkins; Mallow; Heckert,To automatically start a Smart 529 account for every newborn in West Virginia.,Finance and Administration; Juveniles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5664&year=2024&sessiontype=RS&btype=bill
HB5665,2024,RS,McGeehan,,Relating to regulating billboards displaying messages about the availability of abortions in states bordering West Virginia,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5665&year=2024&sessiontype=RS&btype=bill
HB5666,2024,RS,Kimble,,The Forming Open and Robust University Minds (FORUM) Act,Education (Higher),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5666&year=2024&sessiontype=RS&btype=bill
HB5667,2024,RS,Cannon,Chiarelli; Smith; Willis; Maynor,"Protecting sports fans who participate in real-money fantasy sports, skill-based contests to ensure that operators of these contests meet appropriate compliance and financial standards in order to be suitable for licensure and operation within the state.",Consumer Protection; Finance and Administration,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5667&year=2024&sessiontype=RS&btype=bill
HB5668,2024,RS,Hanshaw (Mr. Speaker),Fluharty,Creating the Responsible Gaming and Research Act,Legal Gaming,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5668&year=2024&sessiontype=RS&btype=bill
HB5669,2024,RS,Linville,,Relating generally to the Business and Public Area Libability Protection Act,Public Safety,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5669&year=2024&sessiontype=RS&btype=bill
HB5670,2024,RS,"Pritt, C.",,"Relating to, except emergency medical treatment, requiring a parent who has been allocated custodial responsibility to provide the other parent with notice prior to medical expenses being incurred",Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5670&year=2024&sessiontype=RS&btype=bill
HB5671,2024,RS,Hornbuckle,,Medical Redshirt Bill for High School Students,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5671&year=2024&sessiontype=RS&btype=bill
HB5672,2024,RS,Howell,,Establish a safety standoff area for damage electric vehicles placed at repair holding lots and/or salvage yards,Motor Vehicles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5672&year=2024&sessiontype=RS&btype=bill
HB5673,2024,RS,Mallow,,Consolidate county school boards,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5673&year=2024&sessiontype=RS&btype=bill
HB5674,2024,RS,Dean,Ward; Bridges; Vance; Kelly; Kirby; Pinson,Matching the Deputy Sheriff’s retirement to corrections at 20 years of service.,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5674&year=2024&sessiontype=RS&btype=bill
HB5675,2024,RS,Dean,Ward; Bridges; Vance; Smith; Kelly; Kirby; Pinson,To increase the Deputy Sheriff retirement multiplier from 2.75 to 3.0.,Retirement,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5675&year=2024&sessiontype=RS&btype=bill
HB5676,2024,RS,Winzenreid,,Relating to changing the maximum amount a County Clerk can charge to settle an estate and removing reference to Fiduciary Commissioner,Estates and Trusts,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5676&year=2024&sessiontype=RS&btype=bill
HB5677,2024,RS,Phillips,,Relating to the appellate court for appeals of level 3 decisions issued by the Public Employees Grievance Board.,Boards and Commissions,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5677&year=2024&sessiontype=RS&btype=bill
HB5678,2024,RS,"Pritt, C.",,Raising the compensation rates of panel attorneys,Boards and Commissions,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5678&year=2024&sessiontype=RS&btype=bill
HB5679,2024,RS,Sheedy,Stephens; DeVault,Relating generally to DOH employees.,Roads and Transportation; State Personnel,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5679&year=2024&sessiontype=RS&btype=bill
HB5680,2024,RS,Mallow,,Relating to stricter enformecement for parking in a handicapped designated spot,Motor Vehicles,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5680&year=2024&sessiontype=RS&btype=bill
HB5681,2024,RS,Sheedy,,Prohibit insurance rates in WV from being based upon Credit scores.,Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5681&year=2024&sessiontype=RS&btype=bill
HB5682,2024,RS,Young,,Creating the Prescription Drug Affordability Board,Health; Insurance,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5682&year=2024&sessiontype=RS&btype=bill
HB5683,2024,RS,Rohrbach,,Relating to a Medicaid state plan amendment,Health,SB776,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5683&year=2024&sessiontype=RS&btype=bill
HB5684,2024,RS,Rohrbach,,Mandating all Medicaid services in West Virginia be delivered in West Virginia,Health,SB788,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5684&year=2024&sessiontype=RS&btype=bill
HB5685,2024,RS,Rohrbach,,Relating to Medicaid Cost Containment,Health,SB789,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5685&year=2024&sessiontype=RS&btype=bill
HB5686,2024,RS,Rohrbach,,Modifications to the Medical Services Fund Advisory Council,Health,SB791,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5686&year=2024&sessiontype=RS&btype=bill
HB5687,2024,RS,Warner,,To repurpose retired military service dogs for use in West Virginia public schools.,Education (K12),,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5687&year=2024&sessiontype=RS&btype=bill
HB5688,2024,RS,Westfall,"Hall, W.; Ferrell; Shamblin; Foster; Cannon",Relating to accreditied academic hospitals,Health,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5688&year=2024&sessiontype=RS&btype=bill
HB5689,2024,RS,Hornbuckle,Crouse,Relating to providing for the establishment of county daycares.,,,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=5689&year=2024&sessiontype=RS&btype=bill
