bill_number,session_year,session_type,chamber,action_date,action,journal_page,order
SB0001,2024,RS,S,2024-01-10,To Judiciary,2,4
SB0001,2024,RS,S,2024-01-10,Introduced in Senate,2,3
SB0001,2024,RS,S,2024-01-10,To Judiciary,,2
SB0001,2024,RS,S,2024-01-10,Filed for introduction,,1
SB0002,2024,RS,S,2024-04-23,"Chapter 172, Acts, Regular Session, 2024",,45
SB0002,2024,RS,H,2024-03-09,Approved by Governor 3/26/24 - House Journal,,44
SB0002,2024,RS,S,2024-03-09,Approved by Governor 3/26/2024 - Senate Journal,618,43
SB0002,2024,RS,S,2024-03-26,Approved by Governor 3/26/2024,,42
SB0002,2024,RS,H,2024-03-09,To Governor 3/14/2024 - House Journal,,41
SB0002,2024,RS,S,2024-03-09,To Governor 3/14/2024 - Senate Journal,594,40
SB0002,2024,RS,S,2024-03-14,To Governor 3/14/2024,,39
SB0002,2024,RS,H,2024-03-08,House received Senate message,,38
SB0002,2024,RS,S,2024-03-08,Completed legislative action,,37
SB0002,2024,RS,S,2024-03-08,Communicated to House,60,36
SB0002,2024,RS,S,2024-03-08,Effective from passage (Roll No. 457),60,35
SB0002,2024,RS,S,2024-03-08,Senate concurred in House amendments and passed bill (Roll No. 457),59-60,34
SB0002,2024,RS,S,2024-03-08,House Message received,59,33
SB0002,2024,RS,H,2024-03-07,Communicated to Senate,,32
SB0002,2024,RS,H,2024-03-07,Effective from passage (Roll No. 529),,31
SB0002,2024,RS,H,2024-03-07,Title amendment adopted (Voice vote),,30
SB0002,2024,RS,H,2024-03-07,Passed House (Roll No. 528),,29
SB0002,2024,RS,H,2024-03-07,Read 3rd time,,28
SB0002,2024,RS,H,2024-03-07,"On 3rd reading, Special Calendar",,27
SB0002,2024,RS,H,2024-03-06,Amendment adopted (Voice vote),,26
SB0002,2024,RS,H,2024-03-06,Amendment reported by the Clerk,,25
SB0002,2024,RS,H,2024-03-06,Read 2nd time,,24
SB0002,2024,RS,H,2024-03-06,"On 2nd reading, Special Calendar",,23
SB0002,2024,RS,H,2024-03-05,Read 1st time,,22
SB0002,2024,RS,H,2024-03-05,"On 1st reading, Special Calendar",,21
SB0002,2024,RS,H,2024-03-04,Do pass,,20
SB0002,2024,RS,H,2024-01-17,To House Judiciary,,19
SB0002,2024,RS,H,2024-01-17,To Judiciary,,18
SB0002,2024,RS,H,2024-01-17,Introduced in House,,17
SB0002,2024,RS,H,2024-01-17,House received Senate message,,16
SB0002,2024,RS,S,2024-01-16,Ordered to House,7,15
SB0002,2024,RS,S,2024-01-16,Effective from passage (Roll No. 37),7,14
SB0002,2024,RS,S,2024-01-16,Passed Senate (Roll No. 37),7,13
SB0002,2024,RS,S,2024-01-16,Read 3rd time,6,12
SB0002,2024,RS,S,2024-01-16,On 3rd reading with right to amend,,11
SB0002,2024,RS,S,2024-01-15,Read 2nd time,8,10
SB0002,2024,RS,S,2024-01-15,On 2nd reading,,9
SB0002,2024,RS,S,2024-01-12,Read 1st time,46,8
SB0002,2024,RS,S,2024-01-12,On 1st reading,,7
