bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
HB0001,2023-RS,Appropriations,,enrolled,CH0094,General government appropriations.,"AN ACT relating to supplemental appropriations for the operation of state government for the fiscal biennium commencing July 1, 2022 and ending June 30, 2024; providing definitions; providing for additional appropriations and transfers of funds for the period of the budget; increasing or decreasing specified amounts; adjusting the number of positions; modifying prior appropriations; providing for duties, terms and conditions and other requirements relating to appropriations for the period of the budget as specified; providing for position and other budgetary limitations; amending existing law by redirecting revenues and making transfers for the period of the budget; providing for carryover of funds beyond the fiscal biennium; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0001
HB0002,2023-RS,Representative Heiner,Representative Larsen; Representative Ottman; Senator Baldwin; Senator Dockstader,enrolled,CH0138,Town officers-salary waiver.,AN ACT relating to cities and towns; providing that elected and appointed officers may elect not to receive a salary or compensation while serving as elected or appointed officers; providing legislative intent; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0002
HB0003,2023-RS,Corporations,,inactive,,State assessment of independent power producers.,AN ACT relating to ad valorem taxation; clarifying that the state is responsible for the valuation and assessment of independent power producer property; requiring the release of information to the county assessor; providing for confidentiality of the valuation and assessment of independent power producer property; requiring an agreement for disclosure; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0003
HB0004,2023-RS,Labor,,enrolled,CH0152,Medicaid twelve month postpartum coverage.,AN ACT relating to medical assistance and services; temporarily extending Medicaid medical assistance to qualifying pregnant women for twelve (12) months postpartum; making a conforming amendment; providing an appropriation; requiring rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0004
HB0005,2023-RS,Corporations,,enrolled,CH0067,Voter registry list-voter ID and absentee ballots.,"AN ACT relating to elections; amending the definition of registry list to include voter identification numbers, absentee ballot status and registration dates; making conforming amendments; and providing for an effective date.",https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0005
HB0006,2023-RS,Corporations,,inactive,,Specified election records not subject to disclosure.,AN ACT relating to elections; clarifying that specified election records are not subject to disclosure under the Wyoming Public Records Act; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0006
HB0007,2023-RS,"Representative Zwonitzer, Dn",Representative Oakley; Senator Case; Senator Furphy,enrolled,CH0073,Underage marriage-amendments.,AN ACT relating to domestic relations; amending the minimum marriageable age; specifying that marriages involving persons under age sixteen (16) are void; making conforming amendments; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0007
HB0008,2023-RS,Labor,,inactive,,Upper payment limit authorization.,AN ACT relating to medical assistance and services; authorizing the department of health to pursue an upper payment limit supplemental payment program for the benefit of psychiatric residential treatment facilities; authorizing appropriations; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0008
HB0009,2023-RS,Judiciary,,enrolled,CH0150,Juvenile courts-concurrent jurisdiction clarification.,AN ACT relating to juveniles; clarifying that the juvenile court has concurrent jurisdiction over Juvenile Justice Act proceedings involving persons under the age of 21 who are alleged to have committed offenses or delinquent acts as minors; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0009
HB0010,2023-RS,Judiciary,,enrolled,CH0013,County officers-bond amounts and surety requirement.,AN ACT relating to county officers; increasing the amount of the bond that county officers are required to give as specified; eliminating a requirement for multiple sureties for county officers; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2023/HB0010
