bill_number,session,primary_sponsor,cosponsors,status,chapter_num,shortTitle,title,bill_url
SF0052,2024-RS,BlockChain/Technology,,enrolled,CH0092,Wyoming Stable Token Act-amendments.,AN ACT relating to trade and commerce; amending the Wyoming Stable Token Act to allow for investments in cash and government securities as specified; authorizing the Wyoming stable token commission to issue different types and amounts of stable tokens and to contract with financial service providers; requiring reporting only for fully reserved stable tokens as specified; providing for a competitive bidding and procurement process; making conforming amendments to criminal history records statutes; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0052
SF0053,2024-RS,Senator Landen,Representative Chestek; Representative Crago; Representative Oakley; Representative Washut; Senator Barlow; Senator Furphy,enrolled,CH0079,Sixth judicial district-number of judges.,AN ACT relating to the judiciary; providing for an additional district judge for the sixth judicial district; specifying requirements for suitable facilities; providing an appropriation; authorizing positions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0053
SF0054,2024-RS,Revenue,,enrolled,,Homeowner tax exemption.,AN ACT relating to taxation; establishing a homeowner property tax exemption; providing a sunset date; providing an appropriation; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0054
SF0055,2024-RS,Revenue,,inactive,,Board of equalization-questions before the board.,AN ACT relating to the state board of equalization; specifying the power of the board to decide questions; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0055
SF0056,2024-RS,Revenue,,inactive,,Special districts-limit on tax levy.,AN ACT relating to taxation; authorizing the restriction of tax levies for special districts based upon accumulated reserves; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0056
SF0057,2024-RS,Senator Furphy,Representative Chestek; Representative Conrad; Representative Provenza; Representative Sherwood; Senator Baldwin; Senator Cooper; Senator Gierau; Senator Nethercott,enrolled,CH0094,Wyoming adult hearing aid program.,AN ACT relating to public health and safety; creating a hearing aid program for hearing impaired adults as specified; requiring rulemaking; providing appropriations; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0057
SF0058,2024-RS,Appropriations,,enrolled,CH0045,Investment of state unemployment insurance trust fund.,AN ACT relating to unemployment compensation funds; providing for the investment of the state unemployment insurance trust fund as specified; amending procedures related to the payment of benefits; amending the distribution of investment earnings; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0058
SF0059,2024-RS,Appropriations,,enrolled,CH0044,Federal unemployment compensation trust fund-adjustment.,AN ACT relating to unemployment compensation; amending the distribution of contributions collected for noncharged and ineffectively charged unemployment benefits; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0059
SF0060,2024-RS,Nat Res Fund,,enrolled,CH0051,2024 large project funding.,AN ACT relating to the Wyoming Wildlife and Natural Resource Funding Act; providing for funding of large projects under the act; specifying large projects approved for funding in 2024; specifying conditions for large project funding; authorizing distributions from the Wyoming wildlife and natural resource trust income account for approved large projects; providing for the reversion of funds; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0060
SF0061,2024-RS,Senator Driskill,Representative Andrew; Representative Lawley; Representative Olsen; Representative Wylie; Senator Cooper; Senator Ellis; Senator Ide; Senator Kolb,inactive,,Education-charter school amendments.,AN ACT relating to charter schools; authorizing charter schools as local education agencies to receive and apply for federal and state grants; modifying payment by school districts to charter schools as specified; repealing designation of charter school authorizers as the local education agency for charter schools; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0061
SF0062,2024-RS,Mgt Audit,,inactive,,State Parks-recreation management authority.,AN ACT relating to state lands; authorizing the department of state parks and cultural resources to lease state lands for recreational purposes as specified; authorizing the department to sell permits that allow for the recreational use of leased state lands; providing for the disposition of funds generated from permit sales allowing for the recreational use of leased state lands; authorizing the department to lease or rent concessions on leased state lands; making conforming amendments; authorizing rulemaking; and providing for effective dates.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0062
SF0063,2024-RS,Senator Nethercott,"Representative Allred; Representative Banks; Representative Berger; Representative Byron; Representative Conrad; Representative Crago; Representative Harshman; Representative Henderson; Representative Larsen, L; Representative Larson, JT; Representative Lawley; Representative Newsome; Representative Niemiec; Representative Oakley; Representative Sommers; Representative Stith; Representative Walters; Representative Western; Representative Wylie; Representative Zwonitzer, Dn; Senator Anderson; Senator Barlow; Senator Cooper; Senator Driskill; Senator Schuler",inactive,,Property tax exemption-residential structures-2.,AN ACT relating to taxation; establishing a property tax exemption for single family residential structures based on the prior year assessed value; requiring information related to the tax exemption to be included on the tax assessment schedule; providing rulemaking authority; specifying applicability; and providing for an effective date.,https://web.wyoleg.gov/LsoService/api/BillInformation/2024/SF0063
