bill_number,session,action_date,chamber,action,voteid,order
HB0001,2023-RS,2023-02-24,,Veto Message Received,,21
HB0001,2023-RS,2023-02-24,Governor,Governor Vetoed HEA No. 0037,,20
HB0001,2023-RS,2023-02-24,LSO,Assigned Chapter Number 94,,19
HB0001,2023-RS,2023-02-24,Governor,Governor Signed HEA No. 0037,,18
HB0001,2023-RS,2023-02-21,Senate,S President Signed HEA No. 0037,,17
HB0001,2023-RS,2023-02-21,House,H Speaker Signed HEA No. 0037,,16
HB0001,2023-RS,2023-02-21,LSO,Assigned Number HEA No. 0037,,15
HB0001,2023-RS,2023-02-16,Senate,S Appointed JCC01 Members,,14
HB0001,2023-RS,2023-02-15,House,H Appointed JCC01 Members,,13
HB0001,2023-RS,2023-02-09,Senate,S Appointed JCC01 Members,,12
HB0001,2023-RS,2023-02-09,Senate,Senate:Pursuant to JR 14-1 (g) referred directly to JCC,,11
HB0001,2023-RS,2023-02-09,Senate,Senate:Pursuant to JR 14-1 (f) referred directly to 3rd Reading,,10
HB0001,2023-RS,2023-02-06,Senate,S Introduced and Referred to S02,,9
HB0001,2023-RS,2023-02-06,Senate,S Received for Introduction,,8
HB0001,2023-RS,2023-02-03,House,H 3rd Reading:Passed 37-24-1-0-0,5362,7
HB0001,2023-RS,2023-02-01,House,H 2nd Reading:Passed,,6
HB0001,2023-RS,2023-01-31,House,H COW:Passed,,5
HB0001,2023-RS,2023-01-30,House,H COW:Considered,,4
HB0001,2023-RS,2023-01-27,House,H Introduced and Referred to HCOW,,3
HB0001,2023-RS,2023-01-24,House,H Received for Introduction,,2
HB0001,2023-RS,2023-01-19,LSO,Bill Number Assigned,,1
HB0002,2023-RS,2023-03-02,LSO,Assigned Chapter Number 138,,22
HB0002,2023-RS,2023-03-02,Governor,Governor Signed HEA No. 0074,,21
HB0002,2023-RS,2023-02-27,Senate,S President Signed HEA No. 0074,,20
HB0002,2023-RS,2023-02-27,House,H Speaker Signed HEA No. 0074,,19
HB0002,2023-RS,2023-02-27,LSO,Assigned Number HEA No. 0074,,18
HB0002,2023-RS,2023-02-27,House,H Concur:Passed 62-0-0-0-0,5567,17
HB0002,2023-RS,2023-02-24,House,H Received for Concurrence,,16
HB0002,2023-RS,2023-02-24,Senate,S 3rd Reading:Passed 24-7-0-0-0,1126,15
HB0002,2023-RS,2023-02-23,Senate,S 2nd Reading:Passed,,14
HB0002,2023-RS,2023-02-22,Senate,S COW:Passed,,13
HB0002,2023-RS,2023-02-22,Senate,S Placed on General File,,12
HB0002,2023-RS,2023-02-22,Senate,S08 - Transportation:Recommend Amend and Do Pass 4-0-1-0-0,-790,11
HB0002,2023-RS,2023-02-02,Senate,S Introduced and Referred to S08 - Transportation,,10
HB0002,2023-RS,2023-01-25,Senate,S Received for Introduction,,9
HB0002,2023-RS,2023-01-25,House,H 3rd Reading:Passed 61-0-1-0-0,5212,8
HB0002,2023-RS,2023-01-24,House,H 2nd Reading:Passed,,7
HB0002,2023-RS,2023-01-20,House,H COW:Passed,,6
HB0002,2023-RS,2023-01-19,House,H Placed on General File,,5
HB0002,2023-RS,2023-01-19,House,H02 - Appropriations:Recommend Amend and Do Pass 7-0-0-0-0,-160,4
HB0002,2023-RS,2023-01-12,House,H Introduced and Referred to H02 - Appropriations,,3
HB0002,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0002,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0003,2023-RS,2023-02-27,Senate,S COW:S Did not consider for COW,,13
HB0003,2023-RS,2023-02-06,Senate,S Placed on General File,,12
HB0003,2023-RS,2023-02-06,Senate,S02 - Appropriations:Recommend Do Pass 3-2-0-0-0,-542,11
HB0003,2023-RS,2023-01-31,Senate,S Introduced and Referred to S02 - Appropriations,,10
HB0003,2023-RS,2023-01-19,Senate,S Received for Introduction,,9
HB0003,2023-RS,2023-01-19,House,H 3rd Reading:Passed 53-7-2-0-0,5112,8
HB0003,2023-RS,2023-01-18,House,H 2nd Reading:Passed,,7
HB0003,2023-RS,2023-01-17,House,H COW:Passed,,6
HB0003,2023-RS,2023-01-16,House,H Placed on General File,,5
HB0003,2023-RS,2023-01-16,House,H07 - Corporations:Recommend Amend and Do Pass 9-0-0-0-0,-64,4
HB0003,2023-RS,2023-01-11,House,H Introduced and Referred to H07 - Corporations,,3
HB0003,2023-RS,2023-01-06,House,H Received for Introduction,,2
HB0003,2023-RS,2022-11-30,LSO,Bill Number Assigned,,1
HB0004,2023-RS,2023-03-03,LSO,Assigned Chapter Number 152,,24
HB0004,2023-RS,2023-03-03,Governor,Governor Signed HEA No. 0084,,23
HB0004,2023-RS,2023-03-02,Senate,S President Signed HEA No. 0084,,22
HB0004,2023-RS,2023-03-02,House,H Speaker Signed HEA No. 0084,,21
HB0004,2023-RS,2023-03-01,LSO,Assigned Number HEA No. 0084,,20
HB0004,2023-RS,2023-03-01,Senate,S 3rd Reading:Passed 16-14-1-0-0,1213,19
HB0004,2023-RS,2023-02-28,Senate,S 2nd Reading:Passed,,18
HB0004,2023-RS,2023-02-27,Senate,S COW:Passed,,17
HB0004,2023-RS,2023-02-23,Senate,S Placed on General File,,16
HB0004,2023-RS,2023-02-23,Senate,S02 - Appropriations:Recommend Do Pass 4-0-1-0-0,-822,15
HB0004,2023-RS,2023-02-22,Senate,:Rerefer to S02 - Appropriations,,14
HB0004,2023-RS,2023-02-22,Senate,S10 - Labor:Recommend Do Pass 3-1-1-0-0,-799,13
HB0004,2023-RS,2023-02-13,Senate,S Introduced and Referred to S10 - Labor,,12
HB0004,2023-RS,2023-02-09,Senate,S Received for Introduction,,11
HB0004,2023-RS,2023-02-08,House,H 3rd Reading:Passed 34-28-0-0-0,5376,10
HB0004,2023-RS,2023-02-07,House,H 2nd Reading:Passed,,9
