"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"NM","2023_2024","William Hall","25211","H","R","HD-003",FALSE, "Appointed to serve out term on April 4, 2024"
"NM","2023_2024","Willie Madrid","20997","H","D","HD-053",FALSE,"Served full term - included with LES=0"
