bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1703187,2038,HB3355,1,Introduced,2023-02-10,"To criminalize joyriding of a bulldozer or heavy equipment","The purpose of this bill is to is criminalize the unlawful operation of a bulldozer or heavy machinery.",11,"House Judiciary",2023-02-10,"To House Judiciary",https://legiscan.com/WV/bill/HB3355/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3355&year=2023&sessiontype=RS&btype=bill
1703399,2038,HB3356,1,Introduced,2023-02-10,"Require Medicaid to submit all state plan amendments, waiver submissions and policy changes to the Legislature for rulemaking approval","The purpose of this bill is to require Medicaid to submit all state plan amendments, waiver submissions, and policy changes to the Legislative Oversight Commission on Health and Human Resources Accountability in advance of submission to the Centers for Medicare and Medicaid Services.",8,"House Health & Human Resources",2023-02-10,"To House Health and Human Resources",https://legiscan.com/WV/bill/HB3356/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3356&year=2023&sessiontype=RS&btype=bill
1703300,2038,HB3357,1,Introduced,2023-02-10,"Clarifying acceptance of e-file court orders without raised seal","The purpose of this bill is to clarify that a raised seal is not necessary for a court order to be valid and to clarify that electronic filing without a raised seal is permissible.",11,"House Judiciary",2023-02-10,"To House Judiciary",https://legiscan.com/WV/bill/HB3357/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3357&year=2023&sessiontype=RS&btype=bill
1703114,2038,HB3358,1,Introduced,2023-02-10,"Exemption from marriage and license participation","The purpose of this bill is to provide an exemption from marriage and license participation in certain situations.",11,"House Judiciary",2023-02-10,"To House Judiciary",https://legiscan.com/WV/bill/HB3358/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3358&year=2023&sessiontype=RS&btype=bill
1703575,2038,HB3359,1,Introduced,2023-02-10,"Creating the West Virginia Farm Fresh Dairy Act","The purpose of this bill is to relates to agriculture and creating the West Virginia Farm Fresh Dairy Act. The bill provides definitions; exempts certain sales from licensure and certification; sets forth best sanitary milking and milk handling practices; provides for a registration process; sets forth enforcement provisions; sets forth product sales requirements; and provides an effective date.",1,"House Agriculture & Natural Resources",2023-02-10,"To House Agriculture and Natural Resources",https://legiscan.com/WV/bill/HB3359/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3359&year=2023&sessiontype=RS&btype=bill
1703368,2038,HB3360,4,Passed,2023-05-01,"Creating an office of the Inspector General within the Department of Homeland Security","The purpose of this bill is to allow Secretary of the Department of Homeland Security to establish within the department an Office of the Inspector General for the purpose of conducting and supervising investigations and other tasks, including the authority to oversee and direct existing investigations and units within the department.",0,,2023-05-01,"Chapter 171, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB3360/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3360&year=2023&sessiontype=RS&btype=bill
1703252,2038,HB3361,1,Introduced,2023-02-10,"Relating to the allocation of federal funds to county commissions and certain municipalities","The purpose of this bill is to allocate budget surplus and certain federal funds to county commissions and certain municipalities for the purpose of directly assisting low-income families and the community in general for each such jurisdiction.",13,"House Political Subdivisions",2023-02-10,"To House Political Subdivisions",https://legiscan.com/WV/bill/HB3361/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3361&year=2023&sessiontype=RS&btype=bill
1703352,2038,HB3362,1,Introduced,2023-02-10,"To make an attack on a K-9 officer a felony","The purpose of this bill is to define of police service canine and revising definition of law enforcement officer to include police service canine",11,"House Judiciary",2023-02-10,"To House Judiciary",https://legiscan.com/WV/bill/HB3362/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3362&year=2023&sessiontype=RS&btype=bill
1703481,2038,HB3363,2,Engrossed,2023-02-27,"Law Enforcement Officers Safety Act","The purpose of this bill is to bring state code into compliance with the Federal Law Enforcement Officers Safety Act (LEOSA) provision.",30,"Senate Judiciary",2023-02-28,"To Judiciary",https://legiscan.com/WV/bill/HB3363/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3363&year=2023&sessiontype=RS&btype=bill
1703463,2038,HB3364,4,Passed,2023-05-01,"Requiring the closure of certain municipal policemen’s and firemen’s pension and relief funds as condition of issuance of pension funding revenue bonds","The purpose of this bill is to require the closure of certain municipal policemen's and firemen's pension and relief funds as condition of issuance of pension funding revenue bonds.",0,,2023-05-01,"Chapter 95, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB3364/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3364&year=2023&sessiontype=RS&btype=bill
1703495,2038,HB3365,1,Introduced,2023-02-10,"Relating to the Certified Industrial Business Expansion Development Program","The purpose of this bill is to include non-combustion and other fuel sources that are free of carbon dioxide of that use carbon dioxide sequestration in the Economic Development Act of 1985, and to exclude from the definition of ""public utility"" any subsidiary of a public utility providing electric service within a Certified High Impact Industrial Business Development District.",4460,"House Energy and Manufacturing",2023-02-10,"To House Energy and Manufacturing",https://legiscan.com/WV/bill/HB3365/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3365&year=2023&sessiontype=RS&btype=bill
1703382,2038,HB3366,1,Introduced,2023-02-10,"Creating the State Property Protection Act","Creating the State Property Protection Act",11,"House Judiciary",2023-02-10,"To House Judiciary",https://legiscan.com/WV/bill/HB3366/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3366&year=2023&sessiontype=RS&btype=bill
1703237,2038,HB3367,1,Introduced,2023-02-10,"To provide for a pay raise for staff at correctional institutions","The purpose of this bill is to provide a pay raise to administrative employees, staff, and personnel of the Division of Corrections, Division of Juvenile Services, and the West Virginia Regional Jail and Correctional Facility Authority who have accumulated three years or more years of continuous employment, in order to retain current workers and attract new workers to this field.",6,"House Finance",2023-02-10,"To House Finance",https://legiscan.com/WV/bill/HB3367/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3367&year=2023&sessiontype=RS&btype=bill
1703448,2038,HB3368,1,Introduced,2023-02-10,"Troop- to-Teachers","The purpose of this bill is to establish the Troops-to-Teachers program.West Virginia Code Â§18A-3-2a was amended by two bills passed during the 2021 Regular Session of the Legislature by the House and Senate. House Bill 2029 (passed last on April 10, 2021); Senate Bill 14 (passed first on February 26, 2021). The two versions of this section have been merged into this bill. The addition of the word ""or"" in subparagraph (a)(1)(C)(iii) and the entirety of Paragraph (a)(1)(D) were in the most recent version of this section and represent the only substantive differences between the two versions.",6,"House Finance",2023-02-20,"To House Finance",https://legiscan.com/WV/bill/HB3368/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3368&year=2023&sessiontype=RS&btype=bill
1703317,2038,HB3369,4,Passed,2023-05-01,"Creating a School Safety Unit within the Division of Protective Services","The purpose of this bill is to modify the language in the statutes relating to modifying the language in the statutes to extend the jurisdiction of the School Safety Unit of the Division of Protective Services, Capitol Police, to provide services to schools, such as primary, secondary, and post-secondary schools, whether public or private, for purposes of conducting inspections and making recommendations on matters of school safety and compliance throughout the state; and, to extend the jurisdiction of the officers assigned to the School Safety Unit of the Division of Protective Services, Capitol Police, to have statewide jurisdiction in order to respond to and investigate matters of school safety.",0,,2023-05-01,"Chapter 288, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB3369/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3369&year=2023&sessiontype=RS&btype=bill
1703558,2038,HB3370,4,Passed,2023-05-01,"Creating loan program for certain properties and developments on U. S. Army Corps of Engineers land, state parks and resorts","The purpose of this bill is to create a loan program to be administered by the West Virginia Department of Economic Development for certain properties and developments on U.S. Army Corps of Engineers land, state parks and resorts, and hybrid tourism destinations in the case of default by an eligible entity. The bill provides for legislative findings and a purpose. The bill provides for definitions. The bill establishes the loan program wherein the state will co-sign on existing loans between public and private partnerships and a bank. The bill provides for guidelines and approval by the West Virginia Department of Economic Development, the West Virginia Department of Commerce, and the West Virginia Department of Tourism before a project may be approved for funding. Finally, the bill provides for an effective date.",0,,2023-05-01,"Chapter 225, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB3370/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3370&year=2023&sessiontype=RS&btype=bill
1704584,2038,HB3371,4,Passed,2023-05-01,"Relating to federal funds for land-grant institutions","The purpose of this bill is to require the state to utilize the full federal matching requirements for WVU and WVSU.",0,,2023-05-01,"Chapter 182, Acts, Regular Session, 2023",https://legiscan.com/WV/bill/HB3371/2023,http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3371&year=2023&sessiontype=RS&btype=bill
