Date,State,Bill No,Title,Action
"June 13, 2024",NH,HB 1292,Amends State Sanctuary City Policies,"Conference Report Adopted
                           - Senate
                      

                      
                          (14 - 10)"
"June 13, 2024",NH,HB 318,Amends Protocol for Bail Procedures and the Obligations of Bail Commissioners,"Conference Report Adopted
                           - Senate
                      

                      
                          (24 - 0)"
"June 13, 2024",NH,HB 1665,Expands the Educational Freedom Account Voucher Program Eligibility,"Conference Report Adopted
                           - Senate
                      

                      
                          (14 - 10)"
"June 13, 2024",NH,HB 1616,Requires Parental Consent for Medicaid Schools Services,"""Ought to Pass"" Report Not Adopted
                           - House
                      

                      
                          (173 - 179)"
"May 23, 2024",NH,HB 1593,Appropriates Funding for Recreational Activities for Individuals with Developmental Disabilities,"""Ought to Pass as Amended"" Report Adopted
                           - Senate
                      

                      
                          (24 - 0)"
"May 23, 2024",NH,HB 1569,Repeals Voter Identification Exceptions for Elections,"Bill Passed
                           - Senate
                      

                      
                          (13 - 11)"
"May 16, 2024",NH,HB 1312,Requires Educators Provide 2 Week Notice on All Curriculum Coverage to Parents and Guardians,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (13 - 10)"
"May 16, 2024",NH,HB 1205,Prohibits Transgender Girls from Playing on Female Sports Teams in Grades 5-12,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (13 - 10)"
"May 16, 2024",NH,HB 619,Prohibits Gender Affirming Care Until a Minor Turns 18,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (13 - 10)"
"May 16, 2024",NH,HB 1370,Repeal Voter Identification Exceptions,"Bill Passed
                           - Senate
                      

                      
                          (13 - 10)"
"May 16, 2024",NH,HB 1633,Establishes Legal Regulations Regarding Cannabis,"Bill Passed
                           - Senate
                      

                      
                          (14 - 9)"
"April 11, 2024",NH,HB 1649,Prohibits Toxic Chemicals (PFAs) in the State Beginning in 2027,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (233 - 140)"
"April 11, 2024",NH,HB 1633,Establishes Legal Regulations Regarding Cannabis,"Bill Passed
                           - House
                      

                      
                          (239 - 136)"
"March 28, 2024",NH,HB 1711,Requires Closure of the State Gun Purchase Loophole,"Bill Passed
                           - House
                      

                      
                          (204 - 149)"
"March 21, 2024",NH,HB 1205,Prohibits Transgender Girls from Playing on Female Sports Teams in Grades 5-12,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (189 - 182)"
"March 14, 2024",NH,HB 1312,Requires Educators Provide 2 Week Notice on All Curriculum Coverage to Parents and Guardians,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (186 - 185)"
"March 8, 2024",NH,HB 1539,Authorizes an Automatic Annulment Process for All Cannabis Possession,"Bill Passed
                           - House
                      

                      
                          (283 - 80)"
"March 7, 2024",NH,SB 316,Establishes New Drug Trafficking Penalties,"Bill Passed
                           - Senate
                      

                      
                          (14 - 10)"
"March 7, 2024",NH,SB 414,Establishes Sentencing for Crimes due to Drug-Related Deaths,"Bill Passed
                           - Senate
                      

                      
                          (18 - 6)"
"March 7, 2024",NH,SB 415,Establishes Penalties for Fentanyl-Related Offenses,"Bill Passed
                           - Senate
                      

                      
                          (18 - 6)"
"Feb. 22, 2024",NH,HB 1186,Prohibits Firearm Dealers from Tracking Individual Gun or Ammunition Purchases,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (203 - 174)"
"Feb. 22, 2024",NH,HB 1050,Establishes a Second List of Individuals Prohibited from Buying Guns,"""Ought to Pass"" Report Not Adopted
                           - House
                      

                      
                          (179 - 200)"
"Feb. 15, 2024",NH,SB 322,Requires a License Authorizing an Individual to Carry a Loaded Handgun in this State to Include Sellers Information,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (14 - 9)"
"Feb. 15, 2024",NH,SB 577,Establishes New Waiting Period for Purchase and Delivery of a Firearm,"""Inexpedient to Legislate"" Vote Passed
                           - Senate
                      

                      
                          (14 - 9)"
"Feb. 15, 2024",NH,SB 360,Establishes a Procedure for Issuing Extreme Risk Protection Orders,"""Inexpedient to Legislate"" Vote Passed
                           - Senate
                      

                      
                          (14 - 9)"
"Feb. 8, 2024",NH,HB 1665,Expands the Educational Freedom Account Voucher Program Eligibility,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (190 - 189)"
"Jan. 4, 2024",NH,HB 396,Authorizes Classification of Individuals Based on Biological Sex,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (192 - 184)"
"Jan. 4, 2024",NH,HB 368,Authorizes Gender Affirming Care for Minors,"""Ought to Pass"" Report Not Adopted
                           - House
                      

                      
                          (186 - 188)"
"Jan. 4, 2024",NH,HB 619,Prohibits Gender Affirming Care Until a Minor Turns 18,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (199 - 175)"
