bill_id,session,primary_sponsor,floor_sponsor,drafting_attorney,chapter_num,last_action,title,description,comm_note,bill_url
H.B. 1,2023-RS,"Rep. Ballard, Melissa G.","Sen. Grover, Keith",Mike Curtis,003,"2 Feb 2023, Governor Signed",Higher Education Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0001.html
H.B. 2,2023-RS,"Rep. Pulsipher, Susan","Sen. Fillmore, Lincoln",Mike Curtis,467,"23 Mar 2023, Governor Signed",Public Education Budget Amendments,"This bill supplements or reduces appropriations otherwise provided for the support and operation of public education for the fiscal year beginning July 1, 2022, and ending June 30, 2023, and for the fiscal year beginning July 1, 2023, and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0002.html
H.B. 3,2023-RS,"Rep. Peterson, Val L.","Sen. Stevenson, Jerry W.",Eric N. Weeks,468,"23 Mar 2023, Governor Signed",Current Fiscal Year Supplemental Appropriations,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023.",,https://le.utah.gov/~2023/bills/static/HB0003.html
H.B. 4,2023-RS,"Rep. Watkins, Christine F.","Sen. McKell, Michael K.",Eric N. Weeks,004,"2 Feb 2023, Governor Signed","Business, Economic Development, and Labor Base Budget","This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0004.html
H.B. 6,2023-RS,"Rep. Stratton, Keven J.","Sen. Wilson, Chris H.",Eric N. Weeks,005,"2 Feb 2023, Governor Signed",Infrastructure and General Government Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0006.html
H.B. 7,2023-RS,"Rep. Peterson, Val L.","Sen. Stevenson, Jerry W.",Eric N. Weeks,006,"2 Feb 2023, Governor Signed","National Guard, Veterans Affairs, and Legislature Base Budget","This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0007.html
H.B. 8,2023-RS,"Rep. Spendlove, Robert M.","Sen. Ipson, Don L.",Eric N. Weeks,469,"23 Mar 2023, Governor Line Item Veto",State Agency and Higher Education Compensation Appropriations,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",,https://le.utah.gov/~2023/bills/static/HB0008.html
H.B. 11,2023-RS,"Rep. Dunnigan, James A.","Sen. Hinkins, David P.",Thomas R. Vaughn,025,"13 Mar 2023, Governor Signed",Volunteer Government Workers Amendments,This bill amends provisions of the Volunteer Government Workers Act.,The Political Subdivisions Interim Committee recommended this bill. (9-0-7),https://le.utah.gov/~2023/bills/static/HB0011.html
H.B. 12,2023-RS,"Rep. Teuscher, Jordan D.","Sen. Bramble, Curtis S.",Amy Shewan,026,"13 Mar 2023, Governor Signed",Department of Commerce Electronic Payment Fees,This bill amends provisions related to revenue collected by the Department of Commerce.,,https://le.utah.gov/~2023/bills/static/HB0012.html
H.B. 13,2023-RS,"Rep. Stenquist, Jeffrey D.","Sen. Buxton, David G.",Gus Harb,027,"13 Mar 2023, Governor Signed",Governor's Committee on Employment of People with Disabilities Amendments,This bill addresses the Governor's Committee on Employment of People with Disabilities.,The Economic Development and Workforce Services Interim Committee recommended this bill. (9-0-7),https://le.utah.gov/~2023/bills/static/HB0013.html
