bill_id,session,chamber,location,action_date,action,vote,vote_url,order
H.J.R. 301,2024-S3,House,Senate Secretary,2024-06-19,House/ passed 3rd reading,57 14 4,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S3&voteid=9&house=H,10
H.J.R. 301,2024-S3,House,Senate Secretary,2024-06-19,House/ to Senate,,,11
H.J.R. 301,2024-S3,Senate,Waiting for Introduction in the Senate,2024-06-19,Senate/ received from House,,,12
H.J.R. 301,2024-S3,Senate,Senate Rules Committee,2024-06-19,Senate/ 1st reading (Introduced),,,13
H.J.R. 301,2024-S3,Senate,Senate 2nd Reading Calendar,2024-06-19,Senate/ 2nd & 3rd readings/ suspension,,,14
H.J.R. 301,2024-S3,Senate,Senate President,2024-06-19,Senate/ passed 2nd & 3rd readings/ suspension,20 6 3,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S3&voteid=12&house=S,15
H.J.R. 301,2024-S3,Senate,House Speaker,2024-06-19,Senate/ signed by President/ returned to House,,,16
H.J.R. 301,2024-S3,Senate,House Speaker,2024-06-19,Senate/ to House,,,17
H.J.R. 301,2024-S3,House,House Speaker,2024-06-19,House/ received from Senate,,,18
H.J.R. 301,2024-S3,House,Legislative Research and General Counsel / Enrolling,2024-06-19,House/ signed by Speaker/ sent for enrolling,,,19
H.J.R. 301,2024-S3,,Legislative Research and General Counsel / Enrolling,2024-06-20,Bill Received from House for Enrolling,,,20
H.J.R. 301,2024-S3,,Legislative Research and General Counsel / Enrolling,2024-06-20,Draft of Enrolled Bill Prepared,,,21
H.J.R. 301,2024-S3,,Clerk of the House,2024-06-20,Enrolled Bill Returned to House or Senate,,,22
H.J.R. 301,2024-S3,House,Clerk of the House,2024-06-20,House/ enrolled bill to Printing,,,23
H.J.R. 301,2024-S3,House,Clerk of the House,2024-06-21,House/ received enrolled bill from Printing,,,24
H.J.R. 301,2024-S3,House,Lieutenant Governor's office for filing,2024-06-21,House/ to Lieutenant Governor,,,25
