bill_id,session,primary_sponsor,floor_sponsor,drafting_attorney,chapter_num,last_action,title,description,comm_note,bill_url
H.C.R. 4,2024-RS,"Rep. Dailey-Provost, Jennifer","Sen. Escamilla, Luz",RuthAnne Oakey-Frost,,"1 Mar 2024, House/ filed",Concurrent Resolution Proclaiming World Refugee Day,This resolution proclaims June 20th as World Refugee Day.,,https://le.utah.gov/~2024/bills/static/HCR004.html
H.C.R. 5,2024-RS,"Rep. Pulsipher, Susan","Sen. Weiler, Todd D.",Alan Houston,,"1 Mar 2024, House/ filed",Concurrent Resolution to Protect the next Generation from the Harms of Pornography,This resolution recognizes the negative impacts of pornography on the brain.,,https://le.utah.gov/~2024/bills/static/HCR005.html
H.C.R. 6,2024-RS,"Rep. Dailey-Provost, Jennifer","Sen. Plumb, Jen",RuthAnne Oakey-Frost,,"19 Mar 2024, Governor Signed",Concurrent Resolution Celebrating the 75th Anniversary of Tanner Dance Utah,This resolution recognizes the 75th anniversary of University of Utah's Tanner Dance and honors Virginia Tanner's continued legacy and the legacy of the Tanner Dance faculty and staff.,,https://le.utah.gov/~2024/bills/static/HCR006.html
H.C.R. 7,2024-RS,"Rep. Thurston, Norman K","Sen. Fillmore, Lincoln",Kami Orton,,"28 Feb 2024, Governor Signed",Concurrent Resolution Encouraging Repeal of the Jones Act,This resolution proclaims the Legislature of the state of Utah supports the repeal of the Jones Act by Congress.,,https://le.utah.gov/~2024/bills/static/HCR007.html
H.C.R. 8,2024-RS,"Rep. Albrecht, Carl R.","Sen. Owens, Derrin R.",Ryan C. Williams,,"28 Feb 2024, Governor Signed",Concurrent Resolution Creating the Butch Cassidy State Monument,This concurrent resolution creates the Butch Cassidy State Monument.,,https://le.utah.gov/~2024/bills/static/HCR008.html
H.C.R. 9,2024-RS,"Rep. Johnson, Dan N.","Sen. Weiler, Todd D.",RuthAnne Oakey-Frost,,"28 Feb 2024, Governor Signed",Concurrent Resolution Celebrating Utah's History of Welcoming Refugees,This resolution celebrates Utah's rich history as a welcoming state for individuals fleeing persecution.,,https://le.utah.gov/~2024/bills/static/HCR009.html
H.C.R. 10,2024-RS,"Rep. Rohner, Judy Weeks","Sen. Wilson, Chris H.",RuthAnne Oakey-Frost,,"1 Mar 2024, House/ filed",Concurrent Resolution Honoring Utah's Salvadoran Community,This resolution honors the Salvadoran-American community in the state of Utah.,,https://le.utah.gov/~2024/bills/static/HCR010.html
H.C.R. 11,2024-RS,"Rep. Bolinder, Bridger","Sen. Cullimore, Kirk A.",RuthAnne Oakey-Frost,,"19 Mar 2024, Governor Signed",Concurrent Resolution Recognizing the Importance of Cross-issue Growth Impacts,This resolution recognizes the importance of cross-issue growth impacts.,,https://le.utah.gov/~2024/bills/static/HCR011.html
H.C.R. 12,2024-RS,"Rep. Bennion, Gay Lynn","Sen. Weiler, Todd D.",Austin Weenig,,"19 Mar 2024, Governor Signed",Employer Disclosure for Veterans,This resolution encourages Utah employers to post a notice of benefits for veterans.,,https://le.utah.gov/~2024/bills/static/HCR012.html
H.C.R. 13,2024-RS,"Rep. Albrecht, Carl R.","Sen. McKell, Michael K.",Patricia Owen,,"19 Mar 2024, Governor Signed",Concurrent Resolution Related to the Division of Wildlife Resources,This resolution pertains to the Division of Wildlife Resources.,,https://le.utah.gov/~2024/bills/static/HCR013.html
