bill_id,session,chamber,location,action_date,action,vote,vote_url,order
H.B. 1,2024-RS,,Legislative Research and General Counsel,2024-01-15,Bill Numbered but not Distributed,,,1
H.B. 1,2024-RS,,Legislative Research and General Counsel,2024-01-15,Numbered Bill Publicly Distributed,,,2
H.B. 1,2024-RS,House,Clerk of the House,2024-01-16,House/ received bill from Legislative Research,,,3
H.B. 1,2024-RS,House,House Rules Committee,2024-01-16,House/ 1st reading (Introduced),,,4
H.B. 1,2024-RS,House,House Rules Committee,2024-01-17,House/ received fiscal note from Fiscal Analyst,,,5
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-23,House/ Rules to 3rd Reading Calendar,,,6
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-23,House/ 2nd reading,,,7
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-23,House/ 3rd reading,,,8
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-23,House/ circled,Voice vote,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=80&house=H,9
H.B. 1,2024-RS,Fiscal,House 3rd Reading Calendar for House bills,2024-01-24,LFA/ fiscal note sent to sponsor,,,10
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-24,House/ to Printing with fiscal note,,,11
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-24,House/ uncircled,Voice vote,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=93&house=H,12
H.B. 1,2024-RS,House,House 3rd Reading Calendar for House bills,2024-01-24,House/ substituted from # 0 to # 1,Voice vote,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=94&house=H,13
H.B. 1,2024-RS,House,Senate Secretary,2024-01-24,House/ passed 3rd reading,71 0 4,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=95&house=H,14
H.B. 1,2024-RS,House,Senate Secretary,2024-01-24,House/ to Senate,,,15
