bill_id,session,chamber,location,action_date,action,vote,vote_url,order
S.B. 4001,2024-S4,,Legislative Research and General Counsel,2024-08-20,Bill Numbered but not Distributed,,,1
S.B. 4001,2024-S4,,Legislative Research and General Counsel,2024-08-20,Numbered Bill Publicly Distributed,,,2
S.B. 4001,2024-S4,Fiscal,Legislative Research and General Counsel,2024-08-20,LFA/ bill sent to agencies for fiscal input,,,3
S.B. 4001,2024-S4,Senate,Waiting for Introduction in the Senate,2024-08-21,Senate/ received bill from Legislative Research,,,4
S.B. 4001,2024-S4,Fiscal,Waiting for Introduction in the Senate,2024-08-21,LFA/ fiscal note publicly available,,,5
S.B. 4001,2024-S4,Senate,Waiting for Introduction in the Senate,2024-08-21,Senate/ received fiscal note from Fiscal Analyst,,,6
S.B. 4001,2024-S4,Senate,Senate Rules Committee,2024-08-21,Senate/ 1st reading (Introduced),,,7
S.B. 4001,2024-S4,Senate,Senate 2nd Reading Calendar,2024-08-21,Senate/ placed on 2nd Reading Calendar,,,8
S.B. 4001,2024-S4,Senate,Senate 2nd Reading Calendar,2024-08-21,Senate/ 2nd & 3rd readings/ suspension,,,9
S.B. 4001,2024-S4,Senate,Clerk of the House,2024-08-21,Senate/ passed 2nd & 3rd readings/ suspension,27 0 2,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S4&voteid=6&house=S,10
S.B. 4001,2024-S4,Senate,Clerk of the House,2024-08-21,Senate/ to House,,,11
S.B. 4001,2024-S4,House,Clerk of the House,2024-08-21,House/ received from Senate,,,12
S.B. 4001,2024-S4,House,House Rules Committee,2024-08-21,House/ 1st reading (Introduced),,,13
S.B. 4001,2024-S4,House,House 3rd Reading Calendar for Senate bills,2024-08-21,House/ Rules to 3rd Reading Calendar,,,14
S.B. 4001,2024-S4,House,House 3rd Reading Calendar for Senate bills,2024-08-21,House/ 2nd reading,,,15
S.B. 4001,2024-S4,House,House 3rd Reading Calendar for Senate bills,2024-08-21,House/ 3rd reading,,,16
S.B. 4001,2024-S4,House,House Speaker,2024-08-21,House/ passed 3rd reading,72 0 3,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024S4&voteid=2&house=H,17
S.B. 4001,2024-S4,House,Senate President,2024-08-21,House/ signed by Speaker/ returned to Senate,,,18
S.B. 4001,2024-S4,House,Senate President,2024-08-21,House/ to Senate,,,19
S.B. 4001,2024-S4,Senate,Senate President,2024-08-21,Senate/ received from House,,,20
S.B. 4001,2024-S4,Senate,Legislative Research and General Counsel / Enrolling,2024-08-21,Senate/ signed by President/ sent for enrolling,,,21
S.B. 4001,2024-S4,,Legislative Research and General Counsel / Enrolling,2024-08-22,Bill Received from Senate for Enrolling,,,22
S.B. 4001,2024-S4,,Legislative Research and General Counsel / Enrolling,2024-08-22,Draft of Enrolled Bill Prepared,,,23
S.B. 4001,2024-S4,,Senate Secretary,2024-08-22,Enrolled Bill Returned to House or Senate,,,24
S.B. 4001,2024-S4,,Senate Secretary,2024-08-22,Enrolled Bill Returned to House or Senate,,,25
S.B. 4001,2024-S4,,Senate Secretary,2024-08-22,Enrolled Bill Returned to House or Senate,,,26
S.B. 4001,2024-S4,Senate,Senate Secretary,2024-08-22,Senate/ enrolled bill to Printing,,,27
S.B. 4001,2024-S4,Senate,Senate Secretary,2024-08-22,Senate/ received enrolled bill from Printing,,,28
S.B. 4001,2024-S4,Senate,Executive Branch - Governor,2024-08-22,Senate/ to Governor,,,29
S.B. 4001,2024-S4,,Lieutenant Governor's office for filing,2024-08-22,Governor Signed,,,30
S.B. 4002,2024-S4,,Legislative Research and General Counsel,2024-08-20,Bill Numbered but not Distributed,,,1
S.B. 4002,2024-S4,,Legislative Research and General Counsel,2024-08-20,Numbered Bill Publicly Distributed,,,2
S.B. 4002,2024-S4,Senate,Waiting for Introduction in the Senate,2024-08-21,Senate/ received bill from Legislative Research,,,3
S.B. 4002,2024-S4,Senate,Waiting for Introduction in the Senate,2024-08-21,Senate/ received fiscal note from Fiscal Analyst,,,4
S.B. 4002,2024-S4,Senate,Senate 2nd Reading Calendar,2024-08-21,Senate/ to Printing with fiscal note,,,5
S.B. 4002,2024-S4,Senate,Senate Rules Committee,2024-08-21,Senate/ 1st reading (Introduced),,,6
S.B. 4002,2024-S4,Senate,Senate 2nd Reading Calendar,2024-08-21,Senate/ placed on 2nd Reading Calendar,,,7
