bill_id,session,chamber,location,action_date,action,vote,vote_url,order
H.B. 1001,2023-S1,,Legislative Research and General Counsel,2023-05-12,Bill Numbered but not Distributed,,,1
H.B. 1001,2023-S1,,Legislative Research and General Counsel,2023-05-12,Numbered Bill Publicly Distributed,,,2
H.B. 1001,2023-S1,Fiscal,Legislative Research and General Counsel,2023-05-12,LFA/ bill sent to agencies for fiscal input,,,3
H.B. 1001,2023-S1,Fiscal,Legislative Research and General Counsel,2023-05-15,LFA/ fiscal note sent to sponsor,,,4
H.B. 1001,2023-S1,Fiscal,Legislative Research and General Counsel,2023-05-16,LFA/ fiscal note publicly available,,,5
H.B. 1001,2023-S1,House,Clerk of the House,2023-05-17,House/ received bill from Legislative Printing,,,6
H.B. 1001,2023-S1,House,House Rules Committee,2023-05-17,House/ 1st reading (Introduced),,,7
H.B. 1001,2023-S1,House,House 3rd Reading Calendar for House bills,2023-05-17,House/ Rules to 3rd Reading Calendar,,,8
H.B. 1001,2023-S1,House,House 3rd Reading Calendar for House bills,2023-05-17,House/ 2nd suspended,,,9
H.B. 1001,2023-S1,House,House 3rd Reading Calendar for House bills,2023-05-17,House/ 2nd reading,,,10
H.B. 1001,2023-S1,House,House 3rd Reading Calendar for House bills,2023-05-17,House/ 3rd reading,,,11
H.B. 1001,2023-S1,House,Senate Secretary,2023-05-17,House/ passed 3rd reading,70 0 5,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2023S1&voteid=6&house=H,12
H.B. 1001,2023-S1,House,Senate Secretary,2023-05-17,House/ to Senate,,,13
H.B. 1001,2023-S1,Senate,Waiting for Introduction in the Senate,2023-05-17,Senate/ received from House,,,14
H.B. 1001,2023-S1,Senate,Senate Rules Committee,2023-05-17,Senate/ 1st reading (Introduced),,,15
H.B. 1001,2023-S1,Senate,Senate 2nd Reading Calendar,2023-05-17,Senate/ 2nd & 3rd readings/ suspension,,,16
H.B. 1001,2023-S1,Senate,Senate President,2023-05-17,Senate/ passed 2nd & 3rd readings/ suspension,24 0 5,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2023S1&voteid=8&house=S,17
H.B. 1001,2023-S1,Senate,House Speaker,2023-05-17,Senate/ signed by President/ returned to House,,,18
H.B. 1001,2023-S1,Senate,House Speaker,2023-05-17,Senate/ to House,,,19
H.B. 1001,2023-S1,House,House Speaker,2023-05-17,House/ received from Senate,,,20
H.B. 1001,2023-S1,House,Legislative Research and General Counsel / Enrolling,2023-05-17,House/ signed by Speaker/ sent for enrolling,,,21
H.B. 1001,2023-S1,,Legislative Research and General Counsel,2023-05-18,Bill Received from House for Enrolling,,,22
H.B. 1001,2023-S1,,Legislative Research and General Counsel / Enrolling,2023-05-18,Bill Received from House for Enrolling,,,23
H.B. 1001,2023-S1,,Legislative Research and General Counsel / Enrolling,2023-05-18,Draft of Enrolled Bill Prepared,,,24
H.B. 1001,2023-S1,,Clerk of the House,2023-05-18,Enrolled Bill Returned to House or Senate,,,25
H.B. 1001,2023-S1,House,Clerk of the House,2023-05-18,House/ enrolled bill to Printing,,,26
H.B. 1001,2023-S1,House,Clerk of the House,2023-05-18,House/ received enrolled bill from Printing,,,27
