people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
24140,"Chris Lonsdale",Chris,,Lonsdale,,,2,R,1,Rep,HD-038,55425638,205704,,Chris_Lonsdale,0,0
24141,"Philip Oehlerking",Philip,,Oehlerking,,,2,R,1,Rep,HD-100,55425707,0,,Philip_Oehlerking,0,0
24142,"Cameron Bunting Parker",Cameron,,"Bunting Parker",,,2,R,1,Rep,HD-150,55425764,205817,,Cameron_Bunting_Parker,0,0
24143,"Tara Peters",Tara,J.,Peters,,,2,R,1,Rep,HD-122,55425736,0,,Tara_Peters,0,0
24144,"Renee Reuter",Renee,,Reuter,,,2,R,1,Rep,HD-112,19678361,132669,,Renee_Reuter,0,0
24145,"Jim Schulte",Jim,,Schulte,,,2,R,1,Rep,HD-049,26139175,205720,,Jim_Schulte,0,0
24146,"Kathy Steinhoff",Kathy,,Steinhoff,,,1,D,1,Rep,HD-045,4133694,205716,,Mary_Steinhoff,0,0
24147,"Del Taylor",Del,,Taylor,,,1,D,1,Rep,HD-084,55425690,205748,,Del_Taylor,0,0
24148,"John Voss",John,,Voss,,,2,R,1,Rep,HD-147,55425759,0,,John_Voss,0,0
24149,"Ken Waller",Ken,,Waller,,,2,R,1,Rep,HD-114,47721494,0,,Ken_Waller,0,0
24547,"Doyle Justus",Doyle,,Justus,,,2,R,1,Rep,HD-041,26139123,205708,,Doyle_Justus,809093,0
