Date,State,Bill No,Title,Action
"June 25, 2023",OR,SB 5506,Appropriates Additional Resources for the Emergency Board,"Bill Passed
                           - House
                      

                      
                          (40 - 7)"
"June 25, 2023",OR,SB 5506,Appropriates Additional Resources for the Emergency Board,"Bill Passed
                           - Senate
                      

                      
                          (20 - 5)"
"June 24, 2023",OR,SB 215,Amends Several Policies and Regulations of the State Department of Education,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 2)"
"June 24, 2023",OR,HB 2395,Authorizes Specified Persons to Distribute and Administer Short-Acting Opioid Reversal Drugs and Kits,"Concurrence Vote Passed
                           - House
                      

                      
                          (46 - 3)"
"June 24, 2023",OR,SB 819,Prohibits School Districts From Placing a Student on an Abbreviated or Shortened School Day Without Parental Conse ...,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (19 - 6)"
"June 24, 2023",OR,HB 2395,Authorizes Specified Persons to Distribute and Administer Short-Acting Opioid Reversal Drugs and Kits,"Bill Passed
                           - Senate
                      

                      
                          (22 - 3)"
"June 24, 2023",OR,HB 3014,Authorizes Reimbursement of School District Expenses Alternative Transportation,"Bill Passed
                           - Senate
                      

                      
                          (24 - 1)"
"June 24, 2023",OR,HB 3198,Appropriates $140 Million for the Early Literacy Success Initiative,"Bill Passed
                           - Senate
                      

                      
                          (22 - 3)"
"June 24, 2023",OR,SB 283,Establishes a Statewide System to Track the Education Workforce,"Bill Passed
                           - House
                      

                      
                          (35 - 13)"
"June 24, 2023",OR,HB 3235,Establishes a Refundable Child Tax Credit,"Bill Passed
                           - Senate
                      

                      
                          (24 - 1)"
"June 23, 2023",OR,HB 3201,Appropriates Resources for Greater BroadBand Internet Access,"Concurrence Vote Passed
                           - House
                      

                      
                          (50 - 4)"
"June 23, 2023",OR,HB 2618,Requires Department of Education Study Best Methodology for Determining Number of Students for School-Based Health ...,"Concurrence Vote Passed
                           - House
                      

                      
                          (38 - 15)"
"June 23, 2023",OR,HB 2915,Prohibits Retail Pet Stores From Selling Dogs and Cats,"Concurrence Vote Passed
                           - House
                      

                      
                          (41 - 12)"
"June 23, 2023",OR,HB 3043,Expands Regulations on Chemicals in Children's Products,"Concurrence Vote Passed
                           - House
                      

                      
                          (42 - 11)"
"June 23, 2023",OR,SB 819,Prohibits School Districts From Placing a Student on an Abbreviated or Shortened School Day Without Parental Conse ...,"Bill Passed
                           - House
                      

                      
                          (38 - 14)"
"June 23, 2023",OR,HB 2929,Authorizes the Water Resources Department to Seek Injunctive Relief Against Violators or Attempted Violators of St ...,"Bill Passed
                           - Senate
                      

                      
                          (17 - 7)"
"June 23, 2023",OR,SB 1095,Restructures Membership of Certain Boards and Commissions Based on Congressional Districts,"Bill Passed
                           - House
                      

                      
                          (39 - 13)"
"June 23, 2023",OR,HB 2931,Establishes New Cannabis Reference Laboratories to Support Enforcement of Cannabis Regulation,"Bill Passed
                           - Senate
                      

                      
                          (23 - 1)"
"June 23, 2023",OR,HB 2991,Requires the Department of Early Learning and Care to Evaluate Possible Barriers to Expanding the Early Childhood  ...,"Bill Passed
                           - Senate
                      

                      
                          (19 - 5)"
"June 23, 2023",OR,HB 3144,Establishes a Statewide Education Plan for Students who are Native Hawaiian or Pacific Islander,"Bill Passed
                           - Senate
                      

                      
                          (20 - 4)"
"June 23, 2023",OR,SB 1089,Establishes the Universal Health Plan Governance Board,"Bill Passed
                           - House
                      

                      
                          (34 - 21)"
"June 23, 2023",OR,HB 5014,Requires Oregon Department of Education Make School District Budget Data More Transparent,"Bill Passed
                           - Senate
                      

                      
                          (20 - 4)"
"June 23, 2023",OR,SB 283,Establishes a Statewide System to Track the Education Workforce,"Bill Passed
                           - Senate
                      

                      
                          (21 - 3)"
"June 22, 2023",OR,HB 3242,Authorizes Policyholders to Recover Actual Damages from Unfair Claim Settlement Practices,"Bill Passed
                           - Senate
                      

                      
                          (17 - 7)"
"June 22, 2023",OR,SB 556,Prohibits the Department of Human Services From Using Specified Money Intended for Children in Foster Care for Mai ...,"Bill Passed
                           - House
                      

                      
                          (51 - 3)"
"June 22, 2023",OR,HB 2054,Establishes that Deputy District  Attorneys Qualify as Police Officers in the Retirement System,"Bill Passed
                           - Senate
                      

                      
                          (21 - 3)"
