Date,State,Bill No,Title,Action
"March 5, 2024",OR,HB 4015,Amends Regulations Governing Energy Storage Systems,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"March 5, 2024",OR,SB 1566,Authorizes Counties to Charge Permit Fees to Build Move or Change Facilities that are in the Right of Way,"Bill Passed
                           - House
                      

                      
                          (43 - 8)"
"March 5, 2024",OR,SB 1581,Requires Electric Companies to Report Each Year on the Steps Being Taken to be Part of an Energy Market,"Bill Passed
                           - House
                      

                      
                          (37 - 14)"
"March 5, 2024",OR,HB 4001,Establishes a Task Force on Specialty Courts,"Bill Passed
                           - Senate
                      

                      
                          (24 - 6)"
"March 5, 2024",OR,HB 4012,Prohibits Health Care Insurer's from Requiring a Health Care Provider to Purchase a Drug at a Certain Pharmacy,"Bill Passed
                           - Senate
                      

                      
                          (24 - 5)"
"March 5, 2024",OR,HB 4109,Amends Photo Radar Laws and Makes Changes to Aviation Grant Funds,"Bill Passed
                           - House
                      

                      
                          (37 - 15)"
"March 5, 2024",OR,HB 4134,Establishes a $75 million Revolving Loan Fund for Middle-Income Housing,"Bill Passed
                           - House
                      

                      
                          (54 - 2)"
"March 5, 2024",OR,HB 4080,Requires Individuals Involved in Offshore Wind Energy Projects Meet Certain Labor and Supply Chain Standards,"Bill Passed
                           - House
                      

                      
                          (37 - 21)"
"March 5, 2024",OR,HB 4056,Requires Counties Set Up a Way to Handle Surplus Proceeds from Tax Lien Foreclosure Sales,"Bill Passed
                           - House
                      

                      
                          (36 - 17)"
"March 5, 2024",OR,SB 1522,Repeals Statutes Concerning Involuntary Commitment to a Mental Facility,"Bill Passed
                           - Senate
                      

                      
                          (17 - 12)"
"March 4, 2024",OR,HB 4104,Requires Alerting Health Care Providers if a Patient Overdoses,"Bill Passed
                           - Senate
                      

                      
                          (27 - 3)"
"March 4, 2024",OR,SB 1537,Increases Housing Production by Reducing Permit Application Processes,"Bill Passed
                           - House
                      

                      
                          (48 - 8)"
"March 4, 2024",OR,HB 4102,Appropriates Funding for the Oregon Natural and Working Lands Fund,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"March 4, 2024",OR,HB 4103,Establishes the Offense of Unsafe E-Bike Riding,"Bill Passed
                           - Senate
                      

                      
                          (28 - 2)"
"March 4, 2024",OR,HB 4119,"Expands Protections for Student Athletes Regarding Usage of Image, Name, and Likeness","Bill Passed
                           - Senate
                      

                      
                          (18 - 12)"
"March 4, 2024",OR,SB 1530,Appropriates Money for State Agencies and Organizations,"Bill Passed
                           - House
                      

                      
                          (51 - 6)"
"March 4, 2024",OR,SB 1596,Authorizes the Individual Right to Repair,"Bill Passed
                           - House
                      

                      
                          (42 - 13)"
"March 4, 2024",OR,HB 4082,Appropriates $30 Million for State Summer Programs,"Bill Passed
                           - House
                      

                      
                          (53 - 4)"
"March 4, 2024",OR,SB 1561,Establishes Council to Disburse Legal Funds From Monsanto Settlement,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"March 4, 2024",OR,SB 1533,Requires the Secretary of State Translate Voter Pamphlets into the 10 Most Common Languages in the State,"Bill Passed
                           - Senate
                      

                      
                          (21 - 9)"
"March 4, 2024",OR,SB 1548,Repeals Daylight Savings Time if California and Washington Do As Well,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"March 4, 2024",OR,SB 1585,Authorizes the DHS to Set Up a Task Force to Allow People to Purchase Hot Foods with SNAP,"Bill Passed
                           - Senate
                      

                      
                          (22 - 8)"
"March 4, 2024",OR,SB 1503,Establishes the Task Force on Community Safety and Firearm Suicide Prevention,"Bill Passed
                           - Senate
                      

                      
                          (19 - 11)"
