bill_number,session,session_year,session_type,chamber,action_date,action,journal_page,order
SB0724,102nd,2024,RS,,2023-12-01,Prefiled,,1
SB0724,102nd,2024,RS,,2024-01-03,S First Read,S27,2
SB0724,102nd,2024,RS,,2024-01-08,Second Read and Referred S Local Government and Elections Committee,S108,3
SB0724,102nd,2024,RS,,2024-03-04,Hearing Conducted S Local Government and Elections Committee,,4
SB0724,102nd,2024,RS,,2024-03-25,Voted Do Pass S Local Government and Elections Committee,,5
SB0725,102nd,2024,RS,,2023-12-01,Prefiled,,1
SB0725,102nd,2024,RS,,2024-01-03,S First Read,S27,2
SB0725,102nd,2024,RS,,2024-01-08,Second Read and Referred S Economic Development and Tax Policy Committee,S108,3
SB0725,102nd,2024,RS,,2024-01-16,Hearing Conducted S Economic Development and Tax Policy Committee,,4
SB0726,102nd,2024,RS,,2023-12-01,Prefiled,,1
SB0726,102nd,2024,RS,,2024-01-03,S First Read,S27,2
SB0726,102nd,2024,RS,,2024-01-08,Second Read and Referred S Emerging Issues Committee,S108,3
SB0727,102nd,2024,RS,,2023-12-01,Prefiled,,1
SB0727,102nd,2024,RS,,2024-01-03,S First Read,S27,2
SB0727,102nd,2024,RS,,2024-01-08,Second Read and Referred S Education and Workforce Development Committee,S108,3
SB0727,102nd,2024,RS,,2024-01-10,Hearing Conducted S Education and Workforce Development Committee,,4
SB0727,102nd,2024,RS,,2024-01-17,SCS Voted Do Pass S Education and Workforce Development Committee (3329S.04C),,5
SB0727,102nd,2024,RS,,2024-01-18,Reported from S Education and Workforce Development Committee,S177,6
SB0727,102nd,2024,RS,,2024-02-07,Bill Placed on Informal Calendar,S283,7
SB0727,102nd,2024,RS,,2024-03-11,SS for SCS S offered (Koenig)--(3329S.18F),S487,8
SB0727,102nd,2024,RS,,2024-03-11,SA 1 to SS for SCS S offered (Beck)--(3329S18.14S),S487,9
SB0727,102nd,2024,RS,,2024-03-11,Bill Placed on Informal Calendar,S487,10
SB0727,102nd,2024,RS,,2024-03-12,SS for SCS S withdrawn,S499,11
SB0727,102nd,2024,RS,,2024-03-12,SS#2 for SCS S offered (Koenig)--(3329S.24F),S499,12
SB0727,102nd,2024,RS,,2024-03-12,SA 1 to SS#2 for SCS S offered & defeated (Moon)--(3329S24.06S),S499-500,13
SB0727,102nd,2024,RS,,2024-03-12,SA 2 to SS#2 for SCS S offered & defeated (Moon)--(3329S24.09S),S500-502,14
SB0727,102nd,2024,RS,,2024-03-12,SA 3 to SS#2 for SCS S offered & defeated (Moon)--(3329S24.32S),S502-504,15
SB0727,102nd,2024,RS,,2024-03-12,SA 4 to SS#2 for SCS S offered & adopted (Eigel)--(3329S24.41S),S505,16
SB0727,102nd,2024,RS,,2024-03-12,SA 5 to SS#2 for SCS S offered & adopted (Moon)--(3329S24.43S),S505-509,17
SB0727,102nd,2024,RS,,2024-03-12,"SS#2 for SCS, as amended, S adopted",S509,18
SB0727,102nd,2024,RS,,2024-03-12,Perfected,S509-510,19
SB0727,102nd,2024,RS,,2024-03-13,"Reported Truly Perfected S Rules, Joint Rules, Resolutions and Ethics Committee",S513,20
SB0727,102nd,2024,RS,,2024-03-13,Referred S Fiscal Oversight Committee,S513,21
SB0727,102nd,2024,RS,,2024-03-14,Voted Do Pass S Fiscal Oversight Committee,,22
SB0727,102nd,2024,RS,,2024-03-14,Reported from S Fiscal Oversight Committee,S520,23
SB0727,102nd,2024,RS,,2024-03-14,S Third Read and Passed,S520,24
SB0727,102nd,2024,RS,,2024-03-14,H First Read,H949-950,25
SB0727,102nd,2024,RS,,2024-03-18,H Second Read,H957,26
SB0727,102nd,2024,RS,,2024-03-26,Referred H Special Committee on Education Reform,H989,27
