bill_number,session,session_year,session_type,chamber,action_date,action,journal_page,order
HB1400,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1400,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1400,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1400,102nd,2024,RS,,2024-02-08,Referred: Special Committee on Homeland Security(H),H 492,4
HB1401,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1401,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1401,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1401,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1402,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1402,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1402,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1402,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1403,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1403,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1403,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1403,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1404,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1404,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1404,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1404,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1405,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1405,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1405,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1405,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1406,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1406,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1406,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1406,102nd,2024,RS,,2024-01-04,Referred: Emerging Issues(H),H 212,4
HB1406,102nd,2024,RS,,2024-01-10,Public Hearing Completed (H),,5
HB1406,102nd,2024,RS,,2024-02-07,Action Postponed (H),,6
HB1406,102nd,2024,RS,,2024-03-13,Executive Session Completed (H),,7
HB1406,102nd,2024,RS,,2024-03-13,Voted Do Pass (H),,8
HB1406,102nd,2024,RS,,2024-03-27,Reported Do Pass (H) - AYES: 12 NOES: 0 PRESENT: 0,H 1031,9
HB1406,102nd,2024,RS,,2024-03-28,Referred: Rules - Legislative Oversight(H),H 1060,10
HB1406,102nd,2024,RS,,2024-04-02,Action Postponed (H),,11
HB1406,102nd,2024,RS,,2024-04-03,Executive Session Completed (H),,12
HB1406,102nd,2024,RS,,2024-04-03,Voted Do Pass (H),,13
HB1406,102nd,2024,RS,,2024-04-04,Reported Do Pass (H) - AYES: 7 NOES: 0 PRESENT: 0,H 1301,14
HB1406,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1412,15
HB1406,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,16
HB1406,102nd,2024,RS,,2024-05-07,Placed on the Informal Perfection Calendar (H),H 1663,17
HB1407,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1407,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1407,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1407,102nd,2024,RS,,2024-01-11,Referred: Transportation Infrastructure(H),H 260,4
HB1407,102nd,2024,RS,,2024-01-24,Public Hearing Completed (H),,5
HB1408,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1408,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1408,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1408,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1409,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1409,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1409,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1409,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1410,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1410,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1410,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1410,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1411,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1411,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1411,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1411,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1412,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1412,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1412,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1412,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1413,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1413,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1413,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1413,102nd,2024,RS,,2024-01-25,Referred: Special Committee on Homeland Security(H),H 340,4
HB1413,102nd,2024,RS,,2024-01-29,Public Hearing Completed (H),,5
HB1413,102nd,2024,RS,,2024-02-19,Executive Session Completed (H),,6
HB1413,102nd,2024,RS,,2024-02-19,HCS Voted Do Pass (H),,7
HB1413,102nd,2024,RS,,2024-02-28,HCS Reported Do Pass (H) - AYES: 7 NOES: 3 PRESENT: 0,H 686,8
HB1413,102nd,2024,RS,,2024-02-29,Referred: Rules - Legislative Oversight(H),H 711,9
HB1413,102nd,2024,RS,,2024-03-04,Executive Session Completed (H),,10
HB1413,102nd,2024,RS,,2024-03-04,Voted Do Pass (H),,11
HB1413,102nd,2024,RS,,2024-03-04,Reported Do Pass (H) - AYES: 6 NOES: 3 PRESENT: 0,H 742,12
HB1413,102nd,2024,RS,,2024-03-06,Placed on the Informal Perfection Calendar (H),H 780,13
HB1413,102nd,2024,RS,,2024-03-12,Taken Up for Perfection (H),H 866,14
HB1413,102nd,2024,RS,,2024-03-12,Title of Bill - Agreed To,H 866,15
HB1413,102nd,2024,RS,,2024-03-12,HCS Adopted (H),H 867,16
HB1413,102nd,2024,RS,,2024-03-12,Perfected (H),H 867,17
HB1413,102nd,2024,RS,,2024-03-13,Referred: Fiscal Review(H),H 922,18
HB1413,102nd,2024,RS,,2024-03-14,Executive Session Completed (H),,19
HB1413,102nd,2024,RS,,2024-03-14,Voted Do Pass (H),,20
HB1413,102nd,2024,RS,,2024-03-14,Reported Do Pass (H) - AYES: 3 NOES: 2 PRESENT: 0,H 936,21
HB1413,102nd,2024,RS,,2024-03-27,Placed on the Informal Third Reading Calendar (H),H 998,22
HB1413,102nd,2024,RS,,2024-03-27,Taken Up for Third Reading (H),H 1007,23
HB1413,102nd,2024,RS,,2024-03-27,Third Read and Passed (H) - AYES: 108 NOES: 46 PRESENT: 0,H 1008 - 1009,24
HB1413,102nd,2024,RS,,2024-03-27,Reported to the Senate and First Read (S),S 584,25
HB1413,102nd,2024,RS,,2024-04-11,Second read and referred: Emerging Issues(S),S 676,26
HB1414,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1414,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1414,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1414,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1415,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1415,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1415,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1415,102nd,2024,RS,,2024-01-04,Referred: Special Committee on Homeland Security(H),H 212,4
HB1415,102nd,2024,RS,,2024-04-03,Public Hearing Completed (H),,5
HB1416,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1416,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1416,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1416,102nd,2024,RS,,2024-01-04,Referred: Special Committee on Homeland Security(H),H 212,4
HB1416,102nd,2024,RS,,2024-02-05,Public Hearing Completed (H),,5
HB1417,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1417,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1417,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1417,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1418,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1418,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1418,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1418,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1419,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1419,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1419,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1419,102nd,2024,RS,,2024-01-11,Referred: Special Committee on Property Tax Reform(H),H 260,4
HB1420,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1420,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1420,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1420,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1421,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1421,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1421,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1421,102nd,2024,RS,,2024-01-25,Referred: Health and Mental Health Policy(H),H 340,4
HB1421,102nd,2024,RS,,2024-02-05,Public Hearing Completed (H),,5
HB1421,102nd,2024,RS,,2024-02-26,Executive Session Completed (H),,6
HB1421,102nd,2024,RS,,2024-02-26,HCS Voted Do Pass (H),,7
HB1422,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1422,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1422,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1422,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1423,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1423,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1423,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1423,102nd,2024,RS,,2024-01-25,Referred: Ways and Means(H),H 340,4
HB1423,102nd,2024,RS,,2024-02-01,"Public Hearing Scheduled, Bill not Heard (H)",,5
HB1424,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1424,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1424,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1424,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1425,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1425,102nd,2024,RS,,2024-01-03,Read First Time (H),H 10,2
HB1425,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1425,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1426,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1426,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1426,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1426,102nd,2024,RS,,2024-01-25,Referred: General Laws(H),H 340,4
HB1426,102nd,2024,RS,,2024-02-06,Public Hearing Completed (H),,5
HB1426,102nd,2024,RS,,2024-03-05,Executive Session Completed (H),,6
HB1426,102nd,2024,RS,,2024-03-05,HCS Voted Do Pass (H),,7
HB1426,102nd,2024,RS,,2024-03-12,HCS Reported Do Pass (H) - AYES: 8 NOES: 5 PRESENT: 1,H 898,8
HB1427,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1427,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1427,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1427,102nd,2024,RS,,2024-02-22,Referred: Ways and Means(H),H 631,4
HB1427,102nd,2024,RS,,2024-02-27,Public Hearing Completed (H),,5
HB1427,102nd,2024,RS,,2024-02-29,Executive Session Completed (H),,6
HB1427,102nd,2024,RS,,2024-02-29,HCS Voted Do Pass (H),,7
HB1427,102nd,2024,RS,,2024-03-05,HCS Reported Do Pass (H) - AYES: 10 NOES: 1 PRESENT: 0,H 772 - 773,8
HB1427,102nd,2024,RS,,2024-03-07,Referred: Rules - Legislative Oversight(H),H 819,9
HB1427,102nd,2024,RS,,2024-03-13,Executive Session Completed (H),,10
HB1427,102nd,2024,RS,,2024-03-13,Voted Do Pass (H),,11
HB1427,102nd,2024,RS,,2024-03-13,Reported Do Pass (H) - AYES: 6 NOES: 2 PRESENT: 0,H 928,12
HB1427,102nd,2024,RS,,2024-03-25,Placed on the Informal Perfection Calendar (H),H 967,13
HB1427,102nd,2024,RS,,2024-03-26,Placed Back on Formal Perfection Calendar (H),H 989,14
HB1427,102nd,2024,RS,,2024-04-03,Placed on the Informal Perfection Calendar (H),H 1197,15
HB1427,102nd,2024,RS,,2024-04-15,Placed Back on Formal Perfection Calendar (H),H 1400,16
HB1427,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1412,17
HB1427,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,18
HB1428,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1428,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1428,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1428,102nd,2024,RS,,2024-01-11,Referred: Special Committee on Property Tax Reform(H),H 260,4
HB1428,102nd,2024,RS,,2024-01-24,Public Hearing Completed (H),,5
HB1428,102nd,2024,RS,,2024-02-07,Executive Session Completed (H),,6
HB1428,102nd,2024,RS,,2024-02-07,HCS Voted Do Pass (H),,7
HB1428,102nd,2024,RS,,2024-02-15,HCS Reported Do Pass (H) - AYES: 21 NOES: 0 PRESENT: 0,H 543,8
HB1428,102nd,2024,RS,,2024-02-22,Referred: Rules - Regulatory Oversight(H),H 635,9
HB1428,102nd,2024,RS,,2024-02-26,Executive Session Completed (H),,10
HB1428,102nd,2024,RS,,2024-02-26,Voted Do Pass (H),,11
HB1428,102nd,2024,RS,,2024-02-26,Reported Do Pass (H) - AYES: 9 NOES: 0 PRESENT: 0,H 654,12
HB1428,102nd,2024,RS,,2024-04-09,Placed on the Informal Perfection Calendar (H),H 1326,13
HB1428,102nd,2024,RS,,2024-04-15,Placed Back on Formal Perfection Calendar (H),H 1400,14
HB1428,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1413,15
HB1428,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,16
HB1429,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1429,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1429,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1429,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1430,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1430,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1430,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1430,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1431,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1431,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1431,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1431,102nd,2024,RS,,2024-01-18,Referred: Elementary and Secondary Education(H),H 286,4
HB1431,102nd,2024,RS,,2024-02-07,Public Hearing Completed (H),,5
HB1431,102nd,2024,RS,,2024-02-21,Executive Session Completed (H),,6
HB1431,102nd,2024,RS,,2024-02-21,HCS Voted Do Pass (H),,7
HB1432,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1432,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1432,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1432,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1433,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1433,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1433,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1433,102nd,2024,RS,,2024-02-22,Referred: Crime Prevention and Public Safety(H),H 631,4
HB1433,102nd,2024,RS,,2024-02-29,Public Hearing Completed (H),,5
HB1433,102nd,2024,RS,,2024-02-29,Executive Session Completed (H),,6
HB1433,102nd,2024,RS,,2024-02-29,HCS Voted Do Pass (H),,7
HB1433,102nd,2024,RS,,2024-02-29,HCS Reported Do Pass (H) - AYES: 18 NOES: 3 PRESENT: 1,H 709,8
HB1434,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1434,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1434,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1434,102nd,2024,RS,,2024-01-04,Referred: Professional Registration and Licensing(H),H 212,4
HB1434,102nd,2024,RS,,2024-01-09,Public Hearing Completed (H),,5
HB1434,102nd,2024,RS,,2024-02-20,Executive Session Completed (H),,6
HB1434,102nd,2024,RS,,2024-02-20,HCS Voted Do Pass (H),,7
HB1434,102nd,2024,RS,,2024-03-25,HCS Reported Do Pass (H) - AYES: 9 NOES: 0 PRESENT: 0,H 969,8
HB1434,102nd,2024,RS,,2024-03-28,Referred: Rules - Administrative Oversight(H),H 1060,9
HB1434,102nd,2024,RS,,2024-04-02,Executive Session Completed (H),,10
HB1434,102nd,2024,RS,,2024-04-02,Voted Do Pass (H),,11
HB1434,102nd,2024,RS,,2024-04-02,Reported Do Pass (H) - AYES: 7 NOES: 0 PRESENT: 0,H 1176,12
HB1434,102nd,2024,RS,,2024-04-09,Placed on the Informal Perfection Calendar (H),H 1326,13
HB1434,102nd,2024,RS,,2024-04-15,Placed Back on Formal Perfection Calendar (H),H 1400,14
HB1434,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1413,15
HB1434,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,16
HB1435,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1435,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1435,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1435,102nd,2024,RS,,2024-02-01,Referred: Utilities(H),H 421,4
HB1435,102nd,2024,RS,,2024-02-07,Public Hearing Completed (H),,5
HB1435,102nd,2024,RS,,2024-02-21,Executive Session Completed (H),,6
HB1435,102nd,2024,RS,,2024-02-21,HCS Voted Do Pass (H),,7
HB1435,102nd,2024,RS,,2024-03-06,HCS Reported Do Pass (H) - AYES: 11 NOES: 0 PRESENT: 3,H 790,8
HB1436,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1436,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1436,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1436,102nd,2024,RS,,2024-01-25,Referred: Local Government(H),H 340,4
HB1436,102nd,2024,RS,,2024-02-13,Public Hearing Completed (H),,5
HB1437,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1437,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1437,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1437,102nd,2024,RS,,2024-01-18,Referred: Special Committee on Urban Issues(H),H 286,4
HB1437,102nd,2024,RS,,2024-01-23,Public Hearing Completed (H),,5
HB1437,102nd,2024,RS,,2024-01-29,Executive Session Completed (H),,6
HB1437,102nd,2024,RS,,2024-01-29,HCS Voted Do Pass (H),,7
HB1437,102nd,2024,RS,,2024-01-30,HCS Reported Do Pass (H) - AYES: 4 NOES: 0 PRESENT: 0,H 398,8
HB1438,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1438,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1438,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1438,102nd,2024,RS,,2024-01-18,Referred: Local Government(H),H 286,4
HB1438,102nd,2024,RS,,2024-01-30,Public Hearing Completed (H),,5
HB1439,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1439,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1439,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1439,102nd,2024,RS,,2024-01-04,Referred: Local Government(H),H 212,4
HB1439,102nd,2024,RS,,2024-01-16,Public Hearing Completed (H),,5
HB1440,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1440,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1440,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1440,102nd,2024,RS,,2024-01-04,Referred: Elementary and Secondary Education(H),H 212,4
HB1440,102nd,2024,RS,,2024-01-10,Public Hearing Completed (H),,5
HB1440,102nd,2024,RS,,2024-01-18,Executive Session Completed (H),,6
HB1440,102nd,2024,RS,,2024-01-18,HCS Voted Do Pass (H),,7
HB1440,102nd,2024,RS,,2024-03-28,HCS Reported Do Pass (H) - AYES: 14 NOES: 3 PRESENT: 0,H 1055 - 1056,8
HB1440,102nd,2024,RS,,2024-04-04,Referred: Rules - Administrative Oversight(H),H 1303,9
HB1440,102nd,2024,RS,,2024-04-09,Executive Session Completed (H),,10
HB1440,102nd,2024,RS,,2024-04-09,Voted Do Pass (H),,11
HB1440,102nd,2024,RS,,2024-04-09,Reported Do Pass (H) - AYES: 5 NOES: 2 PRESENT: 0,H 1329,12
HB1440,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1412,13
HB1440,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,14
HB1440,102nd,2024,RS,,2024-05-07,Placed on the Informal Perfection Calendar (H),H 1663,15
HB1441,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1441,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1441,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1441,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1442,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1442,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1442,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1442,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2052,4
HB1443,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1443,102nd,2024,RS,,2024-01-03,Read First Time (H),H 11,2
HB1443,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1443,102nd,2024,RS,,2024-02-08,Referred: Crime Prevention and Public Safety(H),H 492,4
HB1443,102nd,2024,RS,,2024-03-07,Public Hearing Completed (H),,5
HB1443,102nd,2024,RS,,2024-04-25,Executive Session Completed (H),,6
HB1443,102nd,2024,RS,,2024-04-25,HCS Voted Do Pass (H),,7
HB1444,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1444,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1444,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1444,102nd,2024,RS,,2024-01-04,Referred: Corrections and Public Institutions(H),H 212,4
HB1444,102nd,2024,RS,,2024-01-17,Public Hearing Completed (H),,5
HB1444,102nd,2024,RS,,2024-02-28,Executive Session Completed (H),,6
HB1444,102nd,2024,RS,,2024-02-28,Voted Do Pass (H),,7
HB1445,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1445,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1445,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1445,102nd,2024,RS,,2024-03-28,Referred: Elections and Elected Officials(H),H 1054,4
HB1445,102nd,2024,RS,,2024-04-15,Public Hearing Completed (H),,5
HB1446,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1446,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1446,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 177,3
HB1446,102nd,2024,RS,,2024-02-08,Referred: Healthcare Reform(H),H 492,4
HB1446,102nd,2024,RS,,2024-02-13,Public Hearing Completed (H),,5
HB1446,102nd,2024,RS,,2024-02-27,Executive Session Completed (H),,6
HB1446,102nd,2024,RS,,2024-02-27,HCS Voted Do Pass (H),,7
HB1446,102nd,2024,RS,,2024-03-13,HCS Reported Do Pass (H) - AYES: 11 NOES: 2 PRESENT: 0,H 924,8
HB1447,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1447,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1447,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 178,3
HB1447,102nd,2024,RS,,2024-01-18,Referred: Elementary and Secondary Education(H),H 287,4
HB1447,102nd,2024,RS,,2024-02-07,Public Hearing Completed (H),,5
HB1447,102nd,2024,RS,,2024-02-14,Executive Session Completed (H),,6
HB1447,102nd,2024,RS,,2024-02-14,HCS Voted Do Pass (H),,7
HB1447,102nd,2024,RS,,2024-02-14,HCS Reported Do Pass (H) - AYES: 12 NOES: 0 PRESENT: 0,H 531,8
HB1447,102nd,2024,RS,,2024-02-29,Referred: Rules - Administrative Oversight(H),H 711,9
HB1447,102nd,2024,RS,,2024-03-04,Executive Session Completed (H),,10
HB1447,102nd,2024,RS,,2024-03-04,Voted Do Pass (H),,11
HB1447,102nd,2024,RS,,2024-03-04,Reported Do Pass (H) - AYES: 9 NOES: 0 PRESENT: 0,H 740,12
HB1447,102nd,2024,RS,,2024-03-26,Placed on the Informal Perfection Calendar (H),H 981,13
HB1447,102nd,2024,RS,,2024-03-26,Placed Back on Formal Perfection Calendar (H),H 989,14
HB1447,102nd,2024,RS,,2024-04-03,Placed on the Informal Perfection Calendar (H),H 1197,15
HB1447,102nd,2024,RS,,2024-04-15,Placed Back on Formal Perfection Calendar (H),H 1400,16
HB1447,102nd,2024,RS,,2024-04-16,Placed on the Informal Perfection Calendar (H),H 1412,17
HB1447,102nd,2024,RS,,2024-05-02,Placed Back on Formal Perfection Calendar (H),H 1584,18
HB1448,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1448,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1448,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 178,3
HB1448,102nd,2024,RS,,2024-01-18,Referred: Elementary and Secondary Education(H),H 287,4
HB1449,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1449,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
HB1449,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 178,3
HB1449,102nd,2024,RS,,2024-02-01,Referred: Utilities(H),H 421,4
HB1450,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1450,102nd,2024,RS,,2024-01-03,Read First Time (H),H 12,2
