Date,State,Bill No,Title,Action
"June 14, 2023",SC,H 4023,Amends the South Carolina Code of Laws to Renew the First Steps Program,"Conference Report Adopted
                           - Senate
                      

                      
                          (36 - 0)"
"June 7, 2023",SC,S 96,Prohibits a Person from Operating Certain Watercraft Without Possessing a Boating Safety Certificate,"Conference Report Adopted
                           - House
                      

                      
                          (97 - 7)"
"May 10, 2023",SC,S 284,Authorizes Tourist Tax Revenue to be Used for Certain Developments and Workforce Housing,"Bill Passed
                           - House
                      

                      
                          (80 - 29)"
"May 10, 2023",SC,S 459,Expands Alcohol Sales at Airports,"Bill Passed
                           - House
                      

                      
                          (80 - 31)"
"May 10, 2023",SC,H 3728,Prohibits Certain Topics From Being Discussed in Public Schools,"Bill Passed
                           - Senate
                      

                      
                          (27 - 10)"
"May 4, 2023",SC,S 363,Prohibits Squat Vehicles and Certain Kinds of Vehicle Modifications,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (37 - 1)"
"May 4, 2023",SC,S 120,Authorizes the State to Buy Lethal Injection Drugs Without Disclosing Manufacturer Company,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (32 - 6)"
"April 20, 2023",SC,S 120,Authorizes the State to Buy Lethal Injection Drugs Without Disclosing Manufacturer Company,"Bill Passed
                           - House
                      

                      
                          (80 - 22)"
"March 23, 2023",SC,S 576,"Prohibits Citizens of ""Foreign Adversary"" Nations from Buying Property in the State","Bill Passed
                           - Senate
                      

                      
                          (31 - 5)"
"March 15, 2023",SC,S 285,"Expands ""Academic Choice in Education"" Program","Bill Passed
                           - Senate
                      

                      
                          (28 - 9)"
"March 14, 2023",SC,S 459,Expands Alcohol Sales at Airports,"Bill Passed
                           - Senate
                      

                      
                          (28 - 12)"
"March 8, 2023",SC,H 3014,Authorizes Additional Penalties for Perpetrators of Hate Crimes,"Bill Passed
                           - House
                      

                      
                          (84 - 31)"
"Feb. 28, 2023",SC,H 3591,"Establishes a Constitutional Amendment to Repeal the State ""Blaine Amendment""","Resolution Passed
                           - House
                      

                      
                          (83 - 27)"
"Feb. 23, 2023",SC,H 3594,Authorizes Permitless Carriage of Firearms by Eligible Adults,"Bill Passed
                           - House
                      

                      
                          (87 - 26)"
"Feb. 22, 2023",SC,S 153,Classifies the Trafficking of Fentanyl as a Felony,"Bill Passed
                           - Senate
                      

                      
                          (45 - 0)"
"Feb. 16, 2023",SC,H 3774,Prohibits Abortion Causing Drugs Unless in Cases of Emergency,"Bill Passed
                           - House
                      

                      
                          (77 - 31)"
"Feb. 9, 2023",SC,S 474,Amends Abortion Laws,"Bill Passed
                           - Senate
                      

                      
                          (28 - 12)"
"Feb. 9, 2023",SC,H 3728,Prohibits Certain Topics From Being Discussed in Public Schools,"Bill Passed
                           - House
                      

                      
                          (79 - 30)"
"Jan. 31, 2023",SC,S 39,Increases Access to Education Savings Accounts,"Bill Passed
                           - Senate
                      

                      
                          (28 - 15)"
"Jan. 19, 2023",SC,H 3604,"Appropriates Funds for Infrastructure, Economic Development, Water and Sewer Systems, and Flood Control","Bill Passed
                           - House
                      

                      
                          (101 - 14)"
