Date,State,Bill No,Title,Action
"June 26, 2024",SC,H 4087,Establishes a State Corporate Income Tax Credit,"Conference Report Adopted
                           - House
                      

                      
                          (93 - 13)"
"May 9, 2024",SC,H 3424,Repeals Access to Pornographic Websites for Minors by Requiring Age Verification,"Concurrence Vote Passed
                           - House
                      

                      
                          (100 - 1)"
"May 8, 2024",SC,H 5118,Requires Privatization of the Dominion Energy Company,"Bill Passed
                           - Senate
                      

                      
                          (40 - 2)"
"May 2, 2024",SC,H 4624,Prohibits Gender Affirming Care for Minors,"Bill Passed
                           - Senate
                      

                      
                          (28 - 8)"
"March 28, 2024",SC,H 4289,"Prohibits Diversity, Equity, and Inclusion (DEI) Hiring at Public Universities","Bill Passed
                           - House
                      

                      
                          (77 - 30)"
"March 28, 2024",SC,H 5118,Requires Privatization of the Dominion Energy Company,"Bill Passed
                           - House
                      

                      
                          (83 - 21)"
"March 6, 2024",SC,H 3594,Authorizes Permitless Carriage of Firearms by Eligible Adults,"Conference Report Adopted
                           - Senate
                      

                      
                          (28 - 18)"
"March 5, 2024",SC,H 3594,Authorizes Permitless Carriage of Firearms by Eligible Adults,"Conference Report Adopted
                           - House
                      

                      
                          (86 - 33)"
"March 5, 2024",SC,H 4113,Establishes a Fee for Private Ambulance Services,"Bill Passed
                           - House
                      

                      
                          (88 - 26)"
"Feb. 21, 2024",SC,S 915,Establishes the Executive Office of Health and Policy,"Bill Passed
                           - Senate
                      

                      
                          (44 - 1)"
"Feb. 13, 2024",SC,S 423,Authorizes Medical Cannabis Use for Adults,"Bill Passed
                           - Senate
                      

                      
                          (24 - 19)"
"Feb. 1, 2024",SC,H 3594,Authorizes Permitless Carriage of Firearms by Eligible Adults,"Bill Passed
                           - Senate
                      

                      
                          (28 - 15)"
"Jan. 17, 2024",SC,H 4624,Prohibits Gender Affirming Care for Minors,"Bill Passed
                           - House
                      

                      
                          (82 - 23)"
