"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"ME","2023_2024","Abden Simmons","18204","H","R","HD-045",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Caldwell Jackson","23259","H","R","HD-080",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Clinton Collamore","23249","H","D","HD-045",TRUE,"Did not serve full term - excluded"
"ME","2023_2024","Dean Cray","8810","H","R","HD-069",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Irene Gifford","24489","H","R","HD-028",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Joseph Galletta","23254","H","R","HD-098",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Kimberly Pomerleau","23273","H","R","HD-085",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Matthew Beck","25173","H","D","HD-122",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Tammy Schmersal-Burgess","23280","H","R","HD-077",FALSE,"Served full term - included with LES=0"
"ME","2023_2024","Thomas Lavigne","23263","H","R","HD-148",FALSE,"Served full term - included with LES=0"
