bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0001,2023,RS,Gail Chasey,FEED BILL,Chaptered,HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=1&year=23
HB0002,2023,RS,Nathan P. Small; Meredith A. Dixon,GENERAL APPROPRIATION ACT OF 2023,Chaptered,HAFC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=2&year=23
HB0003,2023,RS,Dayan Hochman-Vigil,DEPT. OF TRANSPORTATION APPROPRIATION ACT,Substituted,HTPWC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=3&year=23
HB0004,2023,RS,Javier Martínez; Gail Chasey; Katy M. Duhigg; D. Wonda Johnson; Raymundo Lara,VOTING RIGHTS PROTECTIONS,Chaptered,HGEIC Committee Report; HJC Committee Report; SRC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=4&year=23
HB0005,2023,RS,Kathleen Cates; Tara Jaramillo; Charlotte Little; Eleanor Chávez; Reena Szczepanski,CONDUCT OF CURRENT & FORMER PUBLIC OFFICIALS,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=5&year=23
HB0006,2023,RS,Angelica Rubio; Andrea Romero; Patricia Roybal Caballero; Leo Jaramillo,HOUSING & RENT CHANGES,Died (API.),HCPAC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=6&year=23
HB0007,2023,RS,Linda Serrato; Charlotte Little; Kristina Ortez; Reena Szczepanski; Janelle Anyanonu,REPRODUCTIVE & GENDER-AFFIRMING HEALTH CARE,Chaptered,HHHC Committee Report; HJC Committee Report; SHPAC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=7&year=23
HB0008,2023,RS,Reena Szczepanski; Jeff Steinborn; D. Wonda Johnson; Tara L. Lujan,CREATIVE INDUSTRIES DIVISION IN EDD,Chaptered,HCEDC Committee Report; HAFC Committee Report; STBTC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=8&year=23
HB0009,2023,RS,Pamelya Herndon; Mimi Stewart; Patricia Roybal Caballero; Antoinette Sedillo Lopez; Joanne J. Ferrary,UNLAWFUL ACCESS TO FIREARM BY MINOR,Chaptered,HCPAC Committee Report; HJC Committee Report; SJC Committee Report; SFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=9&year=23
HB0010,2023,RS,Marian Matthews; Greg Nibert; Tara Jaramillo; Meredith A. Dixon; Reena Szczepanski,CYFD INFO SHARING,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=10&year=23
HB0011,2023,RS,Tara Jaramillo; Kathleen Cates; Reena Szczepanski; Eleanor Chávez; Marian Matthews,OFFICE OF CHILD ADVOCATE ACT,Died (API.),HHHC Committee Report; HAFC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=11&year=23
HB0012,2023,RS,Meredith A. Dixon; Angelica Rubio; Kristina Ortez; Nathan P. Small; Patricia A. Lundstrom,ADVANCED ENERGY TECHNOLOGY ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=12&year=23
HB0013,2023,RS,Raymundo Lara; Nathan P. Small,BORDER AUTHORITY CHANGES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=13&year=23
HB0014,2023,RS,Raymundo Lara,UNLAWFUL PRIVATE PARAMILITARY ACTIVITY ACT,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=14&year=23
HB0015,2023,RS,Andrea Romero; Antoinette Sedillo Lopez; Linda M. Lopez; Yanira Gurrola; Eleanor Chávez,SPECIAL IMMIGRANT JUVENILE CLASSIFICATION,Chaptered,HJC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=15&year=23
HB0016,2023,RS,Javier Martínez,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=16&year=23
HB0017,2023,RS,Javier Martínez,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=17&year=23
HB0018,2023,RS,Gail Chasey,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=18&year=23
HB0019,2023,RS,Gail Chasey,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=19&year=23
HB0020,2023,RS,Miguel P. García,ESTABLISH CERTAIN LAND GRANTS-MERCEDES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=20&year=23
HB0021,2023,RS,Miguel P. García; Pamelya Herndon,VICTIM ADVOCATES OF HOMICIDE FUNDING,Died (API.),HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=21&year=23
HB0022,2023,RS,Miguel P. García,USE OF AUTO TRAFFIC ENFORCEMENT SYSTEMS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=22&year=23
HB0023,2023,RS,Miguel P. García,BACKGROUND ARTISTS ACT,Died (API.),HLVMC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=23&year=23
HB0024,2023,RS,Miguel P. García,RESPONSIBILITY FOR SIDEWALK REPAIR,Died (API.),HGEIC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=24&year=23
HB0025,2023,RS,Christine Chandler; Patricia Roybal Caballero; Peter Wirth; Janelle Anyanonu; Yanira Gurrola,MINIMUM WAGE INCREASE & INDEXING,Died (API.),HLVMC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=25&year=23
HB0026,2023,RS,Christine Chandler,NOTICE FOR ABANDONED PROPERTY LISTS,Died (API.),HGEIC Committee Report; HJC Committee Report; SHPAC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=26&year=23
HB0027,2023,RS,"Christine Chandler; Elizabeth ""Liz"" Stefanics; Elizabeth ""Liz"" Thomson",BREAST EXAM HEALTH COVERAGE,Chaptered,HHHC Committee Report; HJC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=27&year=23
HB0028,2023,RS,Miguel P. García,STATE MINIMUM WAGE COST-OF-LIVING INCREASE,Died (API.),HLVMC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=28&year=23
HB0029,2023,RS,Miguel P. García; Tara L. Lujan,INTEGRATED SUBSTANCE USE DISORDER PROGRAMS,Died (API.),HHHC Committee Report; HAFC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=29&year=23
HB0030,2023,RS,Christine Chandler; Joy Garratt; Mimi Stewart; Harold Pope; Patricia Roybal Caballero,PUBLIC SCHOOL VENTILATION IMPROVEMENT ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=30&year=23
HB0031,2023,RS,Christine Chandler,NO PUBLICATION REQUIRED FOR NAME CHANGES,Chaptered,HCPAC Committee Report; HJC Committee Report; SHPAC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=31&year=23
HB0032,2023,RS,Debra M. Sariñana; Mimi Stewart; Tara L. Lujan,ENERGY STORAGE SYSTEM INCOME TAX CREDIT,Died (API.),HENRC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=32&year=23
HB0033,2023,RS,"Matthew McQueen; Roberto ""Bobby"" J. Gonzales; Susan K. Herrera; Leo Jaramillo; Kristina Ortez",LAND GRANTS AS POLITICAL SUBDIVISIONS,Died (API.),HRDLC Committee Report; HJC Committee Report; SIRC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=33&year=23
HB0034,2023,RS,Stefani Lord; Crystal R. Brantley; Andrea Reeb,FAMILY IN NEED OF COURT-ORDERED SERVICES,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=34&year=23
HB0035,2023,RS,Stefani Lord; Crystal R. Brantley; John Block; Gail Armstrong; Luis M. Terrazas,FREE CULTURAL SERVICES FOR FOSTER FAMILIES,Chaptered,HGEIC Committee Report; HAFC Committee Report; SIRC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=35&year=23
HB0036,2023,RS,Raymundo Lara,SCHOOL GROUP INSURANCE CONTRIBUTIONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=36&year=23
HB0037,2023,RS,Miguel P. García,CAVERNOUS ANGIOMA RESEARCH FUNDING,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=37&year=23
HB0038,2023,RS,Miguel P. García; Tara Jaramillo; Gail Armstrong,RURAL HEALTH CARE PRACTITIONER ADDITIONS,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=38&year=23
HB0039,2023,RS,"Elizabeth ""Liz"" Thomson",DUAL-LICENSED INSTRUCTIONAL SUPPORT PROVIDERS,Died (API.),HEC Committee Report; HCEDC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=39&year=23
HB0040,2023,RS,"Elizabeth ""Liz"" Thomson",NONTRADITIONAL COMMUNICATION REGISTRY,Chaptered,HHHC Committee Report; HJC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=40&year=23
HB0041,2023,RS,"Elizabeth ""Liz"" Thomson",DEVELOPMENTAL DISABILITIES SUPPORT FUNDING,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=41&year=23
HB0042,2023,RS,"Elizabeth ""Liz"" Thomson; Kristina Ortez; Reena Szczepanski; Elizabeth ""Liz"" Stefanics",PUBLIC HEALTH AND CLIMATE RESILIENCY,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=42&year=23
HB0043,2023,RS,"Elizabeth ""Liz"" Thomson; Gail Chasey; Andrea Romero; Linda Serrato; Reena Szczepanski",AFFIRMATIVE CONSENT POLICY IN SCHOOLS,Died (API.),HEC Committee Report; HJC Committee Report; SEC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=43&year=23
HB0044,2023,RS,Marian Matthews,FEDERAL HOME LOAN BANKS,Died (API.),HCEDC Committee Report; HJC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=44&year=23
HB0045,2023,RS,Matthew McQueen,NATURAL HERITAGE CONSERVATION ACT AMENDMENTS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=45&year=23
HB0046,2023,RS,Joy Garratt; Joseph L. Sanchez; Christine Chandler; Cynthia Borrego,PUBLIC WORKS PROJECT CONTRIBUTIONS,Died (API.),HLVMC Committee Report; HGEIC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=46&year=23
HB0047,2023,RS,Marian Matthews,RURAL HEALTH CARE PROJECT REVOLVING FUND,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=47&year=23
HB0048,2023,RS,Marian Matthews; Cathrynn N. Brown,INDEPENDENT CERTIFIED RN ANESTHETISTS,Died (API.),HHHC Committee Report; HCEDC Committee Report; SHPAC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=48&year=23
HB0049,2023,RS,"Anthony Allison; D. Wonda Johnson; Elizabeth ""Liz"" Thomson; Elizabeth ""Liz"" Stefanics",COUNTY AND TRIBAL HEALTH COUNCILS FUNDING,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=49&year=23
HB0050,2023,RS,Patricia Roybal Caballero; Linda M. Lopez; Eleanor Chávez,POSSESSION OF LARGE CAPACITY GUN MAGAZINE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=50&year=23
HB0051,2023,RS,Pamelya Herndon; Bill Tallman; Jeff Steinborn,PRESCRIPTION DRUG AFFORDABILITY BOARD ACT,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=51&year=23
HB0052,2023,RS,Anthony Allison; D. Wonda Johnson,INTERNATIONAL BACCALAUREATE PROGRAM TESTS,Died (API.),HEC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=52&year=23
