bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0001,2023,RS,2023-01-17,LD: 1,Sent to HAFC - Referrals: HAFC,1
HB0001,2023,RS,2023-01-18,LD: 1,HAFC: Reported by committee with Do Pass recommendation,2
HB0001,2023,RS,2023-01-18,LD: 2,Passed in the House of Representatives - Y:47 N:19,3
HB0001,2023,RS,2023-01-18,LD: 1,Sent to SFC - Referrals: SFC,4
HB0001,2023,RS,2023-01-19,LD: 1,SFC: Reported by committee with Do Pass recommendation,5
HB0001,2023,RS,2023-01-19,LD: 2,Passed in the Senate - Y:33 N:5,6
HB0001,2023,RS,,,Signed by Governor - Chapter  1 - Jan. 20,7
HB0002,2023,RS,2023-01-19,LD: 2,Sent to HAFC - Referrals: HAFC,1
HB0002,2023,RS,2023-02-15,LD: 7,HAFC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,2
HB0002,2023,RS,2023-02-16,LD: 8,Passed in the House of Representatives - Y:52 N:17,3
HB0002,2023,RS,2023-02-17,LD: 8,Sent to SFC - Referrals: SFC,4
HB0002,2023,RS,2023-03-12,LD: 16,SFC: Reported by committee with Do Pass recommendation with amendment(s),5
HB0002,2023,RS,2023-03-12,LD: 17,Passed in the Senate - Y:25 N:16,6
HB0002,2023,RS,2023-03-15,LD: 18,House has concurred with Senate Amendments,7
HB0002,2023,RS,,,Signed by Governor - Chapter 210 - Apr. 7,8
HB0003,2023,RS,2023-01-23,LD: 2,Sent to HTPWC - Referrals: HTPWC/HAFC,1
HB0003,2023,RS,2023-02-09,LD: 4,HTPWC: Reported by committee with Do Pass recommendation with amendment(s),2
HB0003,2023,RS,2023-02-15,LD: 7,Succeeding entries: H 2,3
HB0004,2023,RS,2023-01-27,LD: 3,Sent to HGEIC - Referrals: HGEIC/HJC,1
HB0004,2023,RS,2023-02-09,LD: 4,HGEIC: Reported by committee with Do Pass recommendation,2
HB0004,2023,RS,2023-02-14,LD: 6,HJC: Reported by committee with Do Pass recommendation,3
HB0004,2023,RS,2023-02-21,LD: 10,House of Representatives Floor Amendment,4
HB0004,2023,RS,2023-02-21,LD: 10,Passed in the House of Representatives - Y:41 N:26,5
HB0004,2023,RS,2023-02-22,LD: 8,Sent to SRC - Referrals: SRC/SJC,6
HB0004,2023,RS,2023-02-27,LD: 10,SRC: Reported by committee with Do Pass recommendation with amendment(s),7
HB0004,2023,RS,2023-03-07,LD: 12,SJC: Reported by committee with Do Pass recommendation,8
HB0004,2023,RS,2023-03-08,LD: 12,Passed in the Senate - Y:27 N:14,9
HB0004,2023,RS,2023-03-13,LD: 17,House has concurred with Senate Amendments,10
HB0004,2023,RS,,,Signed by Governor - Chapter 84 - Mar. 30,11
HB0005,2023,RS,2023-02-07,LD: 4,Sent to HGEIC - Referrals: HGEIC/HJC,1
HB0005,2023,RS,2023-02-22,LD: 10,HGEIC: Reported by committee with Do Pass recommendation,2
HB0005,2023,RS,2023-03-04,LD: 14,HJC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0005,2023,RS,2023-03-08,LD: 15,House of Representatives Floor Amendment,4
HB0005,2023,RS,2023-03-08,LD: 15,Passed in the House of Representatives - Y:61 N:0,5
HB0005,2023,RS,2023-03-09,LD: 12,Sent to SJC - Referrals: SJC/SFC,6
HB0005,2023,RS,,,Action Postponed Indefinitely,7
HB0006,2023,RS,2023-02-10,LD: 6,Sent to HCPAC - Referrals: HCPAC/HJC,1
HB0006,2023,RS,2023-02-22,LD: 10,HCPAC: Reported by committee with Do Pass recommendation,2
HB0006,2023,RS,2023-03-11,LD: 16,HJC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0006,2023,RS,,,Action Postponed Indefinitely,4
HB0007,2023,RS,2023-01-25,LD: 2,Sent to HHHC - Referrals: HHHC/HJC,1
HB0007,2023,RS,2023-02-03,LD: 4,HHHC: Reported by committee with Do Pass recommendation,2
HB0007,2023,RS,2023-02-09,LD: 4,HJC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0007,2023,RS,2023-02-21,LD: 10,Passed in the House of Representatives - Y:38 N:31,4
HB0007,2023,RS,2023-02-22,LD: 8,Sent to SHPAC - Referrals: SHPAC/SJC,5
HB0007,2023,RS,2023-03-02,LD: 10,SHPAC: Reported by committee with Do Pass recommendation,6
HB0007,2023,RS,2023-03-04,LD: 12,SJC: Reported by committee with Do Pass recommendation with amendment(s),7
HB0007,2023,RS,2023-03-07,LD: 12,Passed in the Senate - Y:23 N:15,8
HB0007,2023,RS,2023-03-10,LD: 15,House has concurred with Senate Amendments,9
HB0007,2023,RS,,,Signed by Governor - Chapter 11 - Mar. 16,10
HB0008,2023,RS,2023-01-23,LD: 2,Sent to HCEDC - Referrals: HCEDC/HAFC,1
HB0008,2023,RS,2023-02-07,LD: 4,HCEDC: Reported by committee with Do Pass recommendation with amendment(s),2
HB0008,2023,RS,2023-02-21,LD: 10,HAFC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0008,2023,RS,2023-02-24,LD: 11,Passed in the House of Representatives - Y:56 N:10,4
HB0008,2023,RS,2023-02-25,LD: 10,Sent to STBTC - Referrals: STBTC/SFC,5
HB0008,2023,RS,2023-03-04,LD: 12,STBTC: Reported by committee with Do Pass recommendation,6
HB0008,2023,RS,2023-03-13,LD: 17,SFC: Reported by committee with Do Pass recommendation,7
HB0008,2023,RS,2023-03-14,LD: 18,Passed in the Senate - Y:30 N:2,8
HB0008,2023,RS,,,Signed by Governor - Chapter 183 - Apr. 5,9
HB0009,2023,RS,,,Sent to HPREF - Referrals: HPREF,1
HB0009,2023,RS,2023-01-18,LD: 2,Sent to HCPAC - Referrals: HCPAC/HJC,2
HB0009,2023,RS,2023-01-25,LD: 2,HCPAC: Reported by committee with Do Pass recommendation,3
HB0009,2023,RS,2023-01-31,LD: 3,HJC: Reported by committee with Do Pass recommendation,4
HB0009,2023,RS,2023-02-09,LD: 4,House of Representatives Floor Amendment,5
HB0009,2023,RS,2023-02-09,LD: 4,Passed in the House of Representatives - Y:37 N:32,6
HB0009,2023,RS,2023-02-10,LD: 8,Sent to SJC - Referrals: SJC/SFC,7
HB0009,2023,RS,2023-02-28,LD: 10,SJC: Reported by committee with Do Pass recommendation with amendment(s),8
HB0009,2023,RS,2023-03-02,LD: 10,SFC: Reported by committee with Do Pass recommendation,9
HB0009,2023,RS,2023-03-03,LD: 12,Senate Floor Amendment,10
HB0009,2023,RS,2023-03-03,LD: 12,Passed in the Senate - Y:24 N:16,11
HB0009,2023,RS,2023-03-08,LD: 15,House has concurred with Senate Amendments,12
HB0009,2023,RS,,,Signed by Governor - Chapter 5 - Mar. 14,13
HB0010,2023,RS,2023-02-16,LD: 10,Sent to HHHC - Referrals: HHHC/HJC,1
HB0010,2023,RS,2023-03-08,LD: 15,HHHC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,2
HB0010,2023,RS,,,Action Postponed Indefinitely,3
HB0011,2023,RS,2023-02-15,LD: 7,Sent to HHHC - Referrals: HHHC/HAFC,1
HB0011,2023,RS,2023-03-01,LD: 13,HHHC: Reported by committee with Do Pass recommendation,2
HB0011,2023,RS,2023-03-06,LD: 14,HAFC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0011,2023,RS,2023-03-08,LD: 15,House of Representatives Floor Amendment,4
HB0011,2023,RS,2023-03-08,LD: 15,Passed in the House of Representatives - Y:56 N:9,5
