bill_number,session_year,session_type,sponsors,title,status,comm_reports,bill_url
HB0179,2024,RS,"Joanne J. Ferrary; Antoinette Sedillo Lopez; Elizabeth ""Liz"" Thomson; Shannon D. Pinto; D. Wonda Johnson",LIQUOR TAX CHANGES & USES,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=179&year=24
HB0180,2024,RS,Jenifer Jones; Luis M. Terrazas,PREGNANCY & PARENTING WEBSITE & HOTLINE,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=180&year=24
HB0181,2024,RS,"Elizabeth ""Liz"" Thomson",LIFE & HEALTH INSURANCE GUARANTY ACT CHANGES,Chaptered,HHHC Committee Report; HCEDC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=181&year=24
HB0182,2024,RS,Gail Chasey; Charlotte Little; Katy M. Duhigg,ELECTION CHANGES,Chaptered,HGEIC Committee Report; HJC Committee Report; SJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=182&year=24
HB0183,2024,RS,Charlotte Little; Yanira Gurrola,NEGLIGENT USE OF DEADLY WEAPONS,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=183&year=24
HB0184,2024,RS,Debra M. Sariñana; Linda Serrato; Christine Chandler; Gail Chasey; Yanira Gurrola,USE OF ARTIFICIAL INTELLIGENCE TRANSPARENCY,Died (API.),HGEIC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=184&year=24
HB0185,2024,RS,"Elizabeth ""Liz"" Thomson; Joshua Hernandez; Reena Szczepanski; Gail Chasey; Jenifer Jones",STEP THERAPY GUIDELINES,Died (API.),HHHC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=185&year=24
HB0186,2024,RS,Joseph L. Sanchez,CAR CRASH REPORTING DAMAGE AMOUNT,Died (API.),HTPWC Committee Report; HJC Committee Report; STBTC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=186&year=24
HB0187,2024,RS,Joanne J. Ferrary,SCHOOL SOLAR TAX CREDIT,Died (API.),HENRC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=187&year=24
HB0188,2024,RS,Kristina Ortez; Stefani Lord,LAND GRANT REVOLVING LAND FUND,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=188&year=24
HB0189,2024,RS,Kristina Ortez,LOW-INCOME SOLAR ACT,Died (API.),,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=189&year=24
HB0190,2024,RS,Joy Garratt; Patricia A. Lundstrom; Cathrynn N. Brown; Michael Padilla,PUBLIC PRIVATE PARTNERSHIP AGREEMENTS,Died (API.),HTPWC Committee Report; HJC Committee Report,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=190&year=24
