bill_number,session_year,session_type,action_date,legislative_day,action,order
HB0141,2024,RS,2024-01-18,LD: 2,Sent to HJC - Referrals: HJC/HAFC,1
HB0141,2024,RS,2024-01-23,LD: 3,HJC: Reported by committee with Do Pass recommendation,2
HB0141,2024,RS,2024-02-07,LD: 10,HAFC: Reported by committee with Do Pass recommendation with amendment(s),3
HB0141,2024,RS,2024-02-09,LD: 12,Passed in the House of Representatives - Y:52 N:0,4
HB0141,2024,RS,2024-02-09,LD: 7,Sent to SFC - Referrals: SFC,5
HB0141,2024,RS,2024-02-09,LD: 7,SFC: Reported by committee with Do Pass recommendation,6
HB0141,2024,RS,2024-02-10,LD: 8,Passed in the Senate - Y:33 N:6,7
HB0141,2024,RS,,,Signed by Governor - Chapter 3 - Feb. 10,8
HB0142,2024,RS,2024-01-18,LD: 2,Sent to HEC - Referrals: HEC/HAFC,1
HB0142,2024,RS,2024-02-09,LD: 11,HEC: Reported by committee with Do Pass recommendation,2
HB0142,2024,RS,,,Action Postponed Indefinitely,3
HB0143,2024,RS,2024-01-18,LD: 2,Sent to HENRC - Referrals: HENRC/HTRC,1
HB0143,2024,RS,,,Action Postponed Indefinitely,2
HB0144,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0144,2024,RS,2024-01-24,LD: 3,"Withdrawn from committee or daily calendar, ordered printed and referred to",2
HB0144,2024,RS,2024-01-24,LD: 3,Sent to HCPAC - Referrals: HCPAC/HJC,3
HB0144,2024,RS,2024-01-31,LD: 5,HCPAC: Reported by committee with Do Pass recommendation with amendment(s),4
HB0144,2024,RS,,,Action Postponed Indefinitely,5
HB0145,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0145,2024,RS,,,Action Postponed Indefinitely,2
HB0146,2024,RS,2024-01-18,LD: 2,Sent to HTPWC - Referrals: HTPWC/HAFC,1
HB0146,2024,RS,2024-01-26,LD: 4,HTPWC: Reported by committee with Do Pass recommendation with amendment(s),2
HB0146,2024,RS,,,Action Postponed Indefinitely,3
HB0147,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0147,2024,RS,,,Action Postponed Indefinitely,2
HB0148,2024,RS,2024-01-18,LD: 2,Sent to HAAWC - Referrals: HAAWC/HAFC,1
HB0148,2024,RS,2024-01-24,LD: 3,HAAWC: Reported by committee with Do Pass recommendation,2
HB0148,2024,RS,2024-02-06,LD: 9,HAFC: Reported by committee with Do Pass recommendation,3
HB0148,2024,RS,2024-02-09,LD: 12,Passed in the House of Representatives - Y:64 N:0,4
HB0148,2024,RS,2024-02-09,LD: 7,Sent to SCONC - Referrals: SCONC,5
HB0148,2024,RS,2024-02-10,LD: 8,SCONC: Reported by committee with Do Pass recommendation,6
HB0148,2024,RS,2024-02-13,LD: 9,Passed in the Senate - Y:39 N:0,7
HB0148,2024,RS,,,Signed by Governor - Chapter  6 - Feb. 28,8
HB0149,2024,RS,2024-01-18,LD: 2,Sent to HHHC - Referrals: HHHC/HAFC,1
HB0149,2024,RS,2024-01-30,LD: 5,HHHC: Reported by committee with Do Pass recommendation,2
HB0149,2024,RS,,,Action Postponed Indefinitely,3
HB0150,2024,RS,2024-01-18,LD: 2,Sent to HENRC - Referrals: HENRC/HTRC,1
HB0150,2024,RS,,,Action Postponed Indefinitely,2
HB0151,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0151,2024,RS,2024-01-23,LD: 3,"Withdrawn from committee or daily calendar, ordered printed and referred to",2
HB0151,2024,RS,2024-01-23,LD: 3,Sent to HHHC - Referrals: HHHC,3
HB0151,2024,RS,2024-01-30,LD: 5,HHHC: Reported by committee with Do Pass recommendation,4
HB0151,2024,RS,2024-02-04,LD: 9,Passed in the House of Representatives - Y:44 N:17,5
HB0151,2024,RS,2024-02-05,LD: 6,Sent to SEC - Referrals: SEC/SJC,6
HB0151,2024,RS,2024-02-07,LD: 7,SEC: Reported by committee with Do Pass recommendation,7
HB0151,2024,RS,2024-02-13,LD: 12,SJC: Reported by committee with Do Pass recommendation with amendment(s),8
HB0151,2024,RS,2024-02-13,LD: 13,Passed in the Senate - Y:24 N:13,9
HB0151,2024,RS,2024-02-14,LD: 15,House has concurred with Senate Amendments,10
HB0151,2024,RS,,,Signed by Governor - Chapter 34 - Mar. 1,11
HB0152,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0152,2024,RS,,,Action Postponed Indefinitely,2
HB0153,2024,RS,2024-01-18,LD: 2,Sent to HTPWC - Referrals: HTPWC/HAFC,1
HB0153,2024,RS,2024-01-26,LD: 4,HTPWC: Reported by committee with Do Pass recommendation,2
HB0153,2024,RS,,,Action Postponed Indefinitely,3
HB0154,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0154,2024,RS,,,Action Postponed Indefinitely,2
HB0155,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0155,2024,RS,,,Action Postponed Indefinitely,2
HB0156,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0156,2024,RS,,,Action Postponed Indefinitely,2
HB0157,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0157,2024,RS,,,Action Postponed Indefinitely,2
HB0158,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0158,2024,RS,,,Action Postponed Indefinitely,2
HB0159,2024,RS,2024-01-18,LD: 2,Sent to HCEDC - Referrals: HCEDC/HTRC,1
HB0159,2024,RS,2024-01-29,LD: 4,HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,2
HB0159,2024,RS,,,Action Postponed Indefinitely,3
HB0160,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0160,2024,RS,,,Action Postponed Indefinitely,2
HB0161,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0161,2024,RS,,,Action Postponed Indefinitely,2
HB0162,2024,RS,2024-01-18,LD: 2,Not Printed,1
HB0162,2024,RS,2024-01-24,LD: 3,"Withdrawn from committee or daily calendar, ordered printed and referred to",2
HB0162,2024,RS,2024-01-24,LD: 3,Sent to HAAWC - Referrals: HAAWC/HJC,3
HB0162,2024,RS,2024-01-30,LD: 5,HAAWC: Reported by committee with Do Pass recommendation,4
HB0162,2024,RS,2024-02-06,LD: 9,HJC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,5
HB0162,2024,RS,,,Action Postponed Indefinitely,6
