"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"NH","2023_2024","Jean Jeudy","5090","H","D","HD-23-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Jeffrey Rich","23497","H","D","HD-12-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Jeffrey Tenczar","23514","H","R","HD-01-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Jennifer Mandelbaum","25186","H","D","HD-01-ROC",FALSE,"Assumed office 3/27/24 — partial term, included with LES=0"
"NH","2023_2024","Jennifer Morton","23473","H","D","HD-34-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Jim Fedolfi","19155","H","R","HD-30-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Jim Qualey","21862","H","R","HD-18-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Joan Hamblet","21819","H","D","HD-26-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","John Leavitt","19167","H","R","HD-10-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","John Sytek","11988","H","R","HD-25-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Joseph Guthrie","17478","H","R","HD-15-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Joseph Pitre","10919","H","R","HD-01-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Judi Lanza","23528","H","D","HD-29-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Julie Gilman","18131","H","D","HD-11-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Juliet Smith","23508","H","D","HD-18-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Julius Soti","21871","H","R","HD-35-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Karen Calabro","23419","H","D","HD-45-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Karen Umberger","4831","H","R","HD-02-CAR",TRUE,"Left office 12/7/2022 — did not serve in 2023-2024 term"
"NH","2023_2024","Kate Murray","18445","H","D","HD-22-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Kenneth Vincent","18132","H","D","HD-12-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Kimberly Abare","23402","H","R","HD-01-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Kurt Wuelper","16623","H","R","HD-03-STR",TRUE,"Prior-term holdover in legiscan; term ended Dec 7 2022, did not run for re-election"
"NH","2023_2024","Larry Gagne","11700","H","R","HD-16-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Larry Laflamme","19165","H","D","HD-03-COO",TRUE,"Prior-term holdover in legiscan; term ended Dec 7 2022, did not run for re-election"
"NH","2023_2024","Lilli Walsh","23515","H","R","HD-15-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Linda DiSilvestro","15546","H","D","HD-17-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Linda Haskins","23447","H","D","HD-11-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Linda Ryan","23500","H","D","HD-04-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Lisa Smart","23506","H","R","HD-02-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Loren Foxx","23439","H","D","HD-02-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Lorrie Carey","14483","H","D","HD-01-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Louis Juris","23453","H","D","HD-07-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Luz Bay","23409","H","D","HD-21-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Marc Plamondon","24943","H","D","HD-03-HIL",FALSE,"Assumed office 5/31/23 — partial term, included with LES=0"
"NH","2023_2024","Maria Perez","21856","H","D","HD-43-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Mark Alliegro","21786","H","R","HD-07-GRA",TRUE,"Prior-term holdover in legiscan; lost re-election Nov 2022"
"NH","2023_2024","Mark Vallone","19852","H","D","HD-05-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Martin Jack","14872","H","D","HD-10-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Mary Freitas","17476","H","D","HD-26-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Mary Mayville","21844","H","R","HD-21-HIL",TRUE,"Prior-term holdover in legiscan; lost re-election Nov 2022 (ran for different district)"
"NH","2023_2024","Melissa Blasek","21796","H","R","HD-21-HIL",TRUE,"Left office 12/7/2022 — did not serve in 2023-2024 term"
"NH","2023_2024","Merryl Gibbs","23442","H","D","HD-23-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Michael Costable","18171","H","R","HD-08-CAR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Michael Murphy","25127","H","R","HD-06-COO",FALSE,"Assumed office 1/31/24 — partial term, included with LES=0"
"NH","2023_2024","Michael O'Brien","4908","H","D","HD-10-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Michael Pedersen","19749","H","D","HD-09-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Mike Drago","23432","H","R","HD-04-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Molly Howard","23450","H","D","HD-31-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Nicole Leapley","23460","H","D","HD-22-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Oliver Ford","21811","H","R","HD-03-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Paige Beauchemin","24995","H","D","HD-03-HIL",FALSE,"Assumed office Nov/Dec 2023 — partial term, included with LES=0"
"NH","2023_2024","Paul Terry","21874","H","R","HD-07-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Paul Tudor","21878","H","R","HD-01-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Peggy Balboni","23405","H","D","HD-38-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Peter Lovett","23463","H","D","HD-08-GRA",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Peter Varney","17055","H","R","HD-07-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Phyllis Katsakiores","4898","H","R","HD-13-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Ray Newman","19808","H","D","HD-04-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Renee Monteil","23471","H","D","HD-15-CHE",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Richard Beaudoin","19885","H","R","HD-06-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Richard Lascelles","18812","H","R","HD-14-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Richard Tripp","19180","H","R","HD-13-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Robert Harb","19857","H","R","HD-20-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Robert Menear","15583","H","D","HD-11-STR",FALSE,"Left office 11/13/23 — partial term, included with LES=0"
"NH","2023_2024","Robin Vogt","23526","H","D","HD-21-ROC",FALSE,"Left office 12/1/23 — partial term, included with LES=0"
"NH","2023_2024","Russell Dumais","17473","H","R","HD-06-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Sean Durkin","25126","H","R","HD-01-COO",FALSE,"Assumed office 1/31/24 — partial term, included with LES=0 (email refers to as 'Sean Duncan')"
"NH","2023_2024","Shane Sirois","23505","H","R","HD-32-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Sharon Nordgren","5095","H","D","HD-12-GRA",FALSE,"Left office 2/10/24 — partial term, included with LES=0"
"NH","2023_2024","Shelley Devine","23429","H","D","HD-05-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Skip Rollins","15593","H","R","HD-03-SUL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Stephanie Payeur","23485","H","D","HD-08-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Stephen Boyd","21798","H","R","HD-10-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Stephen Kennedy","23454","H","R","HD-13-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Stephen Woodcock","19757","H","D","HD-01-CAR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Steven Bogert","23411","H","R","HD-05-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Susan Elberger","23434","H","D","HD-05-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Susan Treleaven","17492","H","D","HD-21-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Tanya Donnelly","23431","H","R","HD-25-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Thomas Kaczynski","17304","H","R","HD-05-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Thomas Southworth","17491","H","D","HD-11-STR",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Tim Cahill","23418","H","R","HD-04-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Timothy Soucy","4910","H","D","HD-21-MER",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Tina Harley","21820","H","R","HD-30-ROC",FALSE,"Left office 5/1/24 — partial term, included with LES=0"
"NH","2023_2024","Tom Dolan","19793","H","R","HD-16-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Tom Ploszaj","21859","H","R","HD-01-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Tony Piemonte","19792","H","R","HD-09-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Travis O'Hara","21851","H","R","HD-04-BEL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Trinidad Tellez","23513","H","D","HD-40-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Troy Merner","18166","H","R","HD-01-COO",FALSE,"Left office 9/20/23 — partial term, included with LES=0"
"NH","2023_2024","Valerie McDonnell","23469","H","R","HD-25-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Wayne MacDonald","21842","H","R","HD-16-ROC",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","William Dolan","23430","H","D","HD-09-HIL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","William Hatch","4828","H","D","HD-06-COO",FALSE,"Left office 9/18/23 — partial term, included with LES=0"
"NH","2023_2024","William Palmer","23482","H","D","HD-02-SUL",FALSE,"Served full term - included with LES=0"
"NH","2023_2024","Zachary Nutting","23478","H","R","HD-11-CHE",FALSE,"Left office 9/11/24 — partial term, included with LES=0"
