bill_id,term,session,title,description,commem
HB0001,2023_2024,2023-RS,Higher Education Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",0
HB0002,2023_2024,2023-RS,Public Education Budget Amendments,"This bill supplements or reduces appropriations otherwise provided for the support and operation of public education for the fiscal year beginning July 1, 2022, and ending June 30, 2023, and for the fiscal year beginning July 1, 2023, and ending June 30, 2024.",0
HB0003,2023_2024,2023-RS,Current Fiscal Year Supplemental Appropriations,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023.",0
HB0004,2023_2024,2023-RS,"Business, Economic Development, and Labor Base Budget","This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",0
HB0006,2023_2024,2023-RS,Infrastructure and General Government Base Budget,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",0
HB0007,2023_2024,2023-RS,"National Guard, Veterans Affairs, and Legislature Base Budget","This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2022 and ending June 30, 2023 and appropriates funds for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",0
HB0008,2023_2024,2023-RS,State Agency and Higher Education Compensation Appropriations,"This bill supplements or reduces appropriations otherwise provided for the support and operation of state government for the fiscal year beginning July 1, 2023 and ending June 30, 2024.",0
HB0011,2023_2024,2023-RS,Volunteer Government Workers Amendments,This bill amends provisions of the Volunteer Government Workers Act.,0
HB0012,2023_2024,2023-RS,Department of Commerce Electronic Payment Fees,This bill amends provisions related to revenue collected by the Department of Commerce.,0
HB0013,2023_2024,2023-RS,Governor's Committee on Employment of People with Disabilities Amendments,This bill addresses the Governor's Committee on Employment of People with Disabilities.,0
HB0014,2023_2024,2023-RS,Insurance Commissioner Authority Sunset Amendments,This bill extends the sunset date for provisions authorizing the insurance commissioner to coordinate with other entities regarding certain insurance regulations.,0
HB0015,2023_2024,2023-RS,Board of Credit Union Advisors Sunset Amendments,This bill amends the repeal date of the Board of Credit Union Advisors.,0
HB0016,2023_2024,2023-RS,Block Grant Funding for Prevention Programs in Public Education,This bill establishes block grant funding for the implementation of comprehensive prevention programs in local education agencies.,0
HB0017,2023_2024,2023-RS,Utah Professional Practices Advisory Commission Sunset Extension,This bill extends the repeal date for the Utah Professional Practices Advisory Commission.,0
HB0018,2023_2024,2023-RS,Online Dating Safety Amendments,This bill concerns online dating service safety requirements.,0
HB0019,2023_2024,2023-RS,Rape Crisis Center Modifications,This bill amends definitions relating to rape crisis centers and sexual assault counselors.,0
HB0020,2023_2024,2023-RS,Collection Agency Amendments,This bill repeals certain provisions related to collection agencies.,0
HB0021,2023_2024,2023-RS,Open and Public Meetings Act Amendments,This bill modifies the Open and Public Meetings Act relating to public comment requirements.,0
HB0022,2023_2024,2023-RS,Local District Amendments,"This bill is the second of two bills that change the name of ""local district"" to ""special district.""",0
