bill_id,term,session,title,summary,approp_bill,commem
HB1403,2023_2024,2023_2024,"AN ACT Relating to making it possible for more properties to have access to water, storm drains, and sanitary sewage systems;","Making it possible for more properties to have access to water, storm drains, and sanitary sewage systems.",0,0
HB1404,2023_2024,2023_2024,"AN ACT Relating to reforming the state building code council, its operations and procedures, and its statutory authority;","Reforming the state building code council, its operations and procedures, and its statutory authority.",0,0
HB1405,2023_2024,2023_2024,"AN ACT Relating to preserving public benefit payments to people in the care of the department of children, youth, and families;","Preserving public benefit payments to people in the care of the department of children, youth, and families.",0,0
HB1406,2023_2024,2023_2024,AN ACT Relating to youth seeking housing assistance and other related services;,Concerning youth seeking housing assistance and other related services.,0,0
HB1407,2023_2024,2023_2024,AN ACT Relating to maintaining eligibility for developmental disability services;,Maintaining eligibility for developmental disability services.,0,0
HB1408,2023_2024,2023_2024,AN ACT Relating to creating an account for the pharmaceutical rebate revenue generated by the purchase of medications for people living with HIV who are enrolled in the early intervention program;,Creating an account for the pharmaceutical rebate revenue generated by the purchase of medications for people living with HIV who are enrolled in the early intervention program.,0,0
HB1409,2023_2024,2023_2024,AN ACT Relating to compelling the state building code council to expand residential building code classifications;,Compelling the state building code council to expand residential building code classifications.,0,0
HB1410,2023_2024,2023_2024,"AN ACT Relating to supporting people who have been targeted or affected by hate crimes and bias incidents by establishing a reporting hotline, tracking hate crimes and bias incidents, and creating a compensation program and assistance fund;",Concerning people who have been targeted or affected by hate crimes and bias incidents.,0,0
HB1411,2023_2024,2023_2024,AN ACT Relating to supporting student success through cross-sector professional development informed by a study of measures of and mitigators for community risk and protective factors;,Supporting student success through cross-sector professional development.,0,0
HB1412,2023_2024,2023_2024,AN ACT Relating to foreign ownership of agricultural lands;,Addressing foreign ownership of agricultural lands.,0,0
HB1413,2023_2024,2023_2024,AN ACT Relating to flexible work for general and limited authority Washington peace officers;,Concerning flexible work for general and limited authority Washington peace officers.,0,0
HB1414,2023_2024,2023_2024,AN ACT Relating to the removal of vehicles by a regional transit authority when obstructing the operation of high capacity transportation vehicles or jeopardizing public safety;,Concerning the removal of vehicles by a regional transit authority when obstructing the operation of high capacity transportation vehicles or jeopardizing public safety.,0,0
HB1415,2023_2024,2023_2024,AN ACT Relating to making the knowing possession of a controlled substance a gross misdemeanor offense under criminal violations of Title 69 RCW;,Making the knowing possession of a controlled substance a gross misdemeanor offense under criminal violations of Title 69 RCW.,0,0
HB1416,2023_2024,2023_2024,AN ACT Relating to applying the affected market customer provisions of the Washington clean energy transformation act to nonresidential customers of consumer-owned utilities;,Applying the affected market customer provisions of the Washington clean energy transformation act to nonresidential customers of consumer-owned utilities.,0,0
HB1417,2023_2024,2023_2024,AN ACT Relating to the multistate nurse licensure compact;,Concerning the multistate nurse licensure compact.,0,0
HB1418,2023_2024,2023_2024,AN ACT Relating to enrichment funding for charter public schools;,Providing enrichment funding for charter public schools.,0,0
HB1419,2023_2024,2023_2024,AN ACT Relating to county treasurers' duties concerning registered warrants;,Concerning county treasurers' duties.,0,0
HB1420,2023_2024,2023_2024,AN ACT Relating to lien priority of mortgages and deeds of trust;,Concerning lien priority of mortgages and deeds of trust.,0,0
HB1421,2023_2024,2023_2024,AN ACT Relating to adding counties to the voluntary stewardship program;,Adding counties to the voluntary stewardship program.,0,0
HB1422,2023_2024,2023_2024,AN ACT Relating to clarifying that certain reusable packing materials are exempt from sales and use tax;,Clarifying that certain reusable packing materials are exempt from sales and use tax.,0,0
HB1423,2023_2024,2023_2024,AN ACT Relating to authorizing the department of natural resources to create and manage a trust land transfer program;,Authorizing the department of natural resources to create and manage a trust land transfer program.,0,0
HB1424,2023_2024,2023_2024,AN ACT Relating to consumer protection with respect to the sale and adoption of dogs and cats;,Concerning consumer protection with respect to the sale and adoption of dogs and cats.,0,0
HB1425,2023_2024,2023_2024,AN ACT Relating to facilitating municipal annexations;,Facilitating municipal annexations.,0,0
HB1426,2023_2024,2023_2024,AN ACT Relating to campaign contributions by controlled entities;,Concerning campaign contributions by controlled entities.,0,0
HB1427,2023_2024,2023_2024,AN ACT Relating to on-premises energy generation;,Concerning on-premises energy generation.,0,0
HB1428,2023_2024,2023_2024,AN ACT Relating to pedestrians crossing and moving along roadways;,Concerning pedestrians crossing and moving along roadways.,0,0
HB1429,2023_2024,2023_2024,AN ACT Relating to prohibiting strikes by employees covered by the educational employment relations act and authorizing interest arbitration;,Prohibiting strikes by employees covered by the educational employment relations act and authorizing interest arbitration.,0,0
HB1430,2023_2024,2023_2024,"AN ACT Relating to improving communication between the department of children, youth, and families and caregivers;","Improving communication between the department of children, youth, and families and caregivers.",0,0
HB1431,2023_2024,2023_2024,AN ACT Relating to clarifying that meals furnished to tenants of senior living communities as part of their rental agreement are not subject to sales and use tax;,Clarifying that meals furnished to tenants of senior living communities as part of their rental agreement are not subject to sales and use tax.,0,0
HB1432,2023_2024,2023_2024,AN ACT Relating to decreasing barriers to successful community participation for individuals involved in the juvenile justice system;,Concerning juvenile justice.,0,0
HB1433,2023_2024,2023_2024,AN ACT Relating to energy labeling of residential buildings;,Concerning energy labeling of residential buildings.,0,0
HB1434,2023_2024,2023_2024,AN ACT Relating to protecting patients in facilities regulated by the department of health by establishing uniform enforcement tools;,Protecting patients in facilities regulated by the department of health by establishing uniform enforcement tools.,0,0
HB1435,2023_2024,2023_2024,AN ACT Relating to the development of a home care safety net assessment;,Developing a home care safety net assessment.,0,0
HB1436,2023_2024,2023_2024,AN ACT Relating to special education funding;,Funding special education.,0,0
HB1437,2023_2024,2023_2024,AN ACT Relating to the interstate massage compact;,Concerning the interstate massage compact.,0,0
HB1438,2023_2024,2023_2024,AN ACT Relating to authorizing bona fide charitable or nonprofit organizations to conduct Calcutta auctions on shooting sports contests;,Authorizing bona fide charitable or nonprofit organizations to conduct Calcutta auctions on shooting sports contests.,0,0
HB1439,2023_2024,2023_2024,AN ACT Relating to child exposure to violence;,Addressing child exposure to violence.,0,0
HB1440,2023_2024,2023_2024,AN ACT Relating to the jurisdiction of juvenile court;,Concerning the jurisdiction of juvenile court.,0,0
HB1441,2023_2024,2023_2024,AN ACT Relating to the use of automatic renewal provisions in business equipment and business services contracts;,Concerning the use of automatic renewal provisions in business equipment and business services contracts.,0,0
HB1442,2023_2024,2023_2024,"AN ACT Relating to defining synthetic media in campaigns for elective office, and providing relief for candidates and campaigns;","Defining synthetic media in campaigns for elective office, and providing relief for candidates and campaigns.",0,0
HB1443,2023_2024,2023_2024,AN ACT Relating to updating the process for online voter registration by allowing voter applicants to provide the last four digits of social security number for authentication;,Updating the process for online voter registration by allowing voter applicants to provide the last four digits of social security number for authentication.,0,0
HB1444,2023_2024,2023_2024,AN ACT Relating to providing common school trust revenue to small school districts;,Providing common school trust revenue to small school districts.,0,0
HB1445,2023_2024,2023_2024,AN ACT Relating to strengthening and clarifying the authority of the attorney general to address law enforcement and local corrections agency misconduct through investigations and legal actions;,Concerning law enforcement and local corrections agency misconduct through investigations and legal actions.,0,0
HB1446,2023_2024,2023_2024,AN ACT Relating to incentivizing cities and counties to increase employment of commissioned law enforcement officers;,Incentivizing cities and counties to increase employment of commissioned law enforcement officers.,0,0
HB1447,2023_2024,2023_2024,"AN ACT Relating to strengthening the ability of assistance programs to meet foundational needs of children, adults, and families;","Strengthening the ability of assistance programs to meet foundational needs of children, adults, and families.",0,0
HB1448,2023_2024,2023_2024,AN ACT Relating to compliance with federal motor carrier safety administration requirements for the drug and alcohol clearinghouse;,Concerning compliance with federal motor carrier safety administration requirements for the drug and alcohol clearinghouse.,0,0
HB1449,2023_2024,2023_2024,AN ACT Relating to amending reporting requirements for the project permit application processing timeline;,Amending reporting requirements for the project permit application processing timeline.,0,0
HB1450,2023_2024,2023_2024,AN ACT Relating to coverage for biomarker testing;,Concerning coverage for biomarker testing.,0,0
HB1451,2023_2024,2023_2024,AN ACT Relating to expanding the child care workforce;,Expanding the child care workforce.,0,0
HB1452,2023_2024,2023_2024,AN ACT Relating to establishing a state medical reserve corps;,Establishing a state medical reserve corps.,0,0
HB1453,2023_2024,2023_2024,AN ACT Relating to providing a tax exemption for medical cannabis patients;,Providing a tax exemption for medical cannabis patients.,0,0
HB1454,2023_2024,2023_2024,AN ACT Relating to classification as a competitive telecommunications company for an incumbent local exchange carrier currently operating under an alternative form of regulation authorized by RCW 80.36.135;,Concerning classification as a competitive telecommunications company for an incumbent local exchange carrier currently operating under an alternative form of regulation authorized by RCW 80.36.135.,0,0
HB1455,2023_2024,2023_2024,AN ACT Relating to eliminating child marriage;,Eliminating child marriage.,0,0
HB1456,2023_2024,2023_2024,AN ACT Relating to changing the definition of theft;,Concerning the definition of theft.,0,0
HB1457,2023_2024,2023_2024,AN ACT Relating to a motor carrier's ability to access restroom facilities required by rules authorized under chapter 49.17 RCW;,Concerning a motor carrier’s ability to access restroom facilities required by rules authorized under chapter 49.17 RCW.,0,0
