"bill_id","pvs_title","candidate_session","candidate_summary","match"
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-RS","Relating to the enforcement of certain federal laws regulating oil and gas operations within the State of Texas.","Y"
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS1","Relating to reducing school district maintenance and operations ad valorem taxes through the use of certain surplus state revenue.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS2","Relating to electronic voter registration.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS3","Relating to certain requirements for the operational component of a local workforce development board's local plan.",""
"HB0033","Establishes the State of Texas as a Sanctuary State for Oil and Gas Companies","88-SS4","Relating to the authority of the legislature, courts, the governor, and other state and local officials regarding declared states of disaster.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-RS","General Appropriations Bill.","Y"
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS1","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS2","Relating to a reduction in the maximum compressed tax rate of a school district and additional state aid for certain school districts impacted by compression.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS3","Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.",""
"HB0001","Appropriates Funds for the Fiscal Year 2023-2025 State Budget","88-SS4","Relating to primary and secondary education, including the certification, compensation, and health coverage of certain public school employees, the public school finance system, special education in public schools, the establishment of an education savings account program, measures to support the education of public school students that include certain educational grant programs, reading instruction, and early childhood education, the provision of virtual education, and public school accountability.",""
"HB0005","Establishes Economic Incentives for Oil and Gas Companies","88-RS","Relating to agreements authorizing a limitation on taxable value of certain property to provide for the creation of jobs and the generation of state and local tax revenue; authorizing fees; authorizing penalties.","Y"
