bill_id,term,session,summary,subjects,commem
HB2544,2023_2024,2023-RS,Make investigation and enforcement of the Patient Brokering Act the responsibility of OHFLAC,Health,0
HB2545,2023_2024,2023-RS,Require a study on homelessness be conducted by the Bureau for Behavioral Health,,0
HB2546,2023_2024,2023-RS,Require Substance Use Disorder inpatient providers to offer patients transportation to certain places upon discharge,Health,0
HB2547,2023_2024,2023-RS,Relating to the criminal forfeiture process act,Crime,0
HB2548,2023_2024,2023-RS,Relating to temporary identification cards for released inmates,Motor Vehicles,0
HB2549,2023_2024,2023-RS,Permit teachers in K-12 schools be authorized to carry concealed firearms as a designated school protection officer,Crime; Education (K12),0
HB2550,2023_2024,2023-RS,Relating to Off Duty LEO and LEOSA Exemptions,Crime,0
HB2551,2023_2024,2023-RS,Creating the Homeschool Credential Recognition Act,Education (K12),0
HB2552,2023_2024,2023-RS,Relating to requiring disclosure of the lawful activity that is the basis of a permit application with the Department of Environmental Protection,Environment,0
HB2553,2023_2024,2023-RS,"Expand the scope of hunting, fishing, and trapping benefits provided to former members of the United States Armed forces",Natural Resources,0
HB2554,2023_2024,2023-RS,Allowing a person to manufacture a stated amount of alcoholic liquor for personal consumption,Alcoholic Liquors and Beers,0
HB2555,2023_2024,2023-RS,Relating to death penalty for first degree murder,Crime,0
HB2556,2023_2024,2023-RS,Eliminating fees for hunting and fishing licenses for military retirees.,Military and Veterans; Natural Resources,0
HB2557,2023_2024,2023-RS,Make appointment process for Congressional seats the same as that for the US Senate,Constitutional Officers,0
HB2558,2023_2024,2023-RS,Permitting religious exemptions for compulsory immunizations,Health,0
HB2559,2023_2024,2023-RS,Prohibiting mask mandates by the State of West Virginia,Health,0
HB2560,2023_2024,2023-RS,To require cameras in every classroom and room where children are present,Education (K12); Public Safety,0
HB2561,2023_2024,2023-RS,Clarifying the announcement form and eligibility requirements for becoming a candidate for election to a public office,Elections,0
HB2562,2023_2024,2023-RS,Provide for a special drivers license for those with physical disabilities,Motor Vehicles,0
HB2563,2023_2024,2023-RS,Provide that someone guilty of a crime where victim was a police officer in performance of duties is ineligible for parole,Crime,0
HB2564,2023_2024,2023-RS,Repeal of administrative hearing procedures for DUI offenses,Motor Vehicles; Roads and Transportation,0
HB2565,2023_2024,2023-RS,Relating to registration plates,Motor Vehicles,0
HB2566,2023_2024,2023-RS,Increasing the Homestead Property Tax Exemption,Taxation,0
HB2567,2023_2024,2023-RS,Relating to felony trespassing,Crime,0
HB2568,2023_2024,2023-RS,Raising retirement rate for Deputy Sheriff’s Retirement System,Retirement,0
HB2569,2023_2024,2023-RS,Establishing the Motorsport Responsibility Act,Motor Vehicles; Natural Resources,0
HB2570,2023_2024,2023-RS,"Requiring certain non-discretionary procedures be strictly complied with by the West Virginia Parkways Authority before tolls, rents, fees or charges may be increased",Roads and Transportation,0
HB2571,2023_2024,2023-RS,Require county school boards to have members elected per district,Education (K12),0
HB2572,2023_2024,2023-RS,To create the Protection of Shared Physical and Digital Property from Warrantless Searches Act,Crime,0
HB2573,2023_2024,2023-RS,To create the Criminal Forfeiture Act,Crime,0
HB2574,2023_2024,2023-RS,Relating to warrantless entry of private lands,Natural Resources,0
HB2575,2023_2024,2023-RS,"To expand recreational benefits to West Virginia Landowners to promote land ownership within the State, increase property value, bolster the State economy, and to provide additional benefits to West Virginia taxpayers",Economic Development; Natural Resources; Real and Personal Property,0
HB2576,2023_2024,2023-RS,Municipalities may not assess a user fee when employee was not present in the municipality in the performance of his or her job,Municipalities,0
HB2577,2023_2024,2023-RS,Revoke spending authority for money used by an agency in support of a challenge to WV law,Appropriations,0
HB2578,2023_2024,2023-RS,To create the Rural Area Department Volunteer Incentive Act of 2023,Boards and Commissions; Public Safety,0
HB2579,2023_2024,2023-RS,Relating to the nonpartisan election of county superintendents of schools,Elections,0
HB2580,2023_2024,2023-RS,Requiring an annual test for students to advance to the next grade level,Education (K12),0
HB2581,2023_2024,2023-RS,Relating to a permanent partial repeal of the gasoline tax in WV not to exceed 50% of the current tax,Taxation,0
HB2582,2023_2024,2023-RS,To reduce the amount of money provided in welfare programs for certain individuals,Taxation,0
HB2583,2023_2024,2023-RS,Veterans' Welcome Home Grant,Military and Veterans,0
HB2584,2023_2024,2023-RS,Allow homestead exemptions for disabled veterans,Taxation,0
HB2585,2023_2024,2023-RS,"Authorizing a special election for presenting the question of a special levy renewal for levies expiring prior to the primary election scheduled for May 14, 2024",Elections; Taxation,0
HB2586,2023_2024,2023-RS,Relating to establishing a thirty thousand dollar homestead exemption for taxpayers with a household income at or below U.S. Department of Health & Human Services Poverty Guidelines.,Taxation,0
HB2587,2023_2024,2023-RS,To reflect that County Sheriffs will be required to include a breakdown of the distribution of where a citizen’s taxes will be paid,Municipalities; Taxation,0
HB2588,2023_2024,2023-RS,Relating to indexing unemployment benefits based on the state average unemployment rate,Unemployment Compensation,0
HB2589,2023_2024,2023-RS,Requiring work search activities to qualify for unemployment benefits,Unemployment Compensation,0
HB2590,2023_2024,2023-RS,To remove the helmet law in West Virginia.,Motor Vehicles; Roads and Transportation,0
HB2591,2023_2024,2023-RS,To ensure party affiliation is consistent with candidate’s voter registration,Elections,0
HB2592,2023_2024,2023-RS,To provide safe harbor peer review for nurses,Health,0
HB2593,2023_2024,2023-RS,Creating the WV Energy Efficiency Jobs Creation Act,Public Service Commission,0
HB2594,2023_2024,2023-RS,Relating to the death penalty for first degree murder,Crime,0
HB2595,2023_2024,2023-RS,To require that Public Service District Boards that represent more than one community to have at least one member from each community on the board.,Boards and Commissions; Public Service Commission,0
HB2596,2023_2024,2023-RS,To modify when a nonresident student’s transfer may be denied,Education (K12),0
HB2597,2023_2024,2023-RS,Amending performance evaluations of professional personnel,Education (K12),0
HB2598,2023_2024,2023-RS,Raising salaries for school service personnel,Education (K12); State Personnel,0
HB2599,2023_2024,2023-RS,Creating the utility pole rights of way and easement mapping initiative,Economic Development,0
HB2600,2023_2024,2023-RS,Making disbursement of hotel occupancy tax wholly discretionary,Taxation,0
HB2601,2023_2024,2023-RS,"To remove the taxation on burials, funerals and cremation",Taxation,0
HB2602,2023_2024,2023-RS,Reestablishing certain specialized school service personnel classifications,Education (K12),0
HB2603,2023_2024,2023-RS,Relating to vaccination and mask requirements,Health,0
HB2604,2023_2024,2023-RS,All relating to dental health care service plans,Health; Insurance,0
HB2605,2023_2024,2023-RS,Relating to Good Samaritan law,,0
HB2606,2023_2024,2023-RS,Removing and modifying certain requirements for employers relating to wages for construction of public improvements,Labor,0
HB2607,2023_2024,2023-RS,Clarify that vehicles with a capacity larger than 10 passengers may be used to transport students provided that no more than 10 passengers may be transported at one time.,Education (K12),0
HB2608,2023_2024,2023-RS,Allow pass-through entities to elect to be taxed at the entity level,Taxation,0
HB2609,2023_2024,2023-RS,To require the Department of Environmental Protection to assume responsibility of cost and permitting of dams that are deemed to be under state control,Environment,0
HB2610,2023_2024,2023-RS,Relating to choice of law provisions in franchise agreements,"Actions, Suits and Liens",0
HB2611,2023_2024,2023-RS,To remove certain territorial limitations on a banking institution’s ability to offer messenger services or mobile banking facilities,Banking and Finance,0
HB2612,2023_2024,2023-RS,Authorizing a medical power of attorney representative to sign a binding arbitration agreement,Health,0
HB2613,2023_2024,2023-RS,Relating to the administration of anesthetics,Public Safety,0
HB2614,2023_2024,2023-RS,Relating generally to hunting and fishing,Natural Resources,0
HB2615,2023_2024,2023-RS,The Genealogical Record Integrity Act of 2023,Health,0
HB2616,2023_2024,2023-RS,Relating to net metering,Public Service Commission; Utilities,0
HB2617,2023_2024,2023-RS,Expire and appropriate funds from the Coronavirus State Fiscal Recovery Fund to the Reclamation of Abandoned and Dilapidated Properties Program Fund during fiscal year 2023.,Appropriations,0
HB2618,2023_2024,2023-RS,Authorize the Reclamation of Abandoned and Dilapidated Properties Program Fund to be used to demolish certain flood-damaged structures,Appropriations,0
HB2619,2023_2024,2023-RS,Amending Hope Scholarship eligibility,Education (K12),0
HB2620,2023_2024,2023-RS,To create a new hunting license stamp for upland game bird,Natural Resources,0
HB2621,2023_2024,2023-RS,Relating generally to bail bondsman,Professions and Occupations,0
HB2622,2023_2024,2023-RS,Relating to no child in the State of West Virginia should be admitted into the general classroom of a public school in WV unless they can speak basic English and meet the same expectations of non-special education students who are native English speakers,Education (K12),0
HB2623,2023_2024,2023-RS,Relating to withholding tax on income of nonresidents from natural resources royalty payments,Taxation,0
HB2624,2023_2024,2023-RS,To implement trauma-informed practices in schools,,0
HB2625,2023_2024,2023-RS,Emergency Absentee Ballot Preparedness Act,Elections,0
HB2626,2023_2024,2023-RS,Creating the Katherine Johnson and Dorothy Vaughan Fair Pay Act,Labor,0
HB2627,2023_2024,2023-RS,Relating to preventing compensatory damage awards for medical expenses from including certain sums,"Actions, Suits and Liens",0
HB2628,2023_2024,2023-RS,Requiring certain boards that seek to increase a fee or seek to impose a new fee to also submit cost saving measures,Professions and Occupations,0
HB2629,2023_2024,2023-RS,Relating to criminal trespass,Crime,0
HB2630,2023_2024,2023-RS,To allow county councils to change name to county commissions,Boards and Commissions; County Officials,0
HB2631,2023_2024,2023-RS,Authorizing dogs to be in certain licensed establishments,Health,0
HB2632,2023_2024,2023-RS,Repeal code relating to inspection of vehicles,Motor Vehicles,0
HB2633,2023_2024,2023-RS,Relating to the Campus Self Defense Act,Education (Higher),0
HB2634,2023_2024,2023-RS,Require compensation for state police officers when required to be on standby so they can be called back to work if necessary,Public Safety,0
HB2635,2023_2024,2023-RS,Exempting personal income earned by individuals working as teachers at primary and secondary schools from personal income tax,Education; Taxation,0
HB2636,2023_2024,2023-RS,To provide that out of school suspensions be considered “excused” absences.,Education (K12),0
HB2637,2023_2024,2023-RS,Creating a State Central Legal Advertising Website,Consumer Protection,0
HB2638,2023_2024,2023-RS,Authorizing certain agencies of the Department of Administration to promulgate legislative rules,Legislature--Rule Making,0
HB2639,2023_2024,2023-RS,Authorizing the Department of Administration to promulgate a legislative rule relating to parking,,0
HB2640,2023_2024,2023-RS,Authorizing certain agencies of the Department of Environmental Protection to promulgate legislative rules,Legislature--Rule Making,0
HB2641,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to requirements for operating permits,Legislature--Rule Making,0
HB2642,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to emission standards for hazardous air pollutants,Legislature--Rule Making,0
HB2643,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of ozone season nitrogen oxides emissions,Legislature--Rule Making,0
HB2644,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to rules for quarrying and reclamation,Legislature--Rule Making,0
HB2645,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to the recycling assistance grant program,Legislature--Rule Making,0
HB2646,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to Reclamation of Abandoned and Dilapidated Properties Grant Program,Legislature--Rule Making,0
HB2647,2023_2024,2023-RS,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to reclamation of solar and wind electricity generating facilities,Legislature--Rule Making,0
HB2648,2023_2024,2023-RS,Authorizing certain agencies and boards of the DHHR to promulgate a legislative rule,Legislature--Rule Making,0
HB2649,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to standards for local boards of health,Legislature--Rule Making,0
HB2650,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to medical examiner requirements for postmortem inquiries,Legislature--Rule Making,0
HB2651,2023_2024,2023-RS,Authorizing the Department of Health and Human Services to promulgate a legislative rule relating to Medical Cannabis Program - grower and processors,Legislature--Rule Making,0
HB2652,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to Medical Cannabis Program - dispensaries,Legislature--Rule Making,0
HB2653,2023_2024,2023-RS,Authorizing the Health Care Authority to promulgate a legislative rule relating to financial disclosure,Legislature--Rule Making,0
HB2654,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to Uniform Bill Database,Legislature--Rule Making,0
HB2655,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to the development of methodologies to examine needs for substance use disorder treatment facilities within the state,Legislature--Rule Making,0
HB2656,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to Core Behavioral Health Crisis Services System,Legislature--Rule Making,0
HB2657,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to child care centers licensing,Legislature--Rule Making,0
HB2658,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to minimum licensing requirements for residential childcare and treatment facilities for children and transitioning adults and vulnerable and transitioning youth group homes and programs in West Virginia,Legislature--Rule Making,0
HB2659,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to family child care facility licensing requirements,Legislature--Rule Making,0
HB2660,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to family child care home registration requirements,Legislature--Rule Making,0
HB2661,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to informal and relative family child care home registration requirements,Legislature--Rule Making,0
HB2662,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to out-of-school-time child care center licensing requirements,Legislature--Rule Making,0
HB2663,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to goals for foster children,Legislature--Rule Making,0
HB2664,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to deemed head start child care center licenses,Legislature--Rule Making,0
HB2665,2023_2024,2023-RS,Authorizing the Department of Health and Human Resources and the Insurance Commissioner to promulgate a legislative rule relating to All-Payers Claims Database - Submission Manual,Legislature--Rule Making,0
HB2666,2023_2024,2023-RS,Authorizing the Governor’s Committee on Crime to promulgate a legislative rule relating to protocol for law enforcement response to domestic violence,Legislature--Rule Making,0
HB2667,2023_2024,2023-RS,Authorizing the Division of Emergency Management to promulgate a legislative rule relating to National Flood Insurance Program,Legislature--Rule Making,0
HB2668,2023_2024,2023-RS,Authorizing the Fire Commission to promulgate a legislative rule relating to hazardous substance emergency response training programs,Legislature--Rule Making,0
HB2669,2023_2024,2023-RS,Authorizing the Fire Commission to promulgate a legislative rule relating to certification of home inspectors,Legislature--Rule Making,0
HB2670,2023_2024,2023-RS,"Authorizing the Fire Commission to promulgate a legislative rule relating to volunteer firefighters' training, equipment, and operating standards",Legislature--Rule Making,0
HB2671,2023_2024,2023-RS,Authorizing the Fire Marshal to promulgate a legislative rule relating to certification of electrical inspectors,Legislature--Rule Making,0
HB2672,2023_2024,2023-RS,Authorizing the Fire Marshal to promulgate a legislative rule relating to supervision of fire protection work,Legislature--Rule Making,0
HB2673,2023_2024,2023-RS,Authorizing the Fire Marshal to promulgate a legislative rule relating to electrician licensing,Legislature--Rule Making,0
HB2674,2023_2024,2023-RS,Authorizing the Fire Marshal to promulgate a legislative rule relating to certification of home inspectors,Legislature--Rule Making,0
HB2675,2023_2024,2023-RS,"Authorizing the State Police to promulgate a legislative rule relating to West Virginia State Police professional standards investigations, employee rights, early identification system, psychological assessment, and progressive discipline",Legislature--Rule Making,0
HB2676,2023_2024,2023-RS,Authorizing the Division of Financial Institutions to promulgate a legislative rule relating to money transmission services,Legislature--Rule Making,0
HB2677,2023_2024,2023-RS,Authorizing the Insurance Commission to promulgate a legislative rule relating to suitability in annuity transactions,Legislature--Rule Making,0
HB2678,2023_2024,2023-RS,Authorizing the Insurance Commission to promulgate a legislative rule relating to pharmacy auditing entities and pharmacy benefit managers,Legislature--Rule Making,0
HB2679,2023_2024,2023-RS,Authorizing the Insurance Commission to promulgate a legislative rule relating to bail bondsmen in criminal case,Legislature--Rule Making,0
HB2680,2023_2024,2023-RS,Authorizing the Lottery Commission to promulgate a legislative rule relating to West Virginia lottery sports wagering,Legislature--Rule Making,0
HB2681,2023_2024,2023-RS,"Authorizing the Tax Department to promulgate a legislative rule relating to Valuation of producing and reserve oil, natural gas liquids, and natural gas for ad valorem property tax purposes",Legislature--Rule Making,0
HB2682,2023_2024,2023-RS,Authorizing the Tax Department to promulgate a legislative rule relating to West Virginia Film Industry Investment Act,Legislature--Rule Making,0
HB2683,2023_2024,2023-RS,Authorizing the Tax Department to promulgate a legislative rule relating to Farm-to-Food Bank tax credit,Legislature--Rule Making,0
HB2684,2023_2024,2023-RS,Authorizing the Tax Department to promulgate a legislative rule relating to property transfer tax,Legislature--Rule Making,0
HB2685,2023_2024,2023-RS,Authorizing the Tax Department to promulgate a legislative rule relating to municipal sales and use tax administration,Legislature--Rule Making,0
HB2686,2023_2024,2023-RS,Authorizing the Tax Department to promulgate a legislative rule relating to personnel rule for the Tax Division,Legislature--Rule Making,0
HB2687,2023_2024,2023-RS,Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to administrative due process,Legislature--Rule Making,0
HB2688,2023_2024,2023-RS,Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to examination and issuance of driver’s license,Legislature--Rule Making,0
HB2689,2023_2024,2023-RS,"Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to denial, suspension, revocation, disqualification, restriction, non-renewal, cancellation, administrative appeals, and reinstatement of driving privileges",Legislature--Rule Making,0
HB2690,2023_2024,2023-RS,"Authorizing the Division of Highways to promulgate a legislative rule relating to disposal, lease and management of real property and appurtenant structures and relocation assistance",Legislature--Rule Making,0
HB2691,2023_2024,2023-RS,Authorizing the Division of Highways to promulgate a legislative rule relating to construction and reconstruction of state roads,Legislature--Rule Making,0
HB2692,2023_2024,2023-RS,Authorizing the Board of Accountancy to promulgate a legislative rule relating to board rules of professional conduct,Legislature--Rule Making,0
HB2693,2023_2024,2023-RS,Authorizing the Board of Acupuncture to promulgate a legislative rule relating to advertising by licensed acupuncturists,Legislature--Rule Making,0
HB2694,2023_2024,2023-RS,Authorizing the Board of Acupuncture to promulgate a legislative rule relating to standards of practice of acupuncture by licensed acupuncturists,Legislature--Rule Making,0
HB2695,2023_2024,2023-RS,Authorizing the Board of Acupuncture to promulgate a legislative rule relating to continuing education requirements,Legislature--Rule Making,0
HB2696,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to West Virginia apiary rule,Legislature--Rule Making,0
HB2697,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to schedule of charges for inspection services: fruit,Legislature--Rule Making,0
HB2698,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to noxious weeds rule,Legislature--Rule Making,0
HB2699,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to Grade “A” pasteurized milk,Legislature--Rule Making,0
HB2700,2023_2024,2023-RS,"Authorizing the Agriculture Commissioner to promulgate a legislative rule relating to inspection of nontraditional, domesticated animals",Legislature--Rule Making,0
HB2701,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to hemp products,Legislature--Rule Making,0
HB2702,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to livestock care standards,Legislature--Rule Making,0
HB2703,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to farm to food bank tax credit,Legislature--Rule Making,0
HB2704,2023_2024,2023-RS,Authorizing the Department of Agriculture to promulgate a legislative rule relating to farmers markets,Legislature--Rule Making,0
HB2705,2023_2024,2023-RS,Authorizing the Athletic Commission to promulgate a legislative rule relating to administrative rules of the West Virginia State Athletic Commission,Legislature--Rule Making,0
HB2706,2023_2024,2023-RS,Authorizing the Athletic Commission to promulgate a legislative rule relating to regulation of mixed martial arts,Legislature--Rule Making,0
HB2707,2023_2024,2023-RS,Authorizing the State Auditor to promulgate a legislative rule relating to standards for voluntary payroll deductions,Legislature--Rule Making,0
HB2708,2023_2024,2023-RS,Authorizing the Conservation Agency to promulgate a legislative rule relating to operation of West Virginia State Conservation Committee and conservation districts,Legislature--Rule Making,0
HB2709,2023_2024,2023-RS,Authorizing the Conservation Agency to promulgate a legislative rule relating to conservation district accounting and auditing standards,Legislature--Rule Making,0
HB2710,2023_2024,2023-RS,Authorizing the Board of Dentistry to promulgate a legislative rule relating to dental recovery networks,Legislature--Rule Making,0
HB2711,2023_2024,2023-RS,"Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to funeral director, embalmer, apprentice, courtesy card holders and funeral establishment requirements",Legislature--Rule Making,0
HB2712,2023_2024,2023-RS,Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to crematory requirements,Legislature--Rule Making,0
HB2713,2023_2024,2023-RS,Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to fee schedule,Legislature--Rule Making,0
HB2714,2023_2024,2023-RS,Authorizing the Board of Landscape Architects to promulgate a legislative rule relating to registration of landscape architects,Legislature--Rule Making,0
HB2715,2023_2024,2023-RS,"Authorizing the Board of Medicine to promulgate a legislative rule relating to licensing of physicians and podiatric physicians and disciplinary procedures for applicants, licensees, credential holders",Legislature--Rule Making,0
HB2716,2023_2024,2023-RS,"Authorizing the Board of Medicine to promulgate a legislative rule relating to licensure, practice requirements, disciplinary and complaint procedures, continuing education, physician assistants",Legislature--Rule Making,0
HB2717,2023_2024,2023-RS,Authorizing the Board of Medicine to promulgate a legislative rule relating to collaborative pharmacy practice,Legislature--Rule Making,0
HB2718,2023_2024,2023-RS,Authorizing the Board of Medicine to promulgate a legislative rule relating to prohibiting sexual misconduct by health care practitioners,Legislature--Rule Making,0
HB2719,2023_2024,2023-RS,Authorizing the Board of Optometry to promulgate a legislative rule relating to optometric telehealth practice,Legislature--Rule Making,0
HB2720,2023_2024,2023-RS,Authorizing the Board of Osteopathic Medicine to promulgate a legislative rule relating to osteopathic physician assistants,Legislature--Rule Making,0
HB2721,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to licensure and practice of pharmacy,Legislature--Rule Making,0
HB2722,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to Uniform Controlled Substance Act,Legislature--Rule Making,0
HB2723,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to Board of Pharmacy rules for registration of pharmacy technicians,Legislature--Rule Making,0
HB2724,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to regulations governing pharmacy permits,Legislature--Rule Making,0
HB2725,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to inspections,Legislature--Rule Making,0
HB2726,2023_2024,2023-RS,Authorizing the Board of Pharmacy to promulgate a legislative rule relating to Donated Drug Repository Program,Legislature--Rule Making,0
HB2727,2023_2024,2023-RS,Authorizing the Board of Examiners of Psychologists to promulgate a legislative rule relating to code of conduct,Legislature--Rule Making,0
HB2728,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to telehealth practice,Legislature--Rule Making,0
HB2729,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to practitioner requirements for accessing the West Virginia Controlled Substance Monitoring Program database,Legislature--Rule Making,0
HB2730,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to fees for services rendered by the board,Legislature--Rule Making,0
HB2731,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to continuing education and competence,Legislature--Rule Making,0
HB2732,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to limited prescriptive authority for nurses in advanced practice,Legislature--Rule Making,0
HB2733,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to advanced practice registered nurse licensure requirements,Legislature--Rule Making,0
HB2734,2023_2024,2023-RS,Authorizing the Board of Registered Nurses to promulgate a legislative rule relating to requirements for registration and licensure and conduct constituting professional misconduct,Legislature--Rule Making,0
HB2735,2023_2024,2023-RS,Authorizing the Secretary of State to promulgate a legislative rule relating to early voting in-person satellite precincts,Legislature--Rule Making,0
HB2736,2023_2024,2023-RS,Authorizing the Secretary of State to promulgate a legislative rule relating to Combined Voter Registration and Driver Licensing Fund,Legislature--Rule Making,0
HB2737,2023_2024,2023-RS,Authorizing the Secretary of State to promulgate a legislative rule relating to administrative procedures for the Nonpublic Funding for Election Administration Fund,Legislature--Rule Making,0
HB2738,2023_2024,2023-RS,Authorizing the State Treasurer to promulgate a legislative rule relating to enforcement of the Uniform Unclaimed Property Act,Legislature--Rule Making,0
HB2739,2023_2024,2023-RS,Authorizing the State Treasurer to promulgate a legislative rule relating to Jumpstart Savings Program,Legislature--Rule Making,0
HB2740,2023_2024,2023-RS,Authorizing the West Virginia Department of Economic Development to promulgate a legislative rule relating to Small Business Innovation Research and Small Business Technology Transfer Matching Funds Program,Legislature--Rule Making,0
HB2741,2023_2024,2023-RS,Authorizing the Division of Labor to promulgate a legislative rule relating to the West Virginia Board of Manufactured Housing construction and safety,Legislature--Rule Making,0
HB2742,2023_2024,2023-RS,Authorizing the Division of Labor to promulgate a legislative rule relating to supervision of plumbing work,Legislature--Rule Making,0
HB2743,2023_2024,2023-RS,"Authorizing the Division of Labor to promulgate a legislative rule relating to regulation of heating, ventilating, and cooling work",Legislature--Rule Making,0
HB2744,2023_2024,2023-RS,Authorizing the Division of Labor to promulgate a legislative rule relating to registration of service persons and service agencies,Legislature--Rule Making,0
HB2745,2023_2024,2023-RS,Authorizing the Division of Labor to promulgate a legislative rule relating to registration of weighing and measuring devices used by businesses in commercial transactions,Legislature--Rule Making,0
HB2746,2023_2024,2023-RS,"Authorizing the Division of Natural Resources to promulgate a legislative rule relating to hunting, fishing, and other outfitters and guides",Legislature--Rule Making,0
HB2747,2023_2024,2023-RS,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to commercial whitewater outfitters,Legislature--Rule Making,0
HB2748,2023_2024,2023-RS,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to special motorboating regulations,Legislature--Rule Making,0
HB2749,2023_2024,2023-RS,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to miscellaneous permits and licenses,Legislature--Rule Making,0
HB2750,2023_2024,2023-RS,Relating to the state allocation of funding to regional councils,Economic Development,0
HB2751,2023_2024,2023-RS,Create the Volunteer Immunity and Charitable Organization Liability Limit Act,Professions and Occupations,0
HB2752,2023_2024,2023-RS,Non-Profit Transparency and Accountability Act,Ethics; Records and Papers,0
HB2753,2023_2024,2023-RS,To modify e-bike laws in West Virginia,Economic Development; Roads and Transportation,0
HB2754,2023_2024,2023-RS,Relating to immunizations performed in a pharmacy,Health,0
HB2755,2023_2024,2023-RS,Create the Multi-Door Courthouse Act,"Actions, Suits and Liens",0
HB2756,2023_2024,2023-RS,Relating to the controlled substance monitoring database; and adding the reporting of medical marijuana to the database,Health,0
HB2757,2023_2024,2023-RS,Relating to expanding institutional eligibility for the WV Invests Grant Program,Health,0
HB2758,2023_2024,2023-RS,Relating to updating the minimum standards for nursing homes,Health,0
HB2759,2023_2024,2023-RS,Relating to updating the health care provider tax,Health; Taxation,0
HB2760,2023_2024,2023-RS,To allow CPR fire fighters to drive ambulances when both attendants are needed to administer patient care,Health,0
HB2761,2023_2024,2023-RS,To allow classroom aides with 10 or more years of service and good evaluations to bid on teaching positions,Education (K12),0
HB2762,2023_2024,2023-RS,Allowing variance in state fire code for certain buildings used solely for emergency equipment storage,Public Safety,0
HB2763,2023_2024,2023-RS,To provide for an updated definition of first degree murder on a law enforcement officer,Crime,0
HB2764,2023_2024,2023-RS,Increase salary of constitutional officers,Constitutional Officers,0
HB2765,2023_2024,2023-RS,"Authorizing certain ambulance crew members, firefighters, rescue squad members and emergency service personnel to carry firearms",Professions and Occupations; Public Safety,0
