bill_id,term,session,summary,subjects,commem
SB0033,2023_2024,2023-RS,"Prohibiting certain divisive acts or concepts from schools, state agencies and any groups receiving state funding",Human Rights,0
SB0034,2023_2024,2023-RS,Establishing 80 miles per hour speed limit on interstate highways,Roads and Transportation,0
SB0035,2023_2024,2023-RS,Limiting DEP employees entering private lands for environmental purposes only,Environment,0
SB0036,2023_2024,2023-RS,Authorizing child or child care tax credit,Taxation,0
SB0037,2023_2024,2023-RS,Granting all public employees 10 percent per year permanent pay increase,State Personnel,0
SB0038,2023_2024,2023-RS,Eliminating restrictions on voting rights for formerly incarcerated individuals,Public Safety,0
SB0039,2023_2024,2023-RS,Relating to assessment of real property,Counties; Real and Personal Property,0
SB0040,2023_2024,2023-RS,"Providing waiver of fees for emergency responders disabled in line of duty for hunting, trapping, and fishing licenses",Natural Resources,0
SB0041,2023_2024,2023-RS,Establishing minimum student enrollment for school aid formula,Education (K12),0
SB0042,2023_2024,2023-RS,Adjusting interest rate paid in condemnation cases,Roads and Transportation,0
SB0043,2023_2024,2023-RS,Permitting Commissioner of DOH to make money transfers within State Road Fund,Roads and Transportation,0
SB0044,2023_2024,2023-RS,Requiring certain municipalities pay for incarceration of inmates,Corrections; Municipalities,0
SB0045,2023_2024,2023-RS,Requiring coverage of treatment for certain pediatric autoimmune neuropsychiatric disorders in certain circumstances,Insurance,0
SB0046,2023_2024,2023-RS,Allowing WV Professional Charter School Board to vote for employees to participate in Teachers’ Retirement System,Education (K12); Retirement,0
SB0047,2023_2024,2023-RS,Creating Charter Schools Stimulus Fund,Education (K12),0
SB0048,2023_2024,2023-RS,Relating to licensed school psychologists salary supplement and expense reimbursements,Education (K12),0
SB0049,2023_2024,2023-RS,Establishing criminal offense for being under influence of controlled substance unless specifically prescribed,Crime,0
SB0050,2023_2024,2023-RS,Requiring one-year residency within district or county to fill vacancy in Legislature,Elections,0
SB0051,2023_2024,2023-RS,Requiring impact statement in certain instances of school closing or consolidation,Education (K12),0
SB0052,2023_2024,2023-RS,Relating to administration of anesthetics,Professions and Occupations,0
SB0053,2023_2024,2023-RS,Relating to DNA data maintained for law enforcement purposes,Public Safety,0
SB0054,2023_2024,2023-RS,Authorizing public retirement system participants to receive cash value of retirement benefits in lieu of regular payments,Retirement; State Personnel,0
SB0055,2023_2024,2023-RS,WV Freedom of Conscience Protection Act,Human Rights,0
SB0056,2023_2024,2023-RS,Relating to employment of retired bus operators as substitutes in areas of critical need and shortage,Education (K12),0
SB0057,2023_2024,2023-RS,Requiring political action committee to disclose contributors' names and addresses to Secretary of State,Elections,0
SB0058,2023_2024,2023-RS,Creating mechanism for enforcement of spousal support,Domestic Relations,0
SB0059,2023_2024,2023-RS,Requiring work search activities to qualify for unemployment benefits,Unemployment Compensation,0
