bill_id,term,session,summary,keywords,commem
SB 19,88,88-SS1,Relating to a period of prayer and reading of the Bible or other religious text in public schools.,Education--Primary & Secondary--General (I0230); Education--School Districts (I0220); Religion (I0646); INFORMED CONSENT (S0057); PARENTAL CONSENT (S0318); ATTORNEY GENERAL (V2811),0
SB 3,88,88-SS1,Relating to the punishment for the criminal offense of operation of a stash house; increasing a criminal penalty.,Criminal Procedure--Sentencing & Punishment (I0205); Property Interests--General (I0620); SEXUAL ASSAULT (S4375),0
SB 4,88,88-SS1,Relating to the punishment for the offense of trafficking of persons.,Corrections--Jails & Prisons (I0092); Crimes--Against Persons--General (I0170); Crimes--Against Persons--Sexual (I0171); HUMAN TRAFFICKING (S0696),0
SB 17,88,88-SS1,Relating to the right of a public school employee to engage in religious speech or prayer while on duty.,Education--Primary & Secondary--General (I0230); Religion (I0646),0
SB 20,88,88-SS1,Relating to the Cosmetology Licensure Compact; authorizing fees.,"Intergovernmental Relations (I0447); Military & Veterans (I0535); Occupational Regulation--Other Trades & Professions (I0541); COSMETOLOGISTS (S9799); COSMETOLOGY LICENSURE COMPACT COMMISSION (VI3RR); LICENSING & REGULATION, TEXAS COMMISSION OF (V0383); LICENSING & REGULATION, TEXAS DEPARTMENT OF (V8529)",0
SB 21,88,88-SS1,"Relating to the creation of the Travis County Municipal Utility District No. 27; granting a limited power of eminent domain; providing authority to issue bonds; providing authority to impose assessments, fees, and taxes.",TRAVIS COUNTY MUNICIPAL UTILITY DISTRICT NO. 27 (DN1U5); Special Districts & Authorities--Municipal Utility Districts (I0009); Special Districts & Authorities--Water & Utility (I0755),0
SB 22,88,88-SS1,Relating to the licensing and regulation of dietitians.,"Occupational Regulation--Other Trades & Professions (I0541); DIETETICS & DIETITIANS (S0394); LICENSING & REGULATION, TEXAS COMMISSION OF (V0383); LICENSING & REGULATION, TEXAS DEPARTMENT OF (V8529)",0
SB 23,88,88-SS1,Relating to guardianships for persons who are incapacitated; changing a fee.,Probate--Guardians & Related Trusts (I0589); Probate--Wills & Admin of Estates (I0590); GUARDIANS & WARDS (S0301); INCAPACITATED PERSONS (S0353),0
SB 24,88,88-SS1,Relating to special appointments in suits affecting the parent-child relationship.,Courts--Administration (I0130); Family--Parent & Child (I0355); CHILD CUSTODY (S4378),0
SB 25,88,88-SS1,Relating to bond requirements for certain judges.,Courts--County & Statutory (I0115); Courts--Judges (I0140); Probate--Guardians & Related Trusts (I0589); BONDS (S6060),0
HB 7,88,88-SS1,Relating to prohibiting the transfer of semiautomatic rifles to certain recipients; increasing a criminal penalty.,Minors--General (I0537); Weapons (I0887),0
HB 8,88,88-SS1,Relating to the creation of certain criminal offenses concerning firearm sales at gun shows.,Crimes--Miscellaneous (I0200); Weapons (I0887); GUN SHOWS (S0427),0
HB 9,88,88-SS1,Relating to extreme risk protective orders; creating criminal offenses.,"Courts--Administration (I0130); Courts--General (I0160); Criminal Procedure--Sentencing & Punishment (I0205); Family--Child Protection (I0351); Family--Family Violence (I0353); Law Enforcement (I0510); Mental Health & Substance Abuse (I0019); Protection of Personal Information (I0003); Weapons (I0887); PEACE OFFICERS (S0007); PROTECTIVE ORDERS (S0495); PUBLIC SAFETY, DEPARTMENT OF (V0251)",0
