bill_number,session,chamber,action_date,action,order
A-0170,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0172,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0173,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0175,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0176,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0177,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0180,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACO",1
A-0181,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ARP",1
A-0182,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0183,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0184,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0185,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0186,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0187,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0188,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0189,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0190,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATU",1
A-0191,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0192,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0193,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0195,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0196,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACF",1
A-0197,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AAP",1
A-0198,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0198,2024_2025,A,2025-12-11,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0199,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0200,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0201,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0202,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0203,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0206,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0207,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0208,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0209,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATU",1
A-0210,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0211,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0212,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0213,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0214,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0215,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0216,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0217,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0218,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0220,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0221,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0222,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0223,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0224,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0225,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0226,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0228,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0229,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0231,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0232,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0234,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0235,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATU",1
A-0236,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0237,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0238,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0239,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0241,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0242,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0245,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0249,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0250,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0251,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0252,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0253,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0254,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0258,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0259,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0260,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0261,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0262,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0263,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0264,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0265,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0266,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0267,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0268,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0269,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0270,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0271,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0272,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0273,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AST",1
A-0274,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0275,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0276,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0276,2024_2025,A,2025-12-18,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0277,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0278,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0279,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0280,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0281,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0282,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ALA",1
A-0283,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0284,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0285,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0285,2024_2025,A,2024-09-19,Reported and Referred to AAP,2
A-0286,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0287,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0288,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACO",1
A-0289,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0290,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0291,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0292,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ARP",1
A-0293,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0294,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0295,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0296,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACF",1
A-0297,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0298,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0299,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0300,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0301,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0302,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0303,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0304,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0305,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0306,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0307,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0308,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0309,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0310,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0311,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0312,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0313,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0314,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0315,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0316,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0317,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0318,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0319,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0320,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0321,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0322,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0323,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0324,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0325,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0326,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0327,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0328,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0329,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0330,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0331,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0332,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0333,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0334,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0335,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0336,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0337,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0338,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0339,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0340,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ALA",1
A-0341,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0342,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0343,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0344,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AAP",1
A-0345,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0346,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0347,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0348,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0349,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AAP",1
A-0350,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0351,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0352,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0353,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0354,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0355,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0356,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0357,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATU",1
A-0358,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0359,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0360,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0360,2024_2025,A,2024-09-12,Reported and Referred to APS,2
A-0361,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0362,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0363,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0364,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0365,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0366,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACO",1
A-0367,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0368,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0369,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0370,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0371,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0372,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0373,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0374,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHU",1
A-0375,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0375,2024_2025,A,2025-05-15,Transferred to ARP,2
A-0375,2024_2025,A,2025-05-15,NOT REP/ACS ARP,3
A-0376,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0377,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0378,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0378,2024_2025,A,2024-02-22,"Reported from Assembly Committee as a Substitute, 2nd Reading",2
A-0378,2024_2025,A,2024-03-18,Passed Assembly,3
A-0378,2024_2025,S,2024-04-11,"Received in the Senate, Referred to SCM",4
A-0379,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0380,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACE",1
A-0381,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0382,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AFI",1
A-0383,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0384,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0385,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACW",1
A-0386,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0387,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0388,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0389,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0390,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0391,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ACO",1
A-0392,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHI",1
A-0393,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0394,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0395,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0396,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0397,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATG",1
A-0398,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0399,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0400,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0401,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0402,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0403,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0404,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0405,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0406,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0407,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0408,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AST",1
A-0409,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0410,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0411,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0412,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0413,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0414,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0414,2024_2025,A,2025-05-05,Withdrawn from Consideration,2
A-0415,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AOF",1
A-0416,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0417,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ARP",1
A-0418,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0419,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0420,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0421,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0422,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AED",1
A-0423,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHO",1
A-0423,2024_2025,A,2024-12-19,Withdrawn from Consideration,2
A-0424,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0425,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0426,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0427,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AEN",1
A-0428,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0429,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ASL",1
A-0430,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATG",1
A-0431,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to ATR",1
A-0432,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0433,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to APS",1
A-0434,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AHE",1
A-0435,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AMV",1
A-0436,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
A-0437,2024_2025,A,2024-01-09,"Introduced in the Assembly, Referred to AJU",1
