bill_number,session,chamber,action_date,action,order
A-0001,2022_2023,A,2023-05-25,"Introduced in the Assembly, Referred to ASE",1
A-0001,2022_2023,A,2023-06-08,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0001,2022_2023,A,2023-06-20,Transferred to ABU,3
A-0001,2022_2023,A,2023-06-28,"Reported out of Assembly Committee with Amendments, 2nd Reading",4
A-0001,2022_2023,A,2023-06-30,Motion,5
A-0001,2022_2023,A,2023-06-30,Motion,6
A-0001,2022_2023,A,2023-06-30,Passed Assembly,7
A-0001,2022_2023,S,2023-06-30,"Received in the Senate without Reference, 2nd Reading",8
A-0001,2022_2023,S,2023-06-30,Substituted for,9
A-0001,2022_2023,S,2023-06-30,Motion,10
A-0001,2022_2023,S,2023-06-30,Motion,11
A-0001,2022_2023,S,2023-06-30,Passed Senate (Passed Both Houses),12
A-0001,2022_2023,G,2023-06-30,Approved,13
A-0002,2022_2023,A,2023-05-25,"Introduced in the Assembly, Referred to ASE",1
A-0002,2022_2023,A,2023-06-08,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0002,2022_2023,A,2023-06-20,Transferred to ABU,3
A-0003,2022_2023,A,2023-05-18,"Introduced in the Assembly, Referred to ASE",1
A-0003,2022_2023,A,2023-06-08,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0003,2022_2023,A,2023-06-20,Transferred to ABU,3
A-0003,2022_2023,A,2023-06-28,"Reported out of Assembly Committee with Amendments, 2nd Reading",4
A-0003,2022_2023,A,2023-06-30,Substituted by,5
A-0004,2022_2023,A,2023-12-18,"Introduced in the Assembly, Referred to AHO",1
A-0004,2022_2023,A,2023-12-21,"Reported out of Assembly Committee, 2nd Reading",2
A-0004,2022_2023,A,2024-01-04,Recommitted to AAP,3
A-0101,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0102,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0103,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0104,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACD",1
A-0105,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0106,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACD",1
A-0107,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0108,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0109,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0110,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0111,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0111,2022_2023,A,2022-06-13,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0111,2022_2023,A,2022-10-27,Passed Assembly,3
A-0111,2022_2023,S,2022-11-03,"Received in the Senate, Referred to SEG",4
A-0111,2022_2023,S,2023-12-04,"Reported out of Senate Committee, 2nd Reading",5
A-0111,2022_2023,S,2023-12-21,Substituted for,6
A-0111,2022_2023,S,2023-12-21,Passed Senate (Passed Both Houses),7
A-0111,2022_2023,G,2024-01-08,Approved,8
A-0112,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0113,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0114,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0115,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0116,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AOF",1
A-0117,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0117,2022_2023,A,2023-12-14,"Reported out of Assembly Committee, 2nd Reading",2
A-0117,2022_2023,A,2023-12-21,Substituted by,3
A-0118,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0119,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0119,2022_2023,A,2022-09-22,"Reported out of Assembly Committee, 2nd Reading",2
A-0119,2022_2023,A,2022-10-03,Passed Assembly,3
A-0119,2022_2023,S,2022-10-03,"Received in the Senate, Referred to SMV",4
A-0119,2022_2023,S,2023-06-12,"Reported out of Senate Committee, 2nd Reading",5
A-0120,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AMV",1
A-0121,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0122,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0123,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0124,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0125,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0126,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0127,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0128,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0129,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AWC",1
A-0130,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0131,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0132,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0133,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0134,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0135,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0136,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0137,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0138,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0139,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AOF",1
A-0140,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0141,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AOF",1
A-0142,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALA",1
A-0143,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0144,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0145,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0146,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0147,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AOF",1
A-0148,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0149,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0150,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0151,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AFI",1
A-0152,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AFI",1
A-0153,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALA",1
A-0154,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0155,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0156,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0157,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0158,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0159,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0160,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0161,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALA",1
A-0161,2022_2023,A,2023-11-30,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0162,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACO",1
A-0163,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0164,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AJU",1
A-0165,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0165,2022_2023,A,2023-05-11,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0165,2022_2023,A,2023-05-25,Assembly Floor Amendment Passed,3
A-0166,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0167,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0168,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0169,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHU",1
A-0170,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0171,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0172,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0173,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AST",1
A-0174,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0175,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0176,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0177,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0178,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACE",1
A-0179,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ANR",1
A-0179,2022_2023,A,2022-03-10,"Reported out of Assembly Committee, 2nd Reading",2
A-0179,2022_2023,A,2022-12-15,Passed Assembly,3
A-0179,2022_2023,S,2022-12-15,"Received in the Senate, Referred to SEN",4
A-0179,2022_2023,S,2023-02-16,"Reported out of Senate Committee, 2nd Reading",5
A-0179,2022_2023,S,2023-02-27,Substituted for,6
A-0179,2022_2023,S,2023-02-27,Passed Senate (Passed Both Houses),7
A-0179,2022_2023,G,2023-05-08,Approved,8
A-0180,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0180,2022_2023,A,2022-02-07,Reported out of Assembly Committee with Amendments and Referred to AAP,2
A-0181,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHO",1
A-0182,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0183,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0184,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0184,2022_2023,A,2022-06-02,"Reported out of Assembly Committee, 2nd Reading",2
A-0184,2022_2023,A,2022-06-16,Passed Assembly,3
A-0184,2022_2023,S,2022-06-20,"Received in the Senate, Referred to SEG",4
A-0185,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0186,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0187,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0188,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0189,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0189,2022_2023,A,2023-01-19,"Reported out of Assembly Committee with Amendments, 2nd Reading",2
A-0189,2022_2023,A,2023-01-26,Substituted by,3
A-0190,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0191,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASE",1
A-0192,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ALP",1
A-0193,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0194,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0195,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ACO",1
A-0196,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AEN",1
A-0197,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0198,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0199,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AAN",1
A-0200,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ASL",1
A-0201,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHE",1
A-0202,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AHI",1
A-0203,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0203,2022_2023,A,2023-05-11,"Reported out of Assembly Committee, 2nd Reading",2
A-0203,2022_2023,A,2023-05-25,Passed Assembly,3
A-0203,2022_2023,S,2023-06-01,"Received in the Senate, Referred to STR",4
A-0203,2022_2023,S,2023-11-27,"Reported out of Senate Committee with Amendments, 2nd Reading",5
A-0203,2022_2023,S,2024-01-08,Substituted for,6
A-0203,2022_2023,S,2024-01-08,Emergency Resolution,7
A-0203,2022_2023,S,2024-01-08,Passed Senate,8
A-0203,2022_2023,A,2024-01-08,"Received in the Assembly, 2nd Reading on Concurrence",9
A-0203,2022_2023,A,2024-01-08,Passed Assembly (Passed Both Houses),10
A-0203,2022_2023,G,2024-01-16,Approved,11
A-0204,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATU",1
A-0205,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
A-0206,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to AED",1
A-0207,2022_2023,A,2022-01-11,"Introduced in the Assembly, Referred to ATR",1
