bill_number,session,title,status,primary_sponsors,intro_date,effective_date,chapter_num,companion,summary
A-0001,2022_2023,Stay senior prop tax credit affordability prog-estab; approp not more than $300M,APP,"Coughlin, Craig J.; Greenwald, Louis D.; Freiman, Roy",2023-05-25,2023-06-30,75.0,S-0001,Establishes Stay NJ property tax credit program; establishes Stay NJ Task Force; expands income limit and modifies ownership requirement for eligibility to receive homestead property tax reimbursement; enhances ANCHOR benefits for seniors; and makes appropriations.*
A-0002,2022_2023,Medicare Savings Programs-increase income eligibility threshold; approp funds,ABU,"Freiman, Roy; Moriarty, Paul D.; Park, Ellen J.",2023-05-25,,,S-0002,Increases the income eligibility threshold and eliminates asset test for Medicare Savings Programs; appropriates funds.*
A-0003,2022_2023,PAAD & Senior Gold Prescription Discount Prog-revise income eligibility criteria,SUB,"Tully, P. Christopher; Moriarty, Paul D.; McKnight, Angela V.",2023-05-25,,,S-0003,"Revises income eligibility criteria for, and provides for promotion of, PAAD and Senior Gold Prescription Discount Program; establishes ""Senior Save Navigator Grant Program"" to assist applicants with NJ Save applications.*"
A-0004,2022_2023,Affordable housing-reforms municipal responsibilities concerning provision;$16M,AAP,"Lopez, Yvonne; Coughlin, Craig J.; Wimberly, Benjie E.",2023-12-18,,,S-4251,Reforms municipal responsibilities concerning provision of affordable housing; abolishes COAH; appropriates $16 million.
A-0101,2022_2023,Highlands preservation area-allows for exclusion of certain properties,AEN,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Allows for exclusion of certain properties from Highlands preservation area.
A-0102,2022_2023,"Local health agency, cert employees-repeals law, transfer to superseding agency",ASL,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Repeals sections of law pertaining to transfer of civil service and non-civil service employees of terminated local health agency to superseding agency.
A-0103,2022_2023,School Funding Reform Act of 2008-eliminates expansion of preschool ed. program,AED,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,"Eliminates expansion of preschool education programs in ""School Funding Reform Act of 2008."""
A-0104,2022_2023,Affordable housing need/fee-proh imposition upon local transfer or business move,ACD,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-1281,Prohibits the imposition of affordable housing need and related fees upon the local transfer or move of a business.
A-0105,2022_2023,Pension and Health Benefits Review Commission-expands scope of review,ASL,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Expands scope of review of Pension and Health Benefits Review Commission.
A-0106,2022_2023,"Realty transfer fee, supplemental-eliminates transfers on commercial real estate",ACD,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Eliminates supplemental realty transfer fee and one percent fee on transfers of certain commercial real estate and tax on sale of controlling interests in certain commercial real property.
A-0107,2022_2023,Street rods and custom motor vehicles-establish motor vehicle registration,ATR,"Space, Parker; Giblin, Thomas P.",2022-01-11,,,,Establishes motor vehicle registration for street rods and custom motor vehicles.
A-0108,2022_2023,Firearm permit application-requires access to law enforcement guidelines,ALP,"Space, Parker; Webber, Jay; Wirths, Harold J.",2022-01-11,,,,Requires access to law enforcement guidelines for processing firearms permit applications upon public records request.
A-0109,2022_2023,PERS-requires eligibility checklist and audit for enrollment,ASL,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Requires eligibility checklist and audit for enrollment in PERS of certain public employees who provide professional services; imposes fine on certifying officer or supervisor for ineligible enrollments.
A-0110,2022_2023,"DEP lands for fishing, hunting and trapping purposes-provide for no net loss",AAN,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-1686,"Provides for no net loss of DEP lands for fishing, hunting, and trapping purposes."
A-0111,2022_2023,Firewood-obtained from seller's property not considered a lumber yard,APP,"Space, Parker; Wirths, Harold J.; McCarthy Patrick, Bethanne",2022-01-11,2024-01-08,227.0,S-3201,"Provides that farm, farmstand, or other agricultural operation selling firewood obtained from property other than seller's shall not be considered lumber yard; prohibits sale of untreated firewood from outside of State.*"
A-0112,2022_2023,Firearm ID cards and handgun purchase permits-auth chiefs to issue,ALP,"Space, Parker; Webber, Jay",2022-01-11,,,S-2183,Authorizes chiefs of part-time municipal police forces to issue firearms ID cards and handgun purchase permits.
A-0113,2022_2023,Voter identity proof-certain documentation required,ASL,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-1687,Requires certain documentation as proof of voter identity to vote; updates procedures for challenging voters regarding proof of identity.
A-0114,2022_2023,Freshwater fishing/hunting/trapping-Fish/Game Council sole authority to regulate,AAN,"Space, Parker; Wirths, Harold J.",2022-01-11,,,S-1685,"Clarifies that Fish and Game Council has sole authority to regulate freshwater fishing, hunting, and trapping."
A-0115,2022_2023,Mun court position-prov. early termination when 2 or more mun. share mun. courts,AJU,"Space, Parker; McKeon, John F.; Webber, Jay",2022-01-11,,,,Provides for early termination of terms of office for certain appointed municipal court positions when two or more municipalities enter into agreements to establish joint or shared municipal courts.
A-0116,2022_2023,Alcoholic Beverage Tax rate-decrease on certain liquors,AOF,"Space, Parker; Munoz, Nancy F.",2022-01-11,,,,Decreases Alcoholic Beverage Tax rate paid on certain liquors.
A-0117,2022_2023,"Local board of health-governing body of mun, population of 30K or less serve",SUB,"Space, Parker; Calabrese, Clinton; Wirths, Harold J.",2022-01-11,,,S-0652,"Permits governing body of municipalities having population of 30,000 or less to serve as local board of health; validates certain actions."
A-0118,2022_2023,School district's total general fund revenue-provides 4 year phase-in,AED,"Space, Parker; Wirths, Harold J.",2022-01-11,,,,Requires school district's general fund tax levy account for at least 25 percent of school district's total general fund revenue; provides four-year phase-in.
A-0119,2022_2023,"Natl Guard cert-retain elig, fire dept max age at closing date of civil svc exam",2RS,"Space, Parker; Tucker, Cleopatra G.; Sauickie, Alex",2022-01-11,,,S-3830,Provides for retained eligibility for members of NJ National Guard or reserve component called to active federal military service who met fire department maximum age requirement at closing date of civil service examination.
A-0120,2022_2023,Armed forces-exclude bonuses for reenlistment or vol extension from gross income,AMV,"Space, Parker; Matsikoudis, Michele",2022-01-11,,,S-3433,Excludes bonuses for reenlistment or voluntary extension of enlistment in armed forces from gross income.
A-0121,2022_2023,School district's budget proposal-restricts Ed. Commissioner authority to reject,AED,"Space, Parker",2022-01-11,,,,Restricts Commissioner of Education's authority to reject school district's budget proposal.
