bill_number,session_year,session_num,action_date,chamber,action,committee,order
HCR0006,2015,131,2015-02-18,House,Adopted,,1
HR0006,2015,131,2015-01-05,House,Adopted,,1
HJR0006,2015,131,2016-02-10,House,Refer to Committee,Government Accountability and Oversight,2
HJR0006,2015,131,2016-02-02,House,Introduced,,1
HCR0007,2015,131,2016-05-11,Senate,Adopted,,8
HCR0007,2015,131,2016-04-20,Senate,Reported,Ways and Means,7
HCR0007,2015,131,2016-02-23,Senate,Refer to Committee,Ways and Means,6
HCR0007,2015,131,2016-02-18,Senate,Offered,,5
HCR0007,2015,131,2016-02-17,House,Adopted,,4
HCR0007,2015,131,2015-06-17,House,Reported,Local Government,3
HCR0007,2015,131,2015-03-04,House,Introduced and Referred to Committee,,2
HCR0007,2015,131,2015-03-04,House,Refer to Committee,Local Government,1
HB0007,2015,131,2015-03-16,,Effective 3/16/15,,10
HB0007,2015,131,2015-03-10,House,Concurred in Senate amendments,,9
HB0007,2015,131,2015-03-04,Senate,Passed - Amended,,8
HB0007,2015,131,2015-02-26,Senate,Reported - Substitute,Education,7
HB0007,2015,131,2015-02-18,Senate,Refer to Committee,Education,6
HB0007,2015,131,2015-02-17,Senate,Introduced,,5
HB0007,2015,131,2015-02-11,House,Passed,,4
HB0007,2015,131,2015-02-11,House,Reported - Amended,Education,3
HB0007,2015,131,2015-01-29,House,Refer to Committee,Education,2
HB0007,2015,131,2015-01-28,House,Introduced,,1
HR0007,2015,131,2015-01-05,House,Adopted,,1
HJR0007,2015,131,2016-04-13,House,Refer to Committee,State Government,2
HJR0007,2015,131,2016-03-08,House,Introduced,,1
HCR0008,2015,131,2015-12-09,Senate,Adopted,,8
HCR0008,2015,131,2015-10-21,Senate,Reported,Government Oversight and Reform,7
HCR0008,2015,131,2015-05-27,Senate,Refer to Committee,Government Oversight and Reform,6
HCR0008,2015,131,2015-05-13,Senate,Offered,,5
HCR0008,2015,131,2015-05-12,House,Adopted,,4
HCR0008,2015,131,2015-04-15,House,Reported,Transportation and Infrastructure,3
HCR0008,2015,131,2015-03-04,House,Introduced and Referred to Committee,,2
HCR0008,2015,131,2015-03-04,House,Refer to Committee,Transportation and Infrastructure,1
HB0008,2015,131,2015-03-25,Senate,Refer to Committee,Energy and Natural Resources,6
HB0008,2015,131,2015-03-19,Senate,Introduced,,5
HB0008,2015,131,2015-03-18,House,Passed,,4
HB0008,2015,131,2015-03-18,House,Reported - Substitute,Energy and Natural Resources,3
HB0008,2015,131,2015-02-10,House,To committee,Energy and Natural Resources,2
HB0008,2015,131,2015-01-28,House,Introduced,,1
HR0008,2015,131,2015-01-05,House,Adopted,,1
HJR0008,2015,131,2016-11-10,House,Refer to Committee,Government Accountability and Oversight,2
HJR0008,2015,131,2016-05-25,House,Introduced,,1
HB0009,2015,131,2017-03-21,,Effective 3/21/17,,13
