bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0001,2017,132,2018-07-06,,Effective 7/6/18,,10
HB0001,2017,132,2018-02-28,House,Concurred in Senate amendments,,9
HB0001,2017,132,2018-02-20,Senate,Passed,,8
HB0001,2017,132,2018-01-16,Senate,Reported - Substitute,Judiciary,7
HB0001,2017,132,2017-03-07,Senate,Refer to Committee,Judiciary,6
HB0001,2017,132,2017-03-02,Senate,Introduced,,5
HB0001,2017,132,2017-02-28,House,Passed,,4
HB0001,2017,132,2017-02-27,House,Reported - Substitute,Civil Justice,3
HB0001,2017,132,2017-02-08,House,Refer to Committee,Civil Justice,2
HB0001,2017,132,2017-02-01,House,Introduced,,1
HCR0001,2017,132,2017-01-05,Senate,Adopted,,2
HCR0001,2017,132,2017-01-03,House,Adopted,,1
HJR0001,2017,132,2017-03-07,Senate,Manually Generate Message Element,,3
HJR0001,2017,132,2017-03-07,Senate,Adopted,,2
HJR0001,2017,132,2017-02-22,House,Adopted,,1
HR0001,2017,132,2017-01-03,House,Adopted,,1
HCR0002,2017,132,2017-01-05,Senate,Adopted,,2
HCR0002,2017,132,2017-01-03,House,Adopted,,1
HR0002,2017,132,2017-01-03,House,Adopted,,1
HB0002,2017,132,2017-05-10,House,Reported - Substitute,"Economic Development, Commerce, and Labor",3
HB0002,2017,132,2017-02-08,House,Refer to Committee,"Economic Development, Commerce, and Labor",2
HB0002,2017,132,2017-02-01,House,Introduced,,1
HJR0002,2017,132,2017-02-28,House,Refer to Committee,Federalism and Interstate Relations,2
HJR0002,2017,132,2017-02-22,House,Introduced,,1
HCR0003,2017,132,2017-01-25,Senate,Adopted,,2
HCR0003,2017,132,2017-01-25,House,Adopted,,1
HB0003,2017,132,2018-12-03,Senate,Introduced,,5
HB0003,2017,132,2018-11-28,House,Passed,,4
HB0003,2017,132,2017-12-13,House,Reported - Amended,Finance,3
HB0003,2017,132,2017-02-08,House,Refer to Committee,Finance,2
HB0003,2017,132,2017-02-01,House,Introduced,,1
HR0003,2017,132,2017-01-03,House,Adopted,,1
HJR0003,2017,132,2017-03-07,House,Refer to Committee,Finance,2
HJR0003,2017,132,2017-03-01,House,Introduced,,1
HB0004,2017,132,2017-02-22,Senate,Refer to Committee,Judiciary,6
HB0004,2017,132,2017-02-21,Senate,Introduced,,5
HB0004,2017,132,2017-02-15,House,Passed,,4
HB0004,2017,132,2017-02-14,House,Reported - Amended,Criminal Justice,3
HB0004,2017,132,2017-02-08,House,Refer to Committee,Criminal Justice,2
HB0004,2017,132,2017-02-01,House,Introduced,,1
HR0004,2017,132,2017-01-03,House,Adopted,,1
HJR0004,2017,132,2017-10-17,House,Refer to Committee,Government Accountability and Oversight,2
HJR0004,2017,132,2017-10-11,House,Introduced,,1
HCR0004,2017,132,2017-02-21,House,Introduced and Referred to Committee,Federalism and Interstate Relations,1
HB0005,2017,132,2017-03-15,Senate,Refer to Committee,"Transportation, Commerce and Workforce",6
HB0005,2017,132,2017-03-07,Senate,Introduced,,5
HB0005,2017,132,2017-03-01,House,Passed,,4
HB0005,2017,132,2017-02-22,House,Reported,State and Local Government,3
HB0005,2017,132,2017-02-08,House,Refer to Committee,State and Local Government,2
HB0005,2017,132,2017-02-01,House,Introduced,,1
HR0005,2017,132,2017-01-03,House,Adopted,,1
HJR0005,2017,132,2017-11-28,House,Refer to Committee,Government Accountability and Oversight,2
HJR0005,2017,132,2017-11-01,House,Introduced,,1
HCR0005,2017,132,2017-02-28,House,Introduced and Referred to Committee,Insurance,1
HB0006,2017,132,2018-01-18,,Effective 1/18/18,,9
HB0006,2017,132,2017-09-27,Senate,Passed,,8
HB0006,2017,132,2017-09-27,Senate,Reported,Judiciary,7
HB0006,2017,132,2017-04-05,Senate,Refer to Committee,Judiciary,6
HB0006,2017,132,2017-03-16,Senate,Introduced,,5
HB0006,2017,132,2017-03-15,House,Passed,,4
HB0006,2017,132,2017-03-08,House,Reported,Criminal Justice,3
HB0006,2017,132,2017-02-08,House,Refer to Committee,Criminal Justice,2
HB0006,2017,132,2017-02-01,House,Introduced,,1
HR0006,2017,132,2017-01-03,House,Adopted,,1
HJR0006,2017,132,2018-01-16,House,Refer to Committee,Government Accountability and Oversight,2
HJR0006,2017,132,2017-12-12,House,Introduced,,1
HCR0006,2017,132,2017-03-07,House,Introduced and Referred to Committee,Government Accountability and Oversight,1
HB0007,2017,132,2019-03-20,,Effective 3/20/19,,10
HB0007,2017,132,2018-12-06,House,Concurred in Senate amendments,,9
HB0007,2017,132,2018-12-05,Senate,Passed,,8
HB0007,2017,132,2018-12-03,Senate,Reported - Amended,Judiciary,7
HB0007,2017,132,2018-09-25,Senate,Refer to Committee,Judiciary,6
HB0007,2017,132,2018-07-05,Senate,Introduced,,5
HB0007,2017,132,2018-06-27,House,Passed,,4
HB0007,2017,132,2018-05-29,House,Reported - Substitute,Civil Justice,3
HB0007,2017,132,2017-02-08,House,Refer to Committee,Civil Justice,2
HB0007,2017,132,2017-02-01,House,Introduced,,1
HR0007,2017,132,2017-01-03,House,Adopted,,1
