bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HR0001,2021,134,Thomas E. Brinkman Jr.,,As Adopted by the House,,"Relative to the election of the speaker pro tempore, the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 134th General Assembly of Ohio.",,,https://www.legislature.ohio.gov/legislation/134/hr1
HB0001,2021,134,Jamie Callender; Bride Rose Sweeney,"Cindy Abrams; Brian Baldridge; Willis E. Blackshear, Jr.; Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Rick Carfagna; Sara P. Carruthers; Erica C. Crawley; Jon Cross; Jeffrey A. Crossman; Robert R. Cupp; Al Cutrona; Sedrick Denson; Mark Fraizer; Tavia Galonski; Haraz N. Ghanbari; Timothy E. Ginter; Paula Hicks-Hudson; Brett Hudson Hillyer; James M. Hoops; Stephanie D. Howse; Catherine D. Ingram; Dontavius L. Jarrells; Mark Johnson; Don Jones; Brigid Kelly; Jeff LaRe; David Leland; Michele Lepore-Hagan; Mary Lightbody; P. Scott Lipps; Beth Liston; Susan Manchester; Gayle Manning; Adam C. Miller; Joseph A. Miller, III; Jessica E. Miranda; Michael J. O'Brien; Phil Plummer; Sharon A. Ray; Tracy M. Richardson; Craig S. Riedel; Phillip M. Robinson, Jr.; Bill Roemer; C. Allison Russo; Bill Seitz; Michael Sheehy; Michael J. Skindell; Kent Smith; Monique Smith; Lisa A. Sobecki; Dick Stein; Brian Stewart; D. J. Swearingen; Emilia Strong Sykes; Daniel P. Troy; Terrence Upchurch; Casey Weinstein; Thomas West; Andrea White",As Introduced,Education; Education : Primary and Secondary Education; Finance and Appropriations,Create new school financing system,House Finance Committee,"To amend sections 3301.0714, 3302.20, 3310.08, 3310.41, 3310.51, 3310.54, 3310.56, 3313.64, 3313.979, 3313.98, 3313.981, 3314.08, 3314.084, 3314.087, 3314.091, 3314.11, 3314.20, 3315.18, 3317.013, 3317.014, 3317.016, 3317.02, 3317.021, 3317.022, 3317.023, 3317.024, 3317.028, 3317.0212, 3317.0213, 3317.0214, 3317.03, 3317.051, 3317.16, 3317.20, 3317.25, 3317.26, 3319.57, 3324.09, 3326.31, 3326.32, 3326.33, 3326.39, 3326.40, 3326.51, 3327.01, 3328.32, 3328.34, and 3365.01; to enact new sections 3314.085, 3317.017, 3317.0215, 3317.0217, and 3317.0218 and sections 3314.089, 3314.0810, 3317.011, 3317.012, 3317.018, 3317.019, 3317.0110, 3317.071, 3317.072, 3317.11, 3317.162, 3317.60, 3326.43, 3326.44, and 3327.016; and to repeal sections 3310.55, 3314.085, 3314.53, 3317.017, 3317.0215, 3317.0216, 3317.0217, 3317.0218, 3326.41, and 3328.33 of the Revised Code and to amend Sections 4, 5, 6, and 7 of S.B. 310 of the 133rd General Assembly to create a new school financing system for fiscal year 2022 and each fiscal year thereafter.",https://www.legislature.ohio.gov/legislation/134/hb1
HCR0001,2021,134,Robert R. Cupp; Emilia Strong Sykes,,As Enrolled,State and Local Government,Notify Governor 134th General Assembly in session,,Relative to a committee to wait upon the Governor to let him know the 134th General Assembly is in session.,https://www.legislature.ohio.gov/legislation/134/hcr1
HJR0001,2021,134,Riordan T. McClain; Craig S. Riedel,Adam C. Bird; Rodney Creech; Timothy E. Ginter; Thomas Hall; Adam Holmes; Marilyn S. John; Darrell Kick; P. Scott Lipps; Gayle Manning; Derek Merrin; Thomas F. Patton; Jean Schmidt; Bill Seitz; Dick Stein; Tom Young,As Introduced,National or International Resolution,Request Constitutional Convention to limit federal government. ,House State and Local Government Committee,"Application to the Congress of the United States for a Convention of the States under Article V of the Constitution of the United States that is limited to proposing amendments that impose fiscal restraints on the federal government, limit the power and jurisdiction of the federal government, and limit the terms of office for its officials and Members of Congress.",https://www.legislature.ohio.gov/legislation/134/hjr1
HB0002,2021,134,Rick Carfagna; Brian Stewart,"Nickie J. Antonio; Louis W. Blessing, III; Jerry C. Cirino; Hearcel F. Craig; Matt Dolan; Teresa Fedor; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Stephen A. Huffman; Terry Johnson; Stephanie Kunze; George F. Lang; Tina Maharath; Nathan H. Manning; Rob McColley; Sandra O'Brien; Bob Peterson; Bill Reineke; Michael A. Rulli; Tim Schaffer; Kirk Schuring; Vernon Sykes; Cecil Thomas; Sandra R. Williams; Steve Wilson; Kenny Yuko",As Enrolled,Utilities; Utilities  : Telecommunications,Regards broadband expansion,House Finance Committee; Senate Financial Institutions and Technology Committee,"To amend sections 133.13 and 727.01 and to enact sections 122.40, 122.401, 122.403, 122.404, 122.406, 122.407, 122.408, 122.4010, 122.4013, 122.4015, 122.4016, 122.4017, 122.4018, 122.4019, 122.4020, 122.4021, 122.4023, 122.4024, 122.4025, 122.4030, 122.4031, 122.4033, 122.4034, 122.4035, 122.4036, 122.4037, 122.4040, 122.4041, 122.4043, 122.4044, 122.4045, 122.4046, 122.4050, 122.4051, 122.4053, 122.4055, 122.4060, 122.4061, 122.4063, 122.4070, 122.4071, 122.4073, 122.4075, 122.4076, 122.4077, 188.01, 188.02, 188.05, 188.08, 188.11, 188.14, 188.17, 188.20, 188.23, 188.27, 188.30, 303.251, 505.881, 4926.01, 4926.03, 4926.06, 4926.09, 4926.12, 4926.15, 4926.18, 4926.21, 4926.24, 4926.27, 4926.30, 4926.33, 4926.36, 4926.39, 4926.42, 4926.43, 4926.45, 4926.48, 4926.51, 4926.54, 4926.57, and 4926.60 of the Revised Code  regarding broadband expansion, including access to electric cooperative easements and facilities, to make an appropriation, and to declare an emergency. ",https://www.legislature.ohio.gov/legislation/134/hb2
HR0002,2021,134,Timothy E. Ginter,,As Adopted by the House,,Relative to the election of the minority leader for the 134th General Assembly of Ohio.,,,https://www.legislature.ohio.gov/legislation/134/hr2
HJR0002,2021,134,Jeff LaRe; D. J. Swearingen,Niraj Antani; Andrew O. Brenner; Jerry C. Cirino; Theresa Gavarone; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Terry Johnson; Sandra O'Brien; Bob Peterson; Bill Reineke; Mark Romanchuk; Tim Schaffer; Kirk Schuring; Steve Wilson,As Enrolled,"Constitutional Amendment; Courts and Civil Law : Courts; Crimes, Corrections, and Law Enforcement : Crime and Punishment",CA: Revise factors considered in setting bail,House Criminal Justice Committee; Senate Judiciary Committee,"Proposing to amend Section 9 of Article I of the Constitution of the State of Ohio to eliminate the requirement that the amount and conditions of bail be established pursuant to Section 5(b) of Article IV of the Constitution of the State of Ohio, and instead allow the courts to use factors such as public safety, including the seriousness of the offense, and a person's criminal record, the likelihood a person will return to court, and any other factor the General Assembly may prescribe.",https://www.legislature.ohio.gov/legislation/134/hjr2
HCR0002,2021,134,Timothy E. Ginter,,As Enrolled,State and Local Government,Appoints joint committee for inauguration of President-elect,,Relative to the appointment of a joint committee to attend the inauguration of the President of the United States.,https://www.legislature.ohio.gov/legislation/134/hcr2
HB0003,2021,134,Janine R. Boyd; Sara P. Carruthers,"Cindy Abrams; Brian Baldridge; Willis E. Blackshear, Jr.; Kristin Boggs; Juanita O. Brent; Richard D. Brown; Jamie Callender; Rick Carfagna; Gary Click; Erica C. Crawley; Rodney Creech; Jon Cross; Jeffrey A. Crossman; Robert R. Cupp; Al Cutrona; Sedrick Denson; Jay Edwards; Mark Fraizer; Tavia Galonski; Haraz N. Ghanbari; Timothy E. Ginter; Diane V. Grendell; Jennifer Gross; Thomas Hall; Paula Hicks-Hudson; James M. Hoops; Stephanie D. Howse; Latyna M. Humphrey; Catherine D. Ingram; Dontavius L. Jarrells; Marilyn S. John; Mark Johnson; Brigid Kelly; Darrell Kick; J. Kyle Koehler; Jeff LaRe; Brian E. Lampton; Laura Lanese; David Leland; Michele Lepore-Hagan; Mary Lightbody; Beth Liston; Mike Loychik; Gayle Manning; Adam C. Miller; Joseph A. Miller, III; Kevin D. Miller; Jessica E. Miranda; Michael J. O'Brien; Scott Oelslager; Gail K. Pavliga; Phil Plummer; Sharon A. Ray; Tracy M. Richardson; Craig S. Riedel; Phillip M. Robinson, Jr.; Bill Roemer; C. Allison Russo; Jean Schmidt; Michael Sheehy; Kent Smith; Monique Smith; Lisa A. Sobecki; Dick Stein; Jason Stephens; D. J. Swearingen; Bride Rose Sweeney; Emilia Strong Sykes; Daniel P. Troy; Terrence Upchurch; Casey Weinstein; Thomas West; Andrea White; Bob Young; Tom Young",As Passed by the House,"Crimes, Corrections, and Law Enforcement; Crimes, Corrections, and Law Enforcement : Crime and Punishment; Crimes, Corrections, and Law Enforcement : Law Enforcement; Juvenile and Family Law; Juvenile and Family Law : Domestic Relations",Enact Aisha's Law regarding domestic violence / arrest authority,House Criminal Justice Committee; House Rules and Reference Committee; Senate Judiciary Committee,"To amend sections 109.744, 109.803, 2903.01, 2919.25, 2919.27, 2929.12, 2929.13, 2929.14, 2929.22, 2935.03, 2935.032, 2937.23, and 3113.31; to amend, for the purpose of adopting a new section number as indicated in parentheses, section 2935.033 (2935.034); and to enact new section 2935.033 and section 2919.261 of the Revised Code to make changes to civil and criminal law regarding domestic violence, to address State Highway Patrol arrest authority, to name the act Aisha's Law, and to make an appropriation.",https://www.legislature.ohio.gov/legislation/134/hb3
HR0003,2021,134,Timothy E. Ginter,,As Adopted by the House,,"Relative to the election of the assistant minority leader, the minority whip, and the assistant minority whip for the 134th General Assembly of Ohio.",,,https://www.legislature.ohio.gov/legislation/134/hr3
