bill_number,session_year,session_num,action_date,chamber,action,committee,order
HR0001,2021,134,2021-01-04,House,Adopted,,1
HB0001,2021,134,2021-02-04,House,Referred to committee,Finance,2
HB0001,2021,134,2021-02-03,House,Introduced,,1
HCR0001,2021,134,2021-01-05,Senate,Adopted,,2
HCR0001,2021,134,2021-01-04,House,Adopted,,1
HJR0001,2021,134,2021-06-22,House,Referred to committee,State and Local Government,2
HJR0001,2021,134,2021-06-17,House,Introduced,,1
HB0002,2021,134,2021-05-17,,Effective,,12
HB0002,2021,134,2021-05-17,,Signed By The Governor,,11
HB0002,2021,134,2021-05-12,,Sent To The Governor,,10
HB0002,2021,134,2021-05-05,House,Concurred in Senate amendments,,9
HB0002,2021,134,2021-04-28,Senate,Passed,,8
HB0002,2021,134,2021-04-27,Senate,Reported - Amended,Financial Institutions and Technology,7
HB0002,2021,134,2021-02-24,Senate,Referred to committee,Financial Institutions and Technology,6
HB0002,2021,134,2021-02-23,Senate,Introduced,,5
HB0002,2021,134,2021-02-18,House,Passed,,4
HB0002,2021,134,2021-02-17,House,Reported - Amended,Finance,3
HB0002,2021,134,2021-02-04,House,Referred to committee,Finance,2
HB0002,2021,134,2021-02-03,House,Introduced,,1
HR0002,2021,134,2021-01-04,House,Adopted,,1
HJR0002,2021,134,2022-06-01,Senate,Adopted,,8
HJR0002,2021,134,2022-05-31,Senate,Referred to committee,Judiciary,7
HJR0002,2021,134,2022-05-27,Senate,Offered,,6
HJR0002,2021,134,2022-05-25,House,Adopted,,5
HJR0002,2021,134,2022-05-18,House,Informally passed,,4
HJR0002,2021,134,2022-05-12,House,Reported - Substitute,Criminal Justice,3
HJR0002,2021,134,2022-03-29,House,Referred to committee,Criminal Justice,2
HJR0002,2021,134,2022-03-28,House,Introduced,,1
HCR0002,2021,134,2021-01-05,Senate,Adopted,,2
HCR0002,2021,134,2021-01-04,House,Adopted,,1
HB0003,2021,134,2021-11-10,Senate,Referred to committee,Judiciary,7
HB0003,2021,134,2021-11-02,Senate,Introduced,,6
