bill_number,session_year,session_num,action_date,chamber,action,committee,order
HB0001,2023_2024,135,2023-02-16,House,Referred to committee,Ways and Means,2
HB0001,2023_2024,135,2023-02-15,House,Introduced,,1
HCR0001,2023_2024,135,2023-01-04,Senate,Adopted,,2
HCR0001,2023_2024,135,2023-01-03,House,Adopted,,1
HR0001,2023_2024,135,2023-01-03,House,Adopted,,1
HJR0001,2023_2024,135,2023-04-20,House,Reported - Amended,Constitutional Resolutions,3
HJR0001,2023_2024,135,2023-02-16,House,Referred to committee,Constitutional Resolutions,2
HJR0001,2023_2024,135,2023-02-15,House,Introduced,,1
HCR0002,2023_2024,135,2023-01-04,Senate,Adopted,,2
HCR0002,2023_2024,135,2023-01-03,House,Adopted,,1
HB0002,2023_2024,135,2024-06-28,,EffectiveEmergency Act,,12
HB0002,2023_2024,135,2024-06-28,,Signed By The Governor,,11
HB0002,2023_2024,135,2024-06-26,,Sent To The Governor,,10
HB0002,2023_2024,135,2024-06-26,Senate,Passed,,9
HB0002,2023_2024,135,2024-06-26,House,Concurred in Senate amendments,,8
HB0002,2023_2024,135,2024-06-26,Senate,Reported - Substitute,Finance,7
HB0002,2023_2024,135,2024-04-10,Senate,Referred to committee,Finance,6
HB0002,2023_2024,135,2024-02-13,Senate,Introduced,,5
HB0002,2023_2024,135,2024-02-07,House,Passed,,4
HB0002,2023_2024,135,2024-02-07,House,Reported - Substitute,Finance,3
HB0002,2023_2024,135,2023-02-16,House,Referred to committee,Finance,2
HB0002,2023_2024,135,2023-02-15,House,Introduced,,1
HR0002,2023_2024,135,2023-01-03,House,Adopted,,1
HJR0002,2023_2024,135,2023-06-07,House,Referred to committee,Constitutional Resolutions,2
HJR0002,2023_2024,135,2023-05-30,House,Introduced,,1
HCR0003,2023_2024,135,2023-01-26,Senate,Adopted,,2
HCR0003,2023_2024,135,2023-01-24,House,Adopted,,1
HR0003,2023_2024,135,2023-01-03,House,Adopted,,1
HJR0003,2023_2024,135,2023-09-12,House,Referred to committee,Government Oversight,2
HJR0003,2023_2024,135,2023-07-11,House,Introduced,,1
HB0003,2023_2024,135,2023-02-16,House,Referred to committee,Economic and Workforce Development,2
HB0003,2023_2024,135,2023-02-15,House,Introduced,,1
HJR0004,2023_2024,135,2023-10-03,House,Referred to committee,Public Health Policy,2
HJR0004,2023_2024,135,2023-09-26,House,Introduced,,1
HCR0004,2023_2024,135,2023-02-21,House,Introduced and Referred to Committee,Government Oversight,1
HR0004,2023_2024,135,2023-01-03,House,Adopted,,1
HB0004,2023_2024,135,2023-02-16,House,Referred to committee,Financial Institutions,2
HB0004,2023_2024,135,2023-02-15,House,Introduced,,1
HJR0005,2023_2024,135,2023-12-13,House,Reported - Amended,Energy and Natural Resources,3
HJR0005,2023_2024,135,2023-10-10,House,Referred to committee,Energy and Natural Resources,2
HJR0005,2023_2024,135,2023-10-03,House,Introduced,,1
HB0005,2023_2024,135,2023-09-13,Senate,Referred to committee,Judiciary,6
HB0005,2023_2024,135,2023-09-12,Senate,Introduced,,5
HB0005,2023_2024,135,2023-06-27,House,Passed,,4
HB0005,2023_2024,135,2023-06-20,House,Reported - Substitute,Families and Aging,3
HB0005,2023_2024,135,2023-02-16,House,Referred to committee,Families and Aging,2
HB0005,2023_2024,135,2023-02-15,House,Introduced,,1
HCR0005,2023_2024,135,2023-05-31,Senate,Referred to committee,Local Government,5
HCR0005,2023_2024,135,2023-05-30,Senate,Offered,,4
HCR0005,2023_2024,135,2023-05-24,House,Adopted,,3
HCR0005,2023_2024,135,2023-05-10,House,Reported,State and Local Government,2
HCR0005,2023_2024,135,2023-02-28,House,Introduced and Referred to Committee,State and Local Government,1
HR0005,2023_2024,135,2023-01-03,House,Adopted,,1
HCR0006,2023_2024,135,2024-04-10,Senate,Adopted,,7
HCR0006,2023_2024,135,2024-04-10,Senate,Reported,Government Oversight,6
HCR0006,2023_2024,135,2023-12-13,Senate,Referred to committee,Government Oversight,5
HCR0006,2023_2024,135,2023-12-11,Senate,Offered,,4
HCR0006,2023_2024,135,2023-12-06,House,Adopted,,3
HCR0006,2023_2024,135,2023-05-22,House,Reported - Substitute,Pensions,2
HCR0006,2023_2024,135,2023-03-14,House,Introduced and Referred to Committee,Pensions,1
HB0006,2023_2024,135,2023-05-10,House,Reported,Higher Education,3
HB0006,2023_2024,135,2023-02-16,House,Referred to committee,Higher Education,2
HB0006,2023_2024,135,2023-02-15,House,Introduced,,1
HR0006,2023_2024,135,2023-01-03,House,Adopted,,1
HJR0006,2023_2024,135,2024-05-21,House,Referred to committee,Ways and Means,2
HJR0006,2023_2024,135,2024-05-15,House,Introduced,,1
HB0007,2023_2024,135,2024-06-25,Senate,Referred to committee,Finance,8
HB0007,2023_2024,135,2024-06-17,Senate,Introduced,,7
HB0007,2023_2024,135,2024-06-12,House,Passed,,6
HB0007,2023_2024,135,2024-05-22,House,Reported - Substitute,Finance,5
HB0007,2023_2024,135,2023-06-13,House,Reported - Re-referred to Finance,Rules and Reference,4
HB0007,2023_2024,135,2023-06-07,House,Reported - Substitute - Re-referred to Rules and Reference,Families and Aging,3
HB0007,2023_2024,135,2023-02-16,House,Referred to committee,Families and Aging,2
HB0007,2023_2024,135,2023-02-15,House,Introduced,,1
HCR0007,2023_2024,135,2023-12-13,Senate,Referred to committee,General Government,5
HCR0007,2023_2024,135,2023-12-11,Senate,Offered,,4
HCR0007,2023_2024,135,2023-12-06,House,Adopted,,3
HCR0007,2023_2024,135,2023-11-02,House,Reported,State and Local Government,2
HCR0007,2023_2024,135,2023-03-22,House,Introduced and Referred to Committee,State and Local Government,1
HR0007,2023_2024,135,2023-01-03,House,Adopted,,1
