bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HB0001,2023_2024,135,Adam Mathews,,As Introduced,Housing and Real Property; Taxation,Modify the law regarding property taxation and income tax rates,House Ways and Means Committee,"To amend sections 319.30, 319.301, 321.24, 323.08, 323.152, 323.153, 323.155, 323.158, 718.83, 3354.24, 3354.25, 4503.06, 4503.065, 4503.066, 5703.021, 5703.80, 5709.92, 5709.93, 5713.01, 5715.01, 5715.19, 5715.24, 5715.30, 5747.02, 5747.03, and 5751.20 and to repeal section 319.302 of the Revised Code to modify the law regarding property taxation and income tax rates.",https://www.legislature.ohio.gov/legislation/135/hb1
HCR0001,2023_2024,135,Jason Stephens; C. Allison Russo,,As Enrolled,State and Local Government : State Government; General Assembly,Notify Governor 135th General Assembly in session,,Relative to a committee to wait upon the Governor to let him know the 135th General Assembly is in session.,https://www.legislature.ohio.gov/legislation/135/hcr1
HR0001,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to the election of the minority leader for the 135th General Assembly of Ohio.,,,https://www.legislature.ohio.gov/legislation/135/hr1
HJR0001,2023_2024,135,Brian Stewart,Tim Barhorst; Adam C. Bird; Thaddeus J. Claggett; Gary Click; Rodney Creech; Bill Dean; Steve Demetriou; Dave Dobos; Ron Ferguson; Thomas Hall; Marilyn S. John; Mark Johnson; Kris Jordan; Darrell Kick; Angela N. King; Roy Klopfenstein; Brian E. Lampton; Beth Lear; P. Scott Lipps; Susan Manchester; Adam Mathews; Riordan T. McClain; Derek Merrin; Melanie Miller; Phil Plummer; Jena Powell; Nick Santucci; Dick Stein; Reggie Stoltzfus; Jim Thomas; Scott Wiggam; Josh Williams; Bernard Willis; Tom Young,As Reported by the House Constitutional Resolutions Committee,Constitutional Amendment; Elections,CA: Require 60% vote to approve any constitutional amendment,House Constitutional Resolutions Committee,"Proposing to amend Sections 1b, 1e, and 1g of Article II and Sections 1 and 3 of Article XVI of the Constitution of the State of Ohio to require a vote of at least 60% of the electors to approve any constitutional amendment and to modify the procedures for an initiative petition proposing a constitutional amendment.",https://www.legislature.ohio.gov/legislation/135/hjr1
HCR0002,2023_2024,135,Scott Oelslager,,As Enrolled,State and Local Government : State Government; General Assembly,Relative to the inauguration of the Governor.,,,https://www.legislature.ohio.gov/legislation/135/hcr2
HB0002,2023_2024,135,Al Cutrona; Terrence Upchurch,"Nickie J. Antonio; Andrew O. Brenner; Jerry C. Cirino; Hearcel F. Craig; William P. DeMora; Theresa Gavarone; Bob D. Hackett; Paula Hicks-Hudson; Stephen A. Huffman; Catherine D. Ingram; Terry Johnson; Stephanie Kunze; Al Landis; Nathan H. Manning; Sandra O'Brien; Michele Reynolds; Tim Schaffer; Kirk Schuring; Kent Smith; Vernon Sykes; Shane Wilkin; Munira Abdullahi; Cindy Abrams; Willis E. Blackshear, Jr.; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Jamie Callender; Sara P. Carruthers; Jon Cross; Richard Dell'Aquila; Sedrick Denson; Dave Dobos; Jay Edwards; Elliot Forhan; Haraz N. Ghanbari; Michele Grim; James M. Hoops; Latyna M. Humphrey; Dani Isaacsohn; Dontavius L. Jarrells; Don Jones; Jeff LaRe; Beth Liston; Mike Loychik; Adam Mathews; Joseph A. Miller, III; Kevin D. Miller; Jessica E. Miranda; Scott Oelslager; Thomas F. Patton; Gail K. Pavliga; Beryl Piccolantonio; Justin Pizzulli; Sharon A. Ray; Tracy M. Richardson; Monica Robb Blasdel; Bill Roemer; Elgin Rogers, Jr.; C. Allison Russo; Jean Schmidt; Bill Seitz; Veronica Sims; Anita Somani; Jason Stephens; D. J. Swearingen; Bride Rose Sweeney; Cecil Thomas; Daniel P. Troy; Casey Weinstein; Josh Williams",As Enrolled,Finance and Appropriations,Direct state funds for economic growth and community development,House Finance Committee; Senate Finance Committee,"To amend sections 164.01, 164.05, 164.051, 164.06, 164.08, 164.14, and 164.26 of the Revised Code and to amend Sections 307.80 and 423.120 of H.B. 33 of the 135th General Assembly to provide authorization and conditions for the operation of certain state programs, to make capital appropriations and reappropriations for the biennium ending June 30, 2026, to make other appropriations, and to declare an emergency.",https://www.legislature.ohio.gov/legislation/135/hb2
HR0002,2023_2024,135,Scott Oelslager,,As Adopted by the House,,"Relative to the election of the assistant minority leader, the minority whip, and the assistant minority whip for the 135th General Assembly of Ohio.",,,https://www.legislature.ohio.gov/legislation/135/hr2
HJR0002,2023_2024,135,Dontavius L. Jarrells; Phil Plummer,"Munira Abdullahi; Rachel B. Baker; Willis E. Blackshear, Jr.; Juanita O. Brent; Darnell T. Brewer; Richard D. Brown; Richard Dell'Aquila; Elliot Forhan; Tavia Galonski; Michele Grim; Brett Hudson Hillyer; Latyna M. Humphrey; Dani Isaacsohn; Mary Lightbody; Beth Liston; Lauren McNally; Adam C. Miller; Joseph A. Miller, III; Kevin D. Miller; Jessica E. Miranda; Phillip M. Robinson, Jr.; C. Allison Russo; Michael J. Skindell; Anita Somani; Bride Rose Sweeney; Cecil Thomas; Terrence Upchurch; Casey Weinstein; Andrea White; Tom Young",As Introduced,Constitutional Amendment,CA: Prohibit slavery or servitude as punishment for crime,House Constitutional Resolutions Committee,Proposing to amend Section 6 of Article I of the Constitution of the State of Ohio to prohibit slavery or involuntary servitude in Ohio for the punishment of crime.,https://www.legislature.ohio.gov/legislation/135/hjr2
HCR0003,2023_2024,135,Jason Stephens; C. Allison Russo,,As Enrolled,State and Local Government : State Government; General Assembly,Convene in joint session of Senate and House,,Authorizing a joint convention of the Ohio General Assembly for the purpose of receiving a message from the Governor and calling for a committee to wait upon the Governor in anticipation of his State of the State Address.,https://www.legislature.ohio.gov/legislation/135/hcr3
HR0003,2023_2024,135,Scott Oelslager,,As Adopted by the House,,Relative to the election of the Clerk of the House of Representatives. ,,,https://www.legislature.ohio.gov/legislation/135/hr3
HJR0003,2023_2024,135,Riordan T. McClain; Bernard Willis,Tim Barhorst; Adam C. Bird; Rodney Creech; Steve Demetriou; Thomas Hall; Brett Hudson Hillyer; Adam Holmes; Marilyn S. John; Mark Johnson; Darrell Kick; Roy Klopfenstein; Brian Lorenz; Susan Manchester; Gayle Manning; Derek Merrin; Melanie Miller; Jean Schmidt; Bill Seitz; Dick Stein; Josh Williams; Tom Young,As Introduced,National or International Resolution,Applies to Congress for a Convention of the States,House Government Oversight Committee,"Application to the Congress of the United States for a Convention of the States under Article V of the Constitution of the United States that is limited to proposing amendments that impose fiscal restraints on the federal government, limit the power and jurisdiction of the federal government, and limit the terms of office for its officials and Members of Congress.",https://www.legislature.ohio.gov/legislation/135/hjr3
HB0003,2023_2024,135,Gail K. Pavliga; Lauren McNally,James M. Hoops,As Introduced,Housing and Real Property; Taxation,Authorize an affordable housing tax credit,House Economic and Workforce Development Committee,To formally state the General Assembly's intention to authorize an affordable housing tax credit.,https://www.legislature.ohio.gov/legislation/135/hb3
HJR0004,2023_2024,135,Scott Wiggam,Tim Barhorst; Gary Click; Rodney Creech; Jon Cross; Bill Dean; Steve Demetriou; Jay Edwards; Ron Ferguson; Sarah Fowler Arthur; Jennifer Gross; Thomas Hall; Adam Holmes; Don Jones; Darrell Kick; Angela N. King; Roy Klopfenstein; Beth Lear; Brian Lorenz; Mike Loychik; Susan Manchester; Riordan T. McClain; Derek Merrin; Melanie Miller; Phil Plummer; Jena Powell; Sharon A. Ray; Brian Stewart; D. J. Swearingen; Josh Williams; Tom Young,As Introduced,Constitutional Amendment; Health and Human Services : Public Health,CA: Protect individuals from being compelled to wear a mask ,House Public Health Policy Committee,Proposing to enact Section 22 of Article I of the Constitution of the State of Ohio to protect individuals from being compelled to wear a mask or other facial covering.,https://www.legislature.ohio.gov/legislation/135/hjr4
