bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HB0001,2024_S,135,Bill Seitz,Brian M. Chavez; Jerry C. Cirino; Theresa Gavarone; Bob D. Hackett; Stephen A. Huffman; George F. Lang; Rob McColley; Sandra O'Brien; Bill Reineke; Michele Reynolds; Kristina D. Roegner; Mark Romanchuk; Michael A. Rulli; Tim Schaffer; Shane Wilkin; Cindy Abrams; Tim Barhorst; Adam C. Bird; Jamie Callender; Sara P. Carruthers; Gary Click; Rodney Creech; Al Cutrona; Jack K. Daniels; Steve Demetriou; Dave Dobos; Jay Edwards; Sarah Fowler Arthur; Haraz N. Ghanbari; Jennifer Gross; Thomas Hall; Brett Hudson Hillyer; Adam Holmes; James M. Hoops; Marilyn S. John; Mark Johnson; Don Jones; Darrell Kick; Angela N. King; Jeff LaRe; P. Scott Lipps; Mike Loychik; Riordan T. McClain; Kevin D. Miller; Melanie Miller; Gail K. Pavliga; Bob Peterson; Phil Plummer; Tracy M. Richardson; Monica Robb Blasdel; Nick Santucci; Jean Schmidt; Dick Stein; Brian Stewart; D. J. Swearingen; Scott Wiggam; Josh Williams; Tom Young,As Passed by the Senate,,,,To enact section 3517.121 of the Revised Code to modify the Campaign Finance Law regarding foreign nationals and ballot issues.,
HB0002,2024_S,135,Dave Dobos,Nickie J. Antonio; Jerry C. Cirino; Hearcel F. Craig; William P. DeMora; Paula Hicks-Hudson; Catherine D. Ingram; Bill Reineke; Kent Smith; Vernon Sykes; Sean P. Brennan; Juanita O. Brent; Darnell T. Brewer; Jamie Callender; Elliot Forhan; Ismail Mohamed; Anita Somani,As Passed by the Senate,,,,To delay the deadline for a major political party to certify its presidential and vice presidential candidates to the Secretary of State for the 2024 general election.,
SB0279,2024_S,135,Catherine D. Ingram; William P. DeMora,Nickie J. Antonio; Hearcel F. Craig; Paula Hicks-Hudson; Kent Smith; Vernon Sykes,As Introduced,,,,To delay the deadline for a major political party to certify its presidential and vice presidential candidates to the Secretary of State for the 2024 general election.,
SB0280,2024_S,135,Paula Hicks-Hudson; Kent Smith,Nickie J. Antonio; Hearcel F. Craig; William P. DeMora; Catherine D. Ingram; Vernon Sykes,As Introduced,,,,To amend sections 3505.01 and 3505.10 of the Revised Code to modify the deadline for a political party to certify its nominees for President and Vice-President to the Secretary of State.,
