bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HB0049,2019,133,Dave Greenspan,Stephen D. Hambley; J. Todd Smith,As Reported by the House State and Local Government Committee,"Crimes, Corrections, and Law Enforcement : Firearms; Elections",Authorize concealed handgun license as voter photo identification,House State and Local Government Committee,To amend section 3501.01 of the Revised Code to specify that certain county issued licenses qualify as photo identification for voting purposes.,https://www.legislature.ohio.gov/legislation/133/hb49
HR0049,2019,133,Stephen D. Hambley; Darrell Kick,,As Adopted by the House,,Honoring The Ohio State University Medina County Extension 4-H Program on its One Hundredth Anniversary.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr49
HB0050,2019,133,Dave Greenspan,"Nickie J. Antonio; Dave Burke; William P. Coley, II; Hearcel F. Craig; Matt Dolan; John Eklund; Bob D. Hackett; Frank Hoagland; Stephanie Kunze; Tina Maharath; Sean J. O'Brien; Lou Terhar; Cecil Thomas; Joe Uecker; Kenny Yuko",As Enrolled,Health and Human Services; State and Local Government : Local Government,Declare certain hospital employee inventions property of hospital,House Civil Justice Committee; Senate Government Oversight and Reform Committee,"To enact section 339.062 of the Revised Code to require that all rights to and interests in charter county hospital employee discoveries, inventions, or patents are the property of the charter county hospital.",https://www.legislature.ohio.gov/legislation/133/hb50
HR0050,2019,133,Juanita O. Brent; Janine R. Boyd; Jeffrey A. Crossman; Dave Greenspan; Stephanie D. Howse; Michael J. Skindell; Bride Rose Sweeney; Terrence Upchurch,Kent Smith,As Adopted by the House,,Honoring the Cleveland Public Library on its Sesquicentennial.,House Rules and Reference Committee,,https://www.legislature.ohio.gov/legislation/133/hr50
HB0051,2019,133,Timothy E. Ginter,"Steven M. Arndt; Gil Blair; Louis W. Blessing III; Kristin Boggs; Janine R. Boyd; Juanita O. Brent; Richard D. Brown; Randi Clites; Jon Cross; Jeffrey A. Crossman; Robert R. Cupp; Bill Dean; Sedrick Denson; Jay Edwards; Haraz N. Ghanbari; Doug Green; Dave Greenspan; Stephen D. Hambley; Paula Hicks-Hudson; Adam Holmes; Stephanie D. Howse; Don Jones; Brigid Kelly; Jeff LaRe; Laura Lanese; George F. Lang; David Leland; Michele Lepore-Hagan; Mary Lightbody; P. Scott Lipps; Beth Liston; Gayle Manning; Don Manning; Riordan T. McClain; Adam C. Miller; Michael J. O'Brien; Scott Oelslager; John Patterson; Thomas F. Patton; Rick Perales; Phil Plummer; Tracy M. Richardson; Craig S. Riedel; Phillip M. Robinson, Jr.; John M. Rogers; C. Allison Russo; Gary Scherer; Michael Sheehy; Kent Smith; Ryan Smith; J. Todd Smith; Lisa A. Sobecki; Dick Stein; Reggie Stoltzfus; Fred Strahorn; Emilia Strong Sykes; A. Nino Vitale; Casey Weinstein; Thomas West; Scott Wiggam; Shane Wilkin; Paul Zeltwanger",As Passed by the House,"Transportation; Transportation : Highways, Roads, and Bridges",Require center-line rumble strips for certain highway projects,"House Transportation and Public Safety Committee; Senate Transportation, Commerce and Workforce Committee","To enact section 5517.06 of the Revised Code to require the Ohio Department of Transportation to install rumble strips along the center line for all two-way, undivided state highways with a speed limit exceeding 45 miles per hour, as a part of specified highway projects. ",https://www.legislature.ohio.gov/legislation/133/hb51
HR0051,2019,133,Juanita O. Brent,,As Adopted by the House,,Honoring Janie Boyle as the 2019 Division II State Girls Diving Champion.,,,https://www.legislature.ohio.gov/legislation/133/hr51
HB0052,2019,133,Glenn W. Holmes; Rick Perales,John Becker; Richard D. Brown; Erica C. Crawley; Laura Lanese; Adam C. Miller; Michael J. O'Brien; Craig S. Riedel,As Introduced,Health and Human Services : Health Care; Military and Veterans,Require certain entities inform veterans of health care benefits,House Armed Services and Veterans Affairs Committee,To amend section 5901.01 and to enact section 5901.40 of the Revised Code to require certain entities to inform veterans about health care benefits available to veterans. ,https://www.legislature.ohio.gov/legislation/133/hb52
HR0052,2019,133,Larry Householder,,As Adopted by the House,,Authorizing Ohio YMCA Youth and Government to use the Ohio House Chambers to conduct its 2019 model legislature.	,,,https://www.legislature.ohio.gov/legislation/133/hr52
HB0053,2019,133,Jack Cera,Doug Green; Don Jones; Michele Lepore-Hagan; Michael Sheehy,As Reported by the House Transportation and Public Safety Committee,Special Designations : Memorial Highways and Bridges; Transportation,Designate PFC George Dennis McClelland Memorial Highway,House Transportation and Public Safety Committee,"To enact section 5534.818 of the Revised Code to designate a portion of State Route 152 in Jefferson County as the ""PFC George Dennis McClelland Memorial Highway.""",https://www.legislature.ohio.gov/legislation/133/hb53
HR0053,2019,133,Larry Householder,,As Adopted by the House,,Authorizing the Youth Leadership Association to use the Ohio House Chambers to conduct its 2019 Ohio Youth in Government event.	,,,https://www.legislature.ohio.gov/legislation/133/hr53
