bill_number,session_year,session_num,action_date,chamber,action,committee,order
HJR0001,2019,133,2019-06-30,House,Referred to committee,Civil Justice,2
HJR0001,2019,133,2019-06-27,House,Introduced,,1
HB0001,2019,133,2021-04-12,,Effective,,11
HB0001,2019,133,2020-12-22,House,Concurred in Senate amendments,,10
HB0001,2019,133,2020-12-17,Senate,Informally passed,,9
HB0001,2019,133,2020-12-17,Senate,Passed - Amended,,8
HB0001,2019,133,2020-12-09,Senate,Reported - Substitute,Judiciary,7
HB0001,2019,133,2019-09-11,Senate,Referred to committee,Judiciary,6
HB0001,2019,133,2019-06-20,Senate,Introduced,,5
HB0001,2019,133,2019-06-19,House,Passed,,4
HB0001,2019,133,2019-06-18,House,Reported,Criminal Justice,3
HB0001,2019,133,2019-05-22,House,Referred to committee,Criminal Justice,2
HB0001,2019,133,2019-05-21,House,Introduced,,1
HCR0001,2019,133,2019-01-07,Senate,Adopted,,2
HCR0001,2019,133,2019-01-07,House,Adopted,,1
HR0001,2019,133,2019-01-07,House,Adopted,,1
HB0002,2019,133,2020-04-14,,"EffectiveReappropriation authority effective January 13, 2020",,19
HB0002,2019,133,2020-01-13,,Signed By The Governor,,18
HB0002,2019,133,2020-01-07,,Sent To The Governor,,17
HB0002,2019,133,2019-12-12,House,Conference report agreed to,,16
HB0002,2019,133,2019-12-11,Senate,Conference report agreed to,Conference Committee on H.B. 2,15
HB0002,2019,133,2019-12-04,Senate,"Conference managers: Sens. - Dolan, Huffman, M., Sykes",,14
HB0002,2019,133,2019-12-04,House,"Conference managers: Reps. - Oelslager, Cross, Sobecki",,13
HB0002,2019,133,2019-11-26,Senate,Insist on amendments; asks for committee of conference,,12
HB0002,2019,133,2019-11-19,House,Refused to concur in Senate amendments,,11
HB0002,2019,133,2019-11-13,Senate,Passed - Amended,,10
HB0002,2019,133,2019-11-06,Senate,Reported - Substitute,Finance,9
HB0002,2019,133,2019-07-17,Senate,Referred to committee,Finance,8
HB0002,2019,133,2019-06-13,Senate,Introduced,,7
HB0002,2019,133,2019-06-12,House,Passed - Amended,,6
HB0002,2019,133,2019-06-11,House,Reported - Substitute,Finance,5
HB0002,2019,133,2019-06-05,House,Reported - Re-referred to Finance,Finance,4
HB0002,2019,133,2019-06-05,House,Reported - Substitute - Re-referred to Rules and Reference,Rules and Reference,3
HB0002,2019,133,2019-05-14,House,Referred to committee,Economic and Workforce Development,2
HB0002,2019,133,2019-05-13,House,Introduced,,1
HCR0002,2019,133,2019-01-07,Senate,Adopted,,2
HCR0002,2019,133,2019-01-07,House,Adopted,,1
HR0002,2019,133,2019-01-07,House,Adopted,,1
HJR0002,2019,133,2019-10-29,House,Referred to committee,Energy and Natural Resources,2
HJR0002,2019,133,2019-10-25,House,Introduced,,1
HJR0003,2019,133,2020-05-27,House,Referred to committee,State and Local Government,2
HJR0003,2019,133,2020-05-20,House,Introduced,,1
HCR0003,2019,133,2019-02-06,Senate,Adopted,,2
HCR0003,2019,133,2019-02-06,House,Adopted,,1
HR0003,2019,133,2019-01-07,House,Adopted,,1
HJR0004,2019,133,2020-05-27,House,Referred to committee,State and Local Government,2
HJR0004,2019,133,2020-05-20,House,Introduced,,1
HB0004,2019,133,2020-04-14,,Effective,,11
HB0004,2019,133,2020-01-14,,Signed By The Governor,,10
HB0004,2019,133,2020-01-07,,Sent To The Governor,,9
HB0004,2019,133,2019-12-11,Senate,Passed,,8
HB0004,2019,133,2019-12-11,Senate,Reported,"Transportation, Commerce and Workforce",7
HB0004,2019,133,2019-07-17,Senate,Referred to committee,"Transportation, Commerce and Workforce",6
HB0004,2019,133,2019-06-10,Senate,Introduced,,5
HB0004,2019,133,2019-06-06,House,Passed,,4
HB0004,2019,133,2019-06-05,House,Reported - Substitute,Economic and Workforce Development,3
HB0004,2019,133,2019-05-21,House,Referred to committee,Economic and Workforce Development,2
HB0004,2019,133,2019-05-16,House,Introduced,,1
HCR0004,2019,133,2019-02-13,House,Introduced and Referred to Committee,Federalism,1
HR0004,2019,133,2019-01-07,House,Adopted,,1
HB0005,2019,133,2019-07-17,Senate,Referred to committee,Finance,8
HB0005,2019,133,2019-06-24,Senate,Introduced,,7
HB0005,2019,133,2019-06-20,House,Passed,,6
HB0005,2019,133,2019-06-19,House,Reported - Substitute,Finance,5
HB0005,2019,133,2019-06-18,House,Reported - Amended - Re-referred to Rules and Reference,Rules and Reference,4
HB0005,2019,133,2019-06-18,House,Reported - Re-referred to Finance,Finance,3
HB0005,2019,133,2019-05-22,House,Referred to committee,Criminal Justice,2
HB0005,2019,133,2019-05-21,House,Introduced,,1
HR0005,2019,133,2019-01-07,House,Adopted,,1
HCR0005,2019,133,2019-02-19,House,Introduced and Referred to Committee,Federalism,1
HB0006,2019,133,2019-10-22,,Effective,,16
HB0006,2019,133,2019-07-23,,Signed By The Governor,,15
HB0006,2019,133,2019-07-23,,Sent To The Governor,,14
HB0006,2019,133,2019-07-23,House,Concurred in Senate amendments,,13
HB0006,2019,133,2019-07-17,Senate,Passed - Amended,,12
HB0006,2019,133,2019-07-17,Senate,Informally passed,,11
HB0006,2019,133,2019-07-17,Senate,Reported - Substitute,Energy and Public Utilities,10
HB0006,2019,133,2019-06-06,Senate,Referred to committee,Energy and Public Utilities,9
HB0006,2019,133,2019-05-30,Senate,Introduced,,8
HB0006,2019,133,2019-05-29,House,Passed,,7
HB0006,2019,133,2019-05-29,House,Informally passed,,6
HB0006,2019,133,2019-05-29,House,Reported - Substitute,Energy and Natural Resources,5
HB0006,2019,133,2019-05-28,House,Re-referred,Rules and Reference,4
HB0006,2019,133,2019-05-23,House,Reported - Substitute,Energy and Natural Resources Subcommittee on Energy Generation,3
HB0006,2019,133,2019-04-16,House,Referred to committee,Energy and Natural Resources,2
HB0006,2019,133,2019-04-12,House,Introduced,,1
HCR0006,2019,133,2019-03-21,Senate,Referred to committee,"Transportation, Commerce and Workforce",7
HCR0006,2019,133,2019-03-07,Senate,Offered,,6
HCR0006,2019,133,2019-03-06,House,Reported,Commerce and Labor,5
HCR0006,2019,133,2019-03-06,House,Adopted,,4
HCR0006,2019,133,2019-03-06,House,Motion to reconsider,,3
