bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HB0001,2017,132,Emilia Strong Sykes; Nathan H. Manning,REPRESENTATIVES Marlene Anielski; Nickie J. Antonio; Steven Arndt; Michael Ashford; John A. Boccieri; Kristin Boggs; Janine R. Boyd; Andrew Brenner; Jim Butler; Rick Carfagna; Nicholas J. Celebrezze; Jack Cera; Kathleen Clyde; Hearcel F. Craig; Robert R. Cupp; Anthony DeVitis; Jonathan Dever; Mike Duffey; Jay Edwards; Teresa Fedor; Theresa Gavarone; Doug Green; Dave Greenspan; Christina Hagan; Stephen D. Hambley; Michael Henne; Brian Hill; Glenn W. Holmes; Larry Householder; Stephanie Howse; Catherine D. Ingram; Greta Johnson; Brigid Kelly; Bernadine Kennedy Kent; J. Kyle Koehler; Al Landis; Laura Lanese; David Leland; Michele Lepore-Hagan; Robert McColley; Adam C. Miller; Michael J. O'Brien; John Patterson; Dorothy Pelanda; Rick Perales; Dan Ramos; Alicia Reece; Bill Reineke; Wes Retherford; Jeff Rezabek; Craig S. Riedel; John M. Rogers; Scott K. Ryan; Gary Scherer; Michael Sheehy; Marilyn Slaby; Kent Smith; Ryan Smith; Robert Sprague; Dick Stein; Fred Strahorn; Martin J. Sweeney; Thomas West; SENATORS Kevin Bacon; Troy Balderson; Bill Beagle; Edna Brown; Dave Burke; Bill Coley; John Eklund; Randy Gardner; Bob D. Hackett; Frank Hoagland; Jay Hottinger; Matt Huffman; Kris Jordan; Stephanie Kunze; Frank LaRose; Peggy Lehner; Gayle Manning; Larry Obhof; Scott Oelslager; Bob Peterson; Joe Schiavoni; Michael J. Skindell; Vernon Sykes; Charleta B. Tavares; Lou Terhar; Cecil Thomas; Joe Uecker; Sandra R. Williams; Steve Wilson; Kenny Yuko,As Enrolled,"Courts and Civil Law : Courts; Crimes, Corrections, and Law Enforcement : Crime and Punishment",Authorize dating violence protection orders,Senate Judiciary Committee; House Civil Justice Committee,"To amend sections 109.42, 2151.34, 2903.214, 2919.26, 3113.31, and 3113.33 of the Revised Code to authorize the issuance of a domestic violence civil protection order with respect to conduct directed at a petitioner alleging violence in a dating relationship of a specified nature, to provide access to domestic violence shelters for victims of violence in such a dating relationship, and to require the Attorney General's victim's bill of rights pamphlet to include a notice that a person alleging violence in such a dating relationship has the right to petition for a domestic violence civil protection order.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HB-1
HCR0001,2017,132,Cliff Rosenberger; Fred Strahorn,,As Enrolled,,Relative to a committee to wait upon the Governor to let him know the 132nd General Assembly is in session.,,Relative to a committee to wait upon the Governor to let him know the 132nd General Assembly is in session.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HCR-1
HJR0001,2017,132,Steven Arndt,SENATORS Kevin Bacon; Bill Beagle; John Eklund; Randy Gardner; Bob D. Hackett; Frank Hoagland; Matt Huffman; Peggy Lehner; Gayle Manning; Larry Obhof; Scott Oelslager; Bob Peterson; Joe Uecker,As Enrolled,,"Authorizing a joint session of the Ohio General Assembly to meet at the Sandusky State Theatre in Sandusky, Ohio, for the purpose of receiving a message from the Governor and calling for a committee to wait upon the Governor in anticipation of his State of the State Address.",,"Authorizing a joint session of the Ohio General Assembly to meet at the Sandusky State Theatre in Sandusky, Ohio, for the purpose of receiving a message from the Governor and calling for a committee to wait upon the Governor in anticipation of his State of the State Address.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HJR-1
HR0001,2017,132,Kirk Schuring,,As Adopted by the House,,"Relative to the election of the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 132nd General Assembly of Ohio.",,"Relative to the election of the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 132nd General Assembly of Ohio.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HR-1
HCR0002,2017,132,Kirk Schuring,,As Enrolled,,Relative to the appointment of a joint committee to attend the inauguration of The Honorable Donald J. Trump.,,Relative to the appointment of a joint committee to attend the inauguration of The Honorable Donald J. Trump.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HCR-2
HR0002,2017,132,Kirk Schuring,,As Adopted by the House,,Relative to the election of the minority leader for the 132nd General Assembly of Ohio.,,Relative to the election of the minority leader for the 132nd General Assembly of Ohio.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HR-2
HB0002,2017,132,William Seitz,,"As Reported by the House Economic Development, Commerce, and Labor Committee",Courts and Civil Law; Courts and Civil Law : Civil Law; Employment,Modify civil rights law relating to employment,"House Economic Development, Commerce, and Labor Committee","To amend sections 2315.18, 2315.21, 4112.01, 4112.02, 4112.04, 4112.05, 4112.08, 4112.14, and 4112.99; to amend, for the purpose of adopting new section numbers as indicated in parentheses, sections 4112.051 (4112.055) and 4112.052 (4112.056); and to enact new sections 4112.051 and 4112.052 and section 4112.054 of the Revised Code to modify Ohio civil rights laws related to employment.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HB-2
HJR0002,2017,132,Christina Hagan; Bill Patmon,REPRESENTATIVES Margaret Conditt; Anthony DeVitis; Timothy Ginter; Stephen D. Hambley; Terry Johnson; Nathan H. Manning; Robert McColley; Wes Retherford; Craig S. Riedel; Kristina Roegner; Mark J. Romanchuk; Andy Thompson,As Introduced,National or International Resolution,Limit power of federal government and impose federal term limits,House Federalism and Interstate Relations Committee,"Application to the Congress of the United States for a Convention of the States under Article V of the Constitution of the United States that is limited to proposing amendments that impose fiscal restraints on the federal government, limit the power and jurisdiction of the federal government, and limit the terms of office for its officials and Members of Congress.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HJR-2
HCR0003,2017,132,Kirk Schuring,SENATORS Dave Burke; Bill Coley; Bob D. Hackett; Larry Obhof; Scott Oelslager; Bob Peterson,As Enrolled,State and Local Government; State and Local Government : Ethics; State and Local Government : Public Officials and Employees; State and Local Government : State Government,Adopt Legislative Code of Ethics.,,"To adopt the Legislative Code of Ethics for the members and employees of both chambers of the 132nd General Assembly, employees of any legislative agency, and candidates for the 133rd General Assembly.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HCR-3
HB0003,2017,132,Mike Duffey; Christina Hagan,REPRESENTATIVES Niraj J. Antani; Heather Bishoff; Andrew Brenner; Jim Butler; Hearcel F. Craig; Robert R. Cupp; Bill Dean; Jonathan Dever; Keith Faber; Stephen D. Hambley; Michael Henne; Larry Householder; Jim Hughes; Catherine D. Ingram; Bernadine Kennedy Kent; J. Kyle Koehler; Laura Lanese; George F. Lang; Nathan H. Manning; Riordan T. McClain; Derek Merrin; Adam C. Miller; Michael J. O'Brien; John Patterson; Bill Reineke; Wes Retherford; Craig S. Riedel; Kristina Roegner; Mark J. Romanchuk; Gary Scherer; Michael Sheehy; Todd Smith; Dick Stein; A. Nino Vitale; Paul Zeltwanger,As Passed by the House,State and Local Government : Local Government; State and Local Government : Public Officials and Employees; State and Local Government : Public Records; State and Local Government : State Government,Improve transparency of public data,House Finance Committee,"To enact sections 117.432, 117.58, 149.60, 149.61, and 3375.03 of the Revised Code to create the DataOhio Board, to specify requirements for posting public records online, to require the Auditor of State to adopt rules regarding a uniform accounting system for public offices, to establish an online catalog of public data at data.Ohio.gov, to establish the Local Government Information Exchange Grant Program, and to make appropriations.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA132-HB-3
