bill_number,session_year,session_num,sponsors,cosponsors,status,subjects,title,committees,long_title,bill_url
HJR0001,2015,131,Cliff Rosenberger,SENATORS Kevin Bacon; Troy Balderson; Bill Beagle; John Eklund; Keith Faber; Randy Gardner; Cliff Hite; Jay Hottinger; Jim Hughes; Frank LaRose; Peggy Lehner; Gayle Manning; Larry Obhof; Scott Oelslager; Tom Patton; Bob Peterson; Chris Widener,As Enrolled,,"Authorizing a joint session of the Ohio General Assembly to meet at the Roberts Centre in Wilmington, Ohio, for the purpose of receiving a message from the Governor and calling for a committee to wait upon the Governor in anticipation of his State of the State Address.",,"Authorizing a joint session of the Ohio General Assembly to meet at the Roberts Centre in Wilmington, Ohio, for the purpose of receiving a message from the Governor and calling for a committee to wait upon the Governor in anticipation of his State of the State Address.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HJR-1
HCR0001,2015,131,Cliff Rosenberger; Fred Strahorn,,As Enrolled,,Creates committee to notify Governor 131st GA-in session.,,Relative to a committee to wait upon the Governor to let him know the 131st General Assembly is in session.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HCR-1
HB0001,2015,131,Kirk Schuring; Nathan H. Manning,,As Re-referred by the House Rules and Reference Committee,Education; Education : Higher Education; Employment : Workforce Development; Finance and Appropriations,Creates Workforce Grant Program,House Finance Committee; House Rules and Reference Committee; House Economic and Workforce Development Committee,"To amend section 5747.98 and to enact sections 3333.92 and 5747.78 of the Revised Code to establish the Workforce Grant Program, to authorize an income tax credit equal to 25% of the student loan payments a grant recipient makes per year, and to make an appropriation.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HB-1
HR0001,2015,131,Ron Amstutz,,As Adopted by the House,,"Relative to the election of the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 131st General Assembly of Ohio.",,"Relative to the election of the majority floor leader, the assistant majority floor leader, the majority whip, and the assistant majority whip for the 131st General Assembly of Ohio.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HR-1
HB0002,2015,131,Mike Dovilla; Kristina Roegner,REPRESENTATIVES Marlene Anielski; Louis W. Blessing III; Andrew Brenner; Tim W. Brown; Jim Buchy; Tony Burkley; Robert R. Cupp; Anthony DeVitis; Jonathan Dever; Mike Duffey; Cheryl L. Grossman; Bob D. Hackett; Christina Hagan; Bill Hayes; Michael Henne; J. Kyle Koehler; Steven W. Kraus; Stephanie Kunze; Nathan H. Manning; Jeff McClain; Dorothy Pelanda; Rick Perales; Mark J. Romanchuk; Cliff Rosenberger; Gary Scherer; Marilyn Slaby; Ryan Smith; Louis Terhar; Andy Thompson; Ron Young; SENATORS Troy Balderson; Dave Burke; Bill Coley; John Eklund; Randy Gardner; Cliff Hite; Shannon Jones; Frank LaRose; Peggy Lehner; Gayle Manning; Larry Obhof; Bob Peterson; Tom Sawyer; Cecil Thomas; Chris Widener; Sandra R. Williams; Kenny Yuko,As Enrolled,Education; Education : Primary and Secondary Education,Addresses community school sponsors and managers,Senate Conference Committee on HB 2 Committee; Senate Finance - Education Subcommittee Committee; House Education Committee,"To amend sections 3302.03, 3307.01, 3309.011, 3313.12, 3314.011, 3314.015, 3314.016, 3314.02, 3314.021, 3314.023, 3314.024, 3314.027, 3314.029, 3314.03, 3314.07, 3314.074, 3314.10, 3314.19, 3314.23, 3314.27, 3314.35, 3314.351, 3314.50, and 3317.034; to enact sections 117.105, 3302.037, 3309.013, 3313.131, 3314.019, 3314.025, 3314.0210, 3314.031, 3314.032, 3314.034, 3314.035, 3314.036, 3314.037, 3314.038, 3314.039, 3314.251, 3314.271, and 3314.46; and to repeal section 3314.026 of the Revised Code; and to repeal Section 263.660 of Am. Sub. H.B. 64 of the 131st General Assembly with regard to governance, sponsorship, and management of community schools and community school employee membership in the School Employees Retirement System and State Teachers Retirement System; to require the Department of Education to study a regression formula for measuring student academic performance; to limit the total annual amount of compensation that a school district or educational service center board member may receive; and to revise the conditions of enrollment status for high school students.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HB-2
HCR0002,2015,131,Cliff Rosenberger; Fred Strahorn,,As Enrolled,,Joint committee to make arrangements for inauguration of Governor-elect,,Relative to the inauguration of the Governor.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HCR-2
HR0002,2015,131,Ron Amstutz,,As Adopted by the House,,Relative to the election of the minority leader for the 131st General Assembly of Ohio.,,Relative to the election of the minority leader for the 131st General Assembly of Ohio.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HR-2
HJR0002,2015,131,Kathleen Clyde; Michael F. Curtin,REPRESENTATIVES Nickie J. Antonio; Michael Ashford; Heather Bishoff; Nicholas J. Celebrezze; Denise Driehaus; Teresa Fedor; Greta Johnson; David Leland; Michele Lepore-Hagan; Michael Sheehy; Kent Smith; Michael Stinziano,As Introduced,Constitutional Amendment; Elections : Redistricting,Proposes constitutional amendment - congressional redistricting,House Government Accountability and Oversight Committee,"Proposing to enact Sections 1, 2, 3, 4, 5, 6, 7, 8, and 9 of Article XIX of the Constitution of the State of Ohio to revise the redistricting process for congressional districts.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HJR-2
HB0003,2015,131,Timothy Derickson; Mark J. Romanchuk,REPRESENTATIVES Marlene Anielski; Niraj J. Antani; Nickie J. Antonio; Nan A. Baker; Louis W. Blessing III; Terry Boose; Kevin Boyce; Andrew Brenner; Tim W. Brown; Tony Burkley; Margaret Conditt; Hearcel F. Craig; Robert R. Cupp; Anthony DeVitis; Jonathan Dever; Mike Dovilla; Mike Duffey; Ronald V. Gerberry; Timothy Ginter; Doug Green; Cheryl L. Grossman; Bob D. Hackett; Christina Hagan; David Hall; Stephen D. Hambley; Michael Henne; Brian Hill; Stephen A. Huffman; J. Kyle Koehler; Steven W. Kraus; Stephanie Kunze; Al Landis; Ron Maag; Jeff McClain; Robert McColley; Michael J. O'Brien; Sean O'Brien; Dorothy Pelanda; Rick Perales; Debbie Phillips; Alicia Reece; Wes Retherford; Jeff Rezabek; Cliff Rosenberger; Margaret Ann Ruhl; Scott K. Ryan; Tim Schaffer; Marilyn Slaby; Ryan Smith; Robert Sprague; Michael Stinziano; Louis Terhar; Andy Thompson; Ron Young; SENATORS Kevin Bacon; Troy Balderson; Bill Beagle; Edna Brown; Dave Burke; Bill Coley; John Eklund; Keith Faber; Randy Gardner; Cliff Hite; Jay Hottinger; Jim Hughes; Shannon Jones; Kris Jordan; Frank LaRose; Peggy Lehner; Gayle Manning; Larry Obhof; Scott Oelslager; Tom Patton; Bob Peterson; Joe Schiavoni; Bill Seitz; Charleta B. Tavares; Cecil Thomas; Joe Uecker; Chris Widener; Sandra R. Williams,As Enrolled,Commerce; Economic Development; Employment : Workforce Development; State and Local Government : State Government,Addresses filing fees and website access,Senate State and Local Government Committee; House Economic and Workforce Development Committee,"To amend sections 111.16, 1329.01, and 1703.04 and to enact sections 6301.16 and 6301.17 of the Revised Code to reduce certain business filing fees charged and collected by the Secretary of State, to modify the required contents of foreign corporation filings, to specify that all Ohio-based companies are to have the same access to employer application services available through the OhioMeansJobs web site, and to require the Governor's Executive Workforce Board to prepare an annual report on the performance of the web site.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HB-3
HCR0003,2015,131,Ron Amstutz,REPRESENTATIVES Marlene Anielski; Niraj J. Antani; Nickie J. Antonio; Michael Ashford; Nan A. Baker; Louis W. Blessing III; Terry Boose; Kevin Boyce; Janine R. Boyd; Tim W. Brown; Jim Buchy; Tony Burkley; Jim Butler; Nicholas J. Celebrezze; Kathleen Clyde; Margaret Conditt; Hearcel F. Craig; Robert R. Cupp; Michael F. Curtin; Anthony DeVitis; Timothy Derickson; Jonathan Dever; Mike Dovilla; Denise Driehaus; Mike Duffey; Ronald V. Gerberry; Timothy Ginter; Doug Green; Cheryl L. Grossman; Bob D. Hackett; Christina Hagan; David Hall; Stephen D. Hambley; Bill Hayes; Brian Hill; Stephanie Howse; Greta Johnson; Terry Johnson; J. Kyle Koehler; Steven W. Kraus; Christie Bryant Kuhns; Stephanie Kunze; Sarah LaTourette; Al Landis; David Leland; Michele Lepore-Hagan; Ron Maag; Jeff McClain; Robert McColley; Michael J. O'Brien; John Patterson; Debbie Phillips; Bill Reineke; Jeff Rezabek; Kristina Roegner; John M. Rogers; Mark J. Romanchuk; Cliff Rosenberger; Margaret Ann Ruhl; Scott K. Ryan; Tim Schaffer; Gary Scherer; Barbara R. Sears; Michael Sheehy; Marilyn Slaby; Stephen Slesnick; Ryan Smith; Robert Sprague; Fred Strahorn; Martin J. Sweeney; Emilia Strong Sykes; Andy Thompson; Ron Young; Paul Zeltwanger; SENATORS Bill Coley; John Eklund; Keith Faber; Jim Hughes; Peggy Lehner; Larry Obhof; Tom Patton; Chris Widener,As Enrolled,,Adopts a Legislative Code of Ethics,,"To adopt the Legislative Code of Ethics for the members and employees of both chambers of the 131st General Assembly, employees of any legislative agency, and candidates for the 132nd General Assembly.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA131-HCR-3
