"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"OR","2023_2024","Dwayne Yunker","25131","H","R","HD-003",FALSE,"Served full term - included with LES=0"
"OR","2023_2024","Shannon Isadore","25435","H","D","HD-033",TRUE,"Only served during 2024-SS1 (one-day wildfire appropriations special session) - excluded"
"OR","2023_2024","Lisa Reynolds","22319","S","D","SD-017",TRUE,"Appointed to Senate Dec 2024 after all sessions ended - did not serve in Senate during 2023-2024 term"
