bill_number,session,chamber,action_date,action,journal_page,order
LB0001,2023_2024,Unicameral,2024-02-14,"Approved by Governor on February 13, 2024",695,11
LB0001,2023_2024,Unicameral,2024-02-08,"Presented to Governor on  February 8, 2024",646,10
LB0001,2023_2024,Unicameral,2024-02-08,President/Speaker signed,644,9
LB0001,2023_2024,Unicameral,2024-02-08,Passed on Final Reading 45-0-4,632,8
LB0001,2023_2024,Unicameral,2024-01-31,Placed on Final Reading,567,7
LB0001,2023_2024,Unicameral,2024-01-26,Advanced to Enrollment and Review for Engrossment,548,6
LB0001,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,5
LB0001,2023_2024,Unicameral,2023-02-22,Placed on Select File,567,4
LB0001,2023_2024,Unicameral,2023-02-16,Advanced to Enrollment and Review Initial,536,3
LB0001,2023_2024,Unicameral,2023-01-09,Placed on General File,125,2
LB0001,2023_2024,Unicameral,2023-01-05,Date of introduction,66,1
LB0002,2023_2024,Unicameral,2024-04-25,Provisions/portions of LB2 amended into LB1300 by AM3227,0,10
LB0002,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,9
LB0002,2023_2024,Unicameral,2024-03-20,Vargas name added,1181,8
LB0002,2023_2024,Unicameral,2024-03-15,Placed on General File,1078,7
LB0002,2023_2024,Unicameral,2024-02-29,Hunt name added,875,6
LB0002,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,5
LB0002,2023_2024,Unicameral,2023-01-19,"Notice of hearing for January 27, 2023",351,4
LB0002,2023_2024,Unicameral,2023-01-18,Conrad name added,342,3
LB0002,2023_2024,Unicameral,2023-01-09,"Referred to Government, Military and Veterans Affairs Committee",125,2
LB0002,2023_2024,Unicameral,2023-01-05,Date of introduction,66,1
LB0003,2023_2024,Unicameral,2023-06-01,Provisions/portions of LB3 amended into LB92 by AM1364,0,9
LB0003,2023_2024,Unicameral,2023-06-01,Indefinitely Postponed,1878,8
LB0003,2023_2024,Unicameral,2023-02-23,Enrollment and Review ER7 filed,592,7
LB0003,2023_2024,Unicameral,2023-02-23,Placed on Select File with ER7,592,6
LB0003,2023_2024,Unicameral,2023-02-16,Advanced to Enrollment and Review Initial,540,5
LB0003,2023_2024,Unicameral,2023-02-02,Placed on General File,443,4
LB0003,2023_2024,Unicameral,2023-01-23,"Notice of hearing for January 31, 2023",365,3
LB0003,2023_2024,Unicameral,2023-01-09,"Referred to Banking, Commerce and Insurance Committee",125,2
LB0003,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0004,2023_2024,Unicameral,2024-01-24,Brewer name added,517,11
LB0004,2023_2024,Unicameral,2023-06-01,Provisions/portions of LB4 amended into LB727 by AM1396,0,10
LB0004,2023_2024,Unicameral,2023-06-01,Indefinitely Postponed,1878,9
LB0004,2023_2024,Unicameral,2023-02-23,"Cavanaugh, M. AM522 filed",594,8
LB0004,2023_2024,Unicameral,2023-02-08,Aguilar name added,484,7
LB0004,2023_2024,Unicameral,2023-02-07,Revenue AM284 filed,467,6
LB0004,2023_2024,Unicameral,2023-02-07,Placed on General File with AM284,467,5
LB0004,2023_2024,Unicameral,2023-01-26,Sanders AM105 filed,405,4
LB0004,2023_2024,Unicameral,2023-01-18,"Notice of hearing for January 26, 2023",298,3
LB0004,2023_2024,Unicameral,2023-01-09,Referred to Revenue Committee,125,2
LB0004,2023_2024,Unicameral,2023-01-05,Date of introduction,67,1
LB0005,2023_2024,Unicameral,2024-04-18,Indefinitely postponed,1813,14
LB0005,2023_2024,Unicameral,2024-01-03,Title printed. Carryover bill,4,13
LB0005,2023_2024,Unicameral,2023-05-23,Hunt AM1931 filed,1668,12
