bill_number,session,primary_sponsor,status,summary,bill_url
LB0039,2023_2024,Blood,Indefinitely postponed,Require disability impact statements for certain legislation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50242
LB0040,2023_2024,Blood,Indefinitely postponed,Adopt the Riparian and Water Quality Practices Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50324
LB0041,2023_2024,"Hansen, B.",Indefinitely postponed,Prohibit state agencies from imposing annual filing and reporting requirements on charitable organizations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49960
LB0042,2023_2024,"Hansen, B.",Indefinitely postponed,Change provisions relating to child abuse and neglect under the Child Protection  and Family Safety Act and the Nebraska Juvenile Code,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49881
LB0043,2023_2024,Sanders,Passed,"Adopt the First Freedom Act and the Personal Privacy Protection Act, authorize tribal regalia to be worn by students, change provisions relating to withholding records from the public, provide requirements for interpretation of statutes, rules, and regulations, and prohibit state agencies from imposing certain requirements on charitable organizations",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50402
LB0044,2023_2024,Dungan,Indefinitely postponed,Adopt the Midwest Interstate Passenger Rail Compact,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49910
LB0045,2023_2024,Dorn,Indefinitely postponed,Create the Revitalize Rural Nebraska Grant Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49969
LBA0045,2023_2024,Dorn,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51822
LB0046,2023_2024,Dorn,Indefinitely postponed,Appropriate funds to the Department of Health and Human Services for a provider rate study,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49943
LB0047,2023_2024,Dorn,Indefinitely postponed,Change notice requirements under the Open Meetings Act for certain fire districts,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50344
LB0048,2023_2024,Dorn,Indefinitely postponed,Appropriate money to the State Department of Education for educational service units,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50000
LB0049,2023_2024,Dungan,Indefinitely postponed,"Change provisions relating to solar energy and wind energy, declare certain instruments void and unenforceable, and provide for a civil cause of action",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50007
LB0050,2023_2024,Wayne,Passed,Change provisions relating to the administration of justice,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50391
LBA0050,2023_2024,Wayne,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54127
LB0051,2023_2024,DeKay,Passed,Change provisions relating to the use of the state's telecommunications system,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50277
LB0052,2023_2024,Lippincott,Passed,Eliminate a limitation on the amount of tuition credits available to Nebraska National Guard members,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49922
LBA0052,2023_2024,Lippincott,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51821
LB0053,2023_2024,McKinney,Indefinitely postponed,"Create El-Hajj Malik El-Shabazz, Malcolm X Day and establish a holiday",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49837
LB0054,2023_2024,McKinney,Indefinitely postponed,Require the office of Legislative Research to prepare racial impact statements for legislative bills,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50435
LB0055,2023_2024,McKinney,Withdrawn,Change provisions relating to self-sufficiency contracts and work activity requirements under the Welfare Reform Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49839
LB0056,2023_2024,McKinney,Indefinitely postponed,Adopt the Diaper Changing Accommodation Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49840
LB0057,2023_2024,"Cavanaugh, M.",Indefinitely postponed,Adopt the Paid Family and Medical Leave Insurance Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49671
LB0058,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Provide a sales and use tax exemption for diapers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50081
LB0059,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Change provisions relating to limitations for a postconviction relief action,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50001
LB0060,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Change provisions relating to room confinement of juveniles and required reports,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50008
LB0061,2023_2024,Brandt,Passed,Change provisions relating to regulation of dark fiber,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50038
LB0062,2023_2024,"Cavanaugh, M.",Passed,"Provide for coverage of translation and interpretation services under the medical assistance program, change reporting requirements related to the medical assistance program, and require a report regarding to the Temporary Assistance for Needy Families program",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50151
LB0063,2023_2024,Bostar,Indefinitely postponed,Require withholding of distributions to telecommunications companies from the Nebraska Telecommunications Universal Service Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49908
LB0064,2023_2024,Day,Indefinitely postponed,Require the Department of Health and Human Services to provide notice in certain cases of child abuse and neglect,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49747
LB0065,2023_2024,Day,Indefinitely postponed,Change provisions relating to the complaint tracking system and disciplinary action under the Child Care Licensing Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49746
LB0066,2023_2024,Slama,Indefinitely postponed,Change provisions relating to the regulation and operation of all-terrain vehicles and utility-type vehicles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49721
LB0067,2023_2024,Slama,Indefinitely postponed,Provide a duty for the State Treasurer regarding deposits of public funds,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50288
LB0068,2023_2024,Slama,Indefinitely postponed,Increase limits on medical malpractice liability and change provisions of the Nebraska Hospital-Medical Liability Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50271
LB0069,2023_2024,Jacobson,Indefinitely postponed,Provide requirements for life insurance policies,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50381
LB0070,2023_2024,"Cavanaugh, M.",Indefinitely postponed,Eliminate the fee for certain state identification cards and certified copies of birth certificates for voting purposes,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50188
LB0071,2023_2024,Sanders,Passed,"Change provisions relating to early childhood education, parental involvement in and access to learning materials in schools, and the Tax Equity and Educational Opportunities Support Act and provide a process for repeating a grade upon request",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49659
LB0072,2023_2024,Aguilar,Indefinitely postponed,Redefine the term gross proceeds for purposes of the Nebraska County and City Lottery Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50185
LB0073,2023_2024,Aguilar,Indefinitely postponed,Change provisions relating to authorized uses for a County Visitors Improvement Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50186
LB0074,2023_2024,Linehan,Indefinitely postponed,Change sales tax provisions relating to purchasing agents,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50223
LB0075,2023_2024,Vargas,Indefinitely postponed,Provide for review of incidents of severe maternal morbidity,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49676
LB0076,2023_2024,Bostar,Indefinitely postponed,"Provide access to certain information relating to probationers, juveniles, and parolees to law enforcement agencies",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49663
LB0077,2023_2024,Brewer,Passed,"Provide for carrying of concealed handguns without a permit, change provisions  relating to concealed weapons, and prohibit certain regulation of weapons by cities, villages, and counties",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49710
