bill_number,session,primary_sponsor,status,summary,bill_url
LB0521,2023_2024,Walz,Indefinitely postponed,Provide for immunity for school personnel administering naloxone,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50773
LB0522,2023_2024,Walz,Indefinitely postponed,Change provisions relating to poverty allowances under the Tax Equity and Educational Opportunities Support Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50713
LB0523,2023_2024,Walz,Indefinitely postponed,Require a state plan amendment to include school psychologists as medicaid providers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50549
LB0524,2023_2024,Fredrickson,Indefinitely postponed,Provide an income tax credit for food donations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50467
LB0525,2023_2024,Fredrickson,Indefinitely postponed,State intent to appropriate funds to the Department of Health and Human Services for rate increases for psychiatric diagnostic evaluation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50717
LB0526,2023_2024,Fredrickson,Indefinitely postponed,State intent to appropriate funds to the Department of Health and Human Services for Developmental Disability Aid,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50851
LB0527,2023_2024,Fredrickson,Indefinitely postponed,Provide reimbursements to school districts and educational service units for mental health expenditures,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50799
LB0528,2023_2024,"Hansen, B.",Indefinitely postponed,Create the Nebraska Option Enrollment Tuition Account Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50550
LB0529,2023_2024,"Hansen, B.",Indefinitely postponed,Change provisions of the Property Tax Request Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50330
LB0530,2023_2024,McKinney,Indefinitely postponed,Change provisions of the Nebraska Housing Agency Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50548
LB0531,2023_2024,McKinney,Passed,"Create and change grant and economic and community development programs, change municipal governance and regulation provisions and state building code provisions, authorize transfer of investment interest on certain funds and Cash Reserve Fund transfers, and authorize development of the Mayhew Cabin historical site and a Chief Standing Bear museum and visitor center",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50390
LBA0531,2023_2024,McKinney,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=54124
LB0532,2023_2024,McKinney,Indefinitely postponed,Change provisions of the Community Development Law,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49683
LB0533,2023_2024,McKinney,Indefinitely postponed,Change plumbing board membership for cities of the primary class and provide for licensure requirements for plumbers in certain cities and villages,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50044
LB0534,2023_2024,Slama,Indefinitely postponed,Appropriate federal funds to the Department of Environment and Energy for community water systems,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50538
LB0535,2023_2024,Slama,Indefinitely postponed,Require valid photographic identification and change provisions relating to voting under the Election Act and certain identification documents,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49990
LB0536,2023_2024,Slama,Indefinitely postponed,Change provisions relating to authorized investments for insurers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50584
LB0537,2023_2024,Slama,Indefinitely postponed,Change provisions relating to the Nebraska Uniform Limited Liability Company Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50779
LB0538,2023_2024,Slama,Indefinitely postponed,Change provisions relating to the board of directors of a bank,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50778
LB0539,2023_2024,Vargas,Indefinitely postponed,State intent regarding use of the Nebraska Health Care Cash Fund for the Tobacco Prevention and Control Program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50342
LB0540,2023_2024,Vargas,Indefinitely postponed,Change provisions relating to public lettings,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50557
LB0541,2023_2024,Lowe,Indefinitely postponed,Change provisions relating to election of public power district directors,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50578
LB0542,2023_2024,Lowe,Indefinitely postponed,Change provisions relating to the Nebraska Racetrack Gaming Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50794
LB0543,2023_2024,Lowe,Indefinitely postponed,Change provisions relating to entertainment district licenses under the Nebraska Liquor Control Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50761
LB0544,2023_2024,Conrad,Indefinitely postponed,Change provisions of the Nebraska Bingo Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50519
LB0545,2023_2024,Conrad,Indefinitely postponed,Change provisions relating to an action for possession under the Uniform Residential Landlord and Tenant Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50389
LB0546,2023_2024,Conrad,Indefinitely postponed,"Provide requirements for bed and breakfast establishments regarding food, beverages, and fire safety",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50754
LB0547,2023_2024,Conrad,Indefinitely postponed,"Create the Capitol Preservation, Restoration, and Enhancement Endowment Fund for the courtyards of the State Capitol",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49763
LB0548,2023_2024,Ballard,Indefinitely postponed,Change examination and compounding requirements under the Pharmacy Practice Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50737
LB0549,2023_2024,Ballard,Indefinitely postponed,"Change restrictions based on age for certain health care, power of attorney, and financial documents",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50490
LB0550,2023_2024,Ballard,Indefinitely postponed,Change provisions relating to the enrollment option program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50606
LB0551,2023_2024,"Cavanaugh, J.",Indefinitely postponed,State intent to appropriate funds to certain counties for long-term care facility operations and services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50743
LB0552,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Change requirements for the Legislative Mental Health Care Capacity Strategic Planning Committee,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50755
LBA0552,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51535
LB0553,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Provide for automatic review of bail and conditions of release for misdemeanors or violations of city or village ordinances,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50741
LB0554,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Appropriate funds to the Commission on Public Advocacy,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50686
LB0555,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Change provisions relating to the indigent defense fee and the Commission on Public Advocacy Operations Cash Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50425
LB0556,2023_2024,Brandt,Indefinitely postponed,Adopt the Capacity Grant Act to provide grants to nonprofit organizations that administer weatherization programs through the low-income home energy assistance program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50677
LB0557,2023_2024,Vargas,Indefinitely postponed,Limit use of restrictive housing and solitary confinement,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49927
LB0558,2023_2024,Day,Indefinitely postponed,Require payment of a minimum wage for all school district employees,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50790
LB0559,2023_2024,Blood,Indefinitely postponed,Provide for electronic filing of statements of financial interests and require additional elected officials to file such statements under the Nebraska Political Accountability and Disclosure Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50764
LB0560,2023_2024,Blood,Indefinitely postponed,State intent to seek federal funds under the Inflation Reduction Act of 2022,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50843
LB0561,2023_2024,Blood,Indefinitely postponed,Adopt the Cosmetology Licensure Compact,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50571
LB0562,2023_2024,Dorn,Passed,"Adopt the E-15 Access Standard Act and change provisions of the Beginning Farmer Tax Credit Act, the Nebraska Higher Blend Tax Credit Act, the Nebraska Investment Finance Authority Act, and the Nebraska Pure Food Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49789
LBA0562,2023_2024,Dorn,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=53874
LB0563,2023_2024,Dorn,Indefinitely postponed,Appropriate funds to the Nebraska State Historical Society,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50192
LB0564,2023_2024,Dorn,Indefinitely postponed,Change provisions of the Economic Opportunity Program of the Department of Transportation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50707
LB0565,2023_2024,Bostelman,Passed,"Adopt the Public Water and Natural Resources Project Contracting Act and the Nuclear and Hydrogen Development Act and change provisions relating to municipal cooperative financing, scrap tires, power conservation and development, and the Game Law",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50683
LBA0565,2023_2024,Bostelman,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51972
LB0566,2023_2024,Bostelman,Indefinitely postponed,Require a study and report by the Natural Resources Committee of the Legislature regarding intermittent renewable energy generation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50257
LB0567,2023_2024,Bostelman,Indefinitely postponed,Change provisions relating to public power and irrigation districts and electric suppliers,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49834
LB0568,2023_2024,Bostelman,Indefinitely postponed,Adopt the Nuclear and Hydrogen Development Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50660
LB0569,2023_2024,Bostelman,Passed,Require public notice and public meetings prior to construction of certain electric generation facilities,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49848
LB0570,2023_2024,Vargas,Indefinitely postponed,Adopt the Overdose Fatality Review Teams Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50424
LB0571,2023_2024,Lippincott,Indefinitely postponed,Appropriate funds to the Department of Environment and Energy to carry out the Water Well Standards and Contractors' Practice Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50476
LB0572,2023_2024,Riepe,Indefinitely postponed,"Provide, change, and eliminate provisions relating to the Medical Nutrition Therapy Practice Act",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49713
LB0573,2023_2024,"Hansen, B.",Indefinitely postponed,Appropriate funds to the Department of Economic Development for a time-limited grant program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50468
LB0574,2023_2024,Kauth,Passed,Adopt the Let Them Grow Act and the Preborn Child Protection Act and provide for discipline under the Uniform Credentialing Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49961
LB0575,2023_2024,Kauth,Indefinitely postponed,Adopt the Sports and Spaces Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49722
LB0576,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Provide limitations on liability and nuisance related to land-management burning,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50659
LB0577,2023_2024,"Cavanaugh, J.",Indefinitely postponed,Change provisions relating to collection of delinquent real property taxes by sale of real property,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49770
LB0578,2023_2024,DeBoer,Indefinitely postponed,Appropriate funds to the Auditor of Public Accounts,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50669
LB0579,2023_2024,DeBoer,Indefinitely postponed,Change provisions of the Nebraska Uniform Real Property Transfer on Death Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50525
LB0580,2023_2024,Holdcroft,Indefinitely postponed,Change provisions relating to agricultural or horticultural land receiving special valuation,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50517
LB0581,2023_2024,"Cavanaugh, M.",Indefinitely postponed,Create pilot programs for doula services at a youth rehabilitation and treatment center and the Nebraska Correctional Center for Women,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50689
LB0582,2023_2024,Moser,Indefinitely postponed,Adopt the Manufacturing Modernization Pilot Investment Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50628
LB0583,2023_2024,Sanders,Passed,Change provisions of the Special Education Act and the Tax Equity and Educational Opportunities Support Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50613
LBA0583,2023_2024,Sanders,Passed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=53438
LB0584,2023_2024,Hughes,Indefinitely postponed,Impose a tax on selling or dealing in electronic nicotine delivery systems,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50648
LB0585,2023_2024,Hughes,Indefinitely postponed,Change a duty of the state school security director and require behavioral and mental health training for certain school personnel,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50429
LB0586,2023_2024,Hughes,Indefinitely postponed,Provide duties for the Nebraska Center for Nursing regarding clinical training sites,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50423
LB0587,2023_2024,Wishart,Indefinitely postponed,Adopt the Insurance Regulatory Sandbox Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50156
LB0588,2023_2024,Wishart,Indefinitely postponed,Adopt the Medicinal Cannabis Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49849
LB0589,2023_2024,Briese,Indefinitely postponed,Adopt the School District Property Tax Limitation Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49995
LB0590,2023_2024,Holdcroft,Indefinitely postponed,"Change the personal needs allowance for eligible aged, blind, and disabled persons",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50604
LB0591,2023_2024,Hardin,Indefinitely postponed,Require notice of termination of an oral lease of agricultural land to be given by January 1,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50675
LB0592,2023_2024,Hardin,Indefinitely postponed,Adopt the Social Care Information Privacy Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49815
LB0593,2023_2024,Hardin,Indefinitely postponed,Change provisions relating to licensure and regulation of hearing instrument specialists,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50533
LB0594,2023_2024,Hardin,Withdrawn,Provide for local government investment pools to invest in commercial paper,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50505
LB0595,2023_2024,Hardin,Indefinitely postponed,Change supervision requirements under the Pharmacy Practice Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50289
LB0596,2023_2024,Hardin,Indefinitely postponed,Authorize a manufacturer or wholesaler to enter into a sponsorship or advertising agreement with certain licensees or organizations under the Nebraska Liquor Control Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50822
LB0597,2023_2024,Clements,Indefinitely postponed,Appropriate funds to the Legislative Council,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50828
LB0598,2023_2024,Clements,Indefinitely postponed,Eliminate obsolete provisions relating to the Cash Reserve Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50829
LB0599,2023_2024,Armendariz,Indefinitely postponed,Change provisions relating to recycling under the Environmental Protection Act and the Integrated Solid Waste Management Act and provide for an additional use of the Waste Reduction and Recycling Incentive Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50501
LB0600,2023_2024,Lippincott,Passed,Adopt the Municipality Infrastructure Aid Act and transfer funds from the Cash Reserve Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50700
LB0601,2023_2024,Dungan,Indefinitely postponed,State intent regarding increases to reimbursement rates paid to providers of developmental disability services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50699
LB0602,2023_2024,Linehan,Indefinitely postponed,Exclude certain pensions and annuities from income taxes,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49852
LB0603,2023_2024,Linehan,Indefinitely postponed,Change provisions relating to the Alternative Certification for Quality Teachers Act and authorize the Commissioner of Education to issue alternative certificates to teach as prescribed,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50581
LB0604,2023_2024,Raybould,Indefinitely postponed,Change provisions relating to voting early under the Election Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50336
LB0605,2023_2024,Albrecht,Passed,Change provisions of the Mental Health Practice Act to include protections and requirements for certified art therapists,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49777
LB0606,2023_2024,Albrecht,Indefinitely postponed,Adopt the Nebraska Pregnancy Help Act and provide tax credits,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50642
LB0607,2023_2024,McDonnell,Passed,Change provisions relating to grants for the 211 Information and Referral Network,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50816
LB0608,2023_2024,McDonnell,Indefinitely postponed,State intent to appropriate funds to the Department of Economic Development,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50804
LB0609,2023_2024,McDonnell,Indefinitely postponed,State intent to appropriate funds for construction of a Vietnam War memorial,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50817
LB0610,2023_2024,Lippincott,Indefinitely postponed,Appropriate funds to the State Department of Education,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50611
LB0611,2023_2024,Riepe,Indefinitely postponed,Provide requirements for certain health care facility-provided medications,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50726
LB0612,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the Department of Administrative Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50426
LB0613,2023_2024,McDonnell,Indefinitely postponed,State intent to appropriate funds to the Department of Environment and Energy,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50809
LB0614,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the Department of Agriculture,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50805
LB0615,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the State Fire Marshal,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50806
LB0616,2023_2024,McDonnell,Indefinitely postponed,Provide for awards under the ImagiNE Nebraska Act relating to the federal Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50210
LB0617,2023_2024,McDonnell,Indefinitely postponed,Create the Economic Development Cash Fund to award a grant relating to the federal Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50243
LB0618,2023_2024,McDonnell,Indefinitely postponed,Redefine public benefits and change provisions of the Employment Security Law relating to the disqualification of certain aliens,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49945
LB0619,2023_2024,McDonnell,Indefinitely postponed,"Prohibit assault on a public transportation driver and clarify provisions relating to assault on officers, emergency responders, certain employees, and health care professionals",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50631
LB0620,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to arraignment and hearings for certain juveniles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50527
LB0621,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the Site and Building Development Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49942
LB0622,2023_2024,McDonnell,Indefinitely postponed,Change the Sports Arena Facility Financing Assistance Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49941
LB0623,2023_2024,McDonnell,Indefinitely postponed,Redefine eligible sports arena facility under the Sports Arena Facility Financing Assistance Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50567
LB0624,2023_2024,McDonnell,Passed,Change provisions relating to the Nebraska Tourism Commission,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50808
LB0625,2023_2024,McDonnell,Indefinitely postponed,Provide requirements for operation of autonomous vehicles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50565
LB0626,2023_2024,Albrecht,Indefinitely postponed,Adopt the Nebraska Heartbeat Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50641
LB0627,2023_2024,Bostar,Indefinitely postponed,Adopt the Free Student Meals Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50376
LB0628,2023_2024,Jacobson,Passed,Change provisions relating to limited liability companies and professional corporations,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50428
LB0629,2023_2024,McKinney,Indefinitely postponed,Change provisions of the Middle Income Workforce Housing Investment Act and the Economic Recovery Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50775
LB0630,2023_2024,McKinney,Indefinitely postponed,Provide a duty to the State Department of Education and require a school board to adopt a written dress code,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50449
LB0631,2023_2024,McKinney,Passed,"Change provisions relating to the Board of Parole, eligibility for parole, reentry services, post-release supervision, grant programs, and prisons, adopt the Community Work Release and Reentry Centers Act, provide for performance metrics, Parole School, book donations, and reentry career planning, and transfer the Division of Parole Supervision to the Department of Correctional Services",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50450
LB0632,2023_2024,McKinney,Indefinitely postponed,Prohibit the suspension of students in prekindergarten through second grade in a school in a city of the metropolitan class,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50724
LB0633,2023_2024,McKinney,Indefinitely postponed,Provide duties for the Department of Economic Development regarding marketing for financial incentives offered by the State of Nebraska,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50784
LB0634,2023_2024,McKinney,Indefinitely postponed,Adopt the Cannabis Control Act and the Cannabis Conviction Clean Slate Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50704
LB0635,2023_2024,Albrecht,Indefinitely postponed,"Provide requirements regarding access to digital and online resources provided for students by school districts, schools, and the Nebraska Library Commission",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50496
LB0636,2023_2024,Albrecht,Indefinitely postponed,Prohibit political subdivisions from restricting certain energy services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49810
LB0637,2023_2024,Albrecht,Indefinitely postponed,Require members of the public to be allowed to speak at each meeting subject to the Open Meetings Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50594
LB0638,2023_2024,Albrecht,Indefinitely postponed,Adopt the Nebraska K-12 Cybersecurity and Data Protection Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50701
LB0639,2023_2024,Blood,Indefinitely postponed,"Change provisions of Nebraska Workers’ Compensation Act relating to rules and regulations, case progression standards, and summons and eliminate requirements to distribute copies of certain materials",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50711
LB0640,2023_2024,Kauth,Indefinitely postponed,Require an off-campus location of a hospital to obtain and use a separate National Provider Identifier in billing for health care services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50387
LB0641,2023_2024,Kauth,Indefinitely postponed,Change provisions relating to the taxation of social security benefits,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50795
LB0642,2023_2024,Brewer,Indefinitely postponed,Provide duties for the Adjutant General regarding Nebraska National Guard members impacted by the COVID-19 vaccine mandate,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50736
LB0643,2023_2024,Brewer,Indefinitely postponed,Adopt the Abandoned Mobile Home Act and change provisions relating to abandoned vehicles,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50354
LB0644,2023_2024,McDonnell,Passed,Change provisions relating to the use of the Site and Building Development Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49812
LB0645,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to state highways and roads,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50531
LB0646,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to telecommunications,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50810
LB0647,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the purchase and loan of textbooks for children enrolled in kindergarten to grade twelve of a private school,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50649
LBA0647,2023_2024,McDonnell,Indefinitely postponed,Appropriation Bill,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=51651
LB0648,2023_2024,McDonnell,Indefinitely postponed,Provide powers and duties to the State Department of Education relating to the development of a workforce diploma program,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50811
LB0649,2023_2024,McDonnell,Indefinitely postponed,"Change provisions and penalties relating to arson, trespass, and graffiti",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50759
LB0650,2023_2024,McDonnell,Indefinitely postponed,Allow certain cybersecurity records to be withheld from the public,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50730
LB0651,2023_2024,McDonnell,Indefinitely postponed,Provide for appropriations relating to cybersecurity improvements for state agencies and political subdivisions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50731
LB0652,2023_2024,McDonnell,Indefinitely postponed,Appropriate federal funds to the Department of Health and Human Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50812
LB0653,2023_2024,McDonnell,Indefinitely postponed,Appropriate federal funds to the Department of Health and Human Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50815
LB0654,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the Legislative Council,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50814
LB0655,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the State Fire Marshal,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50807
LB0656,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the Small Watersheds Flood Control Fund,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50813
LB0657,2023_2024,McDonnell,Indefinitely postponed,Appropriate funds to the University of Nebraska,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50430
LB0658,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the Public Employees Retirement Board,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50772
LB0659,2023_2024,McDonnell,Indefinitely postponed,Change provisions relating to the Public Employees Retirement Board,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50771
LB0660,2023_2024,Ibach,Indefinitely postponed,Appropriate funds to the Commission on Public Advocacy,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50652
LB0661,2023_2024,Ibach,Indefinitely postponed,Appropriate funds to the Department of Health and Human Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50844
LB0662,2023_2024,Ballard,Indefinitely postponed,Change provisions of the Nebraska Right to Farm Act relating to certain public or private nuisances,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50626
LB0663,2023_2024,Riepe,Indefinitely postponed,State intent to appropriate funds to the Department of Health and Human Services,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50645
LB0664,2023_2024,Riepe,Passed,Provide powers and duties for the state medicaid fraud control unit and the Attorney General,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49950
LB0665,2023_2024,Riepe,Indefinitely postponed,Clarify language on rules and regulations under the Employment Security Law,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50849
LB0666,2023_2024,Riepe,Indefinitely postponed,Change provisions of the Employment Security Law,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50845
LB0667,2023_2024,Hughes,Indefinitely postponed,Authorize wholesalers to implement channel pricing under the Nebraska Liquor Control Act,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50142
LB0668,2023_2024,Aguilar,Indefinitely postponed,Authorize mental health professionals and practitioners to take persons into emergency protective custody and provide for a training and certification process,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50158
LB0669,2023_2024,Ballard,Indefinitely postponed,Provide powers for the Director of Banking and Finance regarding conditions on financial institutions,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=49957
LB0670,2023_2024,Hunt,Indefinitely postponed,Prohibit discrimination under the Nebraska Fair Employment Practice Act on the basis of gender identity or sexual orientation and prohibit discrimination by employers regardless of size,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50671
LB0671,2023_2024,"Hansen, B.",Indefinitely postponed,Allow the Nebraska Training and Support Cash Fund to be used for retention of existing employees of Nebraska businesses,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=50770
