"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"NC","2023_2024","Blair Eddins","25222","H","R","HD-094",TRUE,"Won 2024 general election; did not serve 2023-2024 term"
"NC","2023_2024","Heather Rhyne","25214","H","R","HD-097",TRUE,"Did not serve majority of short session"
"NC","2023_2024","Jerry Branson","25197","H","R","HD-059",FALSE,"Served most of the short session"
"NC","2023_2024","John Blust","2034","H","R","HD-062",TRUE,"Did not serve majority of short session"
"NC","2023_2024","Robert Drakeford","25221","H","D","HD-107",TRUE,"Did not serve majority of short session"
"NC","2023_2024","Shelly Willingham","17158","H","D","HD-023",FALSE,"Served full term - included with LES=0"
"NC","2023_2024","Tracy Clark","25213","H","D","HD-057",TRUE,"Did not serve majority of short session"
"NC","2023_2024","Bob Brinson","25212","S","R","SD-002",FALSE,"Served most of the short session"
"NC","2023_2024","Dana Jones","25250","S","R","SD-031",TRUE,"Did not serve full 2023-2024 term"
