bill_number,session,chamber,action_date,action,journal_page,order
H5465,2023-2024,Senate,2024-05-09,"Adopted, returned to House with concurrence",Senate Journal-page 3,9
H3739,2023-2024,House,2023-01-18,Introduced and adopted,House Journal-page 9,1
H4052,2023-2024,House,2023-03-01,Introduced and adopted,House Journal-page 40,1
H4055,2023-2024,House,2023-03-01,Introduced and adopted,House Journal-page 42,1
H4369,2023-2024,House,2023-04-26,Introduced and adopted,House Journal-page 10,1
H4419,2023-2024,House,2023-05-02,"Introduced, adopted, sent to Senate",House Journal-page 68,1
H4419,2023-2024,Senate,2023-05-02,"Introduced, adopted, returned with concurrence",Senate Journal-page 13,2
H4510,2023-2024,House,2023-06-07,Introduced and adopted,House Journal-page 6,1
H4511,2023-2024,House,2023-06-07,Introduced and adopted,House Journal-page 7,1
H4530,2023-2024,House,2023-06-14,Introduced and adopted,House Journal-page 3,1
H4531,2023-2024,House,2023-06-14,Introduced and adopted,House Journal-page 4,1
H4863,2023-2024,House,2024-01-17,Introduced,House Journal-page 11,1
H4863,2023-2024,House,2024-01-17,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 11,2
H4863,2023-2024,House,2024-01-25,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 11,3
H4863,2023-2024,,2024-01-26,Scrivener's error corrected,,4
H4863,2023-2024,House,2024-01-30,"Adopted, sent to Senate",House Journal-page 39,5
H4863,2023-2024,Senate,2024-01-31,Introduced,Senate Journal-page 8,6
H4863,2023-2024,Senate,2024-01-31,Referred to Committee on Transportation,Senate Journal-page 8,7
H5087,2023-2024,House,2024-02-14,Introduced and adopted,House Journal-page 7,1
H5171,2023-2024,House,2024-02-28,Introduced and adopted,House Journal-page 119,1
H5199,2023-2024,House,2024-03-05,Introduced and adopted,House Journal-page 15,1
H5251,2023-2024,House,2024-03-11,Introduced and adopted,House Journal-page 3,1
H5276,2023-2024,House,2024-03-19,Introduced and adopted,House Journal-page 7,1
H5384,2023-2024,House,2024-04-10,Introduced and adopted,House Journal-page 4,1
H5537,2023-2024,House,2024-05-07,Introduced and adopted,House Journal-page 166,1
H5592,2023-2024,House,2024-06-26,Introduced and adopted,,1
H5598,2023-2024,House,2024-06-26,Introduced and adopted,,1
H3876,2023-2024,House,2023-02-07,Introduced,House Journal-page 16,1
H3876,2023-2024,House,2023-02-07,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 16,2
H3876,2023-2024,House,2023-03-01,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 5,3
H3876,2023-2024,House,2023-03-02,"Adopted, sent to Senate",House Journal-page 35,4
H3876,2023-2024,Senate,2023-03-02,Introduced,Senate Journal-page 12,5
H3876,2023-2024,Senate,2023-03-02,Referred to Committee on Transportation,Senate Journal-page 12,6
H3876,2023-2024,Senate,2023-03-08,Recalled from Committee on Transportation,Senate Journal-page 9,7
H3876,2023-2024,,2023-03-09,Scrivener's error corrected,,8
H3876,2023-2024,Senate,2023-03-09,"Adopted, returned to House with concurrence",Senate Journal-page 38,9
H3994,2023-2024,House,2023-02-21,Introduced and adopted,House Journal-page 20,1
H4006,2023-2024,House,2023-02-23,Introduced and adopted,House Journal-page 3,1
H4007,2023-2024,House,2023-02-23,Introduced and adopted,House Journal-page 3,1
H4310,2023-2024,House,2023-04-18,Introduced and adopted,House Journal-page 116,1
H4400,2023-2024,House,2023-05-02,Introduced and adopted,House Journal-page 11,1
H4858,2023-2024,House,2024-01-17,Introduced and adopted,House Journal-page 7,1
H5256,2023-2024,House,2024-03-13,Introduced and adopted,House Journal-page 4,1
H5322,2023-2024,House,2024-03-26,Introduced and adopted,House Journal-page 5,1
H3002,2023-2024,House,2022-12-08,Prefiled,,1
H3002,2023-2024,House,2022-12-08,Referred to Committee on Judiciary,,2
H3002,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 228,3
H3002,2023-2024,House,2023-01-10,Referred to Committee on Judiciary,House Journal-page 228,4
H3004,2023-2024,House,2022-12-08,Prefiled,,1
H3004,2023-2024,House,2022-12-08,Referred to Committee on Judiciary,,2
H3004,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 37,3
H3004,2023-2024,House,2023-01-10,Referred to Committee on Judiciary,House Journal-page 37,4
H3136,2023-2024,House,2022-12-08,Prefiled,,1
H3136,2023-2024,House,2022-12-08,Referred to Committee on Invitations and Memorial Resolutions,,2
H3136,2023-2024,House,2023-01-10,Introduced,House Journal-page 32,3
