bill_number,session,chamber,action_date,action,journal_page,order
H4538,2023-2024,House,2024-02-06,"Member(s) request name added as sponsor: J.E.Johnson, Brittain, Guest, Gagnon, McGinnis, Hardee, Schuessler, Atkinson, Hayes, Crawford, Pace, T.Moore, Chapman",,7
H4538,2023-2024,House,2024-02-13,"Member(s) request name added as sponsor: Mitchell, Yow, McCabe, Herbkersman",,8
H4568,2023-2024,House,2023-11-16,Prefiled,,1
H4568,2023-2024,House,2023-11-16,Referred to Committee on Education and Public Works,,2
H4568,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 84,3
H4568,2023-2024,House,2024-01-09,Referred to Committee on Education and Public Works,House Journal-page 84,4
H4568,2023-2024,House,2024-01-24,Member(s) request name added as sponsor: Thayer,,5
H4637,2023-2024,House,2023-12-14,Prefiled,,1
H4637,2023-2024,House,2023-12-14,Referred to Committee on Ways and Means,,2
H4637,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 106,3
H4637,2023-2024,House,2024-01-09,Referred to Committee on Ways and Means,House Journal-page 106,4
H4637,2023-2024,,2024-01-10,Scrivener's error corrected,,5
H4638,2023-2024,House,2023-12-14,Prefiled,,1
H4638,2023-2024,House,2023-12-14,Referred to Committee on Ways and Means,,2
H4638,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 106,3
H4638,2023-2024,House,2024-01-09,Referred to Committee on Ways and Means,House Journal-page 106,4
H4647,2023-2024,House,2023-12-14,Prefiled,,1
H4647,2023-2024,House,2023-12-14,Referred to Committee on Judiciary,,2
H4647,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 109,3
H4647,2023-2024,House,2024-01-09,Referred to Committee on Judiciary,House Journal-page 109,4
H4648,2023-2024,House,2023-12-14,Prefiled,,1
H4648,2023-2024,House,2023-12-14,Referred to Committee on Judiciary,,2
H4648,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 110,3
H4648,2023-2024,House,2024-01-09,Referred to Committee on Judiciary,House Journal-page 110,4
H4654,2023-2024,House,2023-12-14,Prefiled,,1
H4654,2023-2024,House,2023-12-14,Referred to Committee on Education and Public Works,,2
H4654,2023-2024,House,2024-01-09,Introduced and read first time,,3
H4654,2023-2024,House,2024-01-09,Referred to Committee on Education and Public Works,,4
H4664,2023-2024,House,2023-12-14,Prefiled,,1
H4664,2023-2024,House,2023-12-14,Referred to Committee on Ways and Means,,2
H4664,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 116,3
H4664,2023-2024,House,2024-01-09,Referred to Committee on Ways and Means,House Journal-page 116,4
H4881,2023-2024,House,2024-01-18,Introduced and adopted,House Journal-page 3,1
H4882,2023-2024,House,2024-01-18,Introduced and adopted,House Journal-page 4,1
H4970,2023-2024,House,2024-01-30,Introduced and adopted,House Journal-page 5,1
H5281,2023-2024,House,2024-03-20,Introduced and adopted,House Journal-page 14,1
H5467,2023-2024,House,2024-04-24,Introduced and adopted,House Journal-page 7,1
H3508,2023-2024,House,2022-12-15,Prefiled,,1
H3508,2023-2024,House,2022-12-15,"Referred to Committee on Medical, Military, Public and Municipal Affairs",,2
H3508,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 192,3
H3508,2023-2024,House,2023-01-10,"Referred to Committee on Medical, Military, Public and Municipal Affairs",House Journal-page 192,4
H3508,2023-2024,House,2023-02-01,"Committee report: Favorable Medical, Military, Public and Municipal Affairs",House Journal-page 2,5
H3508,2023-2024,House,2023-02-07,Read second time,House Journal-page 30,6
H3508,2023-2024,House,2023-02-07,Roll call Yeas-114  Nays-0 (House Journal-page 30),,7
H3508,2023-2024,House,2023-02-08,Read third time and sent to Senate,House Journal-page 17,8
H3508,2023-2024,Senate,2023-02-08,Introduced and read first time,Senate Journal-page 43,9
H3508,2023-2024,Senate,2023-02-08,Referred to Committee on Judiciary,Senate Journal-page 43,10
H3913,2023-2024,House,2023-02-09,Introduced and adopted,House Journal-page 2,1
H3982,2023-2024,House,2023-02-16,Introduced and read first time,House Journal-page 14,1
H3982,2023-2024,House,2023-02-16,Referred to Committee on Education and Public Works,House Journal-page 14,2
H3988,2023-2024,House,2023-02-16,Introduced and read first time,House Journal-page 16,1
H3988,2023-2024,House,2023-02-16,"Referred to Committee on Medical, Military, Public and Municipal Affairs",House Journal-page 16,2
H3988,2023-2024,House,2023-03-15,Member(s) request name added as sponsor: Forrest,,3
H3988,2023-2024,House,2024-02-13,Member(s) request name removed as sponsor: Herbkersman,,4
H3988,2023-2024,House,2024-02-28,"Committee report: Favorable with amendment Medical, Military, Public and Municipal Affairs",House Journal-page 14,5
H3988,2023-2024,House,2024-02-29,Member(s) request name added as sponsor: Wheeler,,6
H3988,2023-2024,,2024-03-01,Scrivener's error corrected,,7
H3988,2023-2024,House,2024-03-06,Debate adjourned,House Journal-page 59,8
H3988,2023-2024,House,2024-03-07,Requests for debate-Rep(s). Harris,House Journal-page 30,9
H3988,2023-2024,House,2024-03-07,Debate adjourned,House Journal-page 30,10
H3988,2023-2024,House,2024-03-07,Member(s) request name added as sponsor: Kirby,,11
H3988,2023-2024,,2024-03-15,Scrivener's error corrected,,12
H3988,2023-2024,House,2024-03-19,Member(s) request name added as sponsor: Guffey,,13
H3988,2023-2024,House,2024-03-19,Amended,House Journal-page 14,14
H3988,2023-2024,House,2024-03-20,Amended,House Journal-page 59,15
H3988,2023-2024,House,2024-03-20,Read second time,House Journal-page 59,16
H3988,2023-2024,House,2024-03-20,Roll call Yeas-104  Nays-2 (House Journal-page 62),,17
H3988,2023-2024,House,2024-03-21,Read third time and sent to Senate,House Journal-page 28,18
H3988,2023-2024,,2024-03-21,Scrivener's error corrected,,19
H3988,2023-2024,Senate,2024-03-26,Introduced and read first time,Senate Journal-page 5,20
H3988,2023-2024,Senate,2024-03-26,Referred to Committee on Medical Affairs,Senate Journal-page 5,21
H3988,2023-2024,Senate,2024-04-23,Committee report: Favorable with amendment Medical Affairs,Senate Journal-page 8,22
H3988,2023-2024,Senate,2024-04-30,Committee Amendment Adopted,Senate Journal-page 14,23
H3988,2023-2024,,2024-05-01,Scrivener's error corrected,,24
H3988,2023-2024,Senate,2024-05-07,Read second time,Senate Journal-page 74,25
H3988,2023-2024,Senate,2024-05-07,Amended,Senate Journal-page 74,26
H3988,2023-2024,Senate,2024-05-08,Read third time and returned to House with amendments,Senate Journal-page 72,27
H3988,2023-2024,Senate,2024-05-08,Roll call Ayes-45  Nays-0 (Senate Journal-page 72),,28
H3988,2023-2024,House,2024-05-09,Non-concurrence in Senate amendment,House Journal-page 77,29
H3988,2023-2024,House,2024-05-09,Roll call Yeas-0  Nays-104 (House Journal-page 78),,30
H3988,2023-2024,Senate,2024-05-09,"Senate insists upon amendment and conference committee appointed Martin, Hutto, Cromer",Senate Journal-page 45,31
H3988,2023-2024,House,2024-05-09,"Conference committee appointed Davis, MM Smith, W Jones",House Journal-page 151,32
H3988,2023-2024,Senate,2024-06-26,Conference report received and adopted,Senate Journal-page 137,33
H3988,2023-2024,Senate,2024-06-26,Roll call Ayes-42  Nays-0 (Senate Journal-page 137),,34
H3988,2023-2024,House,2024-06-26,Conference report received and adopted,,35
H3988,2023-2024,House,2024-06-26,Roll call Yeas-89  Nays-17,,36
H3988,2023-2024,House,2024-06-26,Ordered enrolled for ratification,,37
H3988,2023-2024,,2024-06-27,Ratified R 246,,38
H3988,2023-2024,,2024-07-02,Signed By Governor,,39
H3988,2023-2024,,2024-07-17,Effective date 07/02/24,,40
H3988,2023-2024,,2024-07-17,Act No. 221,,41
H4033,2023-2024,House,2023-02-28,Introduced and adopted,House Journal-page 2,1
H4064,2023-2024,House,2023-03-01,Introduced and read first time,House Journal-page 46,1
H4064,2023-2024,House,2023-03-01,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 46,2
H4064,2023-2024,House,2023-03-07,Member(s) request name added as sponsor: Wetmore,,3
H4064,2023-2024,,2023-03-30,Scrivener's error corrected,,4
H4702,2023-2024,House,2023-12-14,Prefiled,,1
H4702,2023-2024,House,2023-12-14,Referred to Committee on Education and Public Works,,2
H4702,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 127,3
H4702,2023-2024,House,2024-01-09,Referred to Committee on Education and Public Works,House Journal-page 127,4
H4702,2023-2024,House,2024-03-21,"Member(s) request name added as sponsor: Erickson, Bradley",,5
H4702,2023-2024,House,2024-03-27,Committee report: Favorable with amendment Education and Public Works,House Journal-page 4,6
H4702,2023-2024,House,2024-03-28,Amended,House Journal-page 33,7
H4702,2023-2024,House,2024-03-28,Read second time,House Journal-page 33,8
H4702,2023-2024,House,2024-03-28,Roll call Yeas-101  Nays-5 (House Journal-page 34),,9
H4702,2023-2024,House,2024-03-28,Unanimous consent for third reading on next legislative day,House Journal-page 35,10
H4702,2023-2024,House,2024-03-29,Read third time and sent to Senate,House Journal-page 3,11
H4702,2023-2024,Senate,2024-04-02,Introduced and read first time,Senate Journal-page 15,12
H4702,2023-2024,Senate,2024-04-02,Referred to Committee on Education,Senate Journal-page 15,13
H4703,2023-2024,House,2023-12-14,Prefiled,,1
H4703,2023-2024,House,2023-12-14,Referred to Committee on Education and Public Works,,2
H4703,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 127,3
H4703,2023-2024,House,2024-01-09,Referred to Committee on Education and Public Works,House Journal-page 127,4
H4703,2023-2024,House,2024-01-09,Member(s) request name added as sponsor: West,,5
H4703,2023-2024,House,2024-02-27,Member(s) request name added as sponsor: Schuessler,,6
H4703,2023-2024,House,2024-03-21,"Member(s) request name added as sponsor: Erickson, Bradley",,7
H4703,2023-2024,House,2024-03-27,Committee report: Favorable with amendment Education and Public Works,House Journal-page 5,8
H4703,2023-2024,House,2024-03-28,Amended,House Journal-page 36,9
H4703,2023-2024,House,2024-03-28,Read second time,House Journal-page 36,10
H4703,2023-2024,House,2024-03-28,Roll call Yeas-107  Nays-0 (House Journal-page 37),,11
H4703,2023-2024,House,2024-03-28,Unanimous consent for third reading on next legislative day,House Journal-page 38,12
H4703,2023-2024,House,2024-03-29,Read third time and sent to Senate,House Journal-page 3,13
H4703,2023-2024,Senate,2024-04-02,Introduced and read first time,Senate Journal-page 15,14
H4703,2023-2024,Senate,2024-04-02,"Referred to Committee on Labor, Commerce and Industry",Senate Journal-page 15,15
H4928,2023-2024,House,2024-01-24,Introduced and read first time,House Journal-page 16,1
H4928,2023-2024,House,2024-01-24,"Referred to Committee on Medical, Military, Public and Municipal Affairs",House Journal-page 16,2
H4928,2023-2024,House,2024-01-25,Member(s) request name added as sponsor: B.J.Cox,,3
H4928,2023-2024,House,2024-01-31,"Committee report: Favorable Medical, Military, Public and Municipal Affairs",House Journal-page 4,4
H4928,2023-2024,House,2024-02-01,"Member(s) request name added as sponsor: Hart, Jefferson, J.Moore",,5
H4928,2023-2024,House,2024-02-06,"Member(s) request name added as sponsor: Caskey, Williams",,6
H4928,2023-2024,House,2024-02-06,Read second time,House Journal-page 49,7
H4928,2023-2024,House,2024-02-06,Roll call Yeas-114  Nays-0 (House Journal-page 49),,8
H4928,2023-2024,House,2024-02-07,Read third time and sent to Senate,House Journal-page 15,9
H4928,2023-2024,Senate,2024-02-07,Introduced and read first time,Senate Journal-page 9,10
H4928,2023-2024,Senate,2024-02-07,Referred to Committee on Family and Veterans' Services,Senate Journal-page 9,11
H4928,2023-2024,Senate,2024-03-27,Committee report: Favorable with amendment Family and Veterans' Services,Senate Journal-page 19,12
H4928,2023-2024,Senate,2024-04-03,Committee Amendment Adopted,Senate Journal-page 53,13
H4928,2023-2024,Senate,2024-04-03,Read second time,Senate Journal-page 53,14
H4928,2023-2024,Senate,2024-04-03,Roll call Ayes-44  Nays-0 (Senate Journal-page 53),,15
H4928,2023-2024,Senate,2024-04-04,Read third time and returned to House with amendments,Senate Journal-page 21,16
H4928,2023-2024,House,2024-04-10,Concurred in Senate amendment and enrolled,House Journal-page 16,17
H4928,2023-2024,House,2024-04-10,Roll call Yeas-113  Nays-0 (House Journal-page 17),,18
H4928,2023-2024,,2024-05-08,Ratified R 167,,19
H4928,2023-2024,,2024-05-13,Signed By Governor,,20
H4928,2023-2024,,2024-05-30,Effective date 05/13/24,,21
H4928,2023-2024,,2024-05-30,Act No. 151,,22
H5061,2023-2024,House,2024-02-07,Introduced and read first time,House Journal-page 49,1
H5061,2023-2024,House,2024-02-07,Referred to Committee on Judiciary,House Journal-page 49,2
H5599,2023-2024,House,2024-06-26,Introduced and adopted,,1
H5600,2023-2024,House,2024-06-26,Introduced and adopted,,1
H3203,2023-2024,House,2022-12-08,Prefiled,,1
H3203,2023-2024,House,2022-12-08,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs",,2
H3203,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 93,3
H3203,2023-2024,House,2023-01-10,"Referred to Committee on Agriculture, Natural Resources and Environmental Affairs",House Journal-page 93,4
H3340,2023-2024,House,2022-12-08,Prefiled,,1
H3340,2023-2024,House,2022-12-08,Referred to Committee on Judiciary,,2
H3340,2023-2024,House,2023-01-10,Introduced and read first time,House Journal-page 140,3
H3340,2023-2024,House,2023-01-10,Referred to Committee on Judiciary,House Journal-page 140,4
H3340,2023-2024,House,2023-01-12,Member(s) request name added as sponsor: Hyde,,5
H3340,2023-2024,House,2023-01-31,Member(s) request name added as sponsor: Felder,,6
H3340,2023-2024,House,2023-02-08,Member(s) request name added as sponsor: King,,7
H3340,2023-2024,House,2023-02-16,Committee report: Favorable with amendment Judiciary,House Journal-page 5,8
H3340,2023-2024,House,2023-02-21,"Member(s) request name added as sponsor: Howard, Bernstein, Williams",,9
H3340,2023-2024,House,2023-02-22,Amended,House Journal-page 8,10
H3340,2023-2024,House,2023-02-22,Read second time,House Journal-page 8,11
H3340,2023-2024,House,2023-02-22,Roll call Yeas-99  Nays-0 (House Journal-page 10),,12
H3340,2023-2024,House,2023-02-23,Read third time and sent to Senate,House Journal-page 21,13
H3340,2023-2024,Senate,2023-02-23,Introduced and read first time,Senate Journal-page 5,14
H3340,2023-2024,Senate,2023-02-23,Referred to Committee on Judiciary,Senate Journal-page 5,15
H3340,2023-2024,Senate,2023-05-01,"Referred to Subcommittee: Talley (ch), Matthews, McLeod, Garrett, Gustafson",,16
H3340,2023-2024,Senate,2023-05-09,Committee report: Favorable Judiciary,Senate Journal-page 18,17
H3340,2023-2024,Senate,2023-05-10,Read second time,Senate Journal-page 51,18
H3340,2023-2024,Senate,2023-05-10,Roll call Ayes-42  Nays-0 (Senate Journal-page 51),,19
H3340,2023-2024,Senate,2023-05-11,Read third time and enrolled,Senate Journal-page 147,20
H3340,2023-2024,,2023-05-17,Ratified R 79,,21
H3340,2023-2024,,2023-05-19,Signed By Governor,,22
H3340,2023-2024,,2023-05-26,Effective date 05/19/23,,23
H3340,2023-2024,,2023-05-26,Act No. 63,,24
H3581,2023-2024,House,2022-12-15,Prefiled,,1
H3581,2023-2024,House,2022-12-15,Referred to Committee on Invitations and Memorial Resolutions,,2
H3581,2023-2024,House,2023-01-10,Introduced,House Journal-page 36,3
H3581,2023-2024,House,2023-01-10,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 36,4
H3581,2023-2024,House,2023-01-26,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 2,5
H3581,2023-2024,,2023-01-27,Scrivener's error corrected,,6
H3581,2023-2024,House,2023-01-31,"Adopted, sent to Senate",House Journal-page 30,7
H3581,2023-2024,Senate,2023-02-01,Introduced,Senate Journal-page 6,8
H3581,2023-2024,Senate,2023-02-01,Referred to Committee on Transportation,Senate Journal-page 6,9
H3581,2023-2024,Senate,2023-03-02,Recalled from Committee on Transportation,Senate Journal-page 3,10
H3581,2023-2024,Senate,2023-03-08,"Adopted, returned to House with concurrence",Senate Journal-page 30,11
H3627,2023-2024,House,2023-01-12,Introduced and adopted,House Journal-page 303,1
H3837,2023-2024,House,2023-01-31,Introduced and adopted,House Journal-page 2,1
H3837,2023-2024,,2023-03-28,Scrivener's error corrected,,2
H3974,2023-2024,House,2023-02-16,Introduced,House Journal-page 11,1
H3974,2023-2024,House,2023-02-16,Referred to Committee on Invitations and Memorial Resolutions,House Journal-page 11,2
H3974,2023-2024,House,2023-03-01,Committee report: Favorable Invitations and Memorial Resolutions,House Journal-page 6,3
H3974,2023-2024,House,2023-03-02,"Adopted, sent to Senate",House Journal-page 36,4
H3974,2023-2024,Senate,2023-03-02,Introduced,Senate Journal-page 12,5
H3974,2023-2024,Senate,2023-03-02,Referred to Committee on Transportation,Senate Journal-page 12,6
H3974,2023-2024,,2023-03-02,Scrivener's error corrected,,7
H3974,2023-2024,Senate,2023-05-03,Recalled from Committee on Transportation,Senate Journal-page 5,8
H3974,2023-2024,Senate,2023-05-03,"Adopted, returned to House with concurrence",Senate Journal-page 177,9
H3990,2023-2024,House,2023-02-16,Introduced and read first time,House Journal-page 17,1
H3990,2023-2024,House,2023-02-16,Referred to Committee on Education and Public Works,House Journal-page 17,2
H4029,2023-2024,House,2023-02-23,Introduced and read first time,House Journal-page 16,1
H4029,2023-2024,House,2023-02-23,Referred to Committee on Judiciary,House Journal-page 16,2
H4029,2023-2024,House,2024-01-24,"Member(s) request name added as sponsor: Bailey, Brittain",,3
H4029,2023-2024,House,2024-01-24,Committee report: Favorable with amendment Judiciary,House Journal-page 5,4
H4029,2023-2024,House,2024-01-25,"Member(s) request name added as sponsor: Weeks, Schuessler",,5
H4029,2023-2024,House,2024-01-25,Amended,House Journal-page 30,6
H4029,2023-2024,House,2024-01-25,Read second time,House Journal-page 30,7
H4029,2023-2024,House,2024-01-25,Roll call Yeas-114  Nays-0 (House Journal-page 31),,8
H4029,2023-2024,House,2024-01-30,Read third time and sent to Senate,House Journal-page 23,9
H4029,2023-2024,Senate,2024-01-31,Introduced and read first time,Senate Journal-page 8,10
H4029,2023-2024,Senate,2024-01-31,"Referred to Committee on Labor, Commerce and Industry",Senate Journal-page 8,11
H4029,2023-2024,Senate,2024-03-27,"Committee report: Favorable Labor, Commerce and Industry",Senate Journal-page 18,12
H4029,2023-2024,Senate,2024-05-08,"Recommitted to Committee on Labor, Commerce and Industry",Senate Journal-page 83,13
H4196,2023-2024,House,2023-03-29,Introduced and adopted,House Journal-page 59,1
H4212,2023-2024,House,2023-03-29,Introduced and read first time,House Journal-page 70,1
H4212,2023-2024,House,2023-03-29,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 70,2
H4213,2023-2024,House,2023-03-29,Introduced and read first time,House Journal-page 70,1
H4213,2023-2024,House,2023-03-29,Referred to Committee on Ways and Means,House Journal-page 70,2
H4424,2023-2024,House,2023-05-03,Introduced and adopted,House Journal-page 11,1
H4639,2023-2024,House,2023-12-14,Prefiled,,1
H4639,2023-2024,House,2023-12-14,"Referred to Committee on Labor, Commerce and Industry",,2
H4639,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 106,3
H4639,2023-2024,House,2024-01-09,"Referred to Committee on Labor, Commerce and Industry",House Journal-page 106,4
H4639,2023-2024,House,2024-01-10,Member(s) request name added as sponsor: Pendarvis,,5
H4687,2023-2024,House,2023-12-14,Prefiled,,1
H4687,2023-2024,House,2023-12-14,Referred to Committee on Judiciary,,2
H4687,2023-2024,House,2024-01-09,Introduced and read first time,House Journal-page 122,3
H4687,2023-2024,House,2024-01-09,Referred to Committee on Judiciary,House Journal-page 122,4
H4687,2023-2024,House,2024-01-09,Member(s) request name added as sponsor: S.Jones,,5
H5209,2023-2024,House,2024-03-06,Introduced and adopted,House Journal-page 11,1
H5284,2023-2024,House,2024-03-20,Introduced and adopted,House Journal-page 16,1
H5285,2023-2024,House,2024-03-20,Introduced and adopted,House Journal-page 17,1
H5460,2023-2024,House,2024-04-24,Introduced and adopted,House Journal-page 4,1
H3698,2023-2024,House,2023-01-12,Introduced and read first time,House Journal-page 340,1
H3698,2023-2024,House,2023-01-12,Referred to Committee on Education and Public Works,House Journal-page 340,2
H3698,2023-2024,House,2023-01-18,"Member(s) request name added as sponsor: Willis, Crawford",,3
H3698,2023-2024,House,2023-01-19,Member(s) request name added as sponsor: Taylor,,4
H3698,2023-2024,House,2023-01-24,Member(s) request name added as sponsor: Gilliam,,5
H3698,2023-2024,House,2023-01-25,Member(s) request name added as sponsor: Burns,,6
H3698,2023-2024,House,2023-02-01,"Member(s) request name added as sponsor: Vaughan, Trantham",,7
H3810,2023-2024,House,2023-01-25,Introduced and read first time,House Journal-page 15,1
H3810,2023-2024,House,2023-01-25,Referred to Committee on Ways and Means,House Journal-page 15,2
H3810,2023-2024,House,2023-03-30,Committee report: Favorable Ways and Means,House Journal-page 14,3
H3810,2023-2024,House,2023-04-05,Amended,House Journal-page 158,4
H3810,2023-2024,House,2023-04-05,Read second time,House Journal-page 158,5
H3810,2023-2024,House,2023-04-05,Roll call Yeas-103  Nays-10 (House Journal-page 158),,6
H3810,2023-2024,House,2023-04-06,Read third time and sent to Senate,House Journal-page 29,7
H3810,2023-2024,Senate,2023-04-06,Introduced and read first time,Senate Journal-page 38,8
H3810,2023-2024,Senate,2023-04-06,Referred to Committee on Finance,Senate Journal-page 38,9
H3810,2023-2024,,2023-04-11,Scrivener's error corrected,,10
H3811,2023-2024,House,2023-01-25,Introduced and read first time,House Journal-page 15,1
H3811,2023-2024,House,2023-01-25,Referred to Committee on Ways and Means,House Journal-page 15,2
H3811,2023-2024,,2023-02-08,Scrivener's error corrected,,3
H3811,2023-2024,House,2023-05-04,Committee report: Favorable Ways and Means,House Journal-page 6,4
H3811,2023-2024,House,2023-05-09,Debate adjourned,House Journal-page 25,5
H3811,2023-2024,House,2023-05-10,Debate adjourned,House Journal-page 77,6
H3811,2023-2024,House,2023-05-11,Read second time,House Journal-page 27,7
H3811,2023-2024,House,2023-05-11,Roll call Yeas-94  Nays-7 (House Journal-page 28),,8
H3811,2023-2024,House,2023-05-16,Read third time and sent to Senate,House Journal-page 26,9
H3811,2023-2024,Senate,2023-05-23,Introduced and read first time,Senate Journal-page 37,10
H3811,2023-2024,Senate,2023-05-23,Referred to Committee on Finance,Senate Journal-page 37,11
H3811,2023-2024,Senate,2024-02-28,Committee report: Favorable Finance,Senate Journal-page 18,12
H3811,2023-2024,Senate,2024-03-19,Read second time,Senate Journal-page 24,13
H3811,2023-2024,Senate,2024-03-19,Roll call Ayes-30  Nays-13 (Senate Journal-page 24),,14
H3811,2023-2024,Senate,2024-03-20,Read third time and enrolled,Senate Journal-page 13,15
H3811,2023-2024,,2024-05-08,Ratified R 149,,16
H3811,2023-2024,,2024-05-13,Signed By Governor,,17
H3811,2023-2024,,2024-05-29,Effective date 05/13/24,,18
H3811,2023-2024,,2024-05-29,Act No. 134,,19
H3821,2023-2024,House,2023-01-26,Introduced and read first time,House Journal-page 6,1
H3821,2023-2024,House,2023-01-26,Referred to Committee on Judiciary,House Journal-page 6,2
H3895,2023-2024,House,2023-02-07,Introduced,House Journal-page 16,1
H3895,2023-2024,House,2023-02-07,Referred to Committee on Judiciary,House Journal-page 16,2
H3895,2023-2024,House,2023-02-14,Member(s) request name added as sponsor: Carter,,3
H3895,2023-2024,House,2023-03-01,Member(s) request name added as sponsor: Forrest,,4
H3895,2023-2024,House,2023-03-02,"Member(s) request name added as sponsor: O'Neal, J.L.Johnson",,5
H3895,2023-2024,House,2023-03-08,"Member(s) request name added as sponsor: B.J.Cox, A.M.Morgan",,6
H3895,2023-2024,House,2023-03-29,Member(s) request name added as sponsor: Caskey,,7
H3895,2023-2024,House,2023-04-26,Member(s) request name added as sponsor: Cromer,,8
H3895,2023-2024,House,2024-01-11,Member(s) request name added as sponsor: G.M.Smith,,9
H3895,2023-2024,House,2024-02-06,"Member(s) request name added as sponsor: W.Newton, Lowe, Jordan",,10
H3895,2023-2024,House,2024-02-07,"Member(s) request name added as sponsor: Oremus, Blackwell, Guffey, Jefferson, Leber, May, Willis, Guest, Williams, Haddon, White, Brittain, T.Moore, Kilmartin",,11
H3895,2023-2024,House,2024-02-08,"Member(s) request name added as sponsor: Vaughan, Hyde",,12
H3895,2023-2024,House,2024-02-13,"Member(s) request name added as sponsor: Pope, T.A.Morgan, Hixon, Mitchell, Yow",,13
H3895,2023-2024,House,2024-02-14,Member(s) request name added as sponsor: Schuessler,,14
H3895,2023-2024,House,2024-02-15,"Member(s) request name added as sponsor: Wooten, West, Hartnett, B.Newton, S.Jones, Hager, Bustos, Gibson, Neese, M.M.Smith, Gatch, Hewitt",,15
H3901,2023-2024,House,2023-02-08,Introduced and adopted,House Journal-page 5,1
H4050,2023-2024,House,2023-03-01,Introduced and adopted,House Journal-page 39,1
H4110,2023-2024,House,2023-03-09,Introduced and adopted,House Journal-page 8,1
H4831,2023-2024,House,2024-01-11,Introduced and adopted,House Journal-page 9,1
H4831,2023-2024,,2024-01-18,Scrivener's error corrected,,2
H5013,2023-2024,House,2024-02-01,Introduced and read first time,House Journal-page 11,1
H5013,2023-2024,House,2024-02-01,Referred to Committee on Judiciary,House Journal-page 11,2
H5013,2023-2024,House,2024-02-06,Member(s) request name added as sponsor: Leber,,3
H5013,2023-2024,House,2024-03-19,Member(s) request name added as sponsor: Willis,,4
H5024,2023-2024,House,2024-02-01,Introduced and read first time,House Journal-page 14,1
H5024,2023-2024,House,2024-02-01,Referred to Committee on Education and Public Works,House Journal-page 14,2
H5024,2023-2024,House,2024-03-21,Committee report: Favorable with amendment Education and Public Works,House Journal-page 3,3
H5024,2023-2024,House,2024-03-26,"Member(s) request name added as sponsor: Erickson, Bradley",,4
H5024,2023-2024,House,2024-03-26,Amended,House Journal-page 46,5
H5024,2023-2024,House,2024-03-26,Read second time,House Journal-page 46,6
H5024,2023-2024,House,2024-03-26,Roll call Yeas-119  Nays-0 (House Journal-page 47),,7
H5024,2023-2024,House,2024-03-27,Read third time and sent to Senate,House Journal-page 16,8
H5024,2023-2024,,2024-03-27,Scrivener's error corrected,,9
H5024,2023-2024,Senate,2024-03-27,Introduced and read first time,Senate Journal-page 7,10
H5024,2023-2024,Senate,2024-03-27,Referred to Committee on Transportation,Senate Journal-page 7,11
H5066,2023-2024,House,2024-02-08,Introduced and read first time,House Journal-page 3,1
H5066,2023-2024,House,2024-02-08,Referred to Committee on Judiciary,House Journal-page 3,2
H5066,2023-2024,House,2024-02-13,"Member(s) request name added as sponsor: Taylor, Hixon, Oremus, Blackwell",,3
H5066,2023-2024,,2024-02-14,Scrivener's error corrected,,4
H5066,2023-2024,House,2024-02-27,Member(s) request name added as sponsor: Schuessler,,5
H5066,2023-2024,House,2024-02-28,"Member(s) request name added as sponsor: Stavrinakis, Wetmore",,6
H5066,2023-2024,House,2024-02-28,Committee report: Favorable with amendment Judiciary,House Journal-page 12,7
H5066,2023-2024,House,2024-02-29,"Member(s) request name added as sponsor: Bradley, Erickson",,8
H5066,2023-2024,,2024-03-01,Scrivener's error corrected,,9
H5066,2023-2024,House,2024-03-05,"Member(s) request name added as sponsor: Hyde, Ballentine, Calhoon",,10
H5066,2023-2024,House,2024-03-06,"Requests for debate-Rep(s). W Newton, Carter, Brittain, B Newton, Felder, O'Neal, Ligon, Guffey, Hyde, T Moore, McCravey, Nutt, Guest, JE Johnson, Bailey, BL Cox, Pace, Magnuson, Ott, Hiott, Hewitt, Rivers, McDaniel, Robbins, Hart, Jefferson, Chumley, Gibson, Gilliam, Brewer, Mitchell, White, Caskey",House Journal-page 53,11
H5066,2023-2024,House,2024-03-20,Debate adjourned,House Journal-page 83,12
H5066,2023-2024,House,2024-03-21,Debate adjourned,House Journal-page 53,13
H5066,2023-2024,House,2024-03-27,Debate adjourned,House Journal-page 39,14
H5066,2023-2024,House,2024-03-28,"Member(s) request name added as sponsor: Crawford, Guest, M.M.Smith",,15
H5066,2023-2024,House,2024-03-28,Amended,House Journal-page 89,16
H5066,2023-2024,House,2024-03-28,Read second time,House Journal-page 89,17
