bill_number,session,bill_type,primary_sponsor,sponsors,title,summary
H5088,2023-2024,Concurrent Resolution,Representative Alexander,Alexander; Jordan; Kirby; Lowe; Williams,Dr. Vashti Smith and Mary T. Wilson Way,"A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE PORTION OF STATE ROAD 868 (MARION STREET) FROM THE INTERSECTION OF UNITED STATES HIGHWAY 52 (COIT STREET) TO THE INTERSECTION OF STATE HIGHWAY 174 (HARRELL STREET) IN FLORENCE COUNTY ""DR. VASHTI SMITH AND MARY T. WILSON WAY"" AND ERECT APPROPRIATE SIGNS OR MARKERS AT THIS LOCATION CONTAINING THESE WORDS."
H5089,2023-2024,Concurrent Resolution,Representative Alexander,Alexander,Senator Maggie Wallace Glover Way,"A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE PORTION OF SUMTER STREET IN THE CITY OF FLORENCE IN FLORENCE COUNTY FROM ITS INTERSECTION WITH ALEXANDER STREET TO ITS INTERSECTION WITH MCQUEEN STREET ""SENATOR MAGGIE GLOVER WAY"" AND ERECT APPROPRIATE MARKERS OR SIGNS ALONG THIS PORTION OF HIGHWAY CONTAINING THESE WORDS."
H5109,2023-2024,Resolution,Representative Alexander,Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Hezekiah Walker,"A HOUSE RESOLUTION TO WELCOME FAMED GOSPEL MUSICIAN HEZEKIAH WALKER TO SOUTH CAROLINA AND TO WISH HIM WELL DURING HIS VISIT TO THE PALMETTO STATE AS HE PERFORMS IN THE LEGENDS CONCERT ON FEBRUARY 23, 2024, AT COLUMBIA'S KOGER CENTER."
H5110,2023-2024,Resolution,Representative Alexander,Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Marvin Sapp,"A HOUSE RESOLUTION TO WELCOME PASTOR, SINGER, AND SONGWRITER MARVIN SAPP TO SOUTH CAROLINA AND TO WISH HIM WELL DURING HIS VISIT TO THE PALMETTO STATE AS HE PERFORMS IN THE LEGENDS CONCERT ON FEBRUARY 23, 2024, AT COLUMBIA'S KOGER CENTER."
H5325,2023-2024,Resolution,Representative Alexander,Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Kidney Awareness Day in SC,"A HOUSE RESOLUTION TO ENCOURAGE EACH INDIVIDUAL IN SOUTH CAROLINA TO BECOME BETTER INFORMED ABOUT AND AWARE OF KIDNEY DISEASE AND APOL1-MEDIATED KIDNEY DISEASE, TO ENCOURAGE PEOPLE FROM OR WITH ANCESTRY FROM WESTERN AND CENTRAL AFRICA TO CONSIDER GENETIC TESTING FOR APOL1 GENE MUTATIONS, AND TO DECLARE TUESDAY, APRIL 30, 2024, AS ""APOL1-MEDIATED KIDNEY DISEASE AWARENESS DAY"" IN THE STATE OF SOUTH CAROLINA."
H5465,2023-2024,Concurrent Resolution,Representative Alexander,Alexander,"Dr. James D. Hammond, Jr. Memorial Highway","A CONCURRENT RESOLUTION TO REQUEST THE DEPARTMENT OF TRANSPORTATION NAME THE PORTION OF ASHBY ROAD IN FLORENCE COUNTY FROM ITS INTERSECTION WITH IRBY STREET TO ITS INTERSECTION WITH DOUGLAS STREET ""DR. JAMES DUCKETT HAMMOND, JR. MEMORIAL ROAD"" AND ERECT APPROPRIATE MARKERS OR SIGNS ALONG THIS PORTION OF HIGHWAY CONTAINING THESE WORDS."
H3739,2023-2024,Resolution,Representative Anderson,Anderson; Clyburn; G.M. Smith; Hiott; Rutherford; Thigpen; Cobb-Hunter; Alexander; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hewitt; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Sandifer; Schuessler; Sessions; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,"Bishop Samuel Lawrence Green, Sr.","A HOUSE RESOLUTION TO RECOGNIZE AND HONOR BISHOP SAMUEL LAWRENCE GREEN, SR., PRESIDING BISHOP OF THE SEVENTH EPISCOPAL DISTRICT FOR THE AFRICAN METHODIST EPISCOPAL CHURCH, AND TO EXPRESS DEEP GRATITUDE FOR HIS DECADES OF SERVICE TO THE FAITHFUL OF SOUTH CAROLINA AND TO HIS CHURCH."
H4052,2023-2024,Resolution,Representative Anderson,Anderson; Hewitt,Sherry Davis-Livingston 4-H Youth Development,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR SHERRY DAVIS-LIVINGSTON, SENIOR 4-H/YOUTH DEVELOPMENT AGENT AND COUNTY COORDINATOR FOR THE CLEMSON UNIVERSITY COOPERATIVE EXTENSION SERVICES IN GEORGETOWN COUNTY, AND TO COMMEND HER FOR THIRTY-TWO YEARS OF DEDICATION TO THE CLEMSON UNIVERSITY COOPERATIVE EXTENSION SERVICE."
H4055,2023-2024,Resolution,Representative Anderson,Anderson; Bamberg; Hosey,Shannon Herndon 4-H Youth Development,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR SHANNON B. HERNDON, THE 4-H AGENT FOR BAMBERG AND BARNWELL COUNTIES, AND TO COMMEND HER FOR TWENTY-FOUR YEARS OF DEDICATION TO THE CLEMSON UNIVERSITY EXTENSION PROGRAM."
H4369,2023-2024,Resolution,Representative Anderson,Anderson; Hewitt; Alexander; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Henegan; Herbkersman; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Dr. Ted Sherrill retirement,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR DR. TED A. SHERRILL, PASTOR OF FIRST BAPTIST CHURCH GEORGETOWN, ON HIS RETIREMENT AFTER FORTY-THREE YEARS OF FAITHFUL MINISTRY, AND TO WISH HIM CONTINUED BLESSINGS AND HAPPINESS IN ALL HIS FUTURE ENDEAVORS."
