bill_number,session,bill_type,primary_sponsor,sponsors,title,summary
H5242,2023-2024,Resolution,Representative Henderson-Myers,Henderson-Myers; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Dr. Zafivanona Ernest Lainkana,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR DR. ZAFIVANONA ERNEST LAINKANA, THE DIRECTOR GENERAL OF CUSTOMS IN MADAGASCAR, FOR HIS MEANINGFUL ROLE IN HIS NATION'S ECONOMIC DEVELOPMENT."
H5243,2023-2024,Joint Resolution,Representative Henderson-Myers,Henderson-Myers; Kirby; Davis; Herbkersman; King; McDaniel,Health Care Market Reform Measures Study Committee,A JOINT RESOLUTION TO ESTABLISH THE HEALTH CARE MARKET REFORM MEASURES STUDY COMMITTEE; TO PROVIDE FOR THE STUDY COMMITTEE'S MEMBERSHIP AND NONVOTING ADVISORY BOARD; TO ESTABLISH THE DUTIES OF THE STUDY COMMITTEE; TO REQUIRE THE STUDY COMMITTEE TO ISSUE A REPORT WITH FINDINGS AND RECOMMENDATIONS; AND FOR OTHER PURPOSES.
H5567,2023-2024,Resolution,Representative Henderson-Myers,Henderson-Myers; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henegan; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Spann-Wilder; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Chief Justice Beatty,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR DONALD W. BEATTY, CHIEF JUSTICE OF THE SOUTH CAROLINA SUPREME COURT, UPON THE OCCASION OF HIS RETIREMENT AFTER YEARS OF EXEMPLARY SERVICE, AND TO WISH HIM CONTINUED SUCCESS AND HAPPINESS IN ALL HIS FUTURE ENDEAVORS."
H3342,2023-2024,General Bill,Representative Henegan,Henegan; Williams; Thigpen,PTSD special license plates,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING ARTICLE 150 TO CHAPTER 3, TITLE 56 SO AS TO PROVIDE THE DEPARTMENT OF MOTOR VEHICLES MAY ISSUE ""MILITARY VETERAN POST-TRAUMATIC STRESS DISORDER"" SPECIAL LICENSE PLATES."
H3343,2023-2024,General Bill,Representative Henegan,Henegan; Williams; Thigpen,Early release of inmates,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 24-13-150, RELATING TO EARLY RELEASE, DISCHARGE, COMMUNITY SUPERVISION, LIMITATIONS, AND FORFEITURE OF CREDITS, SO AS TO REDUCE THE PERCENTAGE OF TIME INMATES WHO HAVE COMMITTED ""NO PAROLE OFFENSES"" MUST SERVE BEFORE THEY MAY BECOME ELIGIBLE FOR EARLY RELEASE, DISCHARGE, OR COMMUNITY SUPERVISION FROM EIGHTY-FIVE PERCENT TO SIXTY-FIVE PERCENT FOR CERTAIN DRUG OFFENSES, AND TO PROVIDE THIS REDUCTION APPLIES TO INMATES CURRENTLY INCARCERATED UNDER CERTAIN CIRCUMSTANCES."
H3520,2023-2024,General Bill,Representative Henegan,Henegan; Williams; Thigpen,Early release of an inmate,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 24-13-150, RELATING TO THE EARLY RELEASE OF INMATES, SO AS TO REDUCE THE PERCENTAGE OF TIME INMATES WHO HAVE COMMITTED ""NO PAROLE OFFENSES"" MUST SERVE BEFORE THEY MAY BECOME ELIGIBLE FOR EARLY RELEASE, DISCHARGE, OR COMMUNITY SUPERVISION FROM EIGHTY-FIVE PERCENT TO SIXTY-FIVE PERCENT FOR CERTAIN DRUG OFFENSES, AND TO PROVIDE THIS REDUCTION APPLIES TO INMATES CURRENTLY INCARCERATED UNDER CERTAIN CIRCUMSTANCES."
H3537,2023-2024,General Bill,Representative Henegan,Henegan,Pharmacy Benefits Manager,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTIONS 38-71-292 AND 38-71-820 BOTH SO AS TO DEFINE TERMS AND REQUIRE INSURERS TO INCLUDE COST-SHARING AMOUNTS PAID WHEN CALCULATING AN ENROLLEE'S CONTRIBUTION; BY ADDING SECTION 38-71-2270 SO AS TO REQUIRE PHARMACY BENEFITS MANAGERS TO INCLUDE COST-SHARING AMOUNTS PAID WHEN CALCULATING AN ENROLLEE'S CONTRIBUTION; AND BY AMENDING SECTION 38-71-2200, RELATING TO DEFINITIONS, SO AS TO DEFINE TERMS."
H3595,2023-2024,General Bill,Representative Henegan,Henegan; Williams; Thigpen,Delayed Birth Certificates,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY AMENDING SECTION 44-63-90, RELATING TO THE STATE REGISTRAR'S AUTHORITY TO ISSUE A DELAYED BIRTH CERTIFICATE FOR A PERSON BORN IN THE STATE WHOSE BIRTH IS UNREGISTERED, SO AS TO ALLOW FOR THE USE OF AN INSCRIBED FAMILY BIBLE OR GENEALOGICAL RECORDS AS DOCUMENTATION OF DATE OF BIRTH IN CERTAIN CIRCUMSTANCES."
H3618,2023-2024,General Bill,Representative Henegan,Henegan; Williams; Thigpen; King; W. Jones; Henderson-Myers; Kirby; Dillard; McDaniel; S. Jones; Yow; J.L. Johnson; Bernstein; Bauer; Cobb-Hunter; Wetmore; Wheeler; Weeks; Mitchell; Pope; Jefferson; Vaughan; Atkinson; Gilliard; Rivers; Hayes; J. Moore; Thayer; Carter; Garvin; Hyde; Guest; B. Newton; Crawford; McGinnis; Hardee; Brittain; Bailey; Chapman; Schuessler; Cromer; Anderson; Burns; Gagnon; Hixon; Taylor; White; Elliott; Davis; B.L. Cox; Hartnett; M.M. Smith; Kilmartin; Stavrinakis; J.E. Johnson; Pace; Neese; Robbins; Lawson; Guffey; Brewer; Hewitt; Herbkersman; Collins,Pharmacy Benefits,"A BILL TO AMEND THE SOUTH CAROLINA CODE OF LAWS BY ADDING SECTIONS 38-71-292 AND 38-71-820 BOTH SO AS TO DEFINE TERMS AND OUTLINE THE APPLICABILITY AND REQUIREMENTS FOR COST SHARING FOR INSURERS; BY ADDING SECTION 38-71-2270 SO AS TO DEFINE TERMS AND OUTLINE THE APPLICABILITY AND REQUIREMENTS FOR COST SHARING FOR PHARMACY BENEFIT MANAGERS; AND BY AMENDING SECTION 38-71-2200, RELATING TO DEFINITIONS, SO AS TO MAKE CONFORMING CHANGES."
H3638,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Corrie Hicks Plato Retirement,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR CORRIE HICKS PLATO, MARLBORO COUNTY COUNCILWOMAN, UPON THE OCCASION OF HER RETIREMENT AFTER TWENTY-FOUR  YEARS OF OUTSTANDING SERVICE, AND TO WISH HER CONTINUED SUCCESS AND HAPPINESS IN ALL HER FUTURE ENDEAVORS."
H3766,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Goodwin Chapel AME Zion Church,A HOUSE RESOLUTION TO RECOGNIZE AND HONOR GOODWIN CHAPEL A.M.E. ZION CHURCH FOR ITS HERITAGE IN THE BOYKIN COMMUNITY AND TO COMMEND ITS LEADERSHIP AND CONGREGATION FOR THEIR MANY YEARS OF SERVICE AND CONTRIBUTIONS TO THE COMMUNITY.
H3818,2023-2024,Resolution,Representative Henegan,Henegan; Williams,Elvira Williamson Dixon sympathy,"A HOUSE RESOLUTION TO EXPRESS THE PROFOUND SORROW OF THE MEMBERS OF THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES UPON THE PASSING OF MOTHER ELVIRA WILLIAMSON DIXON, MATRIARCH OF THE DIXON AND WILLIAMSON FAMILY, AND TO EXTEND DEEPEST SYMPATHY TO HER LARGE AND LOVING FAMILY AND HER MANY FRIENDS."
H3968,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Rosenwald Day,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR THE PHILANTHROPIC WORK DONE BY JULIUS ROSENWALD AND BOOKER T. WASHINGTON TOWARDS THE ADVANCEMENT OF EDUCATION FOR AFRICAN AMERICANS IN THE SOUTH, AND TO DECLARE TUESDAY, FEBRUARY 28, 2023, AS ""ROSENWALD SCHOOL DAY"" IN SOUTH CAROLINA."
H4093,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Beaver Dam Baptist Church homecoming,A HOUSE RESOLUTION TO RECOGNIZE AND HONOR THE PASTOR AND CONGREGATION OF BEAVER DAM BAPTIST CHURCH IN MARLBORO COUNTY AND TO CONGRATULATE THEM FOR THEIR HISTORY OF MORE THAN ONE HUNDRED THIRTY-FIVE YEARS AS THEY CELEBRATE THEIR 2023 HOMECOMING.
H4331,2023-2024,Resolution,Representative Henegan,Henegan; McDaniel; Williams; Yow; Kirby; King; Rivers; Gilliard; Clyburn; Hosey; Chapman; Bamberg; Anderson; Mitchell; Sessions; Oremus; W. Newton; Sandifer; Jefferson; Alexander; Gagnon; Herbkersman; Howard; Whitmire,Lupus Awareness Month in SC,"A HOUSE RESOLUTION TO RECOGNIZE THE IMPACT OF LUPUS ON MILLIONS OF INDIVIDUALS AFFECTED BY LUPUS WORLDWIDE AND ON THOSE IN THE STATE OF SOUTH CAROLINA, AS WELL AS THE IMPORTANCE OF EFFORTS FOR FINDING THE CAUSES OF AND CURE FOR THE DISEASE, AND TO PROCLAIM MAY AS ""LUPUS AWARENESS MONTH"" IN THE STATE OF SOUTH CAROLINA."
H4450,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Glenn Ohanesian 100th birthday,A HOUSE RESOLUTION TO CONGRATULATE GLENN OHANESIAN ON THE OCCASION OF HIS ONE HUNDREDTH BIRTHDAY AND TO WISH HIM A JOYOUS BIRTHDAY CELEBRATION AND MANY YEARS OF CONTINUED HEALTH AND HAPPINESS.
H4523,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Tedder; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Elder Johnny Green,A HOUSE RESOLUTION TO HONOR ELDER JOHNNY GREEN OF VICTORY WALK MINISTRIES FOR HIS FAITHFULNESS IN SERVICE AND TO WISH HIM GOD'S RICHEST BLESSINGS AS HE CONTINUES TO SERVE THE LORD.
H4779,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,AKA Day,"A HOUSE RESOLUTION TO RECOGNIZE AND HONOR ALPHA KAPPA ALPHA SORORITY, INC., FOR ITS PHILANTHROPIC WORK AND TO DECLARE WEDNESDAY, JANUARY 31, 2024, ""ALPHA KAPPA ALPHA DAY"" AT THE SOUTH CAROLINA STATE HOUSE."
H4780,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,"Nellie Jean Streater, sympathy","A HOUSE RESOLUTION TO EXPRESS THE PROFOUND SORROW OF THE MEMBERS OF THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES UPON THE PASSING OF NELLIE ""JEAN"" STREATER OF CHERAW, TO CELEBRATE HER LIFE, AND TO EXTEND THE DEEPEST SYMPATHY TO HER FAMILY AND MANY FRIENDS."
H4781,2023-2024,Resolution,Representative Henegan,Henegan; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Hayes; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; Mitchell; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Williams; Willis; Wooten; Yow,Elder Johnny Green,A HOUSE RESOLUTION TO HONOR ELDER JOHNNY GREEN OF VICTORY WALK MINISTRIES FOR HIS FAITHFULNESS IN SERVICE AND TO WISH HIM GOD'S RICHEST BLESSINGS AS HE CONTINUES TO SERVE THE LORD.
H5326,2023-2024,Resolution,Representative Henegan,Henegan; Yow; Hayes; Mitchell; Williams; Alexander; Anderson; Atkinson; Bailey; Ballentine; Bamberg; Bannister; Bauer; Beach; Bernstein; Blackwell; Bradley; Brewer; Brittain; Burns; Bustos; Calhoon; Carter; Caskey; Chapman; Chumley; Clyburn; Cobb-Hunter; Collins; Connell; B.J. Cox; B.L. Cox; Crawford; Cromer; Davis; Dillard; Elliott; Erickson; Felder; Forrest; Gagnon; Garvin; Gatch; Gibson; Gilliam; Gilliard; Guest; Guffey; Haddon; Hager; Hardee; Harris; Hart; Hartnett; Henderson-Myers; Herbkersman; Hewitt; Hiott; Hixon; Hosey; Howard; Hyde; Jefferson; J.E. Johnson; J.L. Johnson; S. Jones; W. Jones; Jordan; Kilmartin; King; Kirby; Landing; Lawson; Leber; Ligon; Long; Lowe; Magnuson; May; McCabe; McCravy; McDaniel; McGinnis; J. Moore; T. Moore; A.M. Morgan; T.A. Morgan; Moss; Murphy; Neese; B. Newton; W. Newton; Nutt; O'Neal; Oremus; Ott; Pace; Pedalino; Pendarvis; Pope; Rivers; Robbins; Rose; Rutherford; Sandifer; Schuessler; Sessions; G.M. Smith; M.M. Smith; Stavrinakis; Taylor; Thayer; Thigpen; Trantham; Vaughan; Weeks; West; Wetmore; Wheeler; White; Whitmire; Willis; Wooten,Doug Jennings,"A HOUSE RESOLUTION TO HONOR DOUGLAS JENNINGS, JR., OF BENNETTSVILLE, FOR HIS ACCOMPLISHED CAREER AS AN ATTORNEY AND AS A LEGISLATOR IN THE SOUTH CAROLINA HOUSE OF REPRESENTATIVES."
