Date,State,Bill No,Title,Action
"Feb. 27, 2024",WY,HB 125,Repeals Gun-Free Zones in Wyoming,"Bill Passed
                           - House
                      

                      
                          (54 - 7)"
"Feb. 27, 2024",WY,SF 53,Amends the Number of Judges in the 6th Judicial District,"Bill Passed
                           - Senate
                      

                      
                          (30 - 1)"
"Feb. 23, 2024",WY,HB 58,Establishes a Forensic Genetic Genealogy Pilot Program,"Bill Passed
                           - House
                      

                      
                          (49 - 13)"
"Feb. 23, 2024",WY,HB 77,Amends Simple Assault to Include Menacing or Threatening Behavior,"Bill Passed
                           - House
                      

                      
                          (35 - 27)"
"Feb. 23, 2024",WY,HB 29,Amends Cold Case Database and Investigation Provisions,"Bill Passed
                           - House
                      

                      
                          (53 - 9)"
"Feb. 22, 2024",WY,SF 1,Appropriates Funding for the 2024-2026 Fiscal Year Budget,"Bill Passed
                           - Senate
                      

                      
                          (23 - 8)"
"Feb. 22, 2024",WY,SF 13,Authorizes the Legislature to Prosecute Actions Involving the Proper Administration and Interpretation of Federal  ...,"Bill Passed
                           - Senate
                      

                      
                          (20 - 9)"
"Feb. 22, 2024",WY,SF 44,Amends Requirements Concerning Commencement of Limited Mining Operations,"Bill Passed
                           - Senate
                      

                      
                          (24 - 7)"
"Feb. 22, 2024",WY,SF 115,Requires the Department of Health to Pay Behavioral Health Services Claim,"Bill Passed
                           - Senate
                      

                      
                          (23 - 8)"
"Feb. 22, 2024",WY,HB 1,Appropriates $10.6 Billion in Funding for the Biennial 2025-2026 State Budget,"Bill Passed
                           - House
                      

                      
                          (41 - 21)"
"Feb. 19, 2024",WY,SF 103,Authorizes Producers to Sell Meat Products so Long as the Federal PRIME ACT Passes Congress,"Bill Passed
                           - Senate
                      

                      
                          (28 - 1)"
"Feb. 19, 2024",WY,SF 9,Specifies Procedures for Requirements for School Districts to Report Certain Information to Parents,"Bill Passed
                           - Senate
                      

                      
                          (28 - 2)"
"Feb. 15, 2024",WY,SF 14,Amends State Fair Board-Powers and Responsibilities,"Bill Passed
                           - Senate
                      

                      
                          (18 - 13)"
