bill_number,session_year,sponsors,sponsors_on_bill,title,lsr,local_gov,chapter_num,S_status,S_floor_date,S_comm,H_status,H_floor_date,H_comm,bill_url,hist_url,vote_url
CACR1,2023,Michael Moffett (R); Kristina Schultz (D); Cam Kenney (D); Joshua Adjutant (d),"SPONSORS:	Rep. Moffett, Merr. 4; Rep. Adjutant, Graf. 16; Rep. Schultz, Merr. 29; Rep. Kenney, Straf. 10",relating to the governor. Providing that there be a lieutenant governor who shall assume the duties of the governor if the governor is incapacitated.,0130,N,None,,,,"DIED, SESSION ENDED",2023-02-14,Executive Departments and Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0130&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0130&sy=2023&sortoption=&txtsessionyear=2023,
CACR2,2023,Amanda Toll (D); Cassandra  Levesque (D); Renee Monteil (D); Cam Kenney (D); Jonah Wheeler (D); Shaun Filiault (i); Rebecca McWilliams (D); Alissandra Murray (D); Donovan Fenton (D); Joe Schapiro (D); Wendy Thomas (D); Debra Altschiller (D),"SPONSORS:	Rep. Toll, Ches. 15; Rep. Kenney, Straf. 10; Rep. McWilliams, Merr. 30; Rep. Schapiro, Ches. 16; Rep. Levesque, Straf. 4; Rep. Wheeler, Hills. 33; Rep. A. Murray, Hills. 20; Rep. W. Thomas, Hills. 12; Rep. Monteil, Ches. 15; Rep. Filiault, Ches. 7; Sen. Fenton, Dist 10; Sen. Altschiller, Dist 24",relating to reproductive freedom. Providing that all persons have the right to make their own reproductive decisions.,0106,N,None,,,,"DIED, SESSION ENDED",2023-03-22,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0106&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0106&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0106&sy=2023&sortoption=&txtsessionyear=2023
CACR3,2023,Michael Moffett (R); Kevin Avard (R),"SPONSORS:	Rep. Moffett, Merr. 4; Sen. Avard, Dist 12",relating to recall elections. Providing that the general court may authorize recall elections.,0128,N,None,,,,"DIED, SESSION ENDED",2023-03-22,Legislative Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0128&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0128&sy=2023&sortoption=&txtsessionyear=2023,
CACR4,2023,Walter Stapleton (R); Rebecca McWilliams (D); Dennis Green (R); Laurel Stavis (D); Eric Gallager (D),"SPONSORS:	Rep. Stapleton, Sull. 6; Rep. Stavis, Graf. 13; Rep. McWilliams, Merr. 30; Rep. Gallager, Merr. 20",relating to compensation for legislators. Providing that legislators' biennial salary compensation shall be increased.,0191,N,None,,,,"DIED, SESSION ENDED",2023-03-22,Legislative Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0191&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0191&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0191&sy=2023&sortoption=&txtsessionyear=2023
CACR5,2023,Dan Hynes (I),"SPONSORS:	Rep. Hynes, Hills. 2",relating to fundamental rights. Providing that the constitution protects the right to marry.,0688,N,None,,,,"DIED, SESSION ENDED",2023-02-14,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0688&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0688&sy=2023&sortoption=&txtsessionyear=2023,
CACR6,2023,Bob Lynn (R); Dan Hynes (I); Donna Soucy (D),"SPONSORS:	Rep. Lynn, Rock. 17; Rep. Hynes, Hills. 2; Sen. Soucy, Dist 18",relating to the retirement age for judges. Providing that the mandatory judicial retirement age shall be increased from 70 to 75.,0443,N,None,PASSED/ADOPTED,2023-03-30,Judiciary,PASSED/ADOPTED,2023-02-22,Judiciary,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0443&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0443&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0443&sy=2023&sortoption=&txtsessionyear=2023
CACR7,2023,Glenn Cordelli (R); Rick Ladd (R); Jeanine Notter (R); Mark McLean (R); Mark Pearson (R); Kevin Avard (R); Gregory Hill (R); Katy Peternel (R); Matthew Simon (R); Bob Lynn (R),"SPONSORS:	Rep. Cordelli, Carr. 7; Rep. Simon, Graf. 1; Rep. McLean, Hills. 15; Rep. Hill, Merr. 2; Rep. Lynn, Rock. 17; Rep. Ladd, Graf. 5; Rep. M. Pearson, Rock. 34; Rep. Peternel, Carr. 6; Rep. Notter, Hills. 12; Sen. Avard, Dist 12",relating to use of money raised by taxation for education. Providing that money raised by taxation may be applied for the use of religious educational institutions.,0215,N,None,,,,"DIED, SESSION ENDED",2023-03-22,Education,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0215&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0215&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0215&sy=2023&sortoption=&txtsessionyear=2023
CACR8,2023,Dan Hynes (I); Ellen Read (D),"SPONSORS:	Rep. Hynes, Hills. 2; Rep. Read, Rock. 10",relating to a constitutional right to birth control. Providing that the constitution protects the right to access birth control.,0619,N,None,,,,"DIED, SESSION ENDED",2023-03-22,"Health, Human Services and Elderly Affairs",http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0619&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0619&sy=2023&sortoption=&txtsessionyear=2023,
CACR9,2023,Daryl Abbas (R); Daniel Innis (R); Steve Shurtleff (D); Timothy Lang (R); Kevin Avard (R); Steven Smith (R); Carrie Gendreau (R); Howard  Pearl (R); Fred Doucette (R); Jeb Bradley (R); Keith Murphy (R); Kimberly Abare (R); Denise Ricciardi (R); Sharon Carson (R); Joe Sweeney (R); Bill Gannon (R),"SPONSORS:	Sen. Abbas, Dist 22; Sen. Lang, Dist 2; Sen. Gendreau, Dist 1; Sen. Bradley, Dist 3; Sen. Ricciardi, Dist 9; Sen. Gannon, Dist 23; Sen. Innis, Dist 7; Sen. Avard, Dist 12; Sen. Pearl, Dist 17; Sen. Murphy, Dist 16; Sen. Carson, Dist 14; Rep. Shurtleff, Merr. 15; Rep. S. Smith, Sull. 3; Rep. Doucette, Rock. 25; Rep. Abare, Hills. 1; Rep. Sweeney, Rock. 25",relating to the New Hampshire presidential primary. Providing that the New Hampshire presidential primary will be the first presidential primary of a presidential election cycle.,0900,N,None,PASSED/ADOPTED,2023-03-30,Election Law and Municipal Affairs,DIED ON THE TABLE,2023-06-08,Election Law,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=0900&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=0900&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=0900&sy=2023&sortoption=&txtsessionyear=2023
CACR10,2023,Donna Soucy (D); Lou D'Allesandro (D); Alexis Simpson (D); Cindy Rosenwald (D); Jeb Bradley (R); Matthew Wilhelm (D); Regina Birdsell (R); Sharon Carson (R),"SPONSORS:	Sen. Soucy, Dist 18; Sen. Rosenwald, Dist 13; Sen. Birdsell, Dist 19; Sen. D'Allesandro, Dist 20; Sen. Bradley, Dist 3; Sen. Carson, Dist 14; Rep. Simpson, Rock. 33; Rep. Wilhelm, Hills. 40",the general court. Providing that the general court convene on the same day as the governor's inauguration.,1060,N,None,PASSED/ADOPTED,2023-03-16,Election Law and Municipal Affairs,"DIED, SESSION ENDED",2023-06-08,Legislative Administration,http://www.gencourt.state.nh.us/bill_status/bill_status.aspx?lsr=1060&sy=2023&sortoption=&txtsessionyear=2023,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=1060&sy=2023&sortoption=&txtsessionyear=2023,http://www.gencourt.state.nh.us/bill_status/Roll_calls/Billstatus_billrollcalls.aspx?lsr=1060&sy=2023&sortoption=&txtsessionyear=2023
